Herr Präsident! Es ist ein Brief an Sie persönlich, Herr Präsident, und nicht an die Kammer.	Mr President, it is a letter addressed to you personally, not to the Chamber.
Das Problem ist, dass Europa sich nicht auf ein einheitliches Vorgehen einigen kann.	The problem is that Europe cannot agree on a consistent procedure.
Und wenn wir sagen, Europa kann sich nicht einigen, dann muss man allerdings sagen "nicht wir hier".	When we say that Europe cannot agree, we should also add 'not those of us here'.
Es ist nicht das Europäische Parlament, es ist auch nicht die Kommission, es sind die Regierungen von souveränen Mitgliedstaaten, die zwar eine starke, nach außen handlungsfähige Währungszone geschaffen haben, die aber nach innen nicht bereit sind, die in sich geschlossenen Instrumente zu schaffen, die man braucht, um parallel zu einer starken Währung eine starke Wirtschafts- und Sozialpolitik, überhaupt eine starke Regierungspolitik zu betreiben.	It is not the European Parliament or the Commission; it is the governments of the sovereign Member States which have created a strong monetary area that is able to take external action, but which are not prepared to create the self-contained, internal instruments needed to establish a strong economic and social policy and a strong government policy alongside the strong currency.
Das ist der entscheidende Punkt!	That is the crucial point.
Zweitens: Alles, was in Europa geschieht, geschieht innerhalb der Verträge.	Secondly, everything that happens in Europe takes place in the context of the treaties.
Wenn es aber innerhalb der Verträge geschieht und man nicht willkürlich etwas außerhalb der Verträge schaffen will - das liegt ja auch der Überlegung des einen oder der anderen zu Grunde -, dann ist für uns als Europäisches Parlament klar, dass im Zentrum die Institution stehen muss, die die zentrale Institution im Vertragsrahmen ist, und das ist die Kommission.	However, when something happens within the treaties and we do not want to create something arbitrarily outside the bounds of the treaties, because some people are considering doing this, it is clear to the European Parliament that the institution at the heart of this must be the central institution within the framework of the treaties, namely the Commission.
Nur über die Kommission ist übrigens die demokratische Legitimiertheit des Handelns auf der europäischen Ebene, nämlich in direktem Bezug zum Europäischen Parlament, möglich.	The democratic legitimacy of our actions at European level, in direct relation to the European Parliament, is determined by the Commission.
Deshalb haben Sie Recht mit dem, was Sie vorgetragen haben, und die Berichterstatter Brok und Gualtieri ebenfalls.	This is why what you have explained is right, in the same way as what the rapporteurs, Mr Brok and Mr Gualtieri, have also said.
Drittens: Das Risiko Europas besteht darin, dass es, wenn es als 500 Millionen Einwohner starker größter Wirtschaftsraum der Welt einheitlich handelt, zwar stark ist, wenn es sich aber erlaubt, sich in seine 27 Einzelteile zu zerlegen, irrelevant wird.	My third point is that the risk for Europe lies in the fact that it is strong when it acts in a consistent way as the largest economic area in the world, with 500 million inhabitants, but if it allows itself to break down into 27 individual parts, it becomes irrelevant.
Das konnte man bedauerlicherweise bei den Entwicklungen auf der anderen Seite des Mittelmeers sehen.	Regrettably, this became clear during the events on the other side of the Mediterranean.
Keine einheitliche Linie: Europa spielt keine Rolle.	If Europe does not take a consistent line, then it has no role to play.
Einheitliche Linie: dann ist Europa mit seinem Sozial- und Wirtschaftsmodell der Motor der Weltwirtschaft und ein einflussreicher Partner in der internationalen Politik.	If it takes a consistent line, then with its social and economic model, it will become the engine of the global economy and an influential partner on the international political stage.
Worüber wir hier bei diesem vereinfachten Verfahren reden, ist die Frage, ob Europa eine Zukunft hat oder ob es als Einzelstaatlichkeit in der Unwichtigkeit und Irrelevanz untergeht.	The issue that we are discussing in the context of this simplified procedure concerns whether Europe has a future or whether it will break down into individual states and descend into unimportance and irrelevance.
Das ist der Punkt, über den wir hier diskutieren.	That is the point which we are debating.
