Berichterstatter. - Frau Präsidentin! Das war eine interessante Debatte.	rapporteur. - Madam President, that was an interesting debate.
Außerdem geht es hier nur um Geld, um Bankkonten, nicht etwa um einstweilige Verfügungen, einstweilige Pfändungen anderer Vermögenswerte.	Secondly, it is only about financial assets held in bank accounts. It does not deal with injunctions or the attachment of other assets.
Es hätte sich die Frage gestellt, ob man das Ziel erreicht durch eine Harmonisierung der 27 verschiedenen bestehenden Systeme.	That raises the question of whether our purposes would really be served through the harmonisation of 27 different systems.
Das ist sicherlich nicht zielführend, das würde bis auf den Sanktnimmerleinstag auf sich warten lassen.	In my view, that would be an extremely unwieldy approach and would take forever to achieve.
Es greift in so viele andere Dinge ein, dass das nicht gut wäre.	It encroaches on so many other areas that it would not be helpful.
Sondern richtig ist - was wohl auch die Kommission so beabsichtigt - eine eigenständige, zusätzliche europäische Regelung - vorzugsweise als Verordnung -, die neben die nationalen Regelungen treten soll, die weiter ihre Geltung behalten.	The right approach is what the Commission has in mind: an independent and additional European procedure, preferably in the form of a regulation, to exist in parallel to the national provisions, which would remain in force.
Ergänzend will ich nur Brüssel-1 erwähnen.	I should also mention the 'Brussels I' Regulation at this juncture.
Die Verordnung, die wir hier bereits haben, reicht nicht aus.	The Regulation which already exists is not adequate.
Der Gläubiger muss seinen Anspruch summarisch glaubhaft machen, er muss auch die Gefährdung glaubhaft machen.	The creditor must not only demonstrate credibly and summarily that he has a claim but must also demonstrate the risk.
Was uns - und auch mir - besonders wichtig ist, ist der Schutz des Schuldners.	Our particular concern, which I share, is to protect the creditor.
Gerade weil wir eine europäische Regelung haben, möchte ich unter keinen Umständen, dass es dort zu Schädigungen eines Schuldners oder eines Dritten kommt, das würde auch auf Europa zurückschlagen.	What I do not want, under any circumstances, is a situation in which creditors or third parties suffer harm precisely because we have a European regulation. That would reverberate on Europe itself.
Unter Umständen kann ja auch eine unberechtigte Pfändung existenzvernichtenden Charakter haben.	In some cases, attachment without just cause can destroy a person's livelihood.
Ich will nur die Punkte erwähnen, dass der Gläubiger gegebenenfalls für Schäden haftet, die beim Schuldner entstehen, dass ihm eine Frist gesetzt werden kann, das Hauptverfahren einzuleiten, dass er gegebenenfalls Sicherheitsleistungen stellen muss, dass dem Schuldner Widerspruch möglich sein muss, dass dafür auch nicht ein Verfahren gewählt wird, das dann eine Ewigkeit dauert, sondern dem Verfahren vorher ungefähr entspricht, dass es keine Übersicherung gibt, und dass auch dem Schuldner das Existenzminimum bleiben muss.	I would simply like to mention the main points: that a creditor may be liable for damages arising for the debtor, that the creditor should be obliged to institute the main proceedings within a fixed time limit, that the creditor may be required to provide security, that the debtor should be entitled to appeal, that a procedure should not be selected which takes an eternity but which is broadly in line with the previous proceedings, that there should be provisions preventing too much money being frozen for the benefit of the creditor, and that the debtor must be guaranteed the wherewithal to live on.
Es gibt das Problem der Treuhandkonten.	There is the problem of trust accounts.
Wenn dort überhaupt eine Pfändung möglich sein sollte - ich will das einmal offen lassen -, dann muss das jedenfalls in ganz besonderer Weise gesichert werden.	If there is to be any possibility of attachment here - and I will leave that open - they certainly need to be specially protected.
Ähnliches gilt für Gemeinschaftskonten - obwohl das nicht dasselbe ist, eigentlich direkt nichts miteinander zu tun hat -, weil es um den Schutz auch Dritter geht, und für dritte Betroffene sind besondere Schutzmaßnahmen erforderlich.	The same applies to joint accounts, although this is not the same thing; in fact, the two are not directly related. The point is that it is also important to protect third parties, and special protection measures are required for any third parties involved.
Ich will daran erinnern, dass für die Kommunikation der Banken Standardformulare sinnvoll wären, und will in diesem Zusammenhang und abschließend noch einmal sagen: Es sind sicherlich noch rechtsvergleichende Untersuchungen, Detailuntersuchungen erforderlich.	I would just mention that standardised formal notices would be useful for banking communications and, in this connection, would like to conclude by saying that studies comparing the laws in force as well as detailed analyses are undoubtedly required.
Ich will ausdrücklich meinen Dank an die Kommission aussprechen für diese umfangreichen Untersuchungen und Studien, und den Dank an alle Kollegen.	I would also, and specifically, like to thank the Commission for these comprehensive analyses and studies, and also thank all my colleagues.
Wir haben alle sehr gut zusammengearbeitet.	We worked together very well.
Ich gehe davon aus, dass das in großem Einvernehmen beschlossen werden wird.	I assume that there will be a broad consensus in favour of the report.
