Herr Präsident! Herr Präsident Santer!	Mr President, Mr Santer, thank you for the Commission report.
Sie haben etwas dazu gesagt, und ich muß jetzt zu dieser auf Äquivalenz bedachten Betrachtung, die methodisch auf äußerst wackligen Füßen steht, nichts mehr sagen.	They have made comments on this, and so their equivalence-oriented approach - which, as a method, stands on extremely shaky ground - requires no further comments from me.
Eins ist jedoch auch klar, bei genauerer Betrachtung fallen trotzdem deutliche Ungleichgewichte zwischen den wohlhabenderen Mitgliedstaaten auf.	One thing is clear, however; on closer inspection, it becomes apparent that, all the same, there are definite imbalances between the wealthier Member States.
Es fällt z.B. sofort ins Auge, daß Dänemark mit der zweithöchsten Wirtschaftskraft innerhalb der Gemeinschaft erheblich mehr aus dem Haushalt erhält, als es zu dessen Finanzierung beiträgt.	For, example, it is immediately noticeable that Denmark, with the second most powerful economy in the Community, receives considerably more from the budget than it puts in.
Gleichzeitig tragen Länder wie Schweden und die Niederlande mit niedrigerem Bruttosozialprodukt deutlich höhere Finanzierungslasten, als sie als Anteil aus dem gemeinsamen Haushalt erhalten.	At the same time, countries such as Sweden and the Netherlands, with lower GNPs, bear a much higher proportion of the financial burden than the portion of the common budget that they receive.
Wenn aber, wie gerade gesagt, die Ursache für die vorhandenen Ungleichgewichte nicht auf der Einnahmenseite liegt, so muß sie zwangsläufig auf der Ausgabenseite liegen.	But if, as I have just said, the cause for these imbalances is not on the revenue side, then it must inevitably be on the expenditure side.
Und da denke ich, haben wir im Haushaltsausschuß schon ein bißchen zielgerichteter diskutiert und auch argumentiert, als Sie das hier in Ihrem Bericht vorschlagen.	And here, I believe that our discussions and also our lines of argument in the Committee on Budgets were more focused than those proposed in your report.
Wir sehen nämlich, daß die Mitgliedstaaten einen höchst unterschiedlichen Anteil an den gemeinsamen Politiken haben.	We note, namely, that Member States' participation in the common policies varies considerably.
Besonders deutlich wird diese ungleiche Verteilung bei der gemeinsamen Agrarpolitik.	This uneven distribution is particularly apparent in the common agricultural policy.
Mitgliedstaaten mit einem hohen Agraranteil und einem hohen Anteil förderfähiger Agrarstrukturen wie etwa Dänemark oder Frankreich erhalten unabhängig von ihrer wirtschaftlichen Leistungsfähigkeit höhere Rückflüsse als Mitgliedstaaten mit einem kleineren Agraranteil.	Member States with a large farming sector and a high proportion of farms which qualify for support, such as Denmark or France, receive higher returns - regardless of their economic performance - than Member States with a smaller farming sector.
So ist der Finanzierungsanteil von Schweden und Deutschland am Gemeinschaftshaushalt doppelt so hoch wie ihr Anteil an der Agrarpolitik.	Sweden and Germany's proportional contribution to the Community budget is thus twice as large as their proportional participation in the agricultural policy.
Da aber 45 % des Haushalts in die Agrarpolitik fließen, liegt es auf der Hand, daß hier die Ursache für die vorhandenen Ungleichgewichte zu finden ist.	But because 45 % of the budget is spent on the agricultural policy, it is obvious that this is where the source of the imbalances lies.
Wir sind deshalb ganz froh, daß Sie sich in Ihrem Bericht auch mit diesem unserem Ansatz zur Reduzierung der Ungleichgewichte auseinandergesetzt haben, nämlich mit der Kofinanzierung der Agrarpolitik.	We are, therefore, rather pleased that you also examined this, our approach towards reducing the imbalances, in your report, which is for agricultural policy to be cofinanced.
Dabei ist als Voraussetzung wichtig, daß die Tendenz in der Agrarpolitik von den Preisgarantien hin zu direkten Einkommensbeihilfen und der Förderung landschaftspflegerischer und ökologischer Maßnahmen geht.	An important precondition for this is that agricultural policy should tend to move away from price guarantees and towards a system of direct income aid coupled with measures to promote stewardship of the countryside and the protection of the environment.
Dieser Trend soll sich durch die Agenda 2000 noch verstärken.	This trend should be further reinforced by Agenda 2000.
Bereits jetzt sind zwischen 50 % und 60 % der Agrarausgaben strukturfördernder Art. Da diese Maßnahmen direkt vor Ort in den Mitgliedstaaten greifen, ist es sinnvoll, diese an der Finanzierung zu beteiligen, wie dies auch bei den übrigen Strukturpolitiken der Fall ist.	Already, between 50 % and 60 % of agricultural expenditure is of a structural nature. Because these measures are applied directly on the spot in the Member States, it is appropriate to involve them in the funding, as is the case with the other structural policies.
Es wäre also kein Systembruch, worauf Sie ebenfalls hingewiesen haben.	This would not, therefore, amount to a break with the system, another point you mentioned.
Vorgeschlagen wird deshalb eben diese nationale Kofinanzierung der Agrarpolitik.	That is why this scheme for national cofinancing of the agricultural policy is being proposed.
Das wäre nicht nur in der Logik der Entwicklung ein folgerichtiger Schritt, sondern es würde auch, gerade was die Nettozahlerproblematik angeht, zu einer erheblichen Entlastung führen.	It would not only be a logical development, but would also go a considerable way towards alleviating the problem of net contributions.
Bei allem, was man zu unserem Vorschlag, den wir hier erst einmal diskutieren, also noch nicht förmlich beschlossen haben, sagen kann, daß er z.B. natürlich auch die Dynamik in der gemeinsamen Agrarpolitik forcieren wird, hat er zudem einen unbestreitbaren Vorteil vor allen anderen Optionen, die Sie genannt haben, nämlich den, daß er umsetzbar ist.	Much can be said about our proposal - which we are discussing here for the first time, so have not yet formally agreed - for example, that it will propel the common agricultural policy forward, but it has one additional, indisputable advantage over all the other options you mentioned, namely that it will be possible to implement.
Er braucht keine Einstimmigkeit im Rat, sondern nur eine qualifizierte Mehrheit.	It does not require unanimity in the Council: only a qualified majority.
