Als nächster Punkt folgt die Feierliche Sitzung und die Aussprache zum Thema "Zehn Jahre Euro".	The next item is the formal sitting and debate on the 10th anniversary of the euro.
Ohne die Europäische Zentralbank und das Europäische System der Zentralbanken als stabilisierende Faktoren wäre die Situation in der Europäischen Union im Herbst letzten Jahres um Vieles schlimmer gewesen.	Without the European Central Bank and the European System of Central Banks acting as a stabilising factor, the situation in the European Union last autumn would have been considerably worse.
Blicken wir nur nach Irland, ein Land, das von der Finanzkrise besonders stark getroffen wurde. Seine Mitgliedschaft in der Währungsunion hat Irland vor einer Krise noch größeren Ausmaßes bewahrt.	Just look at Ireland, a country that was particularly badly affected by the financial crisis: its membership of the monetary union protected it from a crisis of even greater proportions.
Die Währungsunion stellt hoffentlich einen nicht umkehrbaren Schritt hin zu einer tieferen wirtschaftlichen und politischen Integration dar. Sie bedeutet, Teil einer "Union mit einer gemeinsamen Bestimmung" zu sein.	Monetary union represents a hopefully irreversible step towards deeper economic and political integration; it means being part of a 'Union with a common purpose'.
Wie die Mitglieder einer Familie sprechen alle Mitglieder der Eurozone miteinander und beschließen das beste Vorgehen zum Nutzen jedes Einzelnen und aller.	Like a family, all the members of the euro area talk to each other and adopt the best approach to benefit each and every one.
Doch war die Schaffung des Euro nicht nur eine Entscheidung mit wirtschaftlichen und finanziellen Auswirkungen. Sie hat ein sehr deutliches Signal ausgesandt, dass die Europäische Union in der Lage ist, weit reichende Entscheidungen umzusetzen, um eine gemeinsame, von Wohlstand geprägte Zukunft aufzubauen.	However, the creation of the euro was not just a decision with economic and financial effects; it also sent a very clear signal that the European Union is in a position to implement far-reaching decisions in order to build a common, prosperous future.
Heute wird die einheitliche Währung von vielen Bürgerinnen und Bürgern in der Eurozone als eines der positivsten Ergebnisse der europäischen Einigung betrachtet.	Today, the single currency is seen, by many citizens in the euro area, as one of the most positive results of European integration.
Damit dies auch in Zukunft so bleibt, müssen wir an der Stabilität unserer gemeinsamen Währung festhalten. Nur so kann der Euro auch in Zukunft ein Stabilitätsfaktor und bei den Turbulenzen in der Welt ein stabiler Faktor bleiben.	In order to ensure that this continues to be the case, we must hold tight to the stability of our common currency: it is the only way of making sure that the euro continues, in future, to be a stabilising factor and a point of stability in a turbulent world.
Heute haben weit mehr als die Hälfte der Mitgliedstaaten der Europäischen Union den Euro eingeführt.	Today, well over half of the Member States of the European Union have introduced the euro.
Vor ein paar Tagen haben wir die Slowakei als 16. Mitglied in der Eurozone willkommen heißen können. Ich bin zuversichtlich, dass wir bei den Feierlichkeiten zu den nächsten runden Geburtstagen des Euro noch mehr Mitglieder sein werden!	A few days ago, we welcomed Slovakia as the 16th member of the euro, and I am confident that, by the time we are celebrating the next big birthday of the euro, it will have even more members.
Das Ziel muss sein, dass eines Tages alle Mitgliedstaaten der Europäischen Union auf der Grundlage der Stabilitätskriterien unserer gemeinsamen Währung angehören.	The aim must be for all the Member States of the European Union ultimately to join our single currency, on the basis of the stability criteria.
Eine solche schrittweise Ausweitung würde, so bin ich überzeugt, zur Stärkung der gesamten Eurozone beitragen - und auch gerade für die jungen Menschen in der Europäischen Union Ausdruck einer gemeinsamen friedlichen europäischen Zukunft sein.	I am convinced that this step-by-step expansion will help to strengthen the entire euro area, as well as being a symbol of a common, peaceful European future, particularly for young people in the European Union.
Heute ist der frühere Präsident Frankreichs Valery Giscard d'Estaing bei uns. Wir begrüßen ihn herzlich.	The former President of France, Valery Giscard d'Estaing, is here with us today, and he is very welcome.
Zusammen mit dem früheren deutschen Bundeskanzler Helmut Schmidt, dem früheren luxemburgischen Premierminister Pierre Werner und anderen gehört er zu den Architekten unserer gemeinsamen Währung.	Together with the former German Chancellor Helmut Schmidt, the former Luxembourg Prime Minister Pierre Werner and others, he is one of the architects of our single currency.
Herzlich willkommen, Valery Giscard d'Estaing!	A very warm welcome, Mr Giscard d'Estaing.
(Beifall)	(Applause)
Ich stimme Helmut Kohl zu, der mit François Mitterrand und Jacques Delors und anderen - wir sahen eben auch Jacques Santer in dem Film - dazu beigetragen hat, schließlich den Euro einzuführen, wenn er 1998 sagte: "[...] eine Währung ist natürlich ein Zahlungsmittel.	I agree with Helmut Kohl, who, along with François Mitterrand and Jacques Delors and others - we just saw Jacques Santer in the film - contributed to the ultimate introduction of the euro, when he said in 1998 that '... a currency is of course a means of payment.
Aber eine Währung ist auch weit mehr als ein Zahlungsmittel.	But a currency is also far more than a means of payment.
Sie hat etwas zu tun mit einem Stück kultureller Identität und sie ist ein Gradmesser politischer Stabilität. [...]	It has something to do with cultural identity and it is a measure of political stability ...
Und wenn Sie sich vorstellen, was es bedeutet, dass hier bei uns in der Europäischen Union [...] mit (der) ganzen Intelligenz, Kreativität und Buntheit dieses Kontinents, mit all seinen Schwierigkeiten [...], dass hier Millionen Menschen eine gemeinsame Währung haben, so ist das eine großartige Sache."	Imagine what a marvellous achievement it is that in the European Union ..., with all our intelligence, creativity and colourful variety, and in spite of all the difficulties ..., millions of our people should have a single currency.'
Im Namen des Europäischen Parlaments möchte ich allen Architekten und Wegbereitern des Euro und natürlich insbesondere der Europäischen Zentralbank mit ihrem heutigen Präsidenten Jean-Claude Trichet sowie seinem viel zu früh verstorbenen Vorgänger Willem Duisenberg für ihre historische Leistung aufrichtig danken.	On behalf of the European Parliament, I would very much like to thank all the architects of the euro, and all the people who prepared the way for it, in particular the European Central Bank, its current President Jean-Claude Trichet and his sadly departed predecessor Willem Duisenberg for their historic achievements.
Der Wert der Europäischen Zentralbank kann in der Bedeutung gar nicht hoch genug eingeschätzt werden.	The importance of the European Central Bank simply cannot be overestimated.
(Beifall)	(Applause)
Dieser Dank gilt auch und vor allem Alexandre Lamfalussy, dem Präsidenten des Europäischen Währungsinstituts. Wir sind ihm gestern Abend schon begegnet, und er nimmt auch gleich an einem Kolloquium teil.	Our thanks also go, in particular, to Alexandre Lamfalussy, the President of the European Monetary Institute, whom we met yesterday evening, and who is also taking part in a colloquium now.
Auch das Europäische Parlament und sein zuständiger Ausschuss, der Wirtschafts- und Währungsausschuss unter der Leitung seines damaligen Vorsitzenden Karl von Wogau und in seiner Nachfolge Christa Randzio-Plath, haben über die Jahre, die ausgehend von der Währungsschlange zur Schaffung der gemeinsamen Währung geführt haben, ihren Beitrag als treibende Kraft dieses historischen Projekts geleistet.	The European Parliament and its committee responsible for such matters, the Committee on Economic and Monetary Affairs, chaired at the time by Karl von Wogau and then by Christa Randzio-Plath, have also had a part to play as a driving force in this historic project over the years leading from the currency snake to the creation of the single currency.
Gleiches gilt für den Wirtschafts- und Währungsausschuss heute unter der Leitung von Pervenche Berès, der wir die Anregung für diese Feier heute verdanken.	The same applies to the Committee on Economic and Monetary Affairs in its current incarnation, chaired by Pervenche Berès, to whom we are grateful for the idea of this celebration.
Seit der Entstehung des Euro vor zehn Jahren haben die Europäische Zentralbank und die Eurogruppe mit dem Europäischen Parlament einen immer enger werdenden Austausch gepflegt.	Since the euro was launched 10 years ago, the European Central Bank and the Eurogroup have cultivated an increasingly close relationship with the European Parliament.
Für die gute Zusammenarbeit mit dem Europäischen Parlament möchte ich den Vorsitzenden der beiden Institutionen, Premierminister Jean-Claude Juncker in seiner Eigenschaft als Präsident der Eurogruppe und dem Präsidenten der Europäischen Zentralbank, Jean-Claude Trichet, aufrichtig danken.	I would like to thank the presidents of the two institutions, Mr Juncker in his capacity as President of the Eurogroup and the President of the European Central Bank Mr Trichet, most warmly for their excellent cooperation with the European Parliament.
Zu ihrem zehnten Geburtstag wünschen wir unserer gemeinsamen Währung, dem Euro, viele weitere erfolgreiche Jahre für eine gute gemeinsame Zukunft unseres europäischen Kontinents.	On the occasion of its 10th birthday, we wish our single currency, the euro, many more successful years with a bright common future for our continent of Europe.
