Hohes Parlament!	.
Europa wird durch die Tat – wahrscheinlich plural: durch die Taten – gebaut. Wir haben auch zum ersten Mal institutionell eine Veränderung vorgenommen: Wir haben die europäischen Sozialpartner in die Beratungen des Europäischen Rats eingebunden.	It is not enough to come up with rhetorical and woolly phrases; what we need instead is results and actions of the kind of which Robert Schuman spoke, when he said that Europe would not be built in a day, but by action, and probably by actions in the plural.
Der Präsident des Europäischen Gewerkschaftsbundes, Cándido Méndez Rodriguez, war dabei. Der Präsident des europäischen Arbeitgeberverbands UNICE, Ernest-Antoine Seillière, hat an den Beratungen teilgenommen, und zum ersten Mal war auch der Präsident der Europäischen Zentralbank, Jean-Claude Trichet, dabei.	We have also, and for the first time, brought about institutional change, by involving the European social partners in the deliberations of the European Council, which was attended by the President of the European Trade Union Congress, Mr Cándido Méndez Rodriguez, with the President of UNICE, the Union of Industrial and Employers’ Confederations of Europe, Mr Ernest-AntoineSeillière, taking part in the discussions, and with the President of the European Central Bank, Mr Jean-Claude Trichet, present for the first time.
Natürlich hat Josep Borrell einen ganz wichtigen Beitrag, die Stimme des Parlaments, in diese Wirtschafts- und Arbeitsplatzdiskussion eingebracht.	The President of this Parliament, Mr Borrell, did of course speak for it and thereby make a very important contribution to this discussion on business and job creation.
Wir haben uns als Präsidentschaft sehr konkrete Ziele gesetzt.	Our presidency has set itself very definite objectives.
Sie konnten selbst vorher in den Medien verfolgen, dass viele dieser Ziele sehr umstritten waren.	You have yourselves been able to see from the media that many of them were highly contentious.
Wir haben uns dabei nicht entmutigen lassen und einige sehr präzise Themen in den Schlussfolgerungen verankert, vor allem im Bereich Arbeit und Wachstum. Das wichtigste für uns ist die Verbesserung der Beschäftigungslage für die rund 18 Millionen Arbeitslosen in Europa.	We have not allowed ourselves to be discouraged by this and have included several very precise formulations in the conclusions, particularly in those concerned with work and growth.
Konkret wollen wir durch die nationalen Reformprogramme und durch eine Verbesserung der Rahmenbedingungen ein Beschäftigungswachstum von 1 % erzielen.	The most important thing for us is that the employment situation should be improved for the sake of Europe’s unemployed, who number some 18 million.
Damit lassen sich jährlich etwa 2 Millionen Arbeitsplätze schaffen. Bis zum Jahre 2010 wären das zusätzlich netto 10 Millionen Arbeitsplätze.	In practical terms, we want to achieve a 1% growth in employment by means of the national reform programmes and improved framework conditions, which would amount to the creation of some 2 million jobs a year, or, by 2010, a net increase of an extra 10 million.
Der zweite Punkt: Wir wollen uns ganz bewusst auf die Ausbildung der Jugendlichen konzentrieren. 85 % der Jugendlichen bis 22 Jahre sollen eine höhere Ausbildung erhalten.	Secondly, it is our quite deliberate intention to concentrate on the training of the young, so that 85% of young people under the age of 22 should get higher education.
Die Zahl der Schulabbrecher soll auf 10 % gesenkt werden, und wir wollen ganz bewusst bereits im nächsten Jahr jedem jungen Menschen anbieten, innerhalb von sechs Monaten entweder einen Job, eine Lehrstelle oder eine Weiterbildungsmöglichkeit zu bekommen. Später soll dieser Zeitraum dann auf vier Monate reduziert werden.	Our intention is that the number of school drop-outs should be reduced by 10%, and, quite specifically, that by as soon as next year, all young people should, within six months, be offered either a job, an apprenticeship or the chance of further training, with this period later being reduced to four months.
Das nächste große Thema ist natürlich die Frage, wie man das erreichen kann. Hier haben wir uns vorgenommen, uns vor allem auf die Klein- und Mittelbetriebe zu konzentrieren, die in der Vergangenheit manchmal eher stiefmütterlich behandelt worden sind.	The next big issue is, of course, the question of how that is to be achieved, and we have taken the decision to prioritise the small and medium-sized businesses that were, formerly sometimes treated less than kindly.
Wir haben uns konkret überlegt, wie wir den rund 23 Millionen Klein- und Mittelbetrieben durch die Verkürzung der Behördenverfahren und durch die Streichung von administrativen Vorschriften das Leben erleichtern können.	We have considered the practicalities of how we can make life easier for small and medium-sized businesses – of which there are some 23 million – by reducing official procedures and abolishing administrative rules.
Die Kommission mit Günter Verheugen und Präsident Barroso liefert hier mit „Besseren Rechtsetzung“, einem ganz intensiven Programm, das der niederländischen Programmatik nachgebildet ist, mit der Reduktion der Verwaltungsarbeit um 25 % einen ganz entscheidenden Impuls.	The Commission – in the persons of Commissioner Verheugen and President Barroso – has put forward a highly intensive programme of ‘better regulation’, following a Dutch model and providing quite crucial impetus towards a 25% reduction of administrative chores.
Wir wollen Jungunternehmern die Gründung eines Betriebs erleichtern.	We want to make it easier for young entrepreneurs to start up businesses.
Innerhalb einer Woche soll ein solcher neuer Betrieb entstehen können, und eine einzige Anlaufstelle soll sicherstellen, dass die kleinen Betriebe nicht zu 100 Verwaltungsbehörden laufen müssen, sondern so rasch wie möglich etwas unternehmen können.	The intention is that they should be able to get one up and running within a week, with a single point of contact ensuring that small businesses do not have to deal with umpteen different administrative bodies, but can start operating as quickly as possible.
Ich danke der Kommission sehr – ich weiß, dass es intern nicht ganz einfach war – für die Anhebung der De-Minimis-Schwelle.	I am very much obliged to the Commission for raising the de minimis threshold, which, I know, was not an entirely simple matter within their own institution.
Die Verdoppelung dieser Schwelle ist ein ganz wichtiger Impuls, der es uns ermöglicht, das Leben und auch die Förderung der Klein- und Mittelbetriebe wesentlich zu erleichtern und zu fördern.	Doubling this threshold is a vitally important initiative and enables us to make life much easier for small and medium-sized businesses and also makes it easier for us to encourage and support them.
Vergessen Sie auch nicht, dass wir über die Europäische Investitionsbank rund 30 Milliarden Euro zusätzlich über gestützte Kredite, Garantien und Haftungen zur Verfügung stellen, damit gerade die kleinen Betriebe wirklich etwas im Bereich der Schaffung von Arbeitsplätzen zustande bringen.	I would also ask you not to forget that we, through the European Investment Bank, have made available an additional EUR 30 billion through subsidised loans, guarantees and sureties, enabling small businesses in particular to make real strides in creating jobs.
Drittes Thema: Wissen und Forschung.	The third topic I would like to address is knowledge and research.
Wir wissen genau, dass wir mit unserem Lohnniveau in Europa nur dann im Wettbewerb bestehen können, wenn wir mehr für Ausbildung, Forschung und Wissen tun.	We are perfectly well aware that one consequence of Europe’s wage levels is that we can get the better of our competitors only if we do more for training, research and knowledge.
Natürlich haben wir das Ziel von 3 % schon im Jahr 2000 fixiert.	It was, of course, as long ago as 2000 that we set the 3% target.
Nur eingehalten haben wir es nicht.	The only thing is that we have not achieved it.
Das Neue bei diesen Schlussfolgerungen ist, dass wir jedes Land dazu gebracht haben, in einer Anlage, die Teil der Schlussfolgerungen ist, eine Selbstverpflichtung einzugehen, wie in jedem einzelnen Jahr bis 2010 dieses Ziel von 3 % auch wirklich erreicht werden kann.	What is new about these conclusions is that we have got every single country, in the annex to the conclusions and which forms part of them, to commit itself to being able to actually achieve this 3% target in every year right up to 2010.
Das sage ich jetzt auch zur vorherigen Debatte: Wenn uns das gelingt – und das wird natürlich erhebliche Anstrengungen erfordern –, dann bedeutet das, dass pro Jahr 100 Milliarden Euro zusätzlich aus den nationalen Budgets und der Privatwirtschaft in die Forschung investiert werden.	My comment on the previous debate is that, if we succeed in this – and it will of course call for considerable efforts – the consequence of it will be that EUR 100 billion more per annum, drawn from the national budgets and from private industry, will be invested in research.
Das wäre der gewaltigste Wachstumsschub, den es überhaupt auf diesem Gebiet geben kann.	That would be the most massive injection for growth that one can imagine in this area.
Wiederum gilt: Die Europäische Investitionsbank hilft uns hier mit 10 Milliarden Euro an zusätzlichem Risikokapital. Wenn man die privaten Beiträge noch dazu rechnet, kommen wir auf rund 30 Milliarden Zusatzimpuls.	It is still true that the European Investment Bank will help us out with EUR 10 billion in additional risk capital, and, if the private contributions are added to that, that adds up to an additional injection of EUR 30 billion.
Besonders bedeutsam scheint mir, dass der Europäische Rat deine Idee, lieber José Manuel, aufgegriffen hat, ein europäisches Institut für Technologie zu schaffen. Auch diese Idee war zunächst sehr umstritten, weil natürlich manche befürchten, dass da große Parallelbürokratien entstehen.	It strikes me as particularly significant that the European Council has adopted Mr Barroso’s idea of founding a European institute for technology, although it was at first highly controversial, for the understandable reason that there are those who fear the creation of huge parallel bureaucracies, while others fear that the existing centres of excellence could lose out.
Andere fürchten, dass bestehende Exzellenzeinrichtungen zu kurz kommen könnten. Die Grundidee, die die Kommission hier vorlegt, unterstütze ich vollinhaltlich, nämlich ein Bindeglied zu schaffen zwischen den Hochschulen und der Wirtschaft, zwischen Forschung und Innovation auf der einen Seite und den Anwendern auf der anderen Seite.	I fully support the basic idea that the Commission is putting forward here, the idea of creating a link between institutions of higher education and industry, between research and development on the one hand and the end users on the other.
Keine Superbehörde, aber ein perfekt ausgebautes Netzwerk, das vor allem auch mit den Institutionen in den Mitgliedstaaten wirklich zusammenarbeitet.	This would not be some sort of super-authority, but a perfectly developed network primarily intended to really cooperate with the institutions in the Member States.
Ich gratuliere José Manuel Barroso und der Kommission, dass dieser Vorschlag aufgegriffen und unterstützt wurde, und wir erwarten bis Juni dieses Jahres auch konkrete legistische Vorschläge.	I congratulate Mr Barroso and the Commission on their proposal’s adoption and acceptance, and we look forward to concrete proposals for legislation by June of this year.
Wichtig ist im Zusammenhang mit dem Budget auch, dass wir uns verpflichtet haben, für Lebenslanges Lernen, für die Studentenprogramme, für die Lehrlingsaustauschprogramme wesentlich mehr Geld zur Verfügung zu stellen.	Something else that is important while we are on the subject of the budget is the undertaking we have given to make substantially more funding available for students’ programmes and for exchange programmes for apprentices.
Sie haben es gehört: 800 Millionen Euro zusätzlich jetzt im Haushaltskompromiss.	You have already heard about the additional EUR 800 million in the budget compromise right now.
Das ist ein ganz interessanter und wichtiger Impuls, um der Jugend eine neue Perspektive zu geben.	That is a very interesting and important initiative towards giving young people new prospects.
Ich gehe hier mit gutem Beispiel voran: Ich habe im letzten Ministerrat in Österreich beschlossen, dass wir den Koordinator auf die Ministerebene heben. Unser Wirtschafts- und Arbeitsminister wird ab sofort der politische Koordinator für diesen ganzen Prozess sein.	This is where I am setting a good example: at the last Council of Ministers in Austria, I decided that we would have a coordinator at ministerial level, so, with immediate effect, our Minister for the Economy and Labour will be the political coordinator for this whole process, and I will invite every Member State to do likewise, so that we will have policy coordinators who can then – perhaps in the Competition Council – monitor our achievement of the goals we have set ourselves.
Ich werde jedes Mitgliedsland einladen, diesem Weg zu folgen, sodass wir politische Koordinatoren bekommen, die dann, möglichst im Rat „Wettbewerb“, auf die Umsetzung der selbst gewählten Ziele achten können. Das wäre ein ganz wichtiger Impuls, damit auch glaubhaft wird, was wir uns hier gemeinsam vorgenommen haben.	That would be a vitally important move towards establishing the credibility of what we have, together, undertaken to do.
Ein ganz neues Thema war natürlich die Energiepolitik. Hier hat die deutsche Bundeskanzlerin Angela Merkel den Anfang gemacht. Ich danke auch Tony Blair, dass er in Hampton Court hierzu eigentlich den Startschuss gegeben hat.	One thing that was of course completely new was energy policy, and here the prime mover was the German Chancellor, Angela Merkel, although I also want to thank Tony Blair for having in fact set the whole thing off at Hampton Court.
Natürlich war vor allem der 1. Jänner dieses Jahres ein wirklicher Weckruf, ein Alarmsignal. Die Russen haben am 1. Jänner, während ich mit Angela Merkel im Neujahrskonzert gesessen bin, in der ersten Nacht die Energielieferungen um 30 % gekürzt, in der zweiten Nacht um 50 %.	It was of course the first day of January this year that gave us a real wake-up call and raised the alarm, for it was on 1 January, while I was sitting alongside Angela Merkel at the New Year’s concert, that the Russians cut the energy supply – by 30% in the first night, and by 50% in the second.
Wir haben innerhalb von vier Tagen diese Krise mit der Kommission, mit Kommissar Piebalgs und vielen anderen, entschärfen können, aber die Probleme sind natürlich noch immer da.	We managed – with the help of the Commission, of Commissioner Piebalgs and many others – to defuse the crisis within four days, but the problems have of course not gone away.
Fast alle Produzenten leben in politischen Krisengebieten. Fast alle globalen Konflikte haben irgendetwas mit Energie zu tun.	Almost all the producers are based in political crisis zones; nearly all global conflicts have something to do with energy.
Wir haben stark schwankende Rohstoffpreise. Wir haben eine geringe Diversifizierung.	Raw materials prices are fluctuating wildly; there is but little diversification.
Es besteht in Europa nach wie vor in manchen Bereichen zu manchen Zeiten höchste -Gefahr.	Some of the time, and in some areas, Europe is at high risk of a black-out.
Der Klimawandel mit allen Folgeerscheinungen ist ein Thema für uns. Die Frage der weltweit steigenden Energienachfrage muss beantwortet werden, und wir haben natürlich auch enorme Sicherheitsrisiken, die wir sehen müssen.	Climate change, with all its attendant phenomena, is an issue that we have to face; an answer has to be found to the issue of the worldwide increase in demand for energy, and we must not, of course, lose sight of the enormous security risks.
Das schreit geradezu nach einer neuen gemeinsamen europäischen Kraftanstrengung, und die Kommission hat im Grünbuch erstklassige Vorarbeit geliefert. Der Europäische Rat hat dies aufgegriffen, und wir haben drei Ziele definiert: Versorgungssicherheit, Wettbewerbsfähigkeit unserer Wirtschaft und die Steigerung der Umweltqualität.	The whole situation positively cries out for a new joint effort on the part of Europe, and the Commission has done a first-class job of preparing the ground with its Green Paper, which the Council has taken on board, also defining as its three objectives security of supply, the competitiveness of our own industry and the improvement of environmental quality.
Konkret wurden 20 % Energieeinsparung vereinbart – und das halte ich für sehr wichtig, denn das ist nicht selbstverständlich.	In practical terms, we agreed on a 20% reduction in energy use – something that I do not think goes without saying and is therefore all the more significant.
Das heißt in Wahrheit, dass sich die Union zum Ziel setzt, Wirtschaftswachstum und Energieverbrauch nachhaltig zu entkoppeln.	What that in fact means is that the EU is setting itself the long-term target of decoupling economic growth from energy consumption.
Das halte ich für einen der wichtigsten Beschlüsse bei diesem Rat, und es wird enorme Anstrengungen erfordern, dies auch wirklich umzusetzen.	I regard this as one of the most important decisions that this Council has taken, and one which will demand enormous efforts if it is to be put into effect.
Wir wollen den Anteil der erneuerbaren Energie von heute 7 % auf 15 % anheben. Auch das war sehr umstritten und ist kein automatischer Prozess.	We want to increase the contribution of renewable energy from the present 7% to 15%; that, too, has been a cause of much controversy and is in no way an automatic process.
Da müssen wir national und gemeinsam sehr viel tun. Der Anteil der Biokraftstoffe – heute 2 % – soll auf 8 % angehoben werden.	Both at the national level and together, there is much to be done.
Das geht nur mit Technik, mit Forschung, das umfasst die Fragen der Biokraftstoffe der zweiten Generation, der Umsetzung von CARS 21, der Kooperation mit der Automobilindustrie. Darin liegt eine enorme Wachstumschance, die wir nutzen wollen.	The use of biofuels, which currently stands at 2%, is to be increased to 8%, and that will inevitably demand technology and research; it will involve consideration of second-generation biofuels, the implementation of CARS 21, and cooperation with the motor industry, and brings with it an enormous opportunity for growth, of which we want to make use.
Grenzüberschreitender Stromhandel: Wir haben 10 % Brücken zwischen den Netzen und dem internationalen Stromhandel fixiert, was eine wesentlich geringere Gefahr für unsere Konsumenten bedeutet.	Turning to the cross-border trade in electricity, we aim to achieve a 10% share between networks, which would substantially reduce the risk of a black-out for our consumers.
Vergessen Sie nicht die wirtschaftliche Chance, die bei den Pipelines, bei den Netzwerken, bei den Kraftwerken und in der Netzsicherheit liegt. Darin steckt ein Investitionsvolumen von 800 bis 1 000 Milliarden Euro, meist privates Kapital.	It must not be forgotten that the pipelines, the networks, the power stations and network security offer economic opportunity, with between EUR 800 billion and EUR 1 000 billion invested in them, mainly from private sources.
Wenn wir das durch eine kluge gemeinsame europäische Wirtschaftspolitik nutzen, dann ist das ein gewaltiger Jobmotor und macht uns noch dazu sicherer.	If we make wise use of this by way of a common European economic policy, it will prove to be a powerful generator of jobs and will also make us more secure.
Dazu gehört – und auch diese Diskussion haben wir ehrlich geführt, ohne Streit in der Öffentlichkeit: Es darf in einem relativ kleinen Markt wie Europa keinen Protektionismus geben.	Connected with this – and this is something else we debated frankly, without public disagreement – there is the requirement that there should be no protectionism in a relatively small market like Europe.
Ich weiß, wovon ich rede, ich war selbst sechs Jahre lang Wirtschafts- und damit Energieminister.	Having been Minister for the Economy, and hence also for energy, for six years, I know what I am talking about here.
Die Zeiten sind vorbei, wo jeder alleine auf eigene Faust einen kreieren kann oder glaubt, sich über europäische Regelungen hinwegsetzen zu können.	There may well have been a time when we could all, off our own bat, create national champions or believe ourselves capable of disregarding European regulations, but those days are gone.
Wir brauchen hier eine Öffnung der Märkte, und es wurde auch die Öffnung des Strom- und Gasmarktes bis Mitte 2007 vereinbart.	What is needed is for the markets to be opened up, and it has been agreed that this is what will happen to the electricity and gas market by mid-2007.
Die Instrumente sind da, die Kommission hat sie, und die Kommission soll sie auch ohne weiteres anwenden, denn deswegen ist sie die Hüterin der Verträge, damit sie für die Konsumenten die Versorgungssicherheit gewährleistet.	The instruments to do this exist; the Commission is in possession of them, and so let it go ahead and use them without further ado, for one reason why it is the guardian of the Treaties is in order to guarantee security of supply to our consumers.
Bedeutsam bleibt allerdings der Energiemix; die Wahl des jeweiligen Energiemittels bleibt nationale Verantwortung. Das sage ich auch sehr deutlich.	It has to be said, though, that the energy mix has lost none of its importance, and the decision as to what source of energy to use still has to be taken at national level; that is something I want to make perfectly clear.
Jedes Land muss selbst wissen, ob es Atomkraftwerke haben will oder nicht. Wir Österreicher haben hier unsere ganz klare Position – auch andere, ich weiß das –, und das muss respektiert werden.	Each country must make up its own mind whether or not it wants nuclear power stations; Austria’s position is quite clear on this – and I know that other countries take a different one – and that must be respected.
Dafür garantiere ich, und dafür garantiert natürlich auch das Europäische Parlament.	I guarantee that it will be, and so, of course, does the European Parliament.
Ganz wichtig wird sein, dass wir das nicht nur wirtschaftlich sehen, sondern im Kontext mit der Außenpolitik. Es wurde daher vereinbart, dass die Kommission gemeinsam mit dem Hohen Vertreter, Javier Solana, ein Strategiepapier über die außenpolitische Dimension der Energiepolitik vorlegt.	It is vitally important that we consider this not only in economic terms but also in the foreign policy context, and that is why it was agreed that the Commission, working jointly with the High Representative, Mr Solana, should produce a strategy paper on the foreign policy dimension of energy policy.
Rückblickend wird man diese Diskussion und auch diese Entscheidungen als einen wirklichen Durchbruch zu einer neuen europäischen Energiepolitik sehen.	With hindsight, these discussions and these decisions will be regarded as a breakthrough in terms of a genuine common European energy policy.
Wir werden auch mit Hilfe von Überprüfungen in jedem Semester der kommenden Präsidentschaft dafür sorgen, dass dieses Thema nicht in Vergessenheit gerät.	Reviews to be carried out in every term of the coming presidency will ensure that this issue is not to be lost from sight.
Sehr bedeutsam scheint mir aber auch zu sein – und es war nicht einfach, diesen Konsens zu erreichen, ich musste im Vorfeld sehr viel Zeit dafür investieren und habe mit jedem einzelnen Regierungschef gesprochen –, dass ich alle dazu gebracht habe, den demokratischen und mit großer Mehrheit gefassten Beschluss des Europäischen Parlaments hinsichtlich der Dienstleistungsrichtlinie anzunehmen.	It also, though, strikes me as very significant – and reaching consensus on this was not easy, for I had to spend a lot of time talking with all the Heads of Government in order to prepare the way for it – that I managed to get everyone to accept the decision on the services directive that your House took democratically and by a large majority.
Ich danke auch der Kommission, dass sie bereits heute einen Vorschlag vorgelegt hat, der – soweit ich das bisher gesehen habe – diesem Konsens entspricht.	I am also grateful to the Commission for having, as soon as today, produced a proposal that is – as far as I can see so far – in line with this consensus.
Ich bitte sehr darum, dass wir in einem beschleunigten Verfahren in zweiter Lesung so eng wie nur irgendwie möglich zusammenarbeiten, um rasch zu einer gemeinsamen Beschlussfassung zu kommen.	I really am keen that we should work together as closely as possible in a fast-track procedure at second reading in order to arrive at a joint resolution as quickly as possible.
Ich möchte auch den Sozialpartnern auf europäischer Ebene danken, dass sie hier mitgezogen haben.	I would also like to express my thanks to the social partners at the European level for having played their part in this.
Das war für die Arbeitgeber nicht einfach, aber sie haben sehr konstruktiv mitgearbeitet.	The employers did not find this easy, but they did make a constructive contribution.
Nach diesem Durchbruch – als solchen sehe ich die Dienstleistungsrichtlinie – ersuche ich aber auch um ein ähnliches Engagement in einem zweiten wichtigen Bereich, nämlich der Arbeitszeitrichtlinie.	Following this breakthrough – for that is how I regard the services directive – I would, though, ask for a similarly committed approach to a second important matter, that being the Working Time Directive.
Wir wissen alle, dass es wichtig und gut ist, wenn wir in diesem Bereich weiterkommen. Wir werden aber Fingerspitzengefühl brauchen, um auch nationale Besonderheiten abdecken zu können.	We all know how important it is that we make progress here, and how it will be if we do, but we will need to be sensitive in taking account of national peculiarities.
Für mich ist das ein klassischer Bereich, wo das Subsidiaritätsprinzip zur Anwendung kommen kann.	I regard this as an example of an area where the subsidiarity principle can come into its own.
Es ist besser, einen vernünftigen Kompromiss als gar keine Lösung zu haben.	A sensible compromise is preferable to having no solution at all.
Ich wäre sehr froh, wenn wir auf drei Ebenen – Dienstleistung, Arbeitszeitrichtlinie und Budget – während der österreichischen Präsidentschaft gemeinsam einen wirklichen Fortschritt erzielen könnten.	I would be very happy if we were to be able, during the Austrian Presidency, to achieve together real progress at all three levels – services, the Working Time Directive and the budget.
Damit komme ich zum Budget.	That brings me to the budget.
Es war eine schwierige Geburt, das weiß ich selbst.	I know as well as anyone that bringing it into being has been a problematic business.
Einige von Ihnen schmunzeln, weil Sie natürlich genau wissen, dass drei Präsidentschaften hart an diesem Thema gearbeitet haben – und das ist nicht selbstverständlich – Luxemburg, Großbritannien und jetzt Österreich.	Some of you, of course, may be permitting yourselves smiles of amusement in the knowledge that it has – contrary to what one might presume – demanded hard work on the part of three presidencies: Luxembourg, the UK, and now Austria.
Es geht um ein Siebenjahresbudget, es geht um Rechtssicherheit für die Programme, es geht vor allem bei den neuen Mitgliedstaaten darum, dass sie das umsetzen können, worauf sie hoffen.	This budget is for a period of seven years and is intended to provide not only legal certainty for the programmes but also, and primarily, to enable the new Member States to implement the things for which they hope.
Ich danke wirklich sehr dafür, dass wir – was hier eigentlich alle Redner zum Ausdruck gebracht haben – an das Ganze gedacht haben und nicht an das Einzelinteresse.	I really am appreciative of the way in which – as everyone in this House has in fact pointed out – we have thought in terms of the whole and not of individual interests.
Glauben Sie mir, auch ich habe so manche interne Sicherheitslinie überschreiten müssen, damit wir zu diesem gemeinsamen Konsens kommen.	Believe me, I too have had to intrude on several internal security zones to arrive at this common consensus.
Sie wissen, dass dahinter auch sehr viel Engagement des Verhandlungsteams der österreichischen Präsidentschaft – Finanzminister, Außenministerin und natürlich auch ich selber in Kontakten mit José Manuel Barroso und auch dankenswerterweise mit Josep Borrell – steckt.	As you will be aware, this has also called for a very great deal of dedication on the part of the Austrian Presidency’s negotiating team – our finance minister, our foreign minister and of course myself – in our dealings with Mr Barroso and Mr Borrell, to whom we are very grateful.
Wenn man das jetzt unter Einbeziehung der Europäischen Investitionsbank analysiert, kommt man zu interessanten Ergebnissen.	If one includes the European Investment Bank in the analysis, one comes up with some interesting results.
Da ist eine Milliarde für die Stärkung der Außendimension der Union. Eine klare Stärkung der Gemeinsamen Außen- und Sicherheitspolitik, plus eine Milliarde.	There will be a billion for strengthening the EU’s external aspects, and an extra billion will really stiffen the sinews of the Common Foreign and Security Policy.
Dann kommen 5 Milliarden Euro dazu für die Lissabon-Strategie, zur Hälfte aus dem europäischen Budget und zur anderen Hälfte über die Europäische Investitionsbank,.	You can add to that EUR 5 billion for the Lisbon Strategy, half from the European budget and half from the European Investment Bank, cash.
Der Rest sind dann Kredite: Da geht es hinauf bis 10 Milliarden für die Forschung, 20 für transeuropäische Netze, 30 für die Klein- und Mittelbetriebe – in Summe 60 Milliarden Euro.	The rest are loans, taking the figures up to 10 billion for research, 20 for the trans-European networks, 30 for small and medium-sized businesses – all in all, EUR 60 billion.
Da ist viel in Bewegung gekommen, und ich glaube, dass wir diesen Kompromiss aus ehrlichem Herzen zur Annahme empfehlen können.	There have been some very considerable shifts, and I believe that this is a compromise that we can honestly recommend should be accepted.
Auch ich muss jetzt natürlich zum COREPER und zu den anderen Mitgliedstaaten gehen, aber ich denke schon, dass wir hier etwas erreicht haben, das wir nach außen absolut vertreten können.	I must now also go to COREPER and to the other Member States, but I do think we have already achieved something that really is credible in the eyes of the outside world.
Letzter Punkt: Auch außenpolitisch müssen wir einige Punkte neben dem Krisenmanagement – von der Vogelgrippe bis zum Karikaturenstreit, von der Gaskrise bis zu den großen außenpolitischen Themen – klarstellen; das ist jedoch heute nicht primär ein Thema.	Finally, there is foreign policy, where we have, quite apart from managing such crises as bird flu, the row about the cartoons, the gas crisis and the great foreign policy issues, to clarify a number of points, but that is not the main issue today.
Mir ist nur ein Thema wichtig, weil ich oben Alexander Milinkewitsch gesehen habe und das ja auch beim Europäischen Rat ein Thema war.	There is only one issue I want to mention, because I have seen that Alexander Milinkevich is up in the gallery, and that issue is one that also featured at the European Council.
Die Situation in Weißrussland ist natürlich eine dramatische. Ich möchte das hier auch von mir aus sagen.	The situation in Belarus is, of course, a tragic one; I can tell you right now that that is how I personally see it.
Ich hatte gestern die Ehre und das Vergnügen, mit Alexander Milinkewitsch ein langes, persönliches Gespräch zu führen.	I had, yesterday, the honour and pleasure of a long personal conversation with Mr Milinkevich.
Das ist ein ruhiger, besonnener Mann, und er verdient von uns jede nur denkbare politische, wirtschaftliche und finanzielle Unterstützung, wo immer es notwendig ist, vor allem über die einzelnen Parteienfamilien. Denn die Opposition ist dort ja eine Plattform, gebildet aus den verschiedensten Gruppen.	He is a calm and reasonable man and deserves from us every conceivable political and economic support wherever it is required, especially through the various party families, for the opposition in Belarus is constituted by a platform composed of the most diverse groups.
