Herr Kommissar, ich glaube, Haushaltsprobleme sind es nicht, die Sie bewegen.	Commissioner, I believe that budgetary problems are not the main issue as far as you are concerned.
Herr Kommissar, es gibt einen Änderungsantrag - darauf sind Sie nicht eingegangen -, nämlich im nächsten Jahr zuzulassen, daß die Stillegungsflächen, die mit Kleegras bestellt sind, auch genutzt werden dürfen.	There is one amendment, Commissioner, which you failed to discuss: the amendment that the set-aside areas that are under clover should be permitted to be used next year.
Sie wissen, daß das Europäische Parlament diesen Antrag bereits im vorigen Jahr mit Mehrheit angenommen hat, was ja nicht zwingend dazu führt, daß die Kommission ihm folgen muß, aber es wäre mir doch sehr angenehm, Sie würden sich diesem Problem widmen.	As you know, the European Parliament adopted that amendment by a majority last year, and although that doesn't necessarily mean that the Commission must act on it, I should be most grateful if you would take a look at this problem.
Ich bin auch hier wieder gespannt, wie Ihre Fraktion über unseren jetzigen Antrag abstimmen wird.	Here again, I can hardly wait to see how your group will vote on our present application.
Vielleicht könnten wir davon ja mal unser Abstimmungsverhalten in meiner Fraktion abhängig machen.	Who knows, we in my group may even make our voting decision conditional on yours.
Wenn die Sozialisten anders stimmen, brauchen sie uns, damit wir die Mehrheit in dem Punkt kriegen.	If the socialists vote differently, you need us to secure a majority on this point.
Das wäre vielleicht eine Möglichkeit, zu einem Ausgleich zu kommen.	That might be one way of coming to an arrangement.
Aber insgesamt, Herr Kommissar, denke ich, stehen wir am Vorabend der Reform - das haben Sie deutlich gemacht -, und dann müßten schon die Ansätze deutlich werden.	Overall, though, Commissioner, I believe we are on the eve of reform - as you made clear - and the estimates would then have to be clear.
Ich finde, wir müssen deutlich machen, daß wir von einer Weltmarktorientierung hin zu einer Binnenmarktorientierung wollen.	I believe we must make it clear that we want to move away from a world market orientation towards a single market orientation.
Wir müssen deutlich machen, daß wir nicht für alle Flächen Ausgleichszahlungen gewähren.	We must make it clear that we are not going to grant compensatory payments for all farmland.
Wir müssen deutlich machen, daß wir keine Exportsubventionierung mehr wollen, und wir müssen deutlich machen, daß das, was die flankierenden Maßnahmen waren, zum Schwerpunkt der ländlichen Entwicklung gemacht wird, wo wir natürlich Geld brauchen.	We must make it clear that we want no more export subsidies, and we must make it clear that what were formerly flanking measures are becoming the focal point of agricultural development, where of course we need money.
Das verstehe ich alles, doch darf natürlich kein Kahlschlag in den anderen Bereichen stattfinden, nur damit wir das finanzieren können.	I understand all that, but of course we can't completely axe something somewhere else just so that we can finance it.
