Herr Präsident, meine lieben Kolleginnen und Kollegen!	Mr President, ladies and gentlemen, you have heard the news.
Sämtliche für das Plenum eingereichten Änderungsanträge waren zu prüfen.	All the amendments tabled for the plenary had to be examined.
Wie das zu geschehen hat, ist nirgends erklärt.	How that is supposed to be done is nowhere explained.
So sind wir pragmatisch vorgegangen und haben bei wiedereingebrachten Anträgen das vorherige Votum des Ausschusses vermerkt und über neue Anträge - es waren nur wenige - abgestimmt.	We therefore proceeded pragmatically and noted the Committee's previous vote in the case of motions that were retabled, taking a vote on new motions, of which there were only a few.
Eines ist ganz klar - das Plenum und die Fraktionen sind Herr des Geschehens.	One thing is quite clear - the plenary and the groups are the masters of events.
Unser Ausschuss kann Vorschläge, aber keine Vorgaben machen.	Our committee can make proposals but not set parameters.
Ich meine, diese neue Regel kompliziert das Entlastungsverfahren.	I think this new rule complicates the discharge procedure.
Ohne die angesprochenen Neuerungen hätte ich möglicherweise für eine Verschiebung im Bericht Casaca gestimmt, denn die Fehlleistungen der Kommission hat der Berichterstatter klar und detailliert aufgelistet und auch die übrigen Berichterstatter haben dazu Stellung genommen.	Without the innovations referred to, I might have voted for a postponement in the Casaca report, because the rapporteur has listed the Commission's failings clearly and in detail and the other rapporteurs have also commented on them.
Dies betrifft vor allem das Buchführungs- und Rechnungswesen, wo Personalentscheidungen zweifelhaft waren und wo Reformen zu spät und halbherzig angegangen wurden, trotz wiederholter Mahnungen des Rechnungshofes.	This concerns the book-keeping and accounting system in particular, where staff decisions were dubious and where reforms were tackled too late and half-heartedly despite repeated reminders from the Court of Auditors.
Wenn ich trotz alledem für die Entlastung stimme, so wollte ich es nicht auf das eingangs beschriebene Szenario ankommen lassen.	If I am voting for discharge despite all that, it is because I did not want to risk the scenario I described at the beginning.
Die Kommission soll dies nicht als Freibrief auffassen, sondern ihr follow up auf unsere Forderungen gründlich, rasch und vor allem transparent ausführen.	The Commission must not take this as carte blanche, but it must follow up our demands thoroughly, speedily and above all transparently.
Bis zur nächsten Entlastung, mit der wir im November beginnen, ist nicht viel Zeit.	There is not much time until the next discharge, which we start on in November.
Wir werden bis dahin positive Ergebnisse einfordern, sonst kehren alle Vorwürfe unter strengeren Bedingungen wieder.	We are looking for positive results by then, or all our complaints will be repeated with stricter conditions attached.
Hier sind die Punkte genannt: noch nicht abgeschlossenes EUROSTAT-Verfahren, obwohl Schritte eingeleitet wurden, und die Forderung des Ausschusses, dass hier insgesamt die Optionen für die Darstellung des Rechnungswesens und ihre Reformen von externen Experten geprüft werden.	The points are mentioned here: proceedings in respect of Eurostat are still not completed, although steps have been initiated, and the committee's demand is that all the options for presenting the accounts and their reform should be examined by outside experts.
Darüber ist dann in einer Anhörung zu diskutieren.	They must then be discussed in a hearing.
Ein entsprechender Antrag wird heute noch einmal in erweiterter Form vorgelegt.	A motion to this effect will be presented again today in extended form.
Ich bitte um Zustimmung dazu.	I ask you to vote in favour.
Nochmals meinen Dank an alle, die an dieser großen Arbeit mitgewirkt haben!	Let me thank, once again, all who have been involved in this big piece of work.
