Herr Präsident, Kolleginnen und Kollegen! Ich könnte eigentlich sagen, Johannes hat alles gesagt.	Mr President, ladies and gentlemen, I could actually say that Johannes Swoboda has said it all.
Dies ist zum Teil ein Erbe der kommunistischen Vergangenheit, zum Teil ist es aber auch Tatsache, dass in den letzten Jahren nicht genügend Anstrengungen gemacht wurden, um dieses interethnische Gleichgewicht besser herzustellen.	This is partly a legacy of the communist past, but it is also partly attributable to the fact that in recent years insufficient efforts have been made to enhance this inter-ethnic balance.
In meinen Gesprächen mit dem damaligen Präsidenten Kligorov habe ich immer wieder von ihm gehört, dass er dieses Thema erkennt und dass er Handlungen einklagt.	In my conversations with former President Kligorov he repeatedly told me that he recognised this and was seeking to take action.
Ich muss aber auch sagen, die damalige Regierung hat diesen Appellen nicht unbedingt ausreichend Folge geleistet.	I must also say, however, that the former government did not necessarily pay sufficient heed to these appeals.
Darum ist es umso unverständlicher, dass nach dem guten Handling der Kosovokrise, als das ganze mazedonische Volk, die Slawomazedonier und die Albaner wirklich diese Flüchtlinge aufgenommen haben, in wirklich guter Weise, dass just in diesem Moment, wo die Albaner Schlüsselministerien inne haben, das Gesetz für höhere Schulbildung verabschiedet ist, das Schicksal der Tetovo-Universität mit unserer Hilfe und der Hilfe anderer Staaten mit zusätzlichen finanziellen Mitteln gelöst wird, das akademische Jahr jetzt beginnen kann, dass ausgerechnet jetzt Feuer gelegt wird.	So it is all the more incomprehensible that after the admirable way the Kosovo crisis was handled, when the entire Macedonian people, both Slavic Macedonians and Albanians, genuinely accepted the refugees in a truly commendable way, that just at this moment when Albanians are occupying key ministerial posts, when the law on higher education has been passed, when the fate of the University of Tetovo has been resolved with assistance from us and with the help of other states through additional funding, and the academic year can actually start, that just at this moment an explosive situation should arise.
Das geschieht meines Erachtens weniger aus wirklich politischen und vernünftigen Gründen, sondern eher, um einen ständigen Krisenherd am Leben zu erhalten, wo sich Terroristen betätigen können.	I believe that this is happening not so much for genuine political and rational reasons, but rather to keep a real trouble spot alive so that terrorists can strengthen their hand.
Ich wünsche sehr, dass alle vernünftigen Politiker in Mazedonien angesichts des neuen europäischen Fensters mit diesem Vertrag gemeinsam noch mehr Initiativen für eine funktionierende mazedonische Gesellschaft starten.	I very much hope that all reasonable politicians in Macedonia will, in view of the new European window of opportunity opened up by this agreement, jointly launch yet more initiatives to achieve a functioning Macedonian society.
Ich möchte aber auch an die internationale Gemeinschaft appellieren, an UNMIK, an KFOR, dass sie alles tun, um Mazedonien zu helfen, indem sie im Kosovo eine bessere, eine konsequentere Politik machen, denn dort wird durch Unzufriedenheit immer mehr terroristisches Potenzial frei.	But I would also like to appeal to the international community, to UNMIK and to KFOR, to do everything possible to help Macedonia by pursuing a better and more consistent policy in Kosovo, because the dissatisfaction there is releasing ever more terrorist potential.
Viele Politikbereiche in Mazedonien brauchen noch Hilfe.	There are many areas of policy in Macedonia where assistance is needed.
Wir sollten ihnen helfen im Bereich der Gerichtsbarkeit, bei den Problemen der Korruption, des Menschenhandels, was in der ganzen Region ein großes Problem ist.	We should help them in the field of criminal jurisdiction, with their problems of corruption and also of trafficking in human beings, which is also a major problem throughout the region.
Ich begrüße ganz besonders, dass der Grenzvertrag mit Jugoslawien als erster in der Region geschlossen wurde.	I particularly welcome the fact that the border agreement with Yugoslavia was the first to be concluded in the region.
Ich wünsche mir unter anderen, dass es auch eine Ausbildung von Medienvertretern gibt, die dieser Bezeichnung dann auch würdig sind, damit nicht unnötig Öl ins Feuer gegossen wird.	I would also, amongst other things, like to see media representatives being trained so that they are worthy of that name and do not unnecessarily pour oil on the fire.
Ich wünsche mir sehr, dass die Politiker, die heute hier sind, und ihre Freunde alles tun, dass ihre Jugend zukünftig im Land bleiben kann, denn es ist ihre Zukunft.	I would also like to see the politicians who are here today and their colleagues doing everything in their power to ensure that their youth can in future stay in their country, because it is their future.
Aber sie brauchen Jobs, und sie brauchen eine Perspektive.	But they need jobs and they need prospects.
Deswegen begrüße ich sehr, dass die fünf regionalen Enterprise Promotion Center gegründet wurden. Ich hoffe, sie haben Erfolg.	That is why we very much welcome the fact that the five regional Enterprise Promotion Centres have been set up, and I hope they will be a success.
Das wichtigste aber ist die politische Stabilität, denn nur dann siedeln sich die Betriebe an.	The most important thing, however, is political stability, because only if that exists will companies move there.
Wir als EU können im Rahmen unseres neuen Vertrages mit ihnen die nötige Hilfestellung leisten.	Under our new agreement, it will be possible for the European Union to provide them with the necessary support.
Ich bin sicher, wir werden zusammen mit der Kommission alles daransetzen.	I am sure that in conjunction with the Commission we will do everything to achieve this.
