Frau Präsidentin! Herr Ratspräsident Funke - fast sind wir Namenvettern!	Madam President, Mr Funke, we are almost namesakes!
In denen die Umwelt geschädigt wird?	Where the environment is being damaged?
Solche Wettbewerbsbedingungen lehne ich ab.	I reject conditions of competition of this kind.
Deswegen müssen wir auch 20 %ige Preissenkungen ablehnen.	That is also why we must reject price reductions of 20 %.
Die Preissenkung allein ist kein geeignetes Mittel, um der Landwirtschaft auf Dauer zu helfen, sondern wir brauchen intelligentere Lösungen, wenn wir die Bauern halten wollen.	Price reductions alone are not the right way to help agriculture in the long term; instead, we need more intelligent solutions, if we want to hold on to our farmers.
Wir brauchen also praktisch auch die Förderung der Öl- und Eiweißpflanzen, da bin ich mit Herrn Fantuzzi völlig einverstanden, wir brauchen die Förderung der Energie- und Industriepflanzen.	In practice, therefore, we also need to promote oil plants and protein crops - I fully agree with Mr Fantuzzi there - and we need to promote energy and industrial crops.
Wir haben hier Defizite auf den Märkten, und wir brauchen eine bessere Förderung, damit die Industrie und die Weiterverarbeitungsbetriebe, die wir jetzt gegründet haben, auch zukunftsfähige Produkte bekommen.	There is a shortage of these crops on the markets, and we need better support for them so that industry, and the processing plants we have now set up, can also source these products in the future.
Diese Pflanzen sind eine Bereicherung der ökologischen Vielfalt, wenn wir sie fördern; das hätte gleichzeitig den Vorteil, daß wir nicht nur einseitig Getreide anbauen, Getreide, das wir ohnehin nicht absetzen können.	If we promote these crops, they will enrich ecological diversity, while at the same time this would have the advantage of our not concentrating solely on cereals, cereals which we cannot sell as it is.
Die Agrarerzeugung darf nicht durch ständige Preissenkung zum "billigen Jakob" gemacht werden - das deprimiert die Bauern.	By constantly reducing prices, we should not turn our agricultural producers into whipping boys - it only serves to depress farmers.
Es ist doch für 1, 5 Pfennig Weizen in einem Brötchen, und das Brötchen kostet 70 Pfennig.	After all, there is 1.5 pfennigs' worth of wheat in a bread roll, and a bread roll costs 70 pfennigs.
Wahrscheinlich kostet es nach der Reform 80 Pfennig, obwohl der Kommissar den Weizenpreis um 20 % senkt.	After the reform it will probably cost 80 pfennigs, despite the Commissioner's reducing the price of wheat by 20 %.
Das kann ich niemandem klar machen, Herr Fischler.	I cannot explain that to anyone, Mr Fischler.
Können Sie das?	Can you?
Liefern Sie mir bitte das Rezept, dann gehe ich zu den Leuten und sage, daß das so stimmt.	Please let me have the recipe, and then I can go to the people and say that this is as it should be.
Zwei Drittel der Regierungen der EU werden von Sozialdemokraten regiert, und die sind unfähig, die Vorschläge von Herrn Rehder zu übernehmen.	Two thirds of EU governments are led by Social Democrats, and they are unable to accept Mr Rehder's proposals.
Warum sagen die zwei Drittel, Herr Funke, nicht, Herr Rehder hat recht, diese Agrarpolitik machen wir?	Why then, Mr Funke, are the two thirds not saying: Mr Rehder is right, we will adopt this agricultural policy?
Ich würde von seiner Behauptung, 20 % der Bauern bekommen 80 % der Beihilfen, profitieren, aber ich weiß gar nicht, ob er richtig weiß, wovon er da redet.	I would take advantage of his claim that 20 % of farmers receive 80 % of the aid, but I am not even sure if he really knows what he is talking about.
Das möchte ich in Zukunft ein bißchen besser spezifiziert haben, denn das ist ein Schlagwort, das die Runde macht, das die Landwirtschaft desavouiert ... .	In the future I should like information which is a little more specific, because that is a sound bite which is doing the rounds and which disavows agriculture ...
Zuruf	Heckling
... in vielen anderen Regionen vielleicht auch: Auch in Andalusien - Kollege Colino, habe ich schon solche Betriebe gesehen.	... perhaps in many other regions too: I have also seen holdings of this kind in Andalusia, Mr Colino.
Das regt uns nicht auf, wenn das konkret dargestellt wird, aber es sollte konkret dargestellt werden und nicht als Schlagwort, sonst muß man auch in Niedersachsen untersuchen, ob dort alles gut ist - ganz klar.	It does not irritate us when the information is specific, but it should be specific, and not delivered as a sound bite; otherwise we will also have to investigate in Lower Saxony, to see whether all is well there, that is quite clear.
Schlagworte, Herr Funke, lehnen wir ab - da bin ich Ihrer Meinung -, sondern wir sollten die Dinge richtig beim Namen nennen.	We reject sound bites, Mr Funke - I agree with you there - and instead we should call a spade a spade.
Helfen Sie uns, daß wir aus der Misere herauskommen, dann werde ich Ihnen nachher noch einmal die Hand schütteln, denn wenn einer Funke heißt, ist es immerhin nicht schlecht, nicht wahr?	Help us out of our plight, and afterwards I will shake your hand again, because having the name Funke is not such a bad thing after all, is it?
