Herr Präsident, es ist bereits der zweite Bericht über Malta, den ich vorlegen darf.	Mr President, this is already the second report on Malta which I have had the honour of tabling.
Die Reduzierung des Haushaltsdefizits von 11,8 % des BIP im Jahr 1998 auf 5 % des Bruttoinlandsprodukts in diesem Jahr ist ein positives und signifikantes Ergebnis, ebenso die positive Entwicklung der Wirtschaftsdaten.	The reduction of the budget deficit from 11.8% of GDP in 1998 to 5% this year is a positive and significant result, as are the positive developments in the economic data.
Die Inflationsrate lag trotz der Ölpreisentwicklung im November 2000 bei 2,4 %, und die Arbeitslosenquote verringerte sich nach einem leichten Anstieg im Jahr 1999 auf 5,3 % der erwerbsfähigen Bevölkerung.	Despite oil prices, inflation stood at 2.4% in November 2000 and, after rising slightly in 1999, the unemployment rate fell to 5.3% of those capable of gainful employment.
Allerdings ist dabei zu berücksichtigen, dass dieser positive Prozess durch eine weitere Senkung der strukturellen Ausgaben konsolidiert werden muss.	It should be borne in mind, however, that this positive process needs to be consolidated by a further cut in structural expenditure.
Die positive Entwicklung Maltas auf dem Weg zur EU spiegelt sich auch im Stand der Beitrittsverhandlungen wider.	The favourable progress that Malta has made towards joining the EU is also reflected in the stage that it has reached in the accession negotiations.
Mit 17 Kapiteln liegt Malta an der Spitze der Kandidaten, die erst im Jahr 2000 mit den Verhandlungen beginnen konnten.	With 17 chapters, Malta heads the list of those candidates which were able to open negotiations only in 2000.
Damit zeigt sich, dass Malta die verlorene Zeit der Verhandlungsunterbrechung von 22 Monaten wettgemacht hat und sich daher in einer guten Position befindet, zur ersten Runde der neu beitretenden Staaten zu zählen.	This shows that Malta has made up the time lost through the 22-month suspension of negotiations and is therefore well placed to be in the first round of new Member States.
An der politischen Grundsituation Maltas, nämlich der unterschiedlichen Beurteilung des EU-Beitritts durch Regierung einerseits und Opposition andererseits, hat sich nicht nur nichts geändert, die Polarisierung zwischen Regierung und Labour-Opposition hat sich eher noch verschärft.	As far as Malta's general political situation is concerned, namely the different positions of the government on EU accession on the one hand, and the opposition on the other, not only has nothing changed but the views of the government and the Labour opposition have if anything become more polarised.
Als Berichterstatterin kann ich dies nur mit Bedauern zur Kenntnis nehmen.	As rapporteur, I can only note this with regret.
Das heißt natürlich nicht, dass das Europäische Parlament die Haltung der Labour-Party, die für Malta einen Schweizer Weg einschlagen möchte, ignoriert.	Of course this does not mean that the European Parliament should ignore the position of the Labour Party, which would like Malta to follow in Switzerland's footsteps.
Aber nichtsdestotrotz müssen alle Möglichkeiten ausgeschöpft werden, um die Kontinuität des Beitrittsprozesses Maltas zu gewährleisten und daher einen konstruktiven Dialog mit allen konstitutiven Körperschaften und Gesellschaftsschichten Maltas zu unterstützen.	Nonetheless, we must do all we can to safeguard the continuity of Malta's accession process and therefore to support a constructive dialogue with all its constitutive entities and at every level of its society.
Zu den besonderen Anliegen des Europäischen Parlaments in Bezug auf den Beitrittsprozess Maltas zählen natürlich Fragen der inneren Sicherheit und der Sicherheit im Seeverkehr.	The matters of particular concern to the European Parliament in relation to Malta's accession process, of course, include issues related to internal security and maritime safety.
Was die innere Sicherheit betrifft, hat Malta nun die Weichen für eine wirksame Politik zur Bekämpfung der Korruption und der Geldwäsche gestellt, die es Malta erlauben wird, sowohl dem Strafrechtsübereinkommen des Europarates gegen die Korruption beizutreten als auch das Übereinkommen der OECD über die Bekämpfung der Bestechung ausländischer Amtsträger im internationalen Geschäftsverkehr zu ratifizieren und damit einer kurzfristigen Priorität der Beitrittspartnerschaft Rechnung zu tragen.	As far as internal security is concerned, Malta has now set out an effective policy to combat corruption and money laundering, which will allow Malta both to accede to the Council of Europe's Criminal Law Convention on Corruption and to ratify the OECD Convention on Combating Bribery of Foreign Public Officials in International Business Transactions and thus to respond to a short-term priority of the Accession Partnership.
Auch im Umweltbereich unterstützen wir Maltas Bestrebungen, kurzfristige Prioritäten der Beitrittspartnerschaft für Wasser- und Luftreinhaltung sowie den Abbau der Müllberge zu unterstützen, und zeigen daher auch ausdrückliches Verständnis für Maltas Politik in Bezug auf ein Verbot der Verwendung von Plastikflaschen.	In the environmental field too, we endorse Malta's efforts to support short-term priorities of the Accession Partnership to maintain clean air and water and to stem rising levels of waste, and are thus sympathetic towards Malta's policy to ban the use of plastic bottles.
Als Berichterstatterin habe ich auch Verständnis gezeigt für Maltas spezifische Sorgen in Bezug auf den freien Personenverkehr und seine Ängste vor einem Zustrom ausländischer Arbeitskräfte auf seinen Arbeitsmarkt.	In my capacity as rapporteur I also showed sympathy for Malta's specific concerns about the free movement of persons and its fears of there being an influx of foreign workers onto its labour market.
Die Konzession der Kommission im Hinblick auf den freien Personenverkehr trägt dieser eher psychologisch bedingten Angst Rechnung.	The Commission's concession on the free movement of persons takes account of this rather psychologically conditioned fear.
Malta ist keine Transformationsgesellschaft.	Malta is not a country in transition.
Da hatte es immer wieder darauf hingewiesen, dass es wie die anderen Beitrittskandidaten behandelt werden möchte.	It has repeatedly referred to the fact that it should like to be treated on the same footing as the other accession countries.
Die Bemühungen der Kommission, hier finanzielle Wege zu öffnen, um dieses Manko wettzumachen, sind zu begrüßen.	The Commission's efforts to make sources of funding available here so as to make up for this shortcoming are to be welcomed.
Auf der anderen Seite bedarf es der entsprechenden Vorbereitungen der maltesischen Behörden, um eine dezentrale Verwaltung der struktur- und regionalpolitischen Hilfen zu ermöglichen.	On the other hand, the Maltese authorities need to make the necessary preparations to enable structural and regional aid to be administered on a decentralised basis.
Ich möchte nur kurz auf den Rat eingehen.	I should just like to turn briefly to the Council.
Auch die Position Maltas zum Kapitel Landwirtschaft, hoffe ich, sollte bald auf dem Tisch liegen.	Malta's position on the agricultural chapter should, I hope, also soon be on the table.
(Der Präsident entzieht der Rednerin das Wort.)	(The President cut the speaker off)
