Herr Präsident, verehrte Kollegen!	.
Bei dieser Entwicklung spielen allerdings externe Faktoren wie der Anstieg der Ölpreise eine wichtige Rolle.	External factors, however, such as the increase in oil prices, are playing an important part in this development.
In diesem schwierigen Umfeld leistet die Europäische Zentralbank hervorragende Arbeit.	In this difficult environment, the European Central Bank is doing an excellent job.
Sie muss jedoch weiterhin alles tun, um das in sie gesetzte Vertrauen nicht zu verspielen.	But it must continue to do everything in its power to avoid squandering the reserves of trust that have been vested in it.
Daher begrüßen wir ihre Politik der ruhigen Hand und ermuntern sie, diese Politik fortzusetzen.	That is why we welcome its steady-handed policy, which we encourage it to keep pursuing.
Ob die Zinssenkung der vergangenen Woche allerdings in diesen Rahmen passt, möchte ich an dieser Stelle bezweifeln.	At this point, however, I must cast doubt on the consistency of last week' s interest-rate cut with this approach.
Im Bereich der Haushaltspolitik konnten die Mitgliedstaaten im vergangenen Jahr im Durchschnitt die im Stabilitäts- und Wachstumspakt vorgegebenen ausgeglichenen Haushalte erreichen.	In the domain of budgetary policy, most Member States have managed in the course of the past year to achieve the balanced budget prescribed in the Stability and Growth Pact.
Allerdings geschah dies vor dem Hintergrund der UMTS-Erlöse, der niedrigen Zinsen und der gesteigerten Steuereinnahmen aufgrund des erhöhten Wirtschaftswachstums.	This, however, has been done with the aid of the proceeds from the sale of licences for the operation of universal mobile telecommunications systems (UMTS) as well as low interest rates and the increased tax revenue generated by accelerated economic growth.
Diese günstigen Rahmenbedingungen wurden von einigen Mitgliedstaaten nicht ausreichend zum Abbau des Haushaltsdefizits und des Schuldenstandes genutzt.	Some of the Member States, however, have not capitalised sufficiently on these favourable economic conditions to reduce their public deficits and their national debt.
Angesichts der Altersentwicklung der europäischen Bevölkerung und der zu erwartenden Belastungen der Rentensysteme ist es jedoch entscheidend, ausreichenden finanziellen Spielraum zu schaffen.	In view of the changes in the ageing pattern of the European population and the strain these are likely to put on the pension system, it is crucial that sufficient financial room for manoeuvre be created.
So muss auch das Potenzial für Ausgabenkürzungen in allen Bereichen voll genutzt werden.	Full use must be made, for example, of the potential for spending cuts in every area.
Die Rolle der öffentlichen Investitionen soll dadurch nicht in Frage gestellt werden. Sie müssen jedoch gezielt und auf der Grundlage strategischer Zielsetzungen getätigt werden und dürfen vorrangige private Investitionen nicht verdrängen.	This should not undermine the role of public investment, but such investment must be made judiciously in pursuit of defined strategic aims and must not be made at the expense of priority private investment.
Zum Besinnen auf die eigenen Stärken gehört auch die Fortsetzung der strukturellen Reformen der Kapitalprodukte und der Arbeitsmärkte der Mitgliedstaaten.	Looking to our own strengths also involves continuing the structural reforms of the Member States' capital products and labour markets.
Auf dem Gipfel in Stockholm ist es nicht gelungen, sich auf konkrete Daten zur Liberalisierung der europäischen Elektrizitäts- und Gasmärkte zu einigen.	The Stockholm summit failed to reach agreement on a firm timetable for the liberalisation of the European gas and electricity markets.
Ich bedauere das sehr.	I very much regret that.
Wir sollten jedoch alles daran setzen, die Liberalisierung in den noch ausstehenden Sektoren durchzusetzen.	Nevertheless, we should make every effort to secure the liberalisation of the remaining state monopolies.
Das ist eine wesentliche Voraussetzung dafür, das selbst gesteckte Ziel erreichen zu können, nämlich die Europäische Union bis zum Jahr 2010 zum wettbewerbsfähigsten und dynamischsten Wirtschaftsraum der Welt zu machen.	This is essential if we are to achieve our avowed aim of making the European Union the most competitive and dynamic economic area in the world by the year 2010.
Gleichzeitig muss die Vollendung des Binnenmarktes weiter vorangetrieben werden.	At the same time, it is imperative to push ahead with the completion of the internal market.
Ich will an dieser Stelle nur zwei wichtige Beispiele nennen: Erstens muss endlich Einvernehmen über das Gemeinschaftspatent erzielt werden. Zweitens sollten im Bereich der Verteidigung, soweit dies vertretbar ist, die Gemeinschaftsregeln für die öffentliche Auftragsvergabe angewendet werden.	I need cite only two major examples in this context: firstly, agreement must be reached at long last on the Community patent; secondly, Community rules on public procurement should be applied to defence procurement too, wherever their application is warranted.
Gerade in Zeiten, in denen die Europäische Union Schritte zum Aufbau einer gemeinsamen Verteidigungspolitik unternimmt, ist die Abschottung der nationalen Verteidigungsmärkte ineffizient, anachronistisch und einfach zu teuer.	Particularly at a time when the European Union is taking steps to establish a common defence policy, the ring-fencing of national defence markets is inefficient, anachronistic and quite simply too expensive.
Die Einführung des Euro zum 1. Januar wird alle Bürger betreffen, die im europäischen Heimatmarkt leben.	The introduction of the euro on 1 January will affect the entire population of the European home market.
Wenn wir wollen, dass er sich zum Wohle der Bürger und Bürgerinnen auswirkt, brauchen wir eine Wirtschaftspolitik nach den Prinzipien der sozialen Marktwirtschaft.	If we want it to benefit the people of Europe, we need an economic policy that accords with the principles of social justice and market economics.
(Beifall)	(Applause)
