Wir beraten jetzt über unseren Bericht über die Lage der Schiffbauindustrie der Europäischen Union.	We are now discussing our report on the situation in world shipbuilding.
Auf Antrag der europäischen Schiffbauindustrie wurde dieses Verfahren mittlerweile - wie Herr Kommissar Lamy gestern in einer Besprechung mit südkoreanischen Parlamentariern hier in diesem Haus unterstrichen hat - auch eingeleitet.	At the request of the European shipbuilding industry, this procedure has now been initiated, as Commissioner Lamy emphasised yesterday in talks with South Korean parliamentarians in this House.
Das ist gut so!	And rightly so!
Aber bisher gibt es trotz des Protokolls vom 22. Juni 2000 in den technischen Fragen, in der Anerkennung der Überprüfbarkeit, in der Bereitschaft, auch die Bankleistungen einzubeziehen, keinerlei Bereitschaft der südkoreanischen Regierung, der Werften und der Industrie, hier einen Konsens mit der Europäischen Union zu finden.	But despite the Agreed Minutes of 22 June 2000 on the technical issues, on accounting transparency and banking operations, there has been no sign of willingness on the part of the South Korean Government or of the shipyards and the shipbuilding industry to reach a consensus with the European Union on pricing.
Das in Anbetracht der Tatsache, dass das Handels- und Kooperationsabkommen von 1996 immer noch nicht in allen Mitgliedstaaten ratifiziert ist.	One reason for this is the fact that the 1996 framework agreement on trade and cooperation has still not been ratified by all Member States.
Die Zielvorgabe Januar 2001, die die Kommission hat, kann meiner Meinung nach nur dann verwirklicht werden, wenn Südkorea in den nächsten Monaten endlich bereit ist, kostendeckende Preise zu verlangen und die Preise, ganz schlicht gesagt, anzuheben.	The Commission's target of January 2001 can only be met, in my view, if the Republic of Korea finally demonstrates willingness in the coming weeks to stop selling ships below local cost price; to put it bluntly, it must raise its prices.
Die Entscheidung von Rat und Kommission, für vier Monate zu verhandeln, ohne dass die Beihilfen weitergezahlt werden, und dann ab 1. Mai 2001 auf der Grundlage der dann erzielten Ergebnisse nochmals zu überlegen, ob die Beihilfen eventuell noch einmal verlängert werden können, wird dazu führen, dass die europäische Werftenindustrie in den ersten vier Monaten des Jahres 2001 so gut wie keine Aufträge bekommen wird, zumindest nicht in den heiß umkämpften Bereichen.	The decision taken by the Council and the Commission to negotiate for four months without continuing the payment of aid and then, after 1 May 2001, to reconsider, on the basis of the progress achieved in these negotiations, whether there are grounds for resuming aid payments for a further period will mean that European shipyards will receive virtually no new orders in the first four months of the year 2001, at least not for the shipping categories in which competition is fiercest.
Selbst auf ihrem Spezialgebiet - den Kreuzfahrtschiffen - sind die Südkoreaner in der Lage, Leistungen anzubieten unter dem anerkanntermaßen vorhandenen Weltmarktpreis.	Even in our own area of specialisation - the construction of cruise ships - the South Koreans are able to offer ships below the prevailing international market price.
Deshalb fordern wir in diesem Bericht und in den drei Anträgen, die zusätzlich eingereicht wurden, dass die Kommission ihre Bemühungen, ein internationales Streitschlichtungsverfahren vor der WTO durchzusetzen, verstärkt.	That is why, in this report and the three additional motions on the table, we have called on the Commission to intensify its efforts to ensure that an international dispute-settlement procedure is initiated before the WTO.
Wir fordern aber auch, dass die Beihilfen bis zu einer Frist von zwei Jahren verlängert werden, damit in dieser Zeit durch das Dumpingverhalten der Südkoreaner, unterstützt von der Regierung, nicht eine wichtige Industrie in der Europäischen Union völlig zugrunde geht.	But we are also calling for a two-year extension of aid to shipyards in order to ensure that a major industry in the European Union is not wiped out by state-aided Korean dumping practices.
Wenn man die Beihilfen nicht verlängert - und es sind ja keine Beihilfen der Europäischen Union, sondern es sind Beihilfen der Nationalstaaten, die nur von der Europäischen Union genehmigt werden müssen -, dann müssen wir auch daran erinnern, dass die europäische Industrie Kapazitäten abgebaut hat und dass diese Obergrenzen dann ebenfalls fallen müssen.	If the aid arrangements are not extended - and we are not talking here about EU aid, as you know, but national aid, which the Union need only approve - then we shall have to think about the fact that the European shipbuilding industry has already reduced its capacity and that the present limits will then have to fall still further.
Das sind unsere Kernforderungen in diesem Bericht, und ich danke für die Unterstützung der Kolleginnen und Kollegen in einem einstimmigen Votum.	These are the main demands we make in this report, and I thank my committee colleagues for their unanimous support.
Ich bitte Sie, auch morgen früh, wenn wir darüber abstimmen, um Ihre Unterstützung für diesen Bericht und richte die Aufforderung an die Kommission, die Werftindustrie und die Arbeitnehmer nicht allein zu lassen.	I ask for your support again tomorrow morning when the House votes on the report, and I urge the Commission not to abandon the shipbuilding industry and those who work in it.
Es geht um mindestens 10 000 Arbeitsplätze, mit Schwerpunkt Großbritannien.	At least 10 000 jobs are at stake, with the United Kingdom poised to bear the brunt of the cuts.
