Herr Präsident! Vielen Dank, Herr Santer!	Mr President, Mr President of the Commission, thank you!
Warum sagen Sie nicht, wir haben den Verbraucher- und Gesundheitsschutz vernachlässigt, und wir wollen ihn jetzt berücksichtigen?	Why do not you say that we have neglected consumer and health protection, and now we want to consider it?
Das wäre die korrekte Formulierung, Herr Boden.	That would be the correct formulation, Mr Boden.
Ich sage immer wieder, daß es Sie trifft, stellvertretend für den gesamten Landwirtschaftsrat, weil Sie jetzt Ratspräsident sind, und ich würde das sehr viel lieber zum Beispiel dem deutschen Landwirtschaftsminister oder anderen Landwirtschaftsministern sagen.	I say again that this is said to you as the representative of the whole Agriculture Council, because you are now its President, and I would much rather say it to the German Minister of Agriculture, for instance, or other ministers of agriculture.
Warum habe ich zum Beispiel nach wie vor das Gefühl, daß diejenigen, die in Verantwortung sind, nichts begriffen haben?	For instance, why do I still have the feeling that those with responsibility have understood nothing?
Sie haben gesagt, Herr Boden, die Etikettierung von Rindfleischprodukten ist jetzt ein neuer Beweis, Vertrauen zu schaffen.	Mr Boden, you said that the labelling of beef products is now new grounds for creating trust.
Wenn das so ist, und wenn Sie es wirklich ernst meinen, damit Vertrauen schaffen zu wollen - und ich hoffe, daß Sie es ernst meinen, den anderen Ministern glaube ich es nicht -, wenn das so ist, warum konnten Sie nicht der Änderung der Rechtsgrundlage zustimmen, die das Parlament mit der Kommission zusammen beschlossen hat?	If that is so, and if you really seriously mean to create trust in this way - and I hope you mean it seriously, but I do not believe the other ministers do - if that is so, why could not you agree to the change of the legal basis, which Parliament and the Commission decided on together?
Warum mußten Sie davon abweichen und wieder die weiche Formulierung des Artikels 43 wählen, die Ihnen die meiste Macht bietet, die Ihnen einen Freifahrtschein bietet?	Why did you have to depart from that and again choose the soft formulation of article 43, which gives you the most power, which offers you a free ticket?
Warum war das so, Herr Boden?	Why, Mr Boden?
Sagen Sie es mir doch bitte.	Just tell me.
Sagen Sie mir bitte auch, warum ich nach wie vor das Gefühl habe, daß das Krähensyndrom nach wie vor im Rat herrscht.	Tell me also why I still have the feeling that the crow syndrome rules in the Council.
Eine Krähe hackt der anderen kein Auge aus.	One crow does not peck the other's eyes out.
Sie haben gesagt: Man muß die Menschen und auch die vom Rind lebenden Menschen schützen.	You said that people must be protected, including people who make their living from cattle.
Ich habe viel Verständnis dafür, daß man Bauern schützt, aber ich habe auch viel Verständnis dafür, daß man die große Mehrheit der Menschen in der Europäischen Union schützt, und das sind sehr viel mehr als die Bauern!	I can understand that farmers must be protected, but I can also understand that the vast majority of the people of the European Union must be protected, and they are many more than the farmers!
Das haben sie nicht getan im Landwirtschaftsrat.	You failed to do that in the Agriculture Council.
Warum war es in der Vergangenheit so, daß der Fleischmarkt und die Aufrechterhaltung des Marktes wichtiger waren als Gesundheitsschutz, und warum sollen wir jetzt glauben, daß sich das geändert hat?	Why was it that the meat market and support for the market used to be more important than protection of health, and why should we believe that this has changed?
Können Sie uns das sagen?	Can you tell us?
Warum zum Beispiel haben Sie dem bescheidenen Versuch der Kommission von Herrn Santer, in der Agenda 2000 eine Veränderung der Agrarpreise zu beschließen, und zum Beispiel das Subventionsschema zu ändern, warum haben Sie dem nicht jubelnd zugestimmt?	For instance, when Mr Santer's Commission made a modest attempt in Agenda 2000 to decide on a change to agricultural prices, and to change the subsidy scheme, for instance, why did not you agree and rejoice about it?
Warum habe ich von jedem Agrarminister Meckerei und Nörgelei und große Ängste gehört?	Why have I heard bleating and moaning and great fear from every minister for agriculture?
Wir alle wissen, daß das Grundübel dessen, was wir im Moment erleben, BSE und vieles andere, auch Kriminalität, in diesem Subventionsschema liegt.	We all know that the basic evil of what we are now experiencing, BSE and much more, including crime, lies in this subsidy scheme.
Warum ist es nicht von Ihnen gekommen, daß Sie gesagt haben: Wir müssen einen harten Schnitt machen und jetzt alles ändern; wir als Landwirtschaftsminister zeigen, daß wir etwas begriffen haben.	Why did not it come from you, why did not you say: we must make a clean break and change everything, we as ministers of agriculture will show that we have understood something.
Herr Boden, es tut mir leid, daß ich das so scharf sagen muß.	Mr Boden, I am sorry that I must say that so sharply.
Die Kommission hat bestimmt einiges begriffen.	The Commission certainly has understood something.
Wieviel sie begriffen hat, werden wir in der nächsten Zeit sehen.	How much it has understood we shall soon see.
Ich habe nicht das Gefühl, daß der Agrarrat irgend etwas begriffen hat und daß die Landwirtschaftsminister mit Ihrer Ausnahme irgend etwas begriffen haben, und die sollten wir noch sehr viel aufmerksamer verfolgen!	I do not think the Agriculture Council has understood anything, or that the ministers of agriculture, except yourself, have understood anything, and we should monitor them all the more closely!
