Herr Präsident, vielleicht brauche ich meine sieben Minuten Redezeit nicht.	Mr President, perhaps I will not need my whole seven minutes of speaking time.
Aber diejenigen Binnenhäfen, die nur Massengüter umschlagen, sollten sich mindestens mit 500 000 Tonnen Fracht ausweisen.	But those inland ports that only tranship bulk freight should have an annual traffic volume of at least 500 000 tonnes of freight.
Dieses Kriterium führen wir als Verkehrsausschuß in den Bericht zusätzlich ein.	The Transport Committee is adding that criterion to the report.
Zwei Punkte möchte ich noch gerne ansprechen.	There are two other points I would like to address.
Die Kommission möchte ja auch die freeways der Eisenbahnen in die TEN aufgenommen wissen.	The Commission also wants to include rail freight freeways in the TENs.
Nun hat das Parlament die Kommission und auch Sie persönlich in Sachen freeways ja immer unterstützt, Herr Kommissar.	Parliament has always supported the Commission and you personally, Commissioner, on the matter of freeways.
Wir halten das für eine notwendige Sache, damit wir mehr Fracht von der Straße auf die Schiene bringen.	We think this is necessary in order to move more freight from the roads to the railways.
Diese Unterstützung bleibt auch.	And we continue to support you.
Allerdings sind die freeways von ihrer Konstruktion her eine Dienstleistungsveranstaltung und keine Infrastruktur.	However, by virtue of their construction, the freeways are a service installation and not an infrastructure.
Deswegen finden der Ausschuß und ich, daß sie von der Systematik her - nicht von der Sache her, von der Sache her sind wir völlig einig - nicht in die TEN gehören, weil sie eben keine Infrastruktur darstellen.	That is why both I and the committee believe that in terms of the system - not of the principle, where we entirely agree - they do not belong in the TENs, simply because they are not an infrastructure.
Dann haben wir noch das berühmte Projekt Nr.8 der 14 doch so wichtigen Projekte des Gipfels von Essen.	Then there is the famous project No 8 of the 14 very important projects endorsed by the Essen summit.
Mein Gott, tausendmal geprüft, diese Projekte, auf ihre Baureife hin abgecheckt!	For God's sake, these projects have been examined a thousand times as to whether they can go ahead!
Die Christophersen-Gruppe hat sich Mühe gemacht, und dann soll es doch wieder anders sein!	The Christophersen Group went to great trouble, and now everything is to be changed again!
Für den Rat ist das mit Sicherheit kein Ruhmesblatt.	This is certainly not a glorious chapter in the annals of the Council.
Aber ich denke, wir sollten als Parlament mit der Kommission zusammen den Mantel der Nächstenliebe darüber decken und ja sagen, aber mit einer Präzisierung, denn genaugenommen ist das Projekt Nr.8 ein Projekt, das aus mehreren Einzelprojekten besteht.	But I believe Parliament and the Commission should both forgive and forget here and say yes, while specifying one thing, namely that to be precise project No 8 is a project consisting of several individual projects.
Das sollten wir auch morgen so beschließen.	And that is the basis on which we should decide tomorrow.
Mir bleibt nur noch, einen Dank an die Kollegen im Ausschuß für die Zusammenarbeit zu richten, ein Dank auch an die Dienste der Kommission, mit denen wir ebenfalls kooperiert haben, und letztlich eine Aufforderung an den Rat, mit einem gemeinsamen Standpunkt vor Ende der Legislaturperiode endlich zu Potte zu kommen, wie man bei uns zu Hause sagt, damit wir dann im Herbst auch weitermachen können.	All that remains is for me to thank my colleagues in the committee for their cooperation, to also thank the Commission departments with whom we also cooperated, and finally to call on the Council to finally get round to producing a common position before the end of the legislative term, so that we can get on with this in the autumn.
Allerletzter Punkt: Die Kommission überlegt ja bei der Revision der Netze grundsätzlich, gegebenenfalls ein Weißbuch dazu auf den Tisch zu packen.	Finally, on principle the Commission is considering possibly presenting a white paper on the basis of its review of the networks.
Wir halten das für falsch.	We think that is wrong.
Artikel 21 der Leitlinie sagt, die Revision soll mit Vorschlägen durch die Kommission bedacht werden, und es soll eben nicht sozusagen ein grundsätzlich neues Nachdenken mit einem Weißbuch beginnen.	Article 21 of the decision provides that the review shall be followed by Commission proposals, which means we should not rethink the whole matter again in the form of a white paper.
Von daher erwarten wir von der Revision, wenn sie denn kommt, gute, neue, überarbeitete Vorschläge, aber nicht, daß sozusagen alles wieder bei Null anfängt.	That is why we expect the review, when it finally appears, to put forward new, revised proposals, but not, so to speak, to start from scratch again.
Dazu haben wir eigentlich zu lange an den Netzen gearbeitet.	We have worked on the networks too long for this to happen.
Deswegen ist es sinnvoll, daß jetzt der vervollständigende Vorschlag auf dem Tisch liegt.	That is why it is useful to have the completed proposal on the table now.
Ich kann dem Kommissar nur Glück wünschen bei der Erarbeitung und hoffen, daß wir in dieser Wahlperiode noch zu einem gemeinsamen Standpunkt kommen.	I can only wish the Commissioner luck in his work and hope that we will manage to achieve a common position during this electoral term.
