Hohes Parlament, Herr Präsident!	.
Sie haben zum ersten Mal am Europäischen Gipfel im Frühjahr teilnehmen können. Das war, glaube ich, insgesamt eine sehr geglückte Zusammenarbeit.	We spent a great deal of time behind the scenes with the two sides of European business and industry, who had been able, for the first time ever, to take part in the Spring European Summit, and I do believe that our cooperation with them was highly successful.
Das dritte Thema war der bessere Schutz der europäischen Bürger im Ausland und die effizientere konsularische Zusammenarbeit.	The third topic was the improvement of protection for European citizens when abroad and how to make consular cooperation more efficient.
Wir haben jetzt eine viel bessere Koordination der Konsularstellen vor Ort sicherstellen können. Teams, die etwa in ein Krisengebiet entsandt werden, und der Einsatz von Transportmitteln im Katastrophenfall werden viel besser koordiniert.	We have now been able to ensure a vast improvement in the coordination of consular offices on the ground, of any teams sent into a crisis zone, and of the deployment of transport when disasters strike.
Der Bericht von Michel Barnier, der Anfang Mai an Kommissionspräsident Barroso und mich übergeben wurde, ist die Basis eines Präsidentschaftsdokuments geworden, mit dem wir ein sehr präzises Aufgabenprogramm für die kommenden acht Präsidentschaften vereinbart haben.	The report by Michel Barnier, which was delivered to me and to Mr Barroso at the beginning of May, has become the basis of a Presidency document that has enabled us to agree on a very precise programme of tasks for the next eight presidencies.
Wir haben zusätzlich wesentlich verbesserte Arbeiten an einem gemeinsamen Visazentrum und die Implementierung von Pilotprojekten in den Transitregionen Ukraine, Weißrussland und Moldawien anzubieten – durch diese Projekte soll den Asylsuchenden in ihren Heimatländern bereits möglichst effektiv Schutz geboten werden.	We have also made substantially better progress in our endeavours to set up a single visa centre and implement pilot projects in the transit regions of Ukraine, Belarus and Moldova that are intended to offer the most effective possible protection to asylum-seekers in their own countries.
Der Schengen-Raum könnte, sobald die Voraussetzungen erfüllt sind, bis Ende 2007/Anfang 2008 um die neuen Mitgliedstaaten erweitert werden.	Provided that conditions are fulfilled, it should be possible to add the new Member States to the Schengen area by the end of 2007 or early 2008.
Wir haben von der Kommission das Modell einer Richtungsdebatte abgeschaut, und beim ersten Mal auf dem Frühjahrsgipfel betraf sie das Thema Energie. Jetzt war es bei diesem Gipfel – beim Abendessen – bei einer freien Diskussion das Thema Integration und Migration.	We had cribbed from the Commission the idea of a debate about the direction in which we should be going; the first, at the Spring Summit, had to do with energy, and over dinner at this one we had a free discussion of the issues of integration and migration, at which – although it was Mr Barroso and I who got the debate going, the star was the Spanish Prime Minister, Mr Zapatero, who gave a very interesting presentation on the current problems.
Dabei haben Kommissionspräsident Barroso und ich einbegleitet, aber vor allem hat der spanische Ministerpräsident José Luis Zapatero eine sehr interessante Präsentation der aktuellen Probleme gegeben.	I find this sort of free discussion on a new subject unbelievably exciting.
Ich finde diese freie Diskussion über ein neues Thema unerhört spannend. Das ist eines der bedeutendsten Probleme unserer Zeit, für die Bürger in den betroffenen Staaten jedenfalls, und ich möchte auch der Kommission danken, die ja vor Ort sehr viel hilft.	This is one of the most important problems of our time, at any rate for the public in the states concerned, and I would also like to thank the Commission for all the considerable help it gives on the ground.
Wir haben jetzt in Kooperation der Mitgliedstaaten mit der Kommission eine Überwachung der Küste Westafrikas sichergestellt. Dort gibt es derzeit einige Zentren, wo jeweils bis zu 50 000 Menschen – es sind mehrere Zentren – darauf warten, bis die See ruhig ist, um mit geeigneten Booten, die alle mit GPS und mit Proviant für eine fünftägige Fahrt ausgerüstet sind, zu den Kanarischen Inseln vorzustoßen.	Now, working together with the Member States and with the Commission, we have put in place arrangements for the monitoring of the West African coast, where, at present, at a number of locations, crowds of up to 50 000 people – in many places – wait until the sea is calm and then, in suitable vessels, each equipped with GPS and laden with enough food for a five-day journey, set out for the Canary Islands.
Das ist ein dringendes Thema, vor dem wir die Augen nicht verschließen dürfen.	This is an urgent matter, and one to which we cannot close our eyes.
Es war hochinteressant, diese freie Debatte zum ersten Mal zu hören, und ich halte es hier auch mit Professor Weidenfeld, der in einem Interview in diesen Tagen gesagt hat: „Europa ist in Wahrheit der verletzbarste Kontinent überhaupt, sei es durch Wellen von Menschen, die in unsere Länder hineindrängen, die hineinwollen, sei es aber auch durch Sicherheitsprobleme“.	It was highly interesting to hear this free debate for the first time, and I agree with Professor Weidenfeld, who has said this in a recent interview: ‘The truth is that Europe is the most vulnerable continent of all, not only by reason of the waves of people who force their way into our countries or want to get in, but also of security problems.’
Vergessen Sie nicht, dass wir gerade in den letzten Wochen einige dramatische Entdeckungen gemacht haben, die im Kampf gegen den Terror durchaus als positiv zu werten sind, aber auch die Verwundbarkeit Europas zeigen.	It should not be forgotten that we have, over recent weeks, made a number of dramatic discoveries that can certainly be counted as helping us in the fight against terrorism, although they also show how vulnerable Europe is.
Vom Rat wurde das Europäische Technologieinstitut bekräftigt. Hier wird die Kommission noch in diesem Jahr einen Vorschlag machen.	The Council reaffirmed the importance of the European Institute for Technology, concerning which the Commission will be submitting a proposal before the end of this year, and the Institute will then be operational by 2009 at the latest.
Spätestens 2009 soll dann mit dem Betrieb begonnen werden. Wir haben die Eurozone erweitert, was ein ganz wichtiges Signal ist, dass diese Zone offen für alle neuen Mitgliedstaaten ist und dass es sich dabei nicht um eine Art Festung, einen handelt.	Our enlargement of the eurozone sends a vitally important message to the effect that the zone is open to all new Member States and that it is not some sort of fortress or ‘closed shop’.
Slowenien wird beitreten, und damit steht auch der Weg für alle anderen Reformstaaten offen.	Slovenia will be joining it, and so the same course is open to all states that have carried out reforms.
Allerdings sage ich hier auch offen – wir haben eine sehr intensive Debatte über die Kriterien gehabt, und das ist jetzt meine persönliche Meinung oder die Mehrheitsmeinung –, wir dürfen nicht an den Kriterien rütteln.	I want to say quite frankly, though, that we must not interfere with the criteria. That is my personal view or the opinion of a majority based on the very serious debate we had about the criteria.
Ich sage das auch offen hier vor dem Europäischen Parlament: Da steht die Glaubwürdigkeit eines der wichtigsten Projekte der europäischen Integration auf dem Spiel.	I also want to be quite frank in telling your House that, if we do, the credibility of one of the most important projects in European integrations is in jeopardy.
Wir haben die Energiepolitik begonnen.	We have made a start on the energy policy.
Ein Aktionsplan für den Frühjahrsgipfel 2007 wird vorbereitet, der die Versorgungssicherheit für die Konsumenten sicherstellen, aber auch im Umweltbereich durch Energiesparen und erneuerbare Energien sehr viel bewegen soll.	An action plan for the 2007 Spring Summit is in preparation, and is intended to ensure security of supply for the consumer, while also having a considerable effect on the environment through the saving of energy and the use of renewables.
Ein Thema war mir persönlich besonders wichtig, und ich danke für die Bereitschaft der Mitgliedstaaten und auch der Kommission, hier einen neuen Ansatz zu wählen.	I am grateful to the Member States and the Commission for their willingness to go for a new approach to one subject that was of particular personal importance to me.
Ich habe mich dafür eingesetzt, seltene Krankheiten, die vor allem Kinder betreffen, mit einem besonderen Aktionsprogramm anzusprechen. Das sind etwa die Schmetterlingskrankheit oder MPS oder andere seltene Krankheiten, die furchtbare Schmerzen, meist sogar den Tod innerhalb weniger Jahre bedeuten.	I pressed for a special action programme to deal with rare diseases, particularly those afflicting children, such as, for example, systemic lupus erythematodes, MPS or other rare diseases, which result in terrible pain and in most cases death within a matter of a few years.
Die Patientenzahl in allen europäischen Ländern ist so klein, dass wir national kein schlagkräftiges Hilfsprogramm entwickeln können.	There are so few patients spread across all the European countries that no effective programmes to help them can be developed on a national basis.
Die Kommission wird das jetzt koordinieren, und das 7. Rahmenprogramm wird einen wirkungsvollen Einsatz und einen Mehrwert für unsere Bürger bringen.	The Commission will now play a coordinating role, and the Seventh Framework Programme will develop effective interventions that will bring real added value for the public.
Ich glaube, dass das wirklich ein wichtiges Thema, vor allem für eine sehr intensiv betroffene Gruppe, ist.	I see this as a really important thing to do, particularly since the persons concerned are so seriously affected.
Wir haben im Bereich der Jugendarbeitslosigkeit beim Frühjahrsgipfel einige wichtige Entwicklungen auf den Weg gebracht: Weiterbildungs- und Ausbildungsmöglichkeiten, Beschäftigungsmöglichkeiten innerhalb von sechs Monaten für jeden jungen Menschen, bis 2010 sogar innerhalb von vier Monaten.	The Spring Summit set in motion a number of important developments in the field of youth unemployment, with opportunities for training and further education, the possibility of every young person finding employment within six months, or, by 2010, within four months.
Die Nachhaltigkeitsstrategie, ein ganz neues überarbeitetes und nunmehr umfassendes Instrument ist auf diesem Europäischen Rat zum Beschluss erhoben worden.	This European Council also saw the sustainability strategy, a completely revised and comprehensive instrument, embodied in a resolution.
Diese Umweltverträglichkeitsstrategie ist ein ganz wesentliches Element des europäischen Lebensmodells und wird daher von uns nachhaltig bejaht.	This environmental compatibility strategy is a quite essential element in the European model for living and is therefore something that we will affirm in the long term.
Nun zum Europa der Bürger und zur Verfassungsdebatte selber.	Let me now turn to the subject of the citizens’ Europe and the constitutional debate itself.
Ein Jahr nach den negativen Referenden in den Niederlanden und Frankreich war es unsere Aufgabe, eine Bewertung vorzunehmen.	One year on from the adverse referendums in the Netherlands and France, it was our task to evaluate them.
Zunächst einmal müssen wir die Reflexionsphase, die ja meistens als Reflexionspause – mehr Pause als Reflexion – belächelt wurde, zu Ende gehen lassen.	First, though, we have to allow the period of reflection, which has generally been ridiculed as a pause for reflection, with more pause than reflection, to be completed.
Das war zwar eine notwendige Phase, weil sie immerhin ausgelotet hat, wie wir weitergehen, aber es ist nicht genug!	That period may have been necessary – for it allowed us to take soundings to gauge how we may proceed – but it is not enough.
Reflexion ist nicht genug.	Reflection is not enough; what we need is action.
Wir brauchen Aktion, wir brauchen auch einen ganz klaren Zeitplan, wie wir weitergehen.	We also need a very clear timetable for how we move on from here.
Wir wissen auch, dass wir neue Elemente in dem Vertragstext brauchen.	We also know that new elements need to be incorporated in the text of the Treaty.
Es wird schwer vorstellbar sein, dass über den Vertrag, so wie er ist, noch einmal abgestimmt wird. Daher muss es neue Elemente geben, die aber nicht die Substanz dieses Verfassungsvertrags berühren dürfen.	It is difficult to imagine another vote on the Treaty as it stands, and that is why it needs new elements, although they must not touch upon its substance.
Meine Damen und Herren! Die deutsche Präsidentschaft wird daher während des ersten Halbjahrs 2007 – der Termin ist bewusst offen gelassen worden – einen Bericht über den Stand der Diskussion und mögliche weitere Entwicklungen vorlegen.	I can tell your House that the German Presidency will therefore, during the first six months of 2007 – the deadline has been deliberately left open – present a report on the state that discussions have reached and on the possible further developments.
Das neue Element – dies sage ich in meiner persönlichen Verantwortung – kann entweder ein Name, eine Interpretation, ein Annex oder eine methodische Frage sein.	The new element – and this I say on my own personal responsibility – can be either a name, an interpretation, an annex or a matter of method.
Das wird zu diskutieren sein. Die Substanz, glaube ich, muss jedoch unberührt bleiben.	That will need to be discussed, but I do believe that the substance must remain unchanged.
Der Bericht des deutschen Vorsitzes wird Grundlage der weiteren Entscheidungen sein, und es ist auch hier ein Zeitplan fixiert worden, so dass spätestens mit Beginn der französischen Präsidentschaft diese Phase zu Ende kommen muss. Je früher, desto besser.	Further decisions will be taken on the basis of the report by the German Presidency, and a timetable has been set for them, so that this stage must come to an end by the beginning of the French Presidency at the latest – the earlier the better.
Es kann auch vorher sein, aber es muss doch spätestens im zweiten Semester sein.	It may even be earlier than that, but it must be in the second six months at the latest.
Zur Erweiterung haben wir in diesem Halbjahr einiges klarstellen und auch weiterführen können.	During this past six months, we have been able to clarify a number of matters concerning enlargement and also to take it further.
Wir haben in diesem Halbjahr einerseits – das wurde jetzt auch bei den Schlussfolgerungen bekräftigt – das Zieldatum für Bulgarien und Rumänien mit dem 1. Jänner 2007 bekräftigt.	Over this period, we have – as the Council Conclusions reiterate – underlined the accession date of 1 January 2007 for Bulgaria and Romania.
Wir haben die Beitrittsperspektiven in einer eigenen informellen Außenministertagung für die Balkanstaaten, und zwar für alle Balkanstaaten, festgelegt und bekräftigt. Wir haben die Verhandlungen mit Kroatien und mit der Türkei begonnen.	At an informal meeting specifically for foreign ministers from the Balkans, we have laid down and underlined the prospects for their accession and for that of all the Balkan states.
Wir haben Mazedonien als Kandidat bestätigt. Wir haben das Stabilisierungs- und Assoziierungsabkommen mit Albanien unterzeichnet.	We have made a start on negotiations with Croatia and Turkey, confirmed Macedonia’s status as a candidate, and signed the stabilisation and association agreement with Albania.
Wir haben Montenegro in seiner Unabhängigkeit nach einem gelungenen Referendum anerkannt, und wir überlegen jetzt mit den Serben gemeinsam einen speziellen Aktionsplan, wie wir das etwa im Fall Kroatien gemacht haben, damit wir auch dem serbischen Volk eine Perspektive in einer für dieses Volk sehr schwierigen Zeit anbieten können.	Following the success of the referendum in Montenegro, we have recognised that country’s independence, and we are now, together with the Serbs, giving consideration to a special plan of action, similar to that for Croatia, which will enable us to offer the Serbian people a perspective at a time of great difficulty for them.
Die Kommission haben wir gebeten, auf diesem Europäischen Rat auch die Frage der Aufnahmefähigkeit, die eine ganz wichtige Bedingung für die Aufnahme weiterer Mitglieder ist – ich zitiere die Schlussfolgerungen vom Oktober 2005 anlässlich der Eröffnung der Verhandlungen mit der Türkei und Kroatien –, zu definieren.	We asked the Commission to define, at this European Council, what is meant by ‘absorption capacity’, and I am quoting the conclusions of the October 2005 Council with regard to the commencement of negotiations with Turkey and Croatia when I describe that as a vitally important condition for the accession of new Member States.
Das darf nicht nur eine allgemeine rhetorische Floskel sein, sondern muss mit Leben, und zwar mit überprüfbaren Kriterien, erfüllt werden.	That must not be allowed to become a mere rhetorical phrase, but must be a living concept, and one backed up by verifiable criteria.
Dieser spezielle Bericht soll gleichzeitig mit dem jährlichen Fortschrittsbericht zur Erweiterung im Herbst dieses Jahres vorgelegt werden.	The intention is that this special report should be presented this autumn, simultaneously with the annual progress report on enlargement.
Das dritte Thema war die effizientere, offenere und einfachere Union.	The third topic was how to simplify the Union and make it more efficient and more open.
Wir haben einiges Neuland betreten mit der Debatte um die Zukunft Europas, mit der Veranstaltung , mit der Subsidiaritätskonferenz „Europa fängt zu Hause an“, mit der Aufwertung des Europatages, mit der Diskussion mit jungen Menschen, mit Künstlern, mit Meinungsbildern im Café de l’Europe. Wir haben sehr viele Veranstaltungen mit dem Europäischen Parlament und mit den nationalen Parlamenten durchgeführt.	The debate on the future of Europe, the ‘Sound of Europe’, the ‘Europe begins at home’ subsidiarity conference, the upgrading of Europe Day, and the discussions with young people, artists and opinion formers in the Café de l’Europe, saw us, to some degree, breaking new ground.
Wir haben vor allem auch ein sehr wichtiges informelles Außenministertreffen in Klosterneuburg abgehalten. Die Ergebnisse präsentiere ich Ihnen ganz kurz.	Together with the European Parliament and with the national parliaments, we have staged a very large number of events, and, most importantly, hosted a major informal meeting of foreign ministers in Klosterneuburg, the results of which I can inform you about in brief.
Stichwort weitere Verbesserung der Arbeitsmethoden und der Komitologie. Wir haben uns sehr dafür eingesetzt – wie ich das am Anfang auch versprochen habe –, die Transparenz, die Öffentlichkeit der Entscheidungen im Rat dann, wenn wir als Gesetzgeber im Mitentscheidungsverfahren auftreten, durchzusetzen, und das ist uns auch gelungen.	In order to further improve working methods and comitology, we worked very hard – as I, at the outset, promised that we would – to get the Council, when acting as legislator in the codecision procedure, to take its decision openly and in public, and actually succeeded in this.
Es war schwierig – und ich gebe auch offen zu, dass einige Mitgliedstaaten hier große Zurückhaltung gezeigt haben –, aber wir haben einen ganz entscheidenden Schritt nach vorne gemacht, der ja auch vom Europäischen Parlament immer verlangt wurde.	It was difficult – and I will be quite honest in admitting that certain Member States were very hesitant about it – but we did accomplish a quite crucial forward movement, and one that your House has consistently demanded.
Eine starke Rolle des Europäischen Parlaments ist auch im Komitologieverfahren vorgesehen. Das versteht zwar in den praktischen Auswirkungen kein Mensch, aber ich weiß, dass es Ihnen sehr wichtig war.	It is also envisaged that the European Parliament will have a major part to play in the comitology procedure, and, while the practical implications of that are understood by nobody, I do know that this was something to which you attached great importance.
Staatssekretär Hans Winkler, der hinter mir sitzt, hat wirklich Stunde um Stunde zugebracht, um hier einen gemeinsamen Weg zu finden. Ich möchte ihm für diese Bemühungen sehr danken.	Mr Winkler, our Secretary of State, who is sitting behind me, spent veritable hours on end in finding a way in which we could move forward together on this, and I am most warmly appreciative of his efforts.
Er war ja mehr im Europäischen Parlament als in Österreich.	He spent more time in the European Parliament than in Austria.
Er hat vor allem sichergestellt, dass das Parlament in der Mitentscheidung bei den Verfahren mit dem Rat gleichgestellt wird.	Most of all, he ensured that your House will have an equal say with the Council in decisions reached under this procedure.
Diese Vorschriften müssen natürlich jetzt auch konkret angewendet werden.	What is now needed, of course, is for these provisions to be given practical effect.
Bei der Subsidiarität haben wir sichergestellt, dass die nationalen Parlamente stärker einbezogen werden.	As regards subsidiarity, we have ensured that the national parliaments are more involved.
In der , also weniger Vorschriften, haben wir sichergestellt – auch wiederum eine Initiative der Kommission und einiger Mitgliedstaaten –, dass wir auf dem Frühjahrsgipfel 2007 die weitere Vorgehensweise beraten und uns hoffentlich auf ein Einsparziel von 25 % Reduktion des Verwaltungsaufwands einigen können.	As regards better – which means less – regulation, we have, in what was another initiative on the part of the Commission and of certain Member States – ensured that we will discuss how we move forward at the 2007 Spring Summit, when it is to be hoped that we will be able to agree on a saving target amounting to a reduction of 25% in administrative expenditure.
Vorschläge kommen natürlich von der Kommission.	It is of course the Commission that will submit proposals for this.
Abschließend möchte ich auf einige wichtige Beiträge zur europäischen Innenpolitik eingehen.	As I draw to the close of my remarks, I would like to say something about a number of important contributions to European internal policy.
Das Entscheidende für die Bürger ist natürlich immer die Frage, wie es mit den Arbeitsplätzen weitergeht. Was mich persönlich froh macht – und dafür ist natürlich nicht der Rat verantwortlich, das sind primär konjunkturelle Abläufe und auch die Ergebnisse der Politik der Mitgliedstaaten –, ist, dass wir im Juni 2006 verglichen mit Juni 2005 über 2 Millionen Arbeitsplätze in Europa mehr haben.	What always matters most to the public, of course, is what the effect is on the creation of jobs, and what I, personally, am happy about – and this is not, of course, something for which the Council can claim credit, but primarily the result of economic trends and also of the Member States’ policies – is that, in June 2006, there are over 2 million more jobs in Europe than there were in June 2005.
Das ist ein gutes vorzeigbares Ergebnis im Rahmen der neuen Lissabon-Strategie.	That is a good result for the new Lisbon Strategy, and one we can show to the world.
Und es beweist, dass unsere Ambition, bis 2010 10 Millionen zusätzliche Arbeitsplätze zu schaffen, realistisch ist, wenn das Umfeld stimmt und wenn wir unsere Hausaufgaben richtig machen.	It also demonstrates that our ambition of creating 10 million more jobs by 2010 is a realistic one if the conditions are right and if we do our homework properly.
Es war mir sehr wichtig, dass wir die , die politische Verantwortung, stärken und dass wir die jeweiligen Minister verantwortlich machen, die für den Binnenmarkt, für diese Umsetzung der Lissabon-Strategie zuständig sind.	It was very important to me that we should reinforce national ownership and political responsibility and that we should hold to account the ministers within whose remit the internal market and the implementation of the Lisbon Strategy fall.
Ich habe allen Mitgliedstaaten Briefe geschrieben und persönlich mit ihren Vertretern geredet.	I have written to all the Member States and talked with their representatives in person.
Ich freue mich, dass wir sechs Mitgliedstaaten neu begrüßen dürfen, die den Minister für den Binnenmarkt jetzt zum Koordinator gemacht haben, wie es übrigens auch bei unserem Wirtschafts- und Arbeitsminister Martin Bartenstein der Fall ist. Damit sind wir schon fünfzehn.	I am glad that we are able to congratulate six more Member States who have appointed as coordinators their ministers for the internal market, one of whom, I might add, is Mr Bangemann, our own Minister for the Economy and Labour, which brings our number up to fifteen.
Die anderen zehn werden hoffentlich noch kommen.	It is to be hoped that the other ten will join us.
Ich bitte auch das Parlament, daheim ein bisschen Werbung für diese zu machen.	I would also ask your House to do a bit of advertising for national ownership back home.
Wichtig war natürlich das Forschungsprogramm. Hier stehen jetzt mit 54 Milliarden Euro immerhin ca. 60 % mehr Forschungsmittel zur Verfügung.	Something else that was important was, of course, the research programme; now that the figure has reached EUR 54 billion, there is something like 60% more available in research funding.
Die Klein- und Mittelbetriebe werden gestärkt, der europäische Führerschein ist durchgesetzt, die europäische Wegekostenrichtlinie ist in diesem Halbjahr beschlossen worden wie auch die transeuropäischen Netze.	Small and medium-sized businesses have been strengthened; the European driving licence is up and running; the European infrastructure costs directive has been adopted in these past six months, as have the trans-European networks.
Nächste Woche wird der erste Spatenstich für den Probetunnel des Brennerbasistunnels getan – am letzten Tag der österreichischen Präsidentschaft. Das ist das wohl wichtigste und größte Infrastrukturbauwerk, das Europa je geplant und auch mitfinanziert hat.	Next week – on the last day of the Austrian Presidency – the first ground will be broken for the test tunnel for the Brenner Base Tunnel, which is probably the largest and most important infrastructure project to have been planned – and also co-funded – by Europe.
Auch für den öffentlichen Nahverkehr, oder , haben wir in der österreichischen Präsidentschaft eine sehr gute konsensuale Lösung vorlegen können.	Public local transport, public services and services of general interest are another area where we in the Austrian Presidency have been able to produce a very good consensual solution.
In den Drittstaatenbeziehungen gab es natürlich den Gipfel mit Japan, mit Russland, und heute Abend und morgen vor allem mit den Amerikanern. Ich kann in der Diskussion dann sicherlich noch darauf eingehen.	In terms of relations with third states, there has of course been the summit meeting with Japan, another one with Russia, and tonight and tomorrow, of course, one with the Americans, about which I am sure I will be able to say something more in the course of debate.
Vor einem Jahr – das müssen wir zugeben – gab es eine ganz ordentliche Tristesse. Das Budget war gescheitert, die Verfassung lag nach zwei negativen Referenden auf Eis, wir hatten den Bombenterror in der Londoner U-Bahn und den Bussen.	It has to be conceded that, a year ago, there was sadness in the air, and with good reason; the budget had failed, the Constitution was on ice following two failed referendums, and terrorists had detonated bombs on London’s buses and underground railway.
Die Dienstleistungsrichtlinie war ein Albtraum, vor allem für die Gewerkschaften und für die Klein- und Mittelbetriebe, und wir hatten tiefe Risse zwischen den Mitgliedstaaten, zwischen den Mitgliedstaten und den Institutionen und vor allem zwischen den Bürgern und Europa.	The services directive was proving nightmarish, especially for the trade unions and for small and medium-sized businesses, and there were deep chasms between the Member States and one another, between them and the institutions, and – most of all – between the citizens and Europe.
Heute ist bei weitem nicht alles gelöst – das will ich gar nicht behaupten. Aber ich sage doch: Wir haben jetzt für die nächsten sieben Jahre finanzielle Sicherheit.	I certainly do not wish to claim that all these things have been resolved – far from it – but I do want to say that we are now financially secure for the next seven years.
Die Dienstleistungsrichtlinie scheint sich zur allgemeinen Zufriedenheit aufgelöst zu haben.	The services directive seems to have sorted itself out to everyone’s satisfaction.
Fünf weitere Mitgliedstaaten haben den Verfassungsvertrag seit einem Jahr ratifiziert, ein weiterer Mitgliedstaat wird im Herbst ratifizieren, und zwei weitere Mitgliedstaaten haben auf diesem Europäischen Rat erklärt, dass sie einen solchen Schritt überlegen. Und kein Mitgliedstaat hat die Substanz in Frage gestellt.	In the course of the year, five more Member States have ratified the constitutional treaty and another is due to do so in the autumn, while two others have told this European Council that they are giving consideration to this course of action, and none of them have questioned its substance.
Ich möchte Ihnen daher ein großes Dankeschön für dieses Team Europa in diesem Halbjahr aussprechen. Zunächst dem Europäischen Parlament – wir haben hier immerhin über sechzig Auftritte österreichischer Regierungsmitglieder gehabt, und wie mir von unseren Statistikern gesagt wurde, war das die höchste Präsenz aller Präsidentschaften überhaupt.	I would like, then, to say a big ‘thank you’ for what Team Europe has done over the past six months, firstly to the European Parliament, where members of the Austrian Government have put in an appearance on over sixty occasions, and our statisticians tell me that this amounts to the highest turnout of all presidencies bar none, but I would like most especially to thank your President, Mr Borrell, for his cooperation, his friendship and for the suggestions he has constantly been making.
Ich möchte aber ganz besonders Präsident Borrell für seine Kooperation, seine Freundschaft und seine Anregungen, die er immer wieder eingebracht hat, danken.	I would like to thank the group chairmen for the many discussions we have had, whether in the groups themselves, here in your House or in the committees.
Ich möchte mich bei den Fraktionsvorsitzenden für viele Diskussionen bedanken, die wir in den Fraktionen und auch hier im Parlament und in den Ausschüssen geführt haben. Mein Respekt gilt der Kommission und meine Freundschaft und mein Dank José Manuel Barroso, auch dem für die Außenpolitik verantwortlichen Generalsekretär, Javier Solana, dem Ratssekretariat und letztlich auch meinem eigenen Team.	I would like to assure the Commission of my respect and my friend Mr Barroso of my gratitude, with the same also to Mr Solana, the General Secretary with responsibility for external policy, to the Council Secretariat and, last of all, to my own team.
Ich sage Ihnen ganz offen: Es war uns eine wirkliche Freude und Ehre, sechs Monate den Vorsitz Europas zu führen und mit Ihnen zusammenzuarbeiten.	I can say to you quite honestly that it has been for us a real joy and honour to hold the presidency of Europe for six months and to work together with you.
Sie brauchen keine Angst zu haben, die kommenden Präsidentschaften haben natürlich noch immer genug zu tun.	You have no cause for fear, for the forthcoming presidencies have, of course, enough to do already.
Die Ode an die Freude, die wir als Hymne haben, ist ja keine Ode an die Tristesse. Daher sollten wir mit dieser österreichischen Präsidentschaft einfach sagen: Adieu Tristesse!	After all, our anthem is the Ode to Joy, not an ode to sadness, so, as this Austrian Presidency draws to a close, we should simply say: Let us bring a bit more joy into the work we do.
