Vizepräsident der Kommission.	Vice-President of the Commission.
Ein weiterer wesentlicher Punkt dieser Richtlinie ist, dass Neufahrzeuge eine ganze Reihe von Richtlinien zur technischen Harmonisierung im Bereich der Sicherheit erfüllen müssen.	A further essential point in this directive is that new vehicles will have to comply with a whole series of directives on technical harmonisation in the field of vehicle safety.
Gerade in einer Zeit, in der die Nutzfahrzeuge keinen guten Ruf in der Öffentlichkeit haben, wird dies ganz entscheidend zur Straßenverkehrssicherheit in der gesamten Europäischen Union beitragen.	Precisely at a time when commercial vehicles do not enjoy a good reputation amongst the public, this will make a decisive contribution to improving road safety across the European Union.
Natürlich wurden die kleinen und mittleren Unternehmen nicht vergessen.	Obviously, small and medium-sized enterprises have not been forgotten.
Auch sie erhalten leichteren Zugang zum Binnenmarkt.	They too will have easier access to the internal market.
Den Herstellern von Fahrzeugen mit besonderer Zweckbestimmung oder von Kleinserien bzw. den Aufbauherstellern, die meist im Auftrag von Transportunternehmen arbeiten, kommen nun vereinfachte Verfahren zugute, die sie ohne großen Papierkrieg abwickeln können.	Manufacturers of special purpose vehicles or small series vehicles and body-builders, who usually work on behalf of haulage companies, will benefit from simplified procedures, which will not involve too much red tape.
Ich teile genau das, was Herr Harbour über das Anliegen jener Betriebe gesagt hat, die Fahrzeuge behindertengerecht umbauen.	I fully agree with Mr Harbour's point about those companies that modify vehicles to meet the needs of disabled users.
Es war sehr wichtig, dass wir dieses Problem gemeinsam lösen konnten.	It was very important to find a way to resolve this problem together.
Ich freue mich, dass die Empfehlungen der auf meine Initiative hin eingerichteten Hochrangigen Gruppe CARS 21 in diesen Richtlinienvorschlag unverändert eingeflossen sind.	I am delighted that the recommendations made by the CARS 21 high level group, that was set up on my initiative, have been incorporated unchanged into this proposal for a directive.
CARS 21 hat es uns ermöglicht, den gesetzgeberischen Rahmen festzulegen, in dem wir uns künftig bei der technischen Reglementierung bewegen werden.	CARS 21 has enabled us to define the legislative framework within which we will move when designing future technical regulations.
Hier ist noch ein wichtiger Punkt zu erwähnen: Internationale Regelungen erlangen immer mehr Bedeutung, und zwar handelt es sich hier um Regelungen, die laufend im Rahmen der Wirtschaftskommission der Vereinten Nationen für Europa erarbeitet werden.	There is one further important point to be mentioned here: international regulations are becoming increasingly significant, in this case regulations that are currently being drafted by the United Nations Economic Commission for Europe.
Dazu gehört auch, dass wir in vielerlei Hinsicht veraltetes Gemeinschaftsrecht abschaffen und den Herstellern ermöglichen, zur Erlangung einer Typgenehmigung selbst Prüfergebnisse vorzulegen.	An additional factor is that in various respects we are abolishing out-dated Community law and are allowing manufacturers to submit their own test results to obtain a type approval.
Zum Spannungsverhältnis zwischen der Sprachenregelung der Gemeinschaft und dem direkten Bezug auf internationale Standards und Regelungen möchte ich sagen, dass die Kommission dem Änderungsantrag 25 zustimmt, da sie der Auffassung ist, dass in diesem speziellen Industriesektor eine direkte und zeitnahe Bezugnahme auf solche Standards die Wettbewerbsfähigkeit des Sektors deutlich verbessern kann.	On the tension between the Community's rules on languages and the direct reference to international standards and regulations, I should like to say that the Commission accepts Amendment 25 because it believes that in this particular industrial sector a direct and up-to-date reference to such standards may significantly enhance its competitiveness.
Das gilt sowohl auf globaler Ebene wie auch innerhalb der EU.	This applies both at global level and within the EU.
Die Automobilbranche ist weltweit tätig.	The automotive sector is a global business.
Sie braucht daher internationale Standards mehr und dringender als manche andere Branche.	It therefore has a greater and more urgent need for international standards than some other sectors.
Die Kommission unterstützt die Änderungsanträge für eine Einigung in zweiter Lesung und ist der Überzeugung, dass dieser Vorschlag in ausgewogener Weise den Interessen von Industrie, Transportunternehmen und Verbrauchern sowie den Erfordernissen der Mitgliedstaaten gerecht wird.	The Commission supports the amendments to enable an agreement at second reading and is convinced that this proposal constitutes a balanced response to the interests of industry, haulage companies and consumers as well as the needs of the Member States.
