Herr Präsident, meine sehr verehrten Damen und Herren!	Commission.
Wenn Sie sich die Länder Mittel- und Osteuropas anschauen mit diesem enormen Reformtempo, das sie vorgelegt haben, und den enormen Erfolgen, dann haben sie das ja nur deshalb getan, weil sie die Perspektive der Mitgliedschaft sehen.	If you look at the countries of Eastern and Central Europe and the tremendous pace of reform they have embarked upon and the enormous success they have had, this has only come about because they had membership in their sights.
Die Frage, die sich uns jetzt stellt, ist: Können wir dasselbe mit der Türkei erreichen?	The question we must now answer is: can we achieve the same with Turkey?
In Helsinki haben wir gesagt: Ja, wir sollten es versuchen.	In Helsinki we said, yes, we should give it a go.
Wir sind jetzt an einem Punkt angekommen, wo die in Helsinki beschlossene Strategie operationell wird, wo wir sie also tatsächlich umsetzen können.	We are now at a stage where the strategy adopted in Helsinki has become operational and we can therefore actually implement it.
Es macht also wenig Sinn, heute schon darüber zu reden, ob die in Helsinki beschlossene Strategie die Realitäten in der Türkei verändert hat oder nicht.	So there is little point in talking today about whether the strategy adopted in Helsinki has changed what is happening on the ground in Turkey or not.
Sie hat es nicht!	It simply has not.
Ich würde niemals behaupten, sie habe sie verändert, aber die Instrumente dieser Strategie sind ja noch gar nicht da.	I would never say it has changed it, but the instruments of this strategy are just not in place.
Deshalb darf man auch nicht behaupten, sie habe keine Ergebnisse gehabt.	That is why one cannot say either that it has not had any results.
Mit dem, was heute hier erörtert wird und worüber Sie dann abstimmen werden, schaffen Sie die Voraussetzung dafür, dass das zentrale Element dieser Strategie in Kraft treten kann, nämlich die Beitrittspartnerschaft.	With what is being discussed here today and what you will subsequently adopt, you are paving the way for the entry into force of the central element of this strategy, namely the accession partnership.
Die Beitrittspartnerschaft formuliert unsere Erwartungen an die Türkei.	The Accession Partnership sets out our expectations of Turkey.
Dort steht drin, was die Türkei tun muss, damit wir zu dem Ergebnis kommen können, dass sie die politischen und die anderen Beitrittskriterien erfüllt.	It lays down what Turkey must do so that we can achieve the result that Turkey fulfils the political and other accession criteria.
Sobald dieses Dokument formell verabschiedet ist - es ist ja formell noch nicht verabschiedet, da die Meinung des Parlaments noch aussteht -, erwarten wir unmittelbar danach die Antwort der Türkei.	Once this document has been formally adopted - indeed it has not yet been adopted as we are waiting upon Parliament to express its opinion - we can expect an immediate answer from Turkey.
Dieses Dokument wird das wichtigste sein in den europäisch-türkischen Beziehungen, vielleicht der letzten Jahrzehnte.	This document will be the most important document in the history of Euro-Turkish relations over the past few decades.
Was ich bisher darüber weiß, bringt mich dazu zu sagen, dass wir möglicherweise ganz unmittelbar vor der weitreichendsten politischen Reform in der Geschichte der modernen Türkei stehen.	What I have learned so far leads me to the belief that we are quite possibly on the brink of the most far-reaching political reform in the history of modern Turkey.
Damit ist nicht gesagt, dass wir heute schon wissen können, ob alles, was uns die Türkei in ihrer Antwort sagen wird, voll dem entspricht, was wir von ihr erwarten.	That is not to say that today we can discover whether everything that Turkey says to us in its reply will be fully in line with our expectations.
Insofern hat Herr Swoboda vollkommen Recht, wenn er sagt, der Ball ist jetzt im Feld der Türkei.	In this respect, Mr Swoboda is quite right when he says that the ball is now in Turkey' s court.
Es liegt jetzt wirklich an ihr, mit welchen Schritten, mit welchem Tempo und mit welcher Qualität sie sich an die Arbeit macht, die Voraussetzungen für die Aufnahme von Verhandlungen über die Mitgliedschaft in der Europäischen Union zu erfüllen.	It is really now up to Turkey what steps it takes, what rhythm it adopts and what qualitative efforts it puts into fulfilling the conditions for taking up negotiations on its membership of the European Union.
Daher unterstreiche ich, was hier von mehreren Rednern gesagt worden ist.	That is why I underline what a number of speakers have already said.
Die Türkei ist ein wichtiges Land.	Turkey is an important country.
Die Türkei ist strategisch sogar besonders wichtig.	Turkey is of particular strategic importance.
Aber das bedeutet nicht, dass die Europäische Union wegen der strategischen Wichtigkeit der Türkei ihren inneren Charakter verändern kann.	But that does not mean that, because of Turkey' s strategic importance, the European Union can change its inner character.
Das kann und wird sie nicht tun!	That can and must not happen.
Es ist vollkommen richtig, dass die Türkei der EU beitreten will, nicht die Europäische Union der Türkei, und dass deshalb die Beitrittsbedingungen gelten, die wir für alle aufgestellt haben, und sie gelten unverändert und uneingeschränkt auch für die Türkei.	It is only right and proper that Turkey wants to join the European Union and not the other way round and that, for that very reason, the accession conditions we have drawn up for all are equally and fully valid for Turkey.
Die Türkei wird erst dann Mitglied werden können, wenn diese Beitrittsbedingungen genau und präzise erfüllt sind.	Turkey will not become a member until it has fulfilled these accession conditions to the letter.
Ich weiß nicht, und niemand weiß es, ob die Strategie, die wir in Helsinki beschlossen haben und die vom Parlament unterstützt wird, die gewünschten Wirkungen zeigen wird.	Neither I nor anybody else knows whether the strategy we adopted in Helsinki, which is fully supported by Parliament, will have the desired effects.
Aber wir sind zum ersten Mal an dem Punkt angekommen, wo die Türkei uns ein verbindliches Programm vorlegen und sagen muss, was sie tun wird, um die Verhältnisse zu verändern.	But we have for the first time reached the stage where Turkey must present us with a binding programme and must tell us what it intends to do to change conditions in Turkey.
Sie wird uns die Gelegenheit geben, auf dieses Programm Einfluss zu nehmen, weil es ein gemeinsam vereinbartes Programm ist, weil wir es mitfinanzieren, weil wir die Möglichkeit haben, es mit zu beeinflussen und zu überwachen.	It will give us the opportunity to bring influence to bear on this programme, because it is a jointly agreed programme, because it is jointly financed by us and because we have the opportunity to influence it and monitor it.
Deshalb glaube ich, dass wir wirklich einen erheblichen Schritt weiter gekommen sind.	That is why I believe that we have made enormous strides.
Was jetzt die finanzielle und die haushaltsrechtliche Seite angeht, sind hier Fragen gestellt worden, die ich gern beantworten will.	As far as the financial and budgetary aspect is concerned, questions have been raised, which I will be pleased to answer.
Zunächst haben alle diejenigen vollkommen Recht, die sagen, es wäre an sich logisch, die Vorbeitrittsmittel für die Türkei, Malta und Zypern ebenfalls in die Haushaltslinie 7 einzusetzen, weil es sich eindeutig um Vorbeitrittshilfen handelt.	Firstly, all those who say that it would be logical to channel pre-accession aid for Turkey, Malta and Cyprus through the relevant Heading 7 of the Financial Perspective are quite right, as we are clearly dealing with pre-accession aid.
Das möchte die Kommission auch.	The Commission would like this to happen too.
Ich muss aber deutlich sagen, das ändert zunächst einmal nichts an den Mitteln, die zur Verfügung stehen, denn wir würden schlicht und einfach die entsprechende Haushaltslinie 4 reduzieren und 7 erhöhen. Für Malta, Zypern und die Türkei ist das nicht besonders toll, denn die wollen natürlich mehr Geld.	But I must make it clear that this would not alter in any way the amount of money that was available. It would simply mean reducing the relevant Heading 4 and increasing Heading 7, which would not be of much benefit to Malta, Cyprus and Turkey, who naturally want more money.
Sie wollen nicht, dass wir die Haushaltslinie verändern, sondern mehr Geld.	They do not want us to change the Heading, but more money.
Das haben wir aber nicht, weil die Programme ja in der Finanziellen Vorausschau, die in Berlin beschlossen wurde, festgeschrieben sind.	But we do not have more money because the programmes in the Financial Perspective which was adopted in Berlin have been established. Nor are there any budgetary reserves.
Es gibt auch keine Haushaltsreste hier - ein Mitglied des Hauses hat die Frage gestellt - nein, wir haben in den Vorbeitrittsinstrumenten keinerlei Haushaltsreste.	A Member of this House asked this question. No, we do not have any budgetary reserves in the pre-accession instruments.
Die fließen vollständig ab.	They have all been paid out.
Nur das Instrument SAPARD fließt mit etwas Verspätung ab.	Only SAPARD was paid out rather late.
Das liegt an der Regulierung für dieses Instrument, aber die für das Jahr 2000 programmierten Mittel werden im Laufe des Jahres 2001 in vollem Umfang abfließen.	That was because of the regulation for this instrument, but the funds that have been planned for 2000 will be fully paid out during the course of 2001.
Aber wir haben dort keine Haushaltsreste.	But we do not have any budgetary reserves there.
Wir könnten also den Wunsch - auch des Berichterstatters, der von vielen hier geteilt wurde -, Vorbeitrittshilfen für die Türkei, Malta und Zypern zu erhöhen, um die Instrumente ISPA und SAPARD zugänglich zu machen, nur dadurch befriedigen, dass wir zusätzliche Haushaltsmittel bereitstellen - Geld, das die Kommission jedenfalls nicht hat.	We could only satisfy the desire, which was expressed by Mr Swoboda and is shared by many of you here, to increase pre-accession aid to Turkey, Malta and Cyprus in order to make the ISPA and SAPARD instruments accessible, by making available more budgetary resources, money which the Commission, at any rate, does not have. This must be discussed with the Council.
Darüber muss mit dem Rat gesprochen werden; die Notwendigkeit kann sich durchaus ergeben, aber ich könnte im Augenblick dem Antrag nicht zustimmen, weil ich Ihnen ehrlicherweise sagen muss, die Kommission könnte einen solchen Beschluss nicht umsetzen, weil sie das Geld nicht hat.	The need may well be there, but I could not, at the moment, accede to the request. I feel bound to say in all honesty that the Commission would not be able to implement such a resolution because it simply does not have the money.
Frau Stenzel hat völlig zu Recht darauf hingewiesen, dass es natürlich einen Unterschied gibt zwischen den Kandidatenländern in Ost- und Mitteleuropa und der Türkei, Malta und Zypern, weil sich die Kandidatenländer in Ost- und Mitteleuropa nicht nur an den acquis anpassen müssen, sondern sich auch der Aufgabe der Systemtransformation stellen müssen.	Mrs Stenzel was quite right to point out that naturally there is a difference between the candidate countries of Eastern and Central Europe, and Turkey, Malta and Cyprus. The candidate countries of Eastern and Central Europe not only have to adapt to the acquis, they also have to transform their entire economy.
Das ist in der Tat die politische Begründung für die Situation, die wir haben.	That is, in fact, the political basis for the situation we have today.
Lassen Sie mich zum Abschluss sagen, dass wir nach meiner Einschätzung im Jahr 2000 in der Türkei etwas in Bewegung gebracht haben.	May I say finally that, in my estimation, in the year 2000 we set something in motion in Turkey.
Sie als Politikerinnen und Politiker wissen genauso wie ich, dass der Beginn einer politischen Bewegung zunächst einmal nicht in realen Veränderungen messbar ist, sei es in Gefängnissen, sei es in den Nichtregierungsorganisationen, sei es in Schulen oder wo auch immer, sondern der Beginn einer politischen Bewegung zuerst einmal messbar wird in der Art und Weise, wie eine Gesellschaft diskutiert, was sie diskutiert und welche langfristigen Ziele sie sich setzt.	We, as politicians, know that the start of a political movement cannot be measured initially in real changes, be it in terms of prisons, NGOs, schools or whatever. No, the start of a political movement can only be measured in the way a society talks about the issues, what issues it talks about and what long-term objectives it sets itself.
Hier können wir in der Türkei sehr deutlich eine massive Bewegung innerhalb des Jahres 2000 erkennen.	In this connection we can very clearly discern in Turkey a massive movement in the year 2000.
Nach meiner Meinung ist es die richtige Antwort der Europäischen Union, eine solche politische Bewegung zu unterstützen und jetzt die Instrumente bereitzustellen, die wir brauchen, damit konkrete Resultate dann auch in der Praxis sichtbar werden.	In my opinion, the correct response for the European Union is to support such a political movement and to make the instruments available which we need to bring about tangible concrete results.
Lassen Sie mich als Letztes sagen: Wir werden die Erfolge unserer Heranführungsstrategie gegenüber der Türkei nicht daran messen, was versprochen wird; wir werden sie also nicht daran messen, was in Leitartikeln türkischer Zeitungen geschrieben wird, sondern wir werden die Erfolge dieser Strategie daran messen, was sich konkret für die Menschen in der Türkei verändert, deren Lage unter den jetzigen Umständen bedauernswert, beklagenswert, auf jeden Fall veränderungsbedürftig ist.	I would like to say one last thing. We will not be able to measure the success of our pre-accession strategy towards Turkey by the promises made, i.e. we will not be able to measure it in terms of the editorial content of Turkish newspapers. But we will be able to measure the success of this strategy in what changes in concrete terms for the Turkish people, whose situations under current conditions are deplorable and in need of radical change.
Sie werden gemessen werden an den realen Veränderungen der Strukturen und an den realen Veränderungen der Lebensverhältnisse der Menschen.	It will be measured in real structural changes and in real changes to people' s living conditions.
Wenn wir diese Veränderungen sehen, ist die Zeit gekommen, über den nächsten Schritt zu reden, aber nicht heute.	When we see these changes, the time will have come to talk about the next step, but not today.
Ich freue mich, heute in diesem Parlament eine so breite Übereinstimmung in dieser Frage gefunden zu haben.	I am pleased to have discovered such a broad consensus regarding this matter in this Parliament.
Ich glaube, dass es uns sehr hilft, wenn die Türkei merkt, dass der Rat, das Parlament und die Kommission in dieser Frage eine - im Grundsätzlichen jedenfalls - ganz feste gemeinsame Haltung haben.	I believe that it will help us a great deal if Turkey realises that the Council, Parliament and the Commission have, on this matter, adopted a firm common stance - at least in terms of the basic issues.
Die Festigkeit in dieser Frage wird uns helfen, unsere Ziele zu erreichen.	Our steadfastness in this matter will help us to reach our goals.
