Herr Präsident! Herr Liikanen!	- Mr President, Mr Liikanen, please listen to the case I am about to make.
Hierauf kann es nur eine Antwort geben: Ein klares Bekenntnis für die europäischen Werften.	There can only be one answer to this: a clear declaration of our belief in European shipyards.
Jeder, der sich intensiv mit dem Schiffbau befaßt, weiß, daß es sich um Hochtechnologie handelt und daß man heute wieder von einer absoluten Zukunftsbranche spricht.	Anyone who has been closely involved with shipbuilding knows that what we are dealing with here today is high technology, a branch of industry which is very much part of the future.
Darauf kann und darf Europa nicht verzichten.	Europe cannot, and must not, give it up.
Es gibt jedoch auch Kritiker.	There are also critics, however.
Erstens: Einige halten den Schiffbau nach wie vor für eine antiquierte Schwerindustrie, deren künstlicher Erhalt in Europa viel zu teuer sei, doch jeder Blick in eine und jeder Besuch bei einer der hochproduktiven und leistungsstarken europäischen Werften beweisen das Gegenteil.	Firstly, there are those who consider shipbuilding to still be an antiquated heavy industry, whose artificial preservation in Europe would come at too high a price, although a glance at, or visit to, one of the highly productive and efficient European shipyards tells a different story.
Ich kann hier gerne entsprechende Besuche vermitteln. Ich sage Ihnen, es lohnt sich.	I would be very pleased to arrange visits along these lines because I can tell you that it would be worth it.
Zweitens: Teilweise wird der Schiffbau zwar als Hightechindustrie eingeordnet, dann wird allerdings eine Dramatisierung der Lage seitens der Schiffbauer unterstellt.	Secondly, shipbuilding is sometimes classified as a hi-tech industry, but then it is implied that shipbuilders are over-dramatising their situation somewhat.
Sie würden sich nur finanzielle Vorteile vom Staat und von der EU erhoffen. Das soll es ja in anderen Bereichen geben.	It is said that they are just after financial benefits at a national and EU level, as happens in other branches of industry.
Drittens: Wer kriegt das Geld?	Thirdly, Who gets the money?
Der Reeder oder die Werften?	The shipowners or the shipyards?
Das Werftenbild hat sich insgesamt dramatisch verändert.	The image of the shipyard has, on the whole, changed dramatically.
Die Zahl der Arbeitsplätze in ohnehin schwachen Küstenregionen oder monopolistischen Hafenstädten hat sich durch den Strukturwandel drastisch reduziert.	The number of people employed in coastal regions or monopolistic ports that are already depressed has declined dramatically as a result of structural change.
Neue Technologien, Arbeitsfelder, Managementbereiche im besonderen und neue Aufgaben haben die nostalgische Kontiki oder das Kriegsschiff überholt.	New technologies, fields of work and areas of management in particular as well as new tasks have overtaken the nostalgic Kon-Tiki and the warship.
Verkehrsprojekte wie road to sea zur Entlastung der herkömmlichen Straßennetze brauchen Schiffe aller Art, wie just in time feeder und moderne Containerschiffe, schnelle Fähren und Highspeed-Jachten, Vielzweckschiffe für die Fischerei und eine Küstenwache, Tourismustraumschiffe von klein bis groß usw.	Road to sea transport projects to relieve the traditional road networks require all types of ship, including just in time feeders and modern container ships, rapid ferry-boats and high-speed yachts, multi-purpose ships for the fishing industry and the coast guard service, large and small cruise ships and so on.
Das maritime Know-how Europas in traditionellen Rollen und neuen Marktsegmenten ist eine verläßliche, nachhaltige und natürliche Ressource und deswegen ein europäischer Mehrwert.	Europe' s maritime know-how in traditional roles and new market segments is a reliable, sustainable and natural resource and thus constitutes an added value for Europe.
Gerade Europas mittelständische Werften haben hier einen enormen Ideenreichtum entwickelt, aber Forschung und Entwicklung, nicht nur die Produktion und die Akquisition erfordern Geld, und hier setzen Beihilfen ein.	Europe' s medium-sized shipyards, in particular, have developed a high level of inventiveness in this field, but research and development, not just production and acquisition require money, and this is where aid comes in.
Wer mich kennt, weiß, daß ich zornig gegen Subventionen aller Art kämpfe, denn Wettbewerbsverzerrungen folgen ihnen in aller Regel auf dem Fuße.	Anyone who knows me knows that I fight furiously against subsidies of all kinds, for distortions of competition follow hard on their heels, as a rule.
Ich bin auch nicht umsonst zusätzlich Mitglied im Haushaltskontrollausschuß.	It is not for nothing that I am, in addition, a member of the Committee on Budgetary Control.
Klar ist, Korea unterbietet sich selbst und schlittert selbstverschuldet in den eigenen Ruin, wenn es so weitermacht.	It is clear that if Korea continues to act in this way, it will undercut itself and will slide into financial ruin, with only itself to blame.
Zweitens: Koreas Wirtschaft ist Teil des globalen Markts.	Secondly, the Korean economy is part of the global market.
Neue WTO-Verhandlungen stehen vor der Haustür.	We are on the verge of new WTO negotiations.
Drittens: Korea braucht Unterstützung, mit der es sich von dem Staatsbankrott erholen kann.	Thirdly, Korea needs support to lift itself out of national bankruptcy.
Die IWF-Zahlungen sprechen doch eine deutliche Sprache.	The IMF payments are making a clear statement.
Viertens: Europa braucht Korea.	Fourthly, Europe needs Korea.
Gucken Sie sich die Auftragsbücher und die Investitionsvolumina an, ungeachtet der erwähnten globalen Überkapazitäten.	Just look at the order books and the volume of investment, in spite of the worldwide overcapacity which has been mentioned.
Das heißt, bis durch bilaterale Verhandlungen und/oder multilaterale Verhandlungen im Rahmen von OECD, IWF und WTO, wie von Herrn Liikanen bereits erwähnt, eine Handelspolitik gestaltet wird - sowohl von Korea als auch von Europa -, die einen fairen Wettbewerb ermöglicht, brauchen wir verschiedene Maßnahmen, die für einen bestimmten Zeitraum, bis die jetzige kritische Situation überwunden ist, gelten.	This means that until a trade policy is developed by both Korea and Europe by means of bilateral negotiations and/or multilateral negotiations within the scope of the OECD, IMF and the WTO, as mentioned already by Mr Liikanen, enabling fair competition, we need various measures which are valid for a determined period until the present critical situation has been overcome.
Dazu könnte meines Erachtens befristet die direkte, aber auftragsbezogene Förderung zählen.	In my opinion, direct but contract-related support could be part of this, temporarily.
Sie ist das einzige Instrument, das unmittelbar wirkt, das transparent ist und zudem den Wettbewerb stärkt.	This is the only instrument that has a direct effect, is transparent and, furthermore, strengthens competition.
Eine Rückkehr zu sogenannten europäischen Individuallösungen dagegen kann bedeuten, daß der innereuropäische Wettbewerb wie in der Vergangenheit zusätzlich wieder stärker verzerrt wird.	Returning to so-called European individual solutions, on the other hand, can mean that competition inside Europe, in addition, is distorted yet further, as in the past.
Wir brauchen also eine Strategie der verschiedenen Wege.	We therefore need a strategy of different approaches.
Auf diesem Weg möchten wir die Kommission und den Industrieministerrat mit all unseren Kräften energisch begleiten.	We would like to assist the Commission and the Council of Industrial Ministers in this approach with all our strength and energy.
