Liebe Kolleginnen und Kollegen! Ich möchte zwei Erklärungen abgeben.	Ladies and gentlemen, I wish to make two statements.
Wir sind der Meinung, keiner hat das Recht, sich den in Annapolis vereinbarten Verpflichtungen zu entziehen.	We believe that no one has the right to evade the obligations agreed in Annapolis.
Israelis und Palästinenser haben sich in gutem Glauben und im Geiste der Versöhnung zu Verhandlungen verpflichtet.	The Israelis and Palestinians committed themselves to negotiations in good faith and in a spirit of reconciliation.
Dieser Weg ist mit Ernsthaftigkeit wieder aufzunehmen.	They must resume the rigorous pursuit of this path.
Mut und Kraft zur politischen Erneuerung sind gefordert.	They need to show the courage and strength to engage in political renewal.
Es liegt an uns Europäern, unsere Partner in diesem Prozess zu begleiten und zu unterstützen.	It is up to us Europeans to accompany and support our partners in this process.
Das Europäische Parlament wird seine Verantwortung mit Entschlossenheit wahrnehmen.	The European Parliament will exercise its responsibility with determination.
Die Beziehungen der Europäischen Union zu Israel und der Palästinensischen Autonomiebehörde sind so zu entwickeln, dass sie den Friedensprozess insgesamt fördern.	The European Union's relations with Israel and the Palestinian Authority must be developed in such a way as to promote the overall peace process.
Der Barcelona-Prozess - Union für das Mittelmeer - könnte ein zusätzliches Element der Friedensförderung sein.	The Barcelona process - a union for the Mediterranean - could be an additional factor in the effort to foster peace.
Das Europäische Parlament erwartet, im Rahmen der europäischen Bemühungen für den Frieden im Nahen Osten angemessen konsultiert zu werden.	The European Parliament expects to be duly consulted in the framework of the European quest for peace in the Middle East.
Während wir hier tagen, lassen die Fischer im Gazastreifen ihre Boote zu Wasser.	While we are meeting here, the fishermen of the Gaza Strip are putting out to sea.
Aufgrund der Blockade grassiert eine ungeheuerliche Umweltverschmutzung, die die Lebensgrundlage der Fischer bedroht und gegen die sie protestieren.	Because of the blockade, environmental pollution is rife to an alarming degree. It is threatening the livelihood of the fishing crews, and they are protesting about it.
Sie demonstrieren für ihre Rechte auf Fischfang, auf Leben, auf Freiheit und auf Frieden.	They have been demonstrating for their right to catch fish, to earn their living and to live in freedom and peace.
Unsere Delegation hat den Fischern Unterstützung versprochen.	Our delegation promised to support the fishermen.
In unser aller Namen möchte ich daher diesen Fischern die Solidarität des Europäischen Parlaments aussprechen.	On behalf of all of us, may I therefore convey to these fishermen the solidarity of the European Parliament.
Vielen Dank, liebe Kolleginnen und Kollegen, auch dafür, dass Sie diese Erklärung angehört haben, zu der mich die Konferenz der Präsidenten aufgefordert hat.	Thank you, ladies and gentlemen, for listening to my own statement and this second statement which the Conference of Presidents asked me to make.
