Frau Präsidentin! Liebe Kolleginnen und Kollegen!	Madam President, ladies and gentlemen, in fact the problem cannot be taken seriously enough.
Es ist allerhöchste Zeit, in ganz Subsahara-Afrika und auch in anderen betroffenen Teilen der Welt die gesundheitspolitische Notbremse zu ziehen.	It is high time that, where the politics of health are concerned, the emergency brake was put on throughout Sub-Saharan Africa and also in other affected parts of the world.
Dabei bedarf es keiner gesellschaftlichen, politischen oder religiösen Tabus.	Social, political and religious taboos have no place here.
Die müssen vom Tisch, und zwar egal wo und durch wen.	They must be cleared away; how and by whom is immaterial.
Tabuisierung und Bagatellisierung führen direkt in die Katastrophe.	Trivialising AIDS and making it taboo are a direct route to catastrophe.
Die Gründung der Partnerschaft AIDS gegen Aids in Afrika auf der Konferenz von Lusaka verdient die entschiedene ideelle und auch materielle Unterstützung durch die Europäische Union.	The partnership, AIDS against AIDS in Africa, founded at the Lusaka Conference, deserves firm support from the European Union, both in material terms and in terms of visionary perspective.
Vertreterinnen und Vertreter von Regierungen, den internationalen Hilfsorganisationen, Nichtregierungsorganisationen unterschiedlicher Art und die Zivilgesellschaft, auch der private Sektor, haben sich zusammengetan, um der Seuche den Kampf anzusagen.	Civilian society, including the private sector, together with representatives of governments, international aid organisations and non-governmental organisations of various kinds have come together in order to declare war on the epidemic.
Sie haben sich vorgenommen, in allen afrikanischen Staaten umfassende Aids-, besser gesagt, Anti-Aids-Programme auf den Weg zu bringen.	They have undertaken to launch comprehensive AIDS or, rather, anti-AIDS programmes in all African States.
Eines der ehrgeizigen Ziele ist, die Rate der Neuinfizierten unter jungen Menschen zwischen 15 und 24 Jahren bis zum Jahr 2005 um 25 % in den am meisten betroffenen Ländern und bis zum Jahr 2010 in allen Ländern zu erreichen.	One of the ambitious goals of these programmes is to achieve a 25% reduction in the number of young people between the ages of 15 and 24 newly infected by AIDS, and this by the year 2005 in the most badly affected countries and by the year 2010 in all countries.
Das kann und muß von der Europäischen Union flankiert und vor allem durch die AKP-Zusammenarbeit mit Vehemenz unterstützt werden.	These efforts can and must be supplemented by the European Union and, above all, vigorously supported through cooperation with the ACP countries.
Auch bisher war ja die Europäische Union nicht untätig.	In fact, the European Union has not been inactive to date.
Zwischen 1987 und 1997 wurden knapp 200 Millionen ECU bzw. Euro für HIV/Aids-Programme in über 90 Entwicklungsländern aufgewendet.	Between 1987 and 1997, almost 200 million ecus or euros were spent on HIV/AIDS programmes in more than 90 developing countries.
Das soll ausdrücklich anerkannt werden.	This fact should be expressly recognised.
Dazu kommen noch 45 Millionen Euro im Rahmen einer speziellen Haushaltslinie für Entwicklungsländer in den Weltregionen für die nächsten drei Jahre sowie 20 Millionen Euro für ein regionales Fünfjahres-Programm für die AKP-Länder und zusätzliche Mittel im Rahmen von Indikativprogrammen unter anderem für die AKP-Länder, nicht eingerechnet zum Beispiel die Kofinanzierung von Nichtregierungsorganisationen oder ein Forschungsprogramm.	To this will be added, over the next three years, a further EUR 45 million in the context of a special budget strand for developing countries in regions around the world, together with EUR 20 million for a regional 5-year programme for the ACP countries and additional funds in the context of specific programmes such as those for the ACP countries. These figures do not include, for example, research programmes or co-financing by non-governmental organisations.
Mehr als etwa in Europa sind in Afrika vor allem junge Mädchen gefährdet.	More than in Europe, it is young girls who are especially at risk in Africa.
Nirgendwo gibt es mehr Mütter im Teenageralter, nirgendwo bekommen sie mehr infizierte Babys.	Nowhere are there more teenage mothers and nowhere do they give birth to a larger number of infected babies.
Deshalb muß vor allem bei der Aufklärung von Jugendlichen angesetzt werden.	The main effort must therefore be to educate young people.
Das ist eine Aufgabe, die in Schulen geleistet werden muß.	This is a task which must be carried out in schools.
Die Bildungskampagnen und die Kondomwerbung in Tansania und Uganda haben gezeigt, daß es erfolgreich geht.	The education campaigns and condom advertising in Tanzania and Uganda have shown that success is possible.
Eingesetzt werden muß vor allen Dingen das Radio als ein Informationsmittel, das in alle Winkel reicht.	Above all, the radio must be employed as a means of information to reach everybody.
Auch hier sind konkrete Unterstützungsmaßnahmen absolut erforderlich.	Here too, specific measures of support are absolutely necessary.
Die gemeinsamen Anstrengungen im Geist von Partnerschaft sind der richtige Weg.	Joint efforts in a spirit of partnership are the right path to go down.
Aber um wirksam zu werden, bedarf es nicht weniger, sondern mehr Mittel; und hier bin ich besorgt über die Finanzpolitik der Kommission, aber auch dieses Hauses.	But if these are to be effective, more rather than less resources are needed and, in this regard, I am anxious about the Commission' s, as well as this Chamber' s, financial policy.
Frau Maij-Weggen, ich hoffe, daß ihre Fraktion mit dazu beiträgt, daß die Beschlüsse des Haushaltsausschusses, von denen ich gehört habe, rückgängig gemacht werden bzw. im Plenum geändert werden, indem das zurückgenommen wird, was an Kürzungen gegenüber den Vorschlägen des Entwicklungsausschusses auf dem Tisch liegt.	Mrs Maij-Weggen, I hope that your group will help ensure that the decisions of the Committee on Budgets that I have heard about will be revoked or altered in the plenary sitting, while any watering down of the proposals tabled by the Committee on Development will be reversed.
Wir müssen gemeinsam dafür sorgen, daß wir das, was wir wollen, auch finanzieren können.	We must together ensure that whatever it is that we want can also be financed.
