. Herr Präsident!	.
Das ist eine Stärkung dieser Institution.	It makes this institution stronger.
Beide Institutionen, das Parlament und die Kommission, sind aus diesem Prozess gestärkt hervorgegangen. Auch Sie, Herr Präsident, haben durchaus die Chance, mit der Kommission, der Sie jetzt vorstehen, Veränderungen herbeizuführen.	Both institutions – Parliament and the Commission – have come out of this process stronger, and you, Mr President, with the Commission over which you now preside, have every opportunity to bring about change.
Ich greife das Wort vom auf. Es war eine schöne Formulierung, die Sie da gewählt haben.	Let me pick up what you said about a blind date, which was a fine phrase to choose.
Manches hat seinen Reiz. Die die Sie hatten, waren zum Teil nicht sehr reizvoll.	Some blind dates can be exciting; not all of those you have been on were.
Wenn Sie keine mehr haben wollen, dann sagen Sie den Regierungen ganz klar, das Verfahren, dass ich, Barroso, jeden nehmen muss, der mir vorgeschlagen wird, und anschließend den politischen Preis für eure Vorschläge zahlen muss, dieses Verfahren ist mit dieser Kommission Barroso beendet.	If you no longer want to go on blind dates, then tell the governments, quite plainly, that the procedure under which you, Mr Barroso, have to accept everyone they propose to you, and then pay the political price for their proposals – that, with the Barroso Commission, that procedure has come to an end.
Wenn Sie das machen, sind Sie und die Kommission auch Gewinner.	If you do that, both you and the Commission will be winners.
Dann gehen auch Sie gestärkt daraus hervor.	You will both be the stronger for it.
Wir haben uns in dieser Debatte in den letzten Wochen auf Kernbotschaften konzentriert.	In the debate that has gone on over the past few weeks, we have concentrated on core messages.
Diese Kernbotschaften lassen sich, wenn ich an die Anhörungen und ihre Resultate noch einmal erinnern darf - denn die Anhörungen waren ja die Quelle der Konflikte - in einem Satz zusammenfassen: Dieses Parlament ist in seiner breiten Mehrheit für die Verteidigung der zivilen Grundwerte der Europäischen Union eingetreten.	If I may remind you of the hearings and of what came out of them – for it was from these that the conflict arose – these core messages can be summed up in one sentence, which is that a broad majority in this House stood up in defence of the civil fundamental values of the European Union.
Zu den zivilen Grundwerten gehört die Meinungsfreiheit eines jeden und einer jeden Einzelnen, ja. Aber es gehört auch das Recht des Parlaments dazu, zu entscheiden, wer in eine Exekutive kommt und wer nicht.	The freedom of opinion of each and every individual is indeed one of these, but another is the right of Parliament to decide who shall join the executive and who shall not.
Und die Stärkung der Demokratie gehört dazu.	Yet another is the strengthening of democracy.
Die frei gewählte Volksvertretung ist aus diesem Prozess gestärkt hervorgegangen, und das ist gut.	The freely-elected assembly of the people has come out of this with renewed strength, and that is a good thing.
Es ist deshalb gut, weil es die Grundvoraussetzung ist, dass wir uns auf gleicher Augenhöhe begegnen.	It is a good thing, because without it, we cannot treat one another as equals.
Herr Präsident Barroso, es ist Ihr gutes Recht, das Parlament zu kritisieren.	President Barroso, you are quite entitled to criticise Parliament.
Ich kann mich erinnern, dass Sie vor ein paar Tagen in einer Debatte in diesem Haus durchaus Kritik, wenn auch nur in eine Richtung des Parlaments, geübt haben.	I can recall how, in one of this House’s debates a few days ago, you certainly did have criticisms to make, albeit of only one side of this House.
Das ist Ihr gutes Recht. Aber es ist unsere Pflicht, die Exekutive zu überprüfen.	You are quite entitled to do that, but we are obliged to check up on what the executive does.
Deshalb wiederhole ich noch einmal: Wir werden bei jeder - bei jeder! - Frage von Unvereinbarkeiten und auch immer dann, wenn wir der Meinung sind, dass Ihre Kommission in oder die politischen Vorgaben in die falsche Richtung gehen, genauso agieren, wie wir das in den letzten drei Wochen hier gezeigt haben.	So let me repeat that we will, whenever – and I mean whenever! – incompatibilities arise, and whenever we think your Commission or the policy guidance are going in the wrong direction, take exactly the same action as we have done over the past three weeks.
Das Zusammenspiel zwischen Exekutive und Parlament liegt nämlich auf der europäischen Ebene darin, dass Sie das Initiativmonopol haben und wir die Pflicht, auf eine sozial ausgewogene und gerechte Gesetzgebung zu achten, und genau das werden wir in den fünf vor uns liegenden Jahren tun.	The interplay between the executive and parliament at European level lies in the fact that you have the monopoly of initiative, while it is our duty to ensure that the laws made are just and socially balanced, and that is precisely what we will be doing over the five years that lie ahead of us.
Mehr Demokratie - das lehrt die Erfahrung aus der Geschichte - hat immer ein Mehr an sozialer Gerechtigkeit mit sich gebracht.	What we learn from the experience of history is that more democracy always brings with it more social justice.
Deshalb ist der demokratische Fortschritt, den wir erzielt haben, für uns der Beginn eines Kampfes, den wir fünf Jahre führen werden.	For that reason, the democratic progress we have achieved is, for us, the beginning of a battle that we will be waging for five years.
Die sozialen Errungenschaften Europas, die in den Mitgliedstaaten erworben wurden - das habe ich gestern gesagt, und ich wiederhole es heute -, können nicht auf der europäischen Ebene geopfert werden.	I said it yesterday, and I shall repeat it today, that Europe’s social achievements, which have come to pass in the Member States, cannot be sacrificed at European level.
Sie müssen auf der europäischen Ebene gesichert werden. Das ist in unseren Augen die entscheidende Aufgabe Ihrer Kommission.	It is there that they must be secured, and this we see as your Commission’s crucial task.
Wir als Sozialdemokratische Fraktion werden Ihrem Vorschlag, den Sie heute vorlegen, zustimmen.	We in the Socialist Group in the European Parliament will approve the proposals you have put forward today.
Eine Reihe von Kolleginnen und Kollegen in unserer Fraktion sind noch nicht überzeugt und werden heute ihr Vertrauen nicht aussprechen.	A number of Members in our group are not yet convinced and will not be giving you a vote of confidence today.
Es ist jetzt an Ihnen, auch diese Kolleginnen und Kollegen im Verlauf der nächsten Jahre zu gewinnen.	It is now for you, over the coming years, to win them, too, over to your side.
Die Sozialdemokratische Fraktion stimmt Ihrem Vorschlag zu.	The Socialist Group in the European Parliament approves your proposal.
Ich wünsche Ihnen eine erfolgreiche Arbeit für sozialen Zusammenhalt und soziale Gerechtigkeit in Europa.	I wish you success in working for social cohesion and social justice in Europe.
