Herr Präsident! Ich möchte mich ausdrücklich der Intervention von Frau Theato anschließen.	Mr President, I would particularly like to support what Mrs Theato said in her speech.
Aufschub der Entlastung beantrage ich aber auch - und das möchte ich betonen -, weil es gerade in meinem Bereich an Transparenz gefehlt hat.	But I must stress that I am also calling for postponement of the discharge because there has been a singular lack of transparency in my field.
Der Kommissar hat sich in meinem Bereich in vielen Einzelbereichen als sehr zögerlich und ängstlich erwiesen, Informationen kamen zu spät bei mir als Berichterstatterin bzw. schon nach Antragschluss oder gar nicht an.	The Commissioner responsible for my area seemed to be far too tentative and anxious, and in my capacity as rapporteur I received information late, after the deadline or not at all.
Ich denke, der Verweis seiner Mitarbeiter auf das Rahmenabkommen mit dem Parlament ist auch wenig hilfreich, um auf Seiten des Berichterstatters oder der Berichterstatterin Vertrauen zu schaffen und zu bewirken, dass wir hier zu einer konstruktiven Zusammenarbeit kommen.	I also think that his staff's reference to the framework agreement with Parliament is not very helpful as a means of creating confidence on the part of the rapporteur and as a means of ensuring that we work together constructively on this.
Da muss die Kommission künftig transparenter und souveräner agieren und mit mehr Vertrauen auf das Parlament zugehen, damit wir gemeinsam diese Entlastung zu einem zufriedenstellenden Abschluss bringen können.	The Commission must in future act in a more transparent and impressive way, and display greater confidence in its dealings with Parliament, so that we can jointly bring the discharge procedure to a satisfactory conclusion.
Ich möchte auch noch einmal betonen, dass gerade im Bereich des Entwicklungsfonds viele Dinge verbessert werden müssen.	I would also like to stress once again that many things need to be improved in relation to the Development Funds.
Der Kommissar steht vor schwierigen Aufgaben.	The Commissioner has some difficult tasks before him.
Es gibt einen alten Rückstand an Verpflichtungen, die er noch von der alten Kommission geerbt hat.	There is a backlog of commitments that he has inherited from the old Commission.
Es gibt unangemessene Verwaltungsstrukturen und personelle Unterbesetzung.	The administrative structures are inappropriate and understaffed.
In den Ländern selber gibt es Probleme mit Kriegen und Krisen - all dies berücksichtigen wir.	In the recipient countries themselves there are problems with wars and other crises, and we have taken all this into account.
Wir sind auch durchaus bereit zuzugeben, dass in diesem Bereich mit den Fragen der Kontrolle etwas diffiziler umgegangen werden muss.	We are certainly willing to admit that in this area control needs to be handled more carefully.
Die Kontrolle in einem Entwicklungsland muss davon ausgehen, dass bei Entwicklungshilfe Korruption immer involviert ist und man abwägen muss, in welcher Form man gerade in diesen Ländern agiert.	The control process in a developing country must take as its starting point the notion that there is always corruption with development aid and consideration needs to be given to what sort of action to take in a given country.
Das heißt, wir sind durchaus bereit, hier auf die Kommission zuzugehen und die großen Probleme zu sehen.	That means that we are certainly willing to meet the Commission half wayand recognise the major problems that exist.
Allerdings möchten wir noch einmal betonen, dass die EU und die Kommission, wenn sie bei der Bevölkerung für die wichtige Aufgabe der Entwicklungshilfe Vertrauen schaffen will, natürlich auch in ihrer Managementstruktur den Auflagen entsprechend gerecht werden muss.	But we would also like to stress again that if the EU and the Commission want to win the confidence of the public in the important field of development aid, they will, of course, also have to make appropriate adjustments to their management structure to reflect the regulations.
Es ist zu betonen, dass der Rückstau an Zahlungsverpflichtungen inzwischen eine beängstigende Größe angenommen hat.	And it has to be said that the backlog of payment appropriations has certainly reached a worrying level now.
