, Berichterstatterin.	, rapporteur.
Insoweit handelt es sich um technische Implementierungsmaßnahmen.	We are therefore talking about technical implementation measures here.
Diese Differenzierung zwischen politischen Entscheidungen einerseits und den technischen Implementierungsmaßnahmen andererseits kennen wir ja bereits aus dem Lamfalussy-Bericht.	We are already familiar with this distinction between political decisions and technical implementation measures from the Lamfalussy report.
Die große Bedeutung und Tragweite des Vorschlags ergibt sich aus mehreren Gesichtspunkten.	The major significance and consequences of the proposal flow from a number of aspects.
Das Frequenzspektrum wird durch seinen stark zunehmenden Gebrauch mehr und mehr zu einem begrenzten wertvollen Wirtschaftsgut und zu einem maßgeblichen Beschäftigungsfaktor.	The radio spectrum is, because of the ever greater demands being placed on it, increasingly becoming a scarce and valuable economic resource and a decisive factor in employment.
Die Zuweisung von Abschnitten des Spektrums für Nutzungsarten wie beispielsweise die Kommunikation, der Rundfunk, der Verkehr, für die Polizei, Militär, Erdbeobachtung etc. wird zunehmend komplizierter.	Allocation of sections of the spectrum for uses such as communications, broadcasting, transport, police, military and earth observation purposes is becoming more and more complex.
Es sind strategische Entscheidungen zu treffen, um die Bedürfnisse kommerzieller Nutzer mit denjenigen nichtkommerzieller Nutzer in Einklang zu bringen.	Strategic decisions have to be taken in order to balance the needs of commercial users and non­commercial users.
Wie wertvoll Frequenzen inzwischen geworden sind, zeigt sich auch an dem Ergebnis der UMTS-Lizenzversteigerung, die die Mitgliedstaaten im vergangenen Jahr für einen eng begrenzten Abschnitt des Spektrums durchgeführt haben.	Just how valuable radio frequencies have now become is demonstrated by the result of the UMTS licence auction, which the Member States held last year for a narrowly defined section of the spectrum.
Für das Nutzungsgebiet Deutschland zum Beispiel waren die Unternehmen bereit, 50 Milliarden Euro zu bezahlen, in Großbritannien hat die Versteigerung bekanntlich 38,5 Milliarden Euro ergeben.	For Germany, for example, companies were willing to pay EUR 50 billion, and in the United Kingdom it is well known that the auction brought in EUR 38.5 billion.
Die Zuweisung und Zuteilung der Frequenzen an die verschiedenen Nutzergruppen und Nutzer muss deshalb, wie bereits aktuell auch, auf möglichst transparente und demokratische Weise erfolgen, sei es auf der Ebene der Mitgliedstaaten, auf europäischer Ebene im Rahmen der CEPT und nun auch auf EU-Ebene, wenn über frequenzabhängige Gemeinschaftsaktivitäten zu entscheiden ist.	The allocation of frequencies to the various user groups and users must therefore - and this is already a topical issue - be carried out in the most transparent and democratic way possible, whether at Member State level, at European level within the CEPT, and now at EU level as well, if decisions are to be made about Community activities reliant on frequencies.
Es versteht sich im Grunde genommen von selbst, dass frequenzpolitische Entscheidungen auf europäischer Ebene vom Europäischen Parlament und vom Rat zu treffen sind.	Of course it goes without saying that European-level decisions about frequency policy have to be made by the European Parliament and the Council.
Es muss in der Regel Aufgabe der Politik und insbesondere der gewählten Volksvertreter sein, über eine für die Gesellschaft und die Wirtschaft so wichtige Materie wie die Frequenzpolitik zu entscheiden.	In general, it should be for politicians and in particular the elected representatives of the people to make decisions about an issue as important for society and the economy as frequency policy.
Mit der Umsetzung dieser Entscheidungen in die Praxis, also mit der technischen Implementierung kann die Kommission beauftragt werden.	The job of putting these decisions into practice, that is to say technical implementation, can be entrusted to the Commission.
Hierbei sollte die Kommission auch den Sachverstand der CEPT nutzen können, indem sie sich von der CEPT gegebenenfalls Lösungsvorschläge für technische Problemstellungen einholt.	In doing this, the Commission should also be able to call on the expertise of the CEPT, by seeking advice on how to solve technical problems from the CEPT.
Die Änderungsvorschläge, auf die sich die 49 von 50 Abgeordneten im Ausschuss für Industrie verständigt haben, sehen gerade dies vor.	The amendments which 49 of the 50 Members in the Committee on Industry, External Trade, Research and Energy agreed provide for exactly that to happen.
Zwei Änderungsanträge der PSE-Fraktion, die der Kommission sehr wohl bekannt sind, stellen diese Linie aber wieder in Frage.	However, two of the amendments from the Group of the Party of European Socialists, of which the Commission is no doubt aware, undermine this approach.
Es handelt sich um die Änderungsanträge 22 und 23, die ins Plenum eingebracht worden sind.	I am talking about Amendments Nos 22 and 23, which have been tabled in the plenary.
Die sollen letztlich verhindern, dass über die Frequenzpolitik künftig das Parlament und der Rat gemeinsam entscheiden.	Ultimately, the aim of these amendments is to prevent Parliament and the Council making joint decisions about frequency policy in future.
Es soll künftig nur die Kommission mit dem Rat über diese Fragen zu befinden haben.	Instead, only the Commission and the Council will decide on these matters.
Das kann ich nicht unterstützen, und deshalb kann ich Sie nur nachdrücklich bitten, diesen Änderungsanträgen nicht zuzustimmen.	I cannot support that, and I therefore urge you to vote against these amendments.
Empfehlen kann ich dagegen die Änderungsanträge der ELDR-Fraktion und die meiner eigenen Fraktion, die aufgrund einer Empfehlung des Juristischen Dienstes aus rechtlichen Gründen eingereicht worden sind.	On the other hand, I can recommend to you the amendments tabled by the Group of the European Liberal, Democrat and Reform Party and those of my own group, which have been tabled for legal reasons following a recommendation by the Legal Service.
