Herr Präsident, Frau Kommissarin! Fünf Minuten für Freitag sind genug.	Mr President, Commissioner, five minutes are enough for a Friday.
Ich komme nun zu der Verordnung und zu dem Bericht.	I now come to the regulation and the report.
Es geht im wesentlichen darum, daß hier manche Regelungen aufgrund abgelaufener Geltungsdauer oder auch des Inhalts der gemeinsamen Marktorganisation für Hopfen nicht mehr anwendbar sind.	It all boils down to the fact that many provisions in this area can no longer be used owing to their no longer being valid or due to the implications of the common organisation of the markets for hops.
Es kommt dazu, daß nicht mehr jährlich ein großer Bericht erstellt werden muß, sondern wegen der Festlegung der Beihilfe auf fünf Jahre muß nur mehr alle fünf Jahre ein Bericht vorgelegt werden.	What it amounts to is that there is no longer a requirement to draft a major report annually, rather, owing to the fact that grants have been established for a period of five years, a report only has to be submitted once every five years from now on.
Dieses Vorhaben, Frau Kommissarin, sehe ich als richtig an, aber mit einer kleinen Einschränkung.	Commissioner, I consider this plan to be right-minded, but with one minor reservation.
Aufgrund unserer großen Erfahrung in Bayern müssen wir hier auch etwas besser aufpassen. So schlage ich vor, daß sichergestellt werden muß, daß wie bisher die jährliche Erfassung von Daten bezüglich der Entwicklung der Anbauflächen, der Nachfrage, der Verbreitung der verschiedenen Sorten, der Preise sowie der Anbauentwicklung in den einzelnen Mitgliedsländern vorgenommen wird und daß diese Angaben den Beteiligten jährlich zur Verfügung gestellt werden.	It is only right, in view of the vast experience we have accumulated in Bavaria, that we should also pay a little more attention to the situation there, hence my suggestion that we must ensure that, as is already the case, the annual collection of data relating to the development of the areas under cultivation, demand, the spread of different types, prices, and also cultivation development, proceeds uninterrupted in the individual Member States, and that this information is made available to all concerned on an annual basis.
Ich habe die Zusage von der Kommission, daß dies über das Internet geschehen soll.	I have obtained the Commission' s consent for this to be done over the Internet.
Deshalb habe ich zwei Änderungsanträge gestellt. Ich bitte das Parlament, denen zuzustimmen.	This is why I have put forward two amendments and I call upon Parliament to vote in favour of them.
Ich weiß aber auch, daß die Kommission diese Änderungsanträge nicht so gern sieht.	I know, however, that the Commission does not look very kindly upon these proposed amendments.
Aber ich meine, das Parlament ist ein bißchen etwas anderes als die Kommission.	However, Parliament is something of a different kettle of fish to the Commission in my view.
Deshalb bitte ich um die Zustimmung.	That is why I am asking for your support.
(Heiterkeit, Beifall)	(Laughter, applause)
