Herr Präsident, meine sehr verehrten Damen und Herren, meine lieben Kolleginnen und Kollegen!	Mr President, nine million cars are shredded and scrapped every year in Europe.
Die Nachweispflichten, wie man ein Auto in Europa entsorgt, schreibt die Richtlinie meines Erachtens nach gut vor.	In my opinion, the directive solidly regulates the matter of accountability for how a car is disposed of in Europe.
Hier kann man es so lassen, wie es die Kommission vorgeschlagen hat. Die Mitgliedsländer sorgen dafür, daß es hier die entsprechenden Annahmestellen gibt, die die Autos trockenlegen, über 32 Millionen Altöl beispielsweise entsorgen, Bremsflüssigkeit herausnehmen etc.	This can be left as the Commission has proposed with the Member States ensuring the appropriate collection points for draining cars. This will involve, for example, disposing of more than 32 million lots of used oil, removing break fluid, etc.
Ein wichtiger Bestandteil dieser Richtlinie ist die Frage, was machen wir mit den Altteilen?	An important part of this directive is the issue of what to do with used parts.
Was machen wir mit den geschredderten Produkten?	What should we do with the shredded products?
Da darf man nicht übersehen, daß die Quote ein wichtiger Punkt ist von Recycling und Recovering und was auch immer, aber sie ist nicht der einzige Punkt.	We should not overlook the fact that, although quotas are an important point in recycling and recovery, they are by no means the only point.
Denn vergessen Sie bitte nicht: Bei der Mobilität eines Autos entfallen 80 % der Umweltbelastungen auf das Fahren, 1 % auf die Verwertung und 19 % auf das Bauen eines Autos.	Do not forget that, in the case of cars, 80% of environmental impact comes through driving, 1% through recovery and 19% through construction.
Quoten sind also nicht der einzige Parameter bei der Frage der Umweltverträglichkeit, sondern einer von vielen.	Quotas are not, therefore, the only parameter in the matter of environmental compatibility, just one of many.
Ich bin natürlich der Auffassung, daß wir stramme Ziele brauchen.	Of course we need to aim high, but quotas must not become an end in themselves.
Aber die Quoten dürfen kein Selbstzweck werden, sondern wir müssen verstehen, daß die Gesamtsicht der Umweltbelastung eines Autos wichtig ist.	We must understand that the bigger picture is important when it comes to the environmental impact of cars.
Mir ist es viel lieber, wir kommen von einem Auto, das heute 1 400 kg wiegt, die im Durchschnitt 200 000 km gefahren werden, zu einem Auto, das in Zukunft nur noch 1 000 kg wiegt und auch 200 000 km fährt.	I am far keener to see us move away from today's car, weighing 1,400 kg and driving an average of 200,000 km, to a future car capable of driving the same distance but weighing just 1,000 kg.
Immerhin würden aber dann 400 kg mal 200 000 km weniger befördert.	This would at least mean 400 kg times 200,000 km less transportation.
Das ist der echte umweltpolitische Fortschritt, denn es führt zu einer großen Reduzierung von CO2, und das, wenn ich das Kyoto-Protokoll richtig verstanden habe, ist der wichtige Bestandteil.	This would represent real environmental progress because it would lead to a large reduction in CO2 which, if I have rightly understood the Kyoto Protocol, is the important factor.
Deswegen glauben wir, daß Fahrzeuge, die in Zukunft eindrucksvoll und nachweisbar Leichtbaumethoden verwenden, weniger CO2 produzieren und diese eine Sonderpräferenz bei der Verbrennungsquote erhalten.	We therefore consider that, in future, vehicles which clearly and effectively use lightweight construction methods will produce less CO2 and should receive preferential treatment in their combustion quotas.
Das soll nicht jedes Mitgliedsland entscheiden, sondern das sollen Sie, Frau Kommissarin, mit Ihrem Stab entscheiden, ob diese Leichtbaufahrzeuge - viele reden auch von 3-Liter-Fahrzeugen - eine Sonderpräferenz bekommen.	It should not be for each Member State, but for you and your staff, Commissioner, to decide whether these lightweight construction vehicles (and there is also talk of 3-litre vehicles) should receive preferential treatment.
Wir sind der Auffassung, daß das richtig ist.	We think they should.
Lassen Sie mich etwas zu den Kosten sagen.	May I say something about costs.
Die einen sagen, alle Kosten sollten die Hersteller tragen; das sei richtig und sehr verbraucherfreundlich.	Some say that all the costs should be borne by the manufacturers; that this is only right and in the very best interests of the consumer.
Das kann man sehr stark hinterfragen, denn die Hersteller werden alle Kosten auf die Verbraucher umlegen und sich ein staatlich zugeordnetes Monopol des Recyclings aneignen.	However, this can be seriously questioned as the manufacturers will pass on all the costs to consumers and acquire for themselves a state-sanctioned monopoly on recycling.
Ich kann Sie nur davor warnen, dem zuzustimmen.	I can only warn you against consenting to this.
Es gibt Änderungsanträge, die vorschlagen, die Kosten zu teilen, die Hälfte für die Hersteller und die andere Hälfte für die Neuwagenkäufer.	There are amendments which propose splitting the costs fifty-fifty between the manufacturer and the buyer of a new car.
Aus einem solchen Pool, einem System, wie auch immer Sie sich das vorstellen können, kann man dann ab 2006 alle Fahrzeuge, die im Bestand sind, kostenlos für den Letzthalter zurücknehmen.	The money from this pool, system, or however you want to picture it, would mean that from 2006 all vehicles in circulation could be taken in without cost to the last holder.
Das ist auch ein ausdrücklicher Wunsch meiner Fraktion.	This too is a particular desire of my group.
Unser Vorschlag der Teilung der Kosten hat einen ganz entscheidenden Vorteil, nämlich den, daß wir nicht gleich, wenn wir diese Richtlinie verabschiedet haben, ein Kandidat für den Gerichtshof werden.	Our proposal to split the costs has a crucial advantage, namely that we won't be an immediate candidate for the Court of Justice when the directive is adopted.
Denn die Rückwirkung, die die Automobilindustrie umtreibt und besorgt, ist ein seriöses Problem, dem wir in angemessener Weise Rechnung tragen müssen.	The car industry is concerned about and half expecting repercussions, which is a serious problem which we must address accordingly.
Deswegen schlage ich eine Teilung der Kosten für den Ersthalter und für den Hersteller vor.	This is why I propose splitting the costs between the first holder and the manufacturer.
Materialverbot - natürlich brauchen wir ein Materialverbot.	As for a ban on certain materials: of course we need one!
Es gibt gefährliche Bestandteile im Auto, die müssen auf Dauer verboten werden.	A car has dangerous components which we must ban long-term.
Dafür brauchen wir ein Druckinstrument.	This means that we need a pressure instrument.
Die Kommission hat einige Vorschläge gemacht, die zu streng waren, und wir haben Alternativen dazu entwickelt.	The Commission has put forward various proposals which are too stringent and we have come up with some alternatives.
Es gibt eine Menge an guten Änderungsanträgen.	There are a number of sound amendments.
Dieses Parlament hat mehr Kompetenz bekommen. Nutzen wir sie doch!	This Parliament has been given more authority, so let us use it!
Haben wir den Mut, eine Richtlinie vorzustellen und zu entwickeln, die in die Zukunft weist.	Let us have the courage to put together a ground-breaking directive.
Eine Richtlinie, die nur um der Richtlinien willen hier entwickelt wird, wäre dieses Hauses nicht würdig.	A directive which we put together just for the sake of it would not be worthy of this House.
Ich bitte um Unterstützung.	I ask for your support.
