Herr Präsident! Ich möchte kurz auf die Fragen eingehen.	Mr President, I should like to address the issues briefly.
Das muss ausgesprochen werden im Wissen, dass wir aber gleichzeitig — und das ist auch den Amerikanern zu danken — sehr viel tun können und müssen für den Demokratieexport, die Stärkung der NROs und die Stärkung der Bürger- oder Zivilgesellschaft.	This must be expressed in the knowledge that at the same time - and we partly have the Americans to thank for this – we can and must do a great deal to export democracy, strengthen NGOs and strengthen civic or civil society.
Diese Themen werden angesprochen.	These issues are being discussed.
Zweitens zur Transparenz: Ich will da wirklich keinen österreichischen Wahlkampf machen, weil das gar nicht meine Absicht ist, aber interessant ist, dass die österreichischen Grünen alle den Saal verlassen haben.	Secondly, I turn to the subject of transparency. I really do not want to fight an Austrian election, because that is not my intention.
Mir vorzuwerfen, dass ich den Dialog mit den Bürgern nicht suche, finde ich ein bisschen unfair.	It is interesting, however, that the Austrian Greens have all left the Chamber.
Denn das „Café d’Europe“ war eigentlich der Versuch, in den Alltag hineinzugehen.	To accuse me of not seeking dialogue with the people seems to me to be a little unfair, for the ‘Café d’Europe’ was really an attempt to become involved with everyday life.
Und jetzt ganz offen: Europa ist eine Kaffeehaus-Idee.	The fact is, the idea of Europe originated in the coffee houses.
Europa ist in den Kaffeehäusern Europas geboren worden.	Europe was born in the coffee houses of Europe.
Von Coudenhove-Kalergi bis hin zu vielen Schriftstellern, Denkern und Journalisten wird in den Kaffeehäusern noch immer Europa gemacht.	Moreover, Europe is still being created in the cafés of Europe, where many writers, philosophers and journalists are continuing what Coudenhove-Kalergi started.
Das als ein Projekt der Elite abzutun ist, mit Verlaub gesagt, einfach nicht richtig.	To dismiss Europe as a project of the elite is, if you will pardon my saying so, simply unjustified.
Wir haben auch die neuen Medien eingesetzt.	We are also exploiting the new media.
Mich hat überrascht, dass unsere eigene Website „Zukunft Europa, Europa hört zu“ 8 Millionen Zugriffe hatte.	I am surprised by the fact that our own website, ‘The future of Europe; Europe is listening’, has had eight million visitors.
Überlegen Sie einmal, wie viele Politiker die Möglichkeit haben, zu 8 Millionen Menschen direkt zu sprechen!	How many politicians have the opportunity to speak directly to eight million people?
Wir haben 32 Millionen Zugriffe auf die Präsidentschafts-Website gehabt.	We have also had 32 million visitors to the Presidency website.
Ich glaube schon, dass wir mehr machen können und uns auch durchaus mehr zutrauen sollten.	In fact, I think that we can do more and that we should have the confidence to do more.
Das hat nichts mit Eigenlob zu tun, sondern einfach mit professioneller Arbeit mit den neuen Medien.	This has nothing to do with self-congratulation. It is simply about working in a professional way with the new media.
Zur Erweiterung: Diese Frage ist mir sehr wichtig, denn ich war im Jahr 1998 österreichischer Außenminister und Ratsvorsitzender, als wir mit der Erweiterung begonnen haben.	I turn now to the subject of enlargement. This issue is very important to me, as, in 1998, I was the Austrian Foreign Minister and Council President when we began the enlargement process.
Manchmal war es ein , ein .	It was sometimes an uphill struggle.
Ich habe in Österreich manchmal die Mehrheitsmeinung gegen uns und gegen meine Strategie gehabt.	Majority opinion in Austria was sometimes against me and my strategy.
Aber wir sind standhaft geblieben, und heute haben wir z. B. was Tschechien anbelangt, was ein sehr heikler Punkt war, eine Mehrheit für den Beitritt Tschechiens.	However, we remained steadfast and, today, we have, for example, in connection with what was the very contentious issue of the accession of the Czech Republic, a majority that is now pleased that that country joined the EU.
Das freut mich sehr.	I am very happy about this.
Das heißt, es geht.	That is to say, it is only right.
Man muss nur dafür eintreten, und gerade auch Olli Rehn, der sehr viel Zeit und Energie investiert, kann das bestätigen.	It is just a question of standing up for enlargement, and Mr Rehn, who is investing a lot of time and energy in the matter, can confirm the need to make such a stand.
Vor zehn Jahren war das Lohn- bzw. Einkommensgefälle zu den neuen Mitgliedstaaten 10:1. Heute ist es die Hälfte.	Ten years ago, the wage and income differential between ourselves and the new Member States was 10:1.
Das ist eine Situation.	Today it is half that.
Wir können exportieren, wir haben quasi Hongkong vor unserer Haustür und können von diesen Wachstumsimpulsen profitieren.	This is a win-win situation. We can export, we have a virtual Hong Kong on our doorstep and we can profit from this impetus for growth.
Wir müssen uns nur trauen, uns hinstellen und den Menschen sagen, was etwas bringt, und nicht nur immer schlechten Mundgeruch verbreiten.	We just need to have faith in ourselves, to position ourselves well and to spread positive news rather than the usual negative rumours.
Dazu gehört auch das Thema Türkei.	The Turkish issue is also part of the overall picture.
Man muss auch die Wahrheit aussprechen.	We must speak truthfully.
Ich habe sehr dafür gekämpft, dass wir die Verhandlungen mit der Türkei eröffnen und auch ein Kapitel abschließen.	I have fought hard to open negotiations with Turkey and also to bring this chapter to a conclusion.
Aber eines muss klar sein: Die Verpflichtungen müssen eingehalten werden.	We need to be clear about one thing, however: obligations must be honoured.
Die Verpflichtungen, die im Ankara-Protokoll enthalten sind, sind absolut einzuhalten, und es war kein besonderes Zeichen europäischen , jetzt ausgerechnet diese Erklärungen der vorigen Woche abzugeben, die sehr enttäuschend sind für alle diejenigen, die sich sehr für diesen europäischen Weg, für die Anbindung der Türkei an Europa eingesetzt haben.	The obligations contained in the Ankara Protocol must be honoured in full, and, coming when they did, the statements of last week, which have been very disappointing for all those who have shown great commitment to the European route of binding Turkey to Europe, were an example of particularly bad timing on our part.
Vorletzter Punkt: Der Verfassungsvertrag.	I turn now to my last but one point: the Constitutional Treaty.
Erlauben Sie mir hier ein sehr offenes Wort.	Allow me to speak openly here.
Wir brauchen einige neue Elemente.	We need some new elements.
Das ist auch für jeden klar, der mit Liebe an diesem unter Schmerzen geborenen Kind der europäischen Einigung hängt.	This is obvious to everyone who feels affection for this painfully acquired child of European unity.
Das weiß jeder.	We all know this.
Mit Verlaub gesagt, ich hänge nicht am Begriff „Verfassungsvertrag“.	Forgive me, but I am not keen on the term ‘Constitutional Treaty’.
Das ist ohnehin ein sehr komischer Kompromiss gewesen.	It has, in any case, been a very peculiar compromise.
Keine Verfassung, kein Vertrag, sondern ein Verfassungsvertrag!	What we have is neither a Constitution nor a Treaty, but a Constitutional Treaty.
Nennen wir es anders, weil es ja auch mitschwingend andere Dinge impliziert.	Let us give it another name, because it resonates with other implications.
Das muss man schon wissen.	People must already be aware of that.
Und wir werden natürlich auch Interpretationen brauchen.	What is more, we will of course need interpretations.
Deshalb ist diese Erklärung vom Typ Messina ganz wichtig.	That is why this Messina-type declaration is quite important.
Denn warum wurde denn zum Teil gegen diesen Verfassungsvertrag mobil gemacht?	Why was there some opposition to this Constitutional Treaty?
Weil die Sorge herrschte, da werden mehr liberale oder sonstige Tendenzen zu stark betont.	Because there were concerns that liberal or other tendencies were being over-emphasised.
Ich bin anderer Meinung.	I am of a different opinion.
Ich glaube, dass dort massive individuelle soziale Grundrechte drinstehen.	I believe that the Constitutional Treaty contains solid individual social basic rights.
Zwölf konkrete bis hinauf zum Europäischen Gerichtshof einklagbare Grundrechte stehen dort drin.	It contains twelve concrete basic rights which can be enforced right up to the level of the European Court of Justice.
Niemand weiß es.	Nobody knows about them, however.
Ich glaube, dass wir versuchen müssen, dieses Element des europäischen Lebens und des Sozialmodells stärker ins Zentrum zu rücken.	I believe that we must try to bring this element of European life and of the European social model more into the spotlight.
Und wenn wir das tun, dann sind wir besser aufgestellt und müssen uns nicht vor der kritischen Sektion fürchten. Denn beim Eurobarometer waren immerhin — wenn ich die Zahl hier richtig lese — 63 % der europäischen Bürger für eine solche Verfassung oder einen Vertrag.	If we can do that, then we shall be in a better position and less vulnerable to criticism, for, according to Eurobarometer - – if I read the figures correctly - 63% of Europeans are in favour of such a Constitution or Treaty.
Es kann doch nicht sein, dass eine Minderheit ganz Europa ihren Stempel aufdrückt.	It is not right that a minority put its stamp on the whole of Europe.
Es muss doch möglich sein, dass man auch zu einer gemeinsamen konsensualen Lösung kommt, gegen die manche natürlich Einwände haben.	It must be possible to come to a common solution, characterised by consensus, even while some are bound to find fault.
Selbstverständlich, das gehört zur Demokratie dazu.	That is democracy, after all.
Aber es muss möglich sein, dass die Mehrheit für eine Mehrheitsauffassung kämpft, und das tue ich.	It must be possible for the majority to fight for a majority view, and that is what I am doing.
Zur Frage der Ortstafeln eine kurze Bemerkung, weil ja nicht alle im Bilde sind.	I shall say a few words about the subject of sign posts, just to put everyone in the picture.
Voriges Jahr sind in Österreich mit mir 20 zweisprachige Ortstafeln zusätzlich aufgestellt worden, mit Einbindung des Landeshauptmanns und unter dem Jubel aller politischen Parteien.	Last year in Austria, I was partly responsible for having 20 extra bilingual signposts put up with the cooperation of the Austrian Regional Governor, a measure that was greatly welcomed by all the political parties.
Ich habe jetzt eine Verordnung in Begutachtung, wonach weitere 60 aufgestellt werden sollen.	I now have an ordinance in the course of being appraised which will provide for a further 60.
Wir erwarten diese Woche eine weitere Erkenntnis des Verfassungsgerichtshofs, und wir werden es nächste Woche beschließen.	We expect the Constitutional Court of Appeal also to recognise the ordinance this week, and we shall produce the final resolution next week.
Aber noch wichtiger für mich, unabhängig von den Tafeln: Der schönste Erfolg für die Minderheitenpolitik in Kärnten ist, dass derzeit 36 % sämtlicher Pflichtschüler in Kärnten eine zweisprachige Volksschulklasse besuchen und damit Deutsch und Slowenisch lernen — freiwillig.	However, for me the most important issue is not that of the sign posts. The greatest success for minority politics in Carinthia is that 36% of all school-age children in Carinthia now attend bilingual primary school classes and learn German and Slovenian – voluntarily.
Das ist der eigentliche Erfolg des europäischen Modells, dass wir nämlich freiwillig neugierig auf unsere Sprachen werden.	That is the real success of the European model: the fact that we are voluntarily becoming curious about our languages.
Ich freue mich sehr über das Lob, dass wir ein bisschen Realismus hineingebracht haben.	It makes me very happy to hear praise that we have introduced a bit of realism.
Ich halte nichts von den tönenden Phrasen, die sind übermorgen als heiße Luft enttarnt.	I have no time for those who mutter that it is all hot air and will evaporate tomorrow.
Man muss sich sehr professionell auf das vorbereiten, was man zu tun hat, und die Finnen werden das — Viel Glück! — ganz genau so tun.	We need to prepare in a very professional manner for what we have to do, and the Finns will do just that. I wish them well.
Matti Vanhanen und sein Team, Erkki Tuomioja und alle anderen werden das genau so wie wir tun und später dann die Deutschen.	Matti Vanhanen and his team and Erkki Tuomioja and all the rest will do so just as we have, as will the Germans thereafter.
Aber ein bisschen können wir schon noch lernen, nicht nur kulturell, sondern auch sportlich von dem, was sich jetzt abspielt.	However, we still have something to learn, and not only culturally but also in terms of sport, from what is now happening.
Ich habe eben ausgerechnet: Bisher hatten wir 32 Spiele bei der Fußballweltmeisterschaft, davon 20 Europa gegen den Rest der Welt, d. h. gegen andere Kontinente.	I have just worked out that, so far, we have seen 32 matches in the football world cup, of which 20 have pitted Europe against the rest of the world, that is to say against other continents.
Unsere Leistungsbilanz sind 12 Siege, 4 Unentschieden, 4 Niederlagen.	We have won twelve, drawn four and lost four.
Das ist nicht so schlecht für einen , und wenn wir das jetzt politisch auf anderen Ebenen nachmachen, dann kann nichts mehr schief gehen.	That is not bad for a global player and, if we do the same in our political dealings, nothing can go wrong anymore.
