amtierender Ratspräsident.	President-in-Office of the Council.
Die Parlamentarische Versammlung Europa-Mittelmeer leistet durch ihren interparlamentarischen Dialog einen wichtigen Beitrag zur Vertiefung der Nord-Süd-Beziehungen.	The Euro-Mediterranean Parliamentary Assembly makes an important contribution to closer North-South relations through its interparliamentary dialogue.
Ob Zivilgesellschaft, Regierung oder Parlament - wir haben trotz unterschiedlicher Strukturen und Aufgaben das Ziel, die Mittelmeer-Partnerschaft voranzubringen und wollen gemeinsam dazu beitragen.	All of us, whether in civil society, government or parliament and in spite of our diverse structures and responsibilities, have the aim of nurturing our partnership with the Mediterranean region and the will to work together to that end.
Lassen Sie mich nun zu dem Teil des Berichts kommen, der sich mit der Finanzhilfe für die Palästinenser befasst.	Let me now move on to the part of the report that deals with financial assistance for the Palestinians.
Zunächst möchte ich jedoch erwähnen, dass wir die jüngsten Entwicklungen in den palästinensischen Gebieten - und hier vor allem im Gazastreifen - mit großer Sorge beobachten.	Before discussing the report, however, I would like to mention that we have been following the latest developments in the Palestinian territories, and especially in the Gaza Strip, with deep concern.
Die schweren Kämpfe zwischen der Fatah und der radikalislamischen Hamas in der vergangenen Woche haben dort über 100 Menschenleben und eine hohe Zahl von Verletzten gefordert.	The violent clashes between Fatah and the radical Islamist movement Hamas in the past week have claimed more than 100 lives and left many people with serious injuries.
Die Hamas-Milizen haben mit brutaler Gewalt gegen die legitimen nationalen Sicherheitskräfte, Zivilisten und humanitäre Helfer die faktische Herrschaft über das Gebiet übernommen.	The Hamas militias have effectively taken control of the territory, using brute force against the legitimate national security forces, civilians and aid workers.
Präsident Abbas hat sich vor diesem Hintergrund gezwungen gesehen, die Regierung der Nationalen Einheit aufzulösen, den Notstand auszurufen und eine Notstandsregierung einzusetzen.	In this situation, President Mahmoud Abbas has been compelled to dissolve the Unity Government, declare a state of emergency and appoint an emergency government.
Die mit saudischer Hilfe im Februar in Mekka erreichte innerpalästinensische Aussöhnung ist damit hinfällig, die Regierungsbeteiligung von Hamas ist beendet.	The deal that was struck between the Palestinian factions with Saudi Arabian help in Mecca in February has thus collapsed, and the involvement of Hamas in the government of the country has been ended.
Auch die ohnehin schon schwierige humanitäre Lage im Gazastreifen hat sich weiter verschlechtert.	The humanitarian situation in the Gaza Strip, which was difficult enough before, has further deteriorated.
Die Krankenhäuser sind völlig überlastet und medizinisch unterversorgt.	The hospitals are completely overcrowded and are short of medical supplies.
Der ganz überwiegende Teil der Bevölkerung in Gaza ist von Lebensmittelhilfe abhängig.	The vast majority of the population of Gaza are dependent on food aid.
Die Hilfsorganisationen mussten einen Teil ihrer Arbeit einstellen, da sie um die Sicherheit ihres Personals fürchten - leider zu Recht, wie der Tod zweier Mitarbeiter von UNRWA durch die Kämpfe gezeigt hat.	Aid organisations have had to suspend some of their activities because they fear for the safety of their staff - and rightly so, I am sorry to say, as was shown by the deaths of two UNRWA workers caught in crossfire during gun battles.
Die Außenminister der Europäischen Union haben beim Allgemeinen Rat am Montag ein sofortiges Ende der Gewalt gefordert und Präsident Abbas ihre volle Unterstützung bei seinen Entscheidungen zugesichert.	At Monday's meeting of the General Affairs Council, the Foreign Ministers of the European Union called for an immediate end to the violence and assured President Abbas of their full support for his decisions.
Sie haben die sofortige Wiederaufnahme normaler Beziehungen mit der neuen Regierung unter Regierungschef Fayyad beschlossen sowie ihre Absicht erklärt, die Bedingungen für eine Wiederaufnahme der direkten finanziellen und praktischen Unterstützung zu schaffen.	They decided to resume normal relations immediately with the new government under Prime Minister Salam Fayyad and declared their intention to create conditions in which the provision of direct financial and practical assistance could also be resumed.
Zudem haben die Außenminister bekräftigt, die Menschen im Gazastreifen in ihrer humanitären Notlage nicht allein lassen zu wollen.	The Foreign Ministers also reaffirmed that they did not wish to leave the people of the Gaza Strip without humanitarian assistance in their present distress.
Welche weiteren Konsequenzen im Einzelnen aus der veränderten Situation gezogen werden müssen, wird derzeit diskutiert.	Other conclusions that may have to be drawn in the light of the new situation are currently being discussed.
Die Einführung des Finanzierungsmechanismus TIM im Juni 2006 durch die Europäische Union hat maßgeblich dazu beigetragen, die dringendsten Bedürfnisse der notleidenden palästinensischen Bevölkerung aufzufangen.	The introduction by the European Union of the temporary international funding mechanism TIM in June 2006 has played a significant part in meeting the most urgent needs of the beleaguered Palestinian population.
Die Struktur des TIM ist transparent, der Mechanismus hat sich als flexibles und wirkungsvolles Instrument erwiesen.	The structure of TIM is transparent, and the mechanism has proved to be a flexible and effective instrument.
Die Europäische Kommission und die Mitgliedstaaten haben im vergangenen Jahr bereits über 300 Mio. Euro Hilfe durch TIM direkt an die palästinensische Bevölkerung geleistet und setzen ihre Zahlungen, auch und gerade in der jetzigen Situation, weiter fort.	Last year alone, the European Commission and the Member States provided more than 300 million euros' worth of direct aid to the Palestinian population through TIM and are continuing to make their payments in the present situation, in which these funds have become even more crucial.
Dies ist immer wieder zu unterstreichen und zu betonen, weil gelegentlich auch in der Öffentlichkeit etwas anderes vermittelt wird.	This needs to be underlined and emphasised time and again, because a different picture is occasionally painted, even in the media.
Daher begrüßen wir auch die Entscheidung des Nahost-Quartetts, das Mandat des TIM um weitere drei Monate bis Ende September zu verlängern.	For this reason we also welcome the decision of the Middle East Quartet to extend the TIM mandate for another three months until the end of September.
Zu Recht fordern Sie in Ihrem Bericht Israel dazu auf, die zurückbehaltenen Zoll- und Steuereinnahmen an die Palästinenser auszuzahlen.	In your report you rightly call on Israel to release the tax and customs revenue it has been withholding from the Palestinians.
Auch die Europäische Union hat Israel hierzu wiederholt aufgerufen, so zuletzt in der Erklärung des Allgemeinen Rates vom 18. Juni.	The European Union has also made repeated calls to this effect, most recently in the conclusions adopted by the General Affairs Council at its meeting on 18 June.
Die israelische Regierung hat - wir hatten ja einen Dialog mit der israelischen Außenministerin, Frau Livni - angekündigt, nunmehr zur Auszahlung bereit zu sein.	The Israeli Government has announced - as you know, we had talks with the Israeli Foreign Minister, Tzipi Livni - that it is now ready to release the funds.
Wir versprechen uns davon auch einen dringend benötigten Impuls für die palästinensische Wirtschaft.	We very much hope that this will give the Palestinian economy a desperately needed boost too.
Ohne eine spürbare Verbesserung auch in diesem Bereich wird eine politische Lösung keinen Erfolg haben können.	This is another area in which the prospect of a political solution depends on a perceptible improvement.
Auch hinsichtlich der von Ihnen angesprochenen notwendigen Reformen des öffentlichen Finanzgebarens, einschließlich der Finanzkontrolle und Rechnungsprüfung, ist die Europäische Union bereits tätig.	The European Union is already active in another area to which you referred, namely the essential reform of public finances, including financial control and auditing.
Die Kommission unterstützt das palästinensische Finanzministerium durch technische Hilfe beim weiteren Ausbau transparenter Strukturen für den palästinensischen Haushalt.	The Commission is assisting the Palestinian Ministry of Finance in the ongoing development of transparent structures for the Palestinian budget.
Das Ziel der Europäischen Union ist und bleibt: Zwei Staaten - Israel und Palästina -, die Seite an Seite miteinander sowie mit den Nachbarn in der Region in Frieden leben.	The aim of the European Union is, and will remain, two states - Israel and Palestine - living side by side in peace with each other and with their neighbours in the region.
Wir wollen dazu beitragen, langfristig bessere Lebensbedingungen für die Palästinenser zu schaffen, anstatt Krisenmanagement zu betreiben.	We want to help in the long-term creation of better living conditions for the Palestinians instead of engaging in crisis management.
Die letzten Wochen haben mehr als deutlich gemacht, warum dies dringend nötig ist.	The last few weeks have made it crystal-clear why this is an urgent necessity.
