(Beifall)	(Applause)
Die Erfahrung lehrt uns also, dass wir für unseren Kontinent Erfolg haben, wenn wir selbst es wollen, wenn unser Wille stark und entschlossen bleibt, die Einheit unseres Kontinentes bei Bewahrung seiner Vielfalt zu verwirklichen.	Experience, then, teaches us that we can win successes for Europe when we want them ourselves, when our will to achieve unity for our continent while maintaining its diversity remains strong and determined.
Um diese Entschlossenheit möchte ich Sie heute alle bitten.	I would like, today, to ask you all to continue in this determination.
Aber wir werden dabei nur erfolgreich sein, wenn die Bürgerinnen und Bürger der Europäischen Union sich - neben ihrer Verbundenheit zur Heimat und zum eigenen Vaterland - auch als Europäerinnen und Europäer begreifen und sich bewusst sind, was sie verbindet.	We shall only succeed in this, though, if the citizens of the European Union - alongside their attachment to home and their own country - understand and are aware, as Europeans, of what binds them to one another.
Gemeinschaftsbewusstsein und Wir-Gefühl sind notwendige Voraussetzungen für unsere gemeinsame europäische Zukunft.	A sense of community and a sense of being 'us' are necessary conditions for our shared future.
Die europäische Einigung ist dabei nicht nur ein Anliegen, das uns unser Verstand gebietet, sondern auch ein Anliegen des Herzens.	European unification is not simply a desire dictated by our minds; European unification is also an affair of the heart.
Dies den Menschen deutlich zu machen, ist vielleicht die größte Aufgabe, die wir gemeinsam zu bewältigen haben.	Making this clear to people is perhaps the greatest challenge that we must meet together.
Wir müssen den Bürgerinnen und Bürgern der Europäischen Union dienen.	What we have to do is to serve the citizens of the European Union.
Die Europäer sollten stolz darauf sein, was sie sich über die Jahrhunderte erkämpft haben - an Werten, Freiheit, Recht und Demokratie.	Europeans should be proud of what they have achieved by their labours over the centuries in terms of values, freedom, law and democracy.
Es war ein langer Weg.	It has been a long haul.
Wir wissen: unsere europäischen Wurzeln sind die griechische Philosophie, das römische Recht, das jüdisch-christliche Erbe, die Aufklärung, also unsere gemeinsame europäische Kultur.	We know that our European roots lie in Greek philosophy, Roman law, the Judeo-Christian heritage, the Enlightenment - in other words, in our shared European culture.
Aber dazu gehören auch die tragischen europäischen Bürgerkriege und im 20. Jahrhundert die menschenverachtenden Ideologien des Totalitarismus und dann nach 1945 der Mut der Gründerväter, den Weg des Vergebens und der Versöhnung zu gehen, ein neues, besseres, friedliches, gemeinsames Europa zu bauen.	Together with those, though, there have also been tragic European civil wars, and in the 20th century the totalitarian ideologies, with their contempt for humanity, and then, in 1945, the courage of the founding fathers in following the path of forgiveness and reconciliation, in building a new, better, more peaceful, shared Europe.
Daran sollten wir uns auch heute erinnern und unsere Gemeinsamkeiten wieder entdecken.	We should still remember this today, and rediscover the things that are common to us all.
Der große französische Europäer Jacques Delors hat, ganz in der Tradition von Robert Schuman, von der "europäischen Seele" gesprochen.	The great French European Jacques Delors followed Robert Schuman in speaking of the 'European soul'.
Der große polnische Europäer, Wladyslaw Bartoszewski, hat einmal gesagt: "Europa, das bedeutet vor allem die Freiheit der Person, die Menschenrechte - politische und ökonomische".	The great Polish European Władysław Bartoszewski once said: 'Europe means above all else freedom of the individual and human rights - both political and economic'.
Beide haben Recht.	They were both right.
Ich möchte von den europäischen Werten sprechen.	I would like to talk about European values.
Sie gründen im Kern in der Würde des Menschen.	They are, in essence, founded upon the idea of human dignity.
In der Würde der Person achten wir den Anderen, verpflichten uns selbst und bauen so eine Ordnung der Verantwortung und Solidarität.	It is in the dignity of the individual that we respect the other, place ourselves under obligations, and thus build a system based on responsibility and solidarity.
In unserem praktischen politischen Handeln sollten wir immer der Würde des Menschen dienen, und ich möchte uns alle ermuntern, die Menschenwürde und die Menschenrechte in der ganzen Welt zu verteidigen.	In our practical political activities we should always serve the cause of human dignity, and I would like to encourage all of us to defend that, and human rights throughout the world.
Das ist keine abstrakte Forderung.	That is not an abstract plea.
Wir sind nicht der Lehrmeister der Welt, aber unser Menschenbild und unsere Werte werden für andere überzeugender, wenn wir sie selber glaubwürdig leben.	We are not the world's teachers, but our humanitarian image and our values become more convincing to others if we live our own lives with credibility.
Das hat sehr konkrete Folgen für unsere Politik:	This has very concrete implications for our policies:
Wir wollen Partnerschaft mit einem handlungsfähigen und demokratischen Russland. Deswegen erwarten wir von den russischen Behörden erkennbare Anstrengungen, dass die Mörder von Ana Politkowskaja, die soviel für die Pressefreiheit in ihrem Land getan hat, der gerechten Strafe zugeführt werden.	we want partnership with a Russia that is democratic and capable of action, and so we expect the Russian authorities to make visible efforts to ensure that the murderers of Ana Politkovskaya, who did so much for press freedom in her country, are punished appropriately.
(Beifall)	(Applause)
Wir werden niemals vergessen, dass ohne die Vereinigten Staaten von Amerika weder der Nationalsozialismus noch der sowjetische Kommunismus hätten bezwungen werden können. Aber wir sagen unseren amerikanischen Freunden auch: mit unseren europäischen Prinzipien einer Rechtsordnung ist "Guantanamo" nicht vereinbar.	We shall never forget that without the United States of America neither National Socialism nor Soviet communism could have been vanquished, but we also have to say to our American friends that Guantánamo is incompatible with any legal order founded upon our European principles.
(Beifall)	(Applause)
Wir schützen das menschliche Leben.	We protect human life.
Wer den Holocaust, das böseste aller Verbrechen, leugnet, wie der Staatspräsident einer großen Kulturnation, dem müssen wir mit Entschiedenheit begegnen, damit ein neuer Holocaust nicht wieder als Schrecken über uns kommt.	If anyone - as, for example the President of a nation with a great history of civilisation has done - denies the Holocaust, we will firmly repudiate such assertions in order to ensure that the horror of a new holocaust is not visited upon us.
(Beifall)	(Applause)
Wir sind überzeugt: Die Menschen in Israel und Palästina sind durch die gleiche Würde verbunden.	It is our conviction that the people of Israel and Palestine are linked by their common human dignity.
Wir treten daher ebenso für das Existenzrecht Israels ein wie für das Recht des palästinensischen Volkes, in einem eigenen Staat zu leben.	We therefore support equally the right of Israel to exist and the right of the Palestinian people to live in a State of their own.
(Beifall)	(Applause)
Wir stehen an der Seite derjenigen, die für Freiheit und Demokratie friedlich kämpfen. Deswegen gilt unsere Solidarität unserem Sacharowpreisträger Alexander Milinkiewitsch und seinen Mitstreitern für ein freies und demokratisches Weißrussland ohne Angst und Unterdrückung.	We stand alongside those who are fighting peacefully for freedom and democracy, and that explains our solidarity with the Sakharov Prize winner Alexander Milinkevich and his fellow fighters for a democratic Belarus free from fear and oppression.
Die gleiche Solidarität gilt unseren Sacharowpreisträgern "Las Damas de Blanco" (Die Damen in Weiß) in Kuba und Aung San Suu Kyi in Burma/Myanmar.	We stand in the same solidarity with our other Sakharov Prize winners, 'Las Damas de Blanco' (The Ladies in White) in Cuba and Aung San Suu Kyi in Burma/Myanmar.
Wir verteidigen die Würde des Menschen und die Menschenrechte.	We defend human dignity and human rights.
Wir, das Europäische Parlament, sind zutiefst davon überzeugt, dass die Todesstrafe damit nicht vereinbar ist.	We, in the European Parliament, are utterly convinced that the death penalty is irreconcilable with these.
Ich fordere uns alle, die Institutionen der Europäischen Union und die Mitgliedstaaten, auf, im Rahmen der Vereinten Nationen für die Abschaffung der Todesstrafe einzutreten.	I urge us all, the institutions of the European Union and the Member States, to stand up, the United Nations, for the abolition of the death penalty.
Wenn wir unsere Ziele erreichen wollen, setzt das voraus, dass wir weiter an einer handlungsfähigen Europäischen Union bauen.	If we want to achieve our goals, we must continue to work on building a European Union that is capable of action.
Wir müssen uns in eine Verfassung versetzen, die sicherstellt, dass wir unsere Werte und Interessen in Europa und in der Welt als respektierter Partner vertreten können.	We must endow ourselves with a constitution that ensures that we can represent our values and interests in Europe and as a respected partner in the world.
In meinen Ohren klingt noch die große Rede von Louise Weiss, die sie als Alterspräsidentin des ersten direkt gewählten Europäischen Parlaments am 17. Juli 1979 hier in Straßburg gehalten hat.	The great speech given by Louise Weiss on 17 July 1979, here in Strasbourg, in her capacity as Oldest Member of the first directly elected European Parliament still rings in my ears.
Sie sagte: "Vergessen wir jedenfalls nie, dass wir Erben und Vollstrecker zugleich sind: Erben einer geistigen Welt und deren Vollstrecker zugunsten kommender Generationen".	She said: 'In any event, let us never forget that we are heirs and executors at one and the same time: the heirs of an intellectual world and its executors for the benefit of coming generations'
Ich könnte keine besseren Worte finden.	I cannot put it better myself.
Wir könnten heute kaum anders empfinden als 1979 und doch stehen wir zugleich vor neuen, unseren eigenen Herausforderungen.	Our feelings today are scarcely any different from those expressed in 1979 and yet at the same time we live in a world of new challenges that are peculiarly our own.
Die Idee der Einigung Europas hat sich seit der Unterzeichnung der Römischen Verträge vor fünfzig Jahren in den großen Linien erfolgreich entwickelt.	The idea of uniting Europe has for the most part been carried through successfully since the signing of the Treaty of Rome 50 years ago.
Sie ist zum Ausdruck einer der glücklichsten Perioden in unserer langen europäischen Geschichte geworden.	It has become the outward expression of one of the happiest periods in our long European history.
Zunächst bezog die Idee Europa nach dem Zweiten Weltkrieg ihre Kraft aus dem Willen zu Frieden und Freiheit.	To begin with, after the Second World War, the idea of Europe drew its strength from the desire for peace and freedom.
Dann folgten die Mehrung des Wohlstands und der soziale Ausgleich als Auftrag und Antrieb für die europäische Einigung.	Then strengthening prosperity and achieving social equality became the tasks and motivations for European union.
In beiden Ideen ist Europa sich treu geblieben, als die Wiedervereinigung unseres Kontinents uns die einzigartige Chance zum Zusammenwachsen der viel zu lange geteilten Hälften des Kontinents in Freiheit gegeben hat.	In both ideas Europe remained true to itself, as the unifying of our continent afforded a unique opportunity for the two halves of the continent, which had been divided for far too long, to grow together in freedom.
Heute gewinnt Europa seine Anerkennung und seinen Antrieb aus dem Streben unserer Bürger nach Sicherheit.	Today, Europe is motivated by its citizens' desire for security, and is respected by them on that account.
Dies ist ein sehr ernsthaftes Anliegen, das uns mit der Bekämpfung des Terrorismus unfreiwillig, aber unausweichlich aufgetragen worden ist.	This is our very serious concern, thrust upon us, unasked for but unavoidable, by the need to combat terrorism.
Wir brauchen dazu Lösungen der Fragen, die unseren Bürgern unter den Nägeln brennen.	For this we need answers to the questions that weigh heavily on the minds of our citizens.
Zum Sicherheitsstreben gehört auch der Auftrag, Arbeit und sozialen Schutz in einer sich rasch wandelnden Welt zu schaffen.	The need for security also includes the task of providing employment and social protection in a rapidly changing world.
Wir können keine Sicherheit gegen die Globalisierung gewinnen.	We cannot make ourselves safe from globalisation.
Wir müssen sie gestalten durch Stärkung unserer Wettbewerbsfähigkeit und gleichzeitige Bewahrung unseres europäischen Sozialmodells.	We must construct a cushion by strengthening our competitiveness while retaining the European social model.
Dazu gehört, dass wir nicht nur über den dramatischen Klimawandel reden, sondern - zusammen mit unseren Partnern in der Welt - die notwendigen Maßnahmen ergreifen und sie entschlossen durchsetzen, bevor es zu spät ist.	It includes not just talking about the dramatic change in climate, but taking the necessary measures - together with our partners in the world - and enforcing them with determination, before it is too late.
Zur Sicherheit gehören die gemeinsame Energieversorgung sowie eine gemeinsame Politik der Zuwanderung, die die Menschenrechte ebenso beachtet wie die Notwendigkeit der Integration in unserer Gesellschaft.	Security involves such things as a shared supply of energy and a common immigration policy that takes as much account of human rights as of the need for integration in our society.
Wir dürfen nicht zulassen, dass immer wieder Menschen in den Fluten des Mittelmeeres ihr Leben verlieren.	We must not allow people to go on dying in the waters of the Mediterranean.
Wir können unsere Sicherheit nicht in einer Welt finden, die in Flammen steht, in der Menschen in Armut und unter sozialem Druck leben, wo Unordnung herrscht und in der die natürlichen Umweltbedingungen weiter zerstört werden.	We cannot find the security we seek in a world that is going up in flames, in which people live in poverty and subject to social pressure, a world in which disorder prevails and in which the natural environment continues to be destroyed.
Wenn wir in Europa in Sicherheit leben wollen, müssen wir uns als Partner für die Sicherheit in der Welt in allen ihren Aspekten engagieren. Und wir müssen wissen: Ohne europäische Lösungen lassen sich die meisten Herausforderungen, vor denen unser Kontinent und unsere Welt stehen, nicht mehr bewältigen.	If we in Europe wish to live in security, we must commit ourselves as a partner to every aspect of the world's security, and we must be aware of the fact that, without European solutions, most of the challenges faced by this continent and the world can no longer be met.
Europas Einigung ist stets durch Krisen gestärkt worden, auch wenn dies zunächst paradox erscheint.	Paradoxical though it may seem at first sight, Europe's unity has always been strengthened by crises.
Ich sage nicht, dass wir Krisen brauchen, weil wir unfähig wären, das Gute aus sich selbst heraus voranzubringen.	I am not saying that we need crises because we are incapable of extracting good results from good circumstances.
Die Europäische Union braucht einen neuen Aufbruch, eine Erneuerung.	The European Union needs a new departure, a renewal.
Der Weg ist mühsam, das ist wohl wahr. Aber ich bin zutiefst davon überzeugt: Unser Kontinent ist heute besser für seine Zukunft in der Welt des 21. Jahrhunderts gerüstet als vor 15 oder 20 Jahren.	The road is a hard one; that is true, but I am firmly convinced that our continent is better equipped today for its future in the world of the 21st century than it was 15 or 20 years ago.
Wir selbst werden daran gemessen werden, inwieweit wir die Neubegründung der europäischen Einigung auf eine dauerhaft gute und sichere Bahn gebracht haben.	We ourselves shall be judged on how well we set the newly achieved European unity on a lastingly good and safe path.
Von uns Politikern wird Führungskraft erwartet. Wir müssen besser als dies bisher manchmal geschehen ist begründen, warum Europa gut ist für uns alle, welchen Mehrwert die europäische Einigung bewirkt und welchen Zielen unsere Arbeit dient.	Politicians, such as ourselves, are expected to exercise leadership; we must give better reasons than we have so far for why Europe is good for us all, what added value European union brings and what the aims of our efforts are.
Wir müssen den Eindruck überwinden, die europäische Politik habe nur eine technische Funktion, ohne Weitsicht und Sinnzusammenhang.	We must overcome the impression that European policies only have a technical function, with no long-term goal or enduring meaning.
Wir müssen durch unser Tun überzeugen. Dabei müssen wir uns auf das Wesentliche konzentrieren.	We must persuade by what we do, and if we are to do that, we must concentrate on essentials.
Es ist unsere gemeinsame Aufgabe, die Zukunft so nachhaltig vorzubereiten, dass sie für unsere Kinder und Enkel nach menschlichem Ermessen sicher ist.	It is our common task to prepare for the future in such a sustainable way that it is as safe as humans can make it for our children and our grandchildren.
Wir brauchen dazu einen neuen Aufbruch für ein besseres, ein stärkeres, ein der Zukunft zugewandtes Europa.	For this we need to make a new start, for a better Europe, a stronger Europe, a Europe that looks to the future.
Wir brauchen aber vor allem ein Europa, das an sich selber glaubt, das seine Kraft aus seinen Werten schöpft und das ein guter Partner in der Welt sein will und sein kann.	Above all, though, we need a Europe that believes in itself, that draws its strength from its values and that wants to, and can, be a good partner in the world.
Ohne die Medien können wir Europa nicht den Menschen vermitteln.	Without the media we cannot convey Europe to the public.
Ich möchte ausdrücklich den Korrespondenten und Journalisten hier in Straßburg für ihre faire und objektive Berichterstattung danken. Aber ich appelliere an die nationalen Medien, besonders die privaten und öffentlich-rechtlichen Fernsehanstalten, ihren Beitrag zu einer europäischen Öffentlichkeitsarbeit zu leisten.	I would like specifically to thank the correspondents and journalists here in Strasbourg for their fair and objective reporting, but I appeal to the national media, particularly the television channels, whether private or public, to play their part in relations with the European public.
Es ist nicht zeitgemäß, die Europäische Einigung jeweils nur aus der nationalen Perspektive darzustellen.	It is no longer appropriate to the times to portray European union only from a national perspective.
Ich bitte die nationalen Fernsehanstalten, ihre Studios für europäische Themen zu öffnen und hierzu auch Abgeordnete des Europäischen Parlaments als Gesprächspartner einzuladen.	I ask the national broadcasting corporations to open their studios to European themes and to invite Members of the European Parliament there as guests to talk about them.
(Beifall)	(Applause)
Wir brauchen einen neuen Pakt zwischen den europäischen Bürgerinnen und Bürgern und ihren politischen Institutionen in der Europäischen Union.	We need a new pact between the citizens of Europe and their political institutions in the European Union.
Das "Europa der Bürger" und die Glaubwürdigkeit der europäischen Institutionen bedingen einander.	The 'Citizens' Europe' and the credibility of the European institutions depend upon each other.
Dazu kann das Arbeitsprogramm "Bessere Gesetzgebung" einen Beitrag leisten, wenn es für mehr demokratische Kontrolle, Transparenz im Rat, verlässliche Umsetzung in nationales Recht, soziale, ökologische, ökonomische und administrative Folgenabschätzung und Vereinfachung der Rechtstexte selbst sorgt.	The 'Better Lawmaking' programme can make a contribution to this if it achieves more democratic oversight, transparency in the Council, reliable transposition into national law, social, environmental, economic and administrative impact assessment, and simplification of the legal texts.
Wir sollten uns bei beabsichtigter europäischer Gesetzgebung immer fragen: Dient sie den Menschen und der Umwelt?	When planning a piece of European legislation, we should always ask ourselves: Does it serve people and the environment?
Ist sie unter Beachtung des Grundsatzes der Subsidiarität notwendig?	Is it necessary in the light of the subsidiarity principle?
Stärkt sie unsere Wettbewerbsfähigkeit?	Does it make us more competitive?
Reduziert sie Bürokratie und Kosten?	Does it reduce red tape and costs?
Nur wenn diese Fragen positiv beantwortet werden können, sollten wir im Europäischen Parlament als Gesetzgeber tätig werden.	Only if these questions can be answered in the affirmative should we, the legislators in the European Parliament, go into action.
Wir sollten als Europäisches Parlament nicht nur darum bemüht sein, die Bürgerinteressen zu vertreten.	We, the European Parliament, should not only be at pains to represent citizens' interests.
Wir sollten auch unseren Respekt vor dem Engagement europäischer Bürgerinnen und Bürger zum Ausdruck bringen, die mit ihrem Werk das Ansehen Europas mehren - in Europa und in der Welt.	We should also show our respect for the dedication of European citizens who by their work are raising Europe's profile - in Europe and in the world.
Wir sollten dafür eine Auszeichnung des Europäischen Parlaments einführen.	We should introduce a European Parliament award for that.
Und warum sollten wir nicht auch besonders das Engagement junger Menschen für die europäische Idee würdigen?	Why, too, for that matter, should we not also pay particular honour to commitment on the part of young people to the European idea?
Hochrangige europäische Auszeichnungen haben soviel Positives im öffentlichen Bewusstsein bewirkt, warum schaffen wir nicht auch Auszeichnungen für die junge Generation, für junge Europäerinnen und Europäer, die europäisch besonders vorbildlich engagiert sind?	High-ranking European awards have had such a good effect on public awareness, why do we not create awards for the younger generation, for young Europeans who are showing exemplary dedication to the European ideal?
Die europäische Geschichte wird fast immer nur national in nationalen Museen dargestellt.	In national museums, European history is nearly always represented in purely national terms.
Ich möchte einen Ort der Erinnerung und der Zukunft anregen, in der der Gedanke der Idee Europas weiter wachsen kann.	I would like to suggest a locus for history and for the future, where the concept of the European idea can continue to grow.
Ich möchte den Aufbau eines "Hauses der Europäischen Geschichte" vorschlagen.	I would like to suggest the founding of a 'House of European History'.
Es soll kein langweiliges, trockenes Museum werden, sondern ein Ort, der unsere Erinnerung an die europäische Geschichte und das europäische Einigungswerk gemeinsam pflegt und zugleich offen ist für die weitere Gestaltung der Identität Europas durch alle jetzigen und künftigen Bürger der Europäischen Union.	It should not be a dry, boring museum, but a place where our memory of European history and the work of European unification is jointly cultivated, and which at the same time is available as a locus for the European identity to go on being shaped by present and future citizens of the European Union.
Ein solches "Haus der Europäischen Geschichte" sollte am Sitz der Europäischen Institutionen gegründet und vernetzt werden mit vergleichbaren Einrichtungen in den Mitgliedstaaten.	A 'House of European History' such as this should be established in the seat of the European institutions and should network with comparable foundations in the Member States.
Die "Erklärung zur Zukunft Europas", gemeinsam zu beschließen vom Europäischen Rat, dem Europäischen Parlament und der Europäischen Kommission am 25. März 2007 in Berlin, unter Ihrem Vorsitz, Frau Ratspräsidentin, Frau Bundeskanzlerin Angela Merkel, könnte hierfür die Vorraussetzungen schaffen.	The 'Declaration on the Future of Europe', to be adopted jointly by the European Council, the European Parliament and the European Commission on 25 March 2007 in Berlin - an event over which you, Mrs Merkel, will preside - could create the conditions for this.
Die Europäische Union ist die größte Vereinigung von Völkern in der Welt - aus 27 Nationen mit nahezu 500 Millionen Menschen.	The European Union is the largest grouping of nations in the world, consisting of 27 nations with almost 500 million citizens.
Europa ist ein komplizierter Kontinent, und dies stellt uns alle vor gewaltige Herausforderungen. Die Europäische Union kann nicht mehr mit den unzulänglichen Instrumenten des gegenwärtigen Vertragsrechts geführt werden.	Europe is a complex continent, one that presents us with enormous challenges, and the European Union can no longer be governed by the instruments of current Treaty law, which have become inadequate.
Wenn unsere Wertegemeinschaft Bestand haben soll, müssen wir sie fundamental reformieren.	If our community of values is to endure, it needs fundamental reform.
Der Verfassungsvertrag stärkt sowohl das Europäische Parlament wie die nationalen Parlamente, er ist ein Zuwachs an Parlamentarismus und Demokratie.	The Constitutional Treaty strengthens both the European Parliament and the national parliaments, strengthening both parliamentary life and democracy.
Die kommunale Selbstverwaltung als Grundlage unserer europäischen demokratischen Ordnung wird erstmals anerkannt.	Communal self-administration as the basis of our European democratic order is recognised for the first time.
Die Kompetenzordnung definiert die europäischen Zuständigkeiten.	The distribution of powers defines European competencies.
Ich sage Ihnen freimütig, liebe Kolleginnen und Kollegen: Ich verstehe diejenigen nicht, die einerseits "Brüssel" kritisieren - und dazu gibt es gelegentlich ebenso eine Berechtigung, wie man die nationale Politik kritisieren kann -, aber gleichzeitig den Verfassungsvertrag ablehnen, der ja gerade das Mittel ist, dazu beizutragen, die erkannten Defizite abzubauen und zu korrigieren.	I will be quite frank in saying that I say to you quite openly that I do not understand people who on the one hand criticise 'Brussels' - and sometimes that is just as justified as it is to criticise national politics - but at the same time reject the Constitutional Treaty, which is the very instrument we need to help eradicate and rectify the perceived deficiencies.
(Beifall)	(Applause)
Wir dürfen keinen Zweifel aufkommen lassen: Das Europäische Parlament steht zum Verfassungsvertrag.	This House stands by the Constitutional Treaty - about that we must not allow there to be any doubt.
Wir wollen mithelfen, dass die Substanz des Verfassungsvertrages einschließlich des Wertekapitels rechtliche und politische Realität wird.	We want to help make the principles and substance of the Constitutional Treaty, including its values, a legal and therefore political reality.
Der hier im Europäischen Parlament erarbeitete Konsens zur Dienstleistungsrichtlinie und zu den Grenzen der Erweiterungsfähigkeit der Europäischen Union greift vorhandene Sorgen der Menschen konstruktiv auf.	The consensus arrived at here in the European Parliament on the services directive and on the limits of the European Union's ability to enlarge is a constructive response to people's concerns.
Die "Erklärung zur Zukunft Europas" vom 25. März 2007 in Berlin kann einen weiteren wichtigen Meilenstein auf diesem Weg markieren.	The 'Declaration on the Future of Europe' scheduled for 25 March 2007 in Berlin could be another important milestone on this road.
Ihr Kern sollte sein: das Bekenntnis zu unseren Werten und zu den notwendigen Reformen; die Verpflichtung, die Herausforderungen der Zukunft, von denen ich sprach, gemeinsam zu bewältigen; das Bekenntnis zur Solidarität zwischen unseren Völkern und die Geltung des Rechts als Grundlage unseres Handelns.	At its heart should be commitment to our values and to the necessary reforms; an undertaking to rise jointly to the challenges of the future of which I spoke earlier; a commitment to solidarity among the nations of Europe and to the supremacy of law as the basis for our actions.
Kein Volk der Europäischen Union darf mit seinen fundamentalen Problemen allein gelassen werden.	No country, no nation of the European Union is to be left alone with its fundamental problems.
Dies schließt aber auch nationalen Egoismus aus.	That also, however, rules out national selfishness.
Wer nur den Interessen seines eigenen Landes dient, wird am Ende auch diese verspielen, weil er die Solidarität zerstört, die zur Verteidigung der eigenen Interessen notwendig ist.	Anyone who serves only the interests of his own country will ultimately squander these as well, because he will destroy the solidarity that is needed if they are to be defended.
(Beifall)	(Applause)
Wir wollen mithelfen, dass unter der deutschen Ratspräsidentschaft auf dem Gipfel am 21. und 22. Juni in Brüssel ein Fahrplan und ein Mandat verabredet werden, an dessen Ende die volle Verwirklichung des inhaltlichen Kerns der Europäischen Verfassung bis zur nächsten Wahl des Europäischen Parlaments im Juni 2009 steht.	We intend to help to ensure that under the German Council Presidency a road map and a mandate are agreed at the summit in Brussels on 21 and 22 June, as the outcome of which full implementation of the substantive core of the European Constitution will be in place by the next European Parliament elections in 2009.
Ich möchte daran erinnern, dass der Verfassungsvertrag von allen 27 Regierungen unterzeichnet und bereits von 18 Ländern beschlossen wurde.	I would like to remind you that the Constitutional Treaty was signed by all 27 governments and has already been adopted by 18 countries.
Natürlich müssen wir die Referenden respektieren.	Of course, we have to respect the results of the referenda.
Aber unabhängig davon: Wenn Regierungswechsel in einem Land das in der Europäischen Union Vereinbarte in Frage stellen, werden nicht nur die nationalen Gesellschaften gespalten, sondern unser ohnehin schon komplizierter Kontinent wird zunehmend handlungsunfähig.	Quite apart from that, though, if a change of government in a country calls into question that which has been agreed by the European Union, not only is society split in that nation, but our continent, which is already quite complicated enough, is increasingly incapacitated.
