amtierender Ratspräsident.	President-in-Office of the Council.
Präsident Ahtisaari hat daraufhin am 10. März die Gespräche für beendet erklärt und angekündigt, seinen Statusvorschlag umgehend an den Sicherheitsrat der Vereinten Nationen zu leiten. Nach Auffassung der Präsidentschaft völlig zu Recht.	Subsequently, on 10 March, Mr Ahtisaari declared the talks at an end and announced his intention to forward his proposed status settlement immediately to the UN Security Council - quite rightly, in the opinion of the Presidency.
Denn auch wenn die Verhandlungen noch Wochen oder Monate andauern würden - die einjährigen Direktverhandlungen zwischen Belgrad und Priština haben gezeigt, dass eine gemeinsam getragene Kompromisslösung nicht näher rückt.	After all, even if the negotiations were to continue for weeks or months to come, Belgrade and Priština are not moving any closer to a compromise solution that both sides can support, as one year's direct negotiations have shown.
Im Gegenteil: In der letzten Verhandlungsrunde hatten sich die Positionen der Parteien sogar wieder verhärtet.	On the contrary, in the last round of negotiations, the positions of the two parties had become even more entrenched.
Mit der am vergangenen Montag erfolgten Übermittlung des Statusvorschlags an den Sicherheitsrat der Vereinten Nationen ist der Prozess zur Bestimmung des Kosovo-Status in seine letzte und entscheidende Phase getreten.	The forwarding of the proposed status settlement to the UN Security Council last Monday took the Kosovo status process into its final, decisive stage.
Zum Auftakt dieser Phase ist es von entscheidender Bedeutung - Sie haben gerade darauf hingewiesen, Herr Lagendijk -, dass die Europäische Union nach außen hin geschlossen auftritt und mit einer Stimme spricht.	As Mr Lagendijk has just pointed out, it is essential that the EU introduce this stage by presenting a united front externally and speaking with one voice.
Je sichtbarer die Einigkeit der EU, desto geringer das Risiko einer dauerhaften Blockade im Sicherheitsrat.	The more visible the EU's unity, the smaller the risk of a permanent blockade in the Security Council.
Die Präsidentschaft der Europäischen Union geht davon aus, dass der Sicherheitsrat seiner Verantwortung gerecht wird, und hofft, dass er den Vorschlag zeitgerecht billigen wird.	The Presidency of the European Union trusts that the Security Council will discharge its responsibility, and hopes for its timely endorsement of the proposal.
Einige Worte zur künftigen Rolle der Europäischen Union im Kosovo.	I should like to say a few words about the future role of the EU in Kosovo.
Die Europäische Union ist bereit, bei der Umsetzung der Statusregelung eine wichtige Rolle zu übernehmen.	The EU is prepared to take on an important role in the implementation of the status settlement.
Die Vorarbeiten der Europäischen Union für unseren Beitrag zu einer internationalen Präsenz im Kosovo nach der Regelung der Statusfrage kommen gut voran.	Work by the EU to prepare our contribution to an international presence in Kosovo following the resolution of the status issue is making good progress.
Die Vorarbeiten der EU konzentrieren sich auf folgende drei Bereiche: Erstens auf die Unterstützung für die vorgeschlagene internationale zivile Präsenz.	The EU's preparatory work focuses on the following three fields. Firstly, on support for the proposed international civilian presence.
Unser EU-Vorbereitungsteam für diese künftige internationale zivile Präsenz arbeitet vor Ort auch eng mit KFOR, UNMIK und der Führung des Kosovo zusammen, um die Einrichtung und Arbeitsaufnahme des International Civilian Office (ICO) gezielt vorzubereiten.	The relevant EU preparatory team is working locally, including in close cooperation with KFOR, UNMIK and Kosovo's leaders, on targeted preparations for the establishment and inauguration of the International Civilian Office (ICO).
Zweitens auf die Vorbereitung der ESVP-Rechtsstaatsmission, bei deren Planung wir bereits große Fortschritte gemacht haben.	Secondly, our work focuses on preparations for the ESDP rule of law mission. We have already made great progress on these.
Wir rechnen damit, dass die Europäische Union ein Mandat erhält, das die Überwachung, die Begleitung und die Beratung der lokalen Behörden im weiter gefassten Bereich der Rechtsstaatlichkeit umfasst.	We anticipate that the EU will be granted a mandate that includes monitoring and providing guidance and advice to the local authorities in the broader area of the rule of law.
Wir rechnen außerdem damit, dass vom Mandat Exekutivbefugnisse in einigen polizeilichen Bereichen abgedeckt werden, einschließlich der Aufrechterhaltung der öffentlichen Ordnung bei Menschenansammlungen und Unruhen sowie im Justiz- und Zollbereich.	We also expect the mandate to cover executive powers in some fields relating to the police - including the maintenance of law and order in the case of disorder and gatherings of people - and to the judiciary and customs.
Unsere Planung ist flexibel und wird gegebenenfalls an die Entwicklungen der Lage angepasst.	Our planning is flexible and will be adapted to developments in the situation if necessary.
Drittens konzentrieren sich die Vorarbeiten auf die Konkretisierung der europäischen Perspektive des Kosovo und auf die Unterstützung für seine wirtschaftliche und soziale Entwicklung.	Thirdly, the preparatory work focuses on defining the prospect of Kosovo's EU membership and on support for its economic and social development.
Vor diesem Hintergrund begrüßen wir das Interesse des Europäischen Parlaments am Kosovo, das auch im vorliegenden Berichtsentwurf zum Ausdruck kommt.	In this context, we welcome Parliament's interest in Kosovo, which is also reflected in this draft report.
Der Bericht von Ihnen, Herr Lagendijk, unter dem Titel "Die Zukunft des Kosovo und die Rolle der Europäischen Union" stellt einen wertvollen Beitrag zu den internationalen Bemühungen zur Förderung einer dauerhaften Lösung im Kosovo dar.	Mr Lagendijk's report on the future of Kosovo and the role of the EU represents a valuable contribution to international efforts to promote a lasting solution to the Kosovo issue.
Zum Abschluss möchte ich noch einmal darauf hinweisen, dass der Prozess zur Klärung des Status des Kosovo in eine entscheidende Phase eintritt.	I should like to conclude by reiterating that the process of resolving the status of Kosovo is entering a decisive stage.
Dabei steht die EU vor einer doppelten Herausforderung.	This means the EU faces a twofold challenge.
Erstens, ihre Einigkeit bei der gemeinsamen Suche mit unseren internationalen Partnern nach einer dauerhaften Lösung für den Kosovo, Serbien und die Region insgesamt zu bewahren und, zweitens, ihre Vorbereitungen für die Unterstützung der internationalen Bemühungen zur Umsetzung des Status zu intensivieren.	Firstly, maintaining unity in its search, together with its international partners, for a lasting solution for Kosovo, Serbia and the region as a whole; and, secondly, intensifying its preparations to support international efforts to implement Kosovo's status.
Die Kosovo-Statuslösung ist der Endpunkt der Auflösung des ehemaligen Jugoslawiens.	The Kosovo status settlement represents the end point in the dissolution of the former Yugoslavia.
Sie ist ein Fall sui generis und kann daher keinerlei Präzedenz für andere so genannte frozen conflicts setzen.	It is a unique case and, as such, cannot set any precedents for other 'frozen conflicts'.
Die Statuslösung ist eine Grundvoraussetzung für die Stabilisierung des Kosovo, Serbiens und der gesamten Region.	The status settlement is a fundamental precondition for stabilising Kosovo, Serbia and the region as a whole.
Dauerhafte Stabilität auf dem westlichen Balkan - die Konflikte der neunziger Jahre haben dies belegt - ist eine zentrale, ja vitale Frage europäischer Sicherheit.	As the conflicts of the 1990s have proved, sustainable stability in the Western Balkans is an issue central, not to say vital, to European security.
Wie auch in vielen anderen Bereichen ist dabei unsere Einigkeit und Geschlossenheit ein wesentlicher Schlüssel, um eine dauerhafte Lösung zu erreichen.	As in other fields, our unity is key in achieving a lasting solution.
