Herr Präsident! Ich muß und ich kann mich kurzfassen.	Mr President, I must, and can, be brief.
Wenn man die Petitionen sieht, die an den Petitionsausschuß des Europäischen Parlaments gerichtet wurden, weil die Regulierung von Verkehrsunfällen in einem anderen Land Jahre und Jahre in Anspruch genommen hat, dann bin ich ganz sicher, daß wir mit dieser Richtlinie einen ganz entscheidenden Schritt nach vorn tun.	When I look at the petitions which have been sent to the European Parliament' s Committee on Petitions because claims arising from traffic accidents in another country have taken years and years to settle, I am quite sure that this directive constitutes a very decisive step forward.
Natürlich können wir nichts an dem anzuwendenden Recht und der gerichtlichen Zuständigkeit ändern, aber mit dem Vorschlag, den wir jetzt machen, daß jeder Versicherer in jedem anderen Land einen Schadensregulierungsbeauftragten hat, mit diesem System können wir wahrscheinlich immerhin 90 % aller Verkehrsunfälle, die sich in einem anderen Land zutragen, für die Unfallopfer befriedigend regeln.	Obviously, we cannot in any way change either the law which has to be applied or the legal jurisdiction, but by now proposing a system whereby each insurer has a claims representative in every other country, we will probably be able, as far as the accident victim is concerned, satisfactorily to settle the claims arising from 90% of all traffic accidents which take place in another country.
Das ist ein sehr großer Schritt nach vorne.	That is a very big step forward.
Es gab in der Debatte, die wir hatten, einige Fragen, die noch offen waren.	When we debated this, some questions were still open.
Ich habe, und das ist nur ein Punkt, den ich erwähnen möchte, etwas bedauert, daß die Entschädigungsstellen - und das war ja eine Idee der Kommission - im Laufe des politischen Diskussionsprozesses allmählich geschwächt werden sollten.	I did, and I would just mention this point, rather regret the fact that the compensation bodies - and these were, after all, the Commission' s idea - were gradually watered down during the political consultation process.
Letzten Endes haben wir trotzdem eine Lösung gefunden, die befriedigend ist, aber wir werden in drei oder vier Jahren überprüfen, was diese Richtlinie gebracht hat, und dann notfalls eine Verbesserung vorschlagen.	Nevertheless, at the end of the day, we did find a solution which is satisfactory, but in three to four years' time we will review what this directive has achieved and, if necessary, propose improvements.
Zusammenfassend möchte ich sagen: Es hat dank Ihrer Intervention, Herr Kommissar, einen wichtigen Fortschritt, was diese Richtlinie angeht, gegeben, und dafür möchte ich Ihnen ausdrücklich danken.	In conclusion, I should like to say that thanks to your intervening, Commissioner, important progress has been made on this directive, and I should specifically like to thank you for that.
Sie haben den Widerstand in ihrer eigenen Kommission überwunden.	You overcame resistance from within your own Commission.
Das war eine großartige Leistung, deswegen herzlichen Dank dafür!	This was a great achievement and we thank you very much for it.
Ich hoffe, daß wir, was den Unfallopferschutz und seine Verbesserung angeht, auch in Zukunft gut zusammenarbeiten werden.	I hope that, where the protection of accident victims and its improvement is concerned, we will also enjoy fruitful cooperation in the future.
