Herr Präsident! Den Kollegen Gargani, den ich jetzt hier vertrete, möchte ich entschuldigen.	. – Mr President, Mr Gargani, for whom I am deputising, sends his apologies.
Angesichts der Blockade im Rat, aber auch angesichts der Gefahr, dass bei Aufhebung dieser Blockade ein schlechtes Patent, eine schlechte Patentverordnung dabei herauskommen würde, lautet also die Frage: Was gedenkt die Kommission – die ja das Initiativrecht, das Initiativmonopol hat – möglicherweise an neuen Initiativen anzustreben, um diese Dinge wieder in Gang zu setzen und vielleicht doch noch das hehre Ziel der Lissabon-Beschlüsse bis hin zu einem europäischen Patent zu erreichen.	Given the blockade in the Council and the risk that, if this blockade is lifted, an inferior patent, an inferior patent regulation will emerge, the question which arises is this: what does the Commission – which has the right of initiative and the monopoly on initiatives – propose in the way of possible new initiatives to kickstart this again and perhaps still attain the noble objective of the Lisbon resolutions up to the point at which we have a European patent.
Der zweite Komplex, der uns berührt hat und der damals im Bericht einer „grünen“ Kollegin, der Kollegin Mercedes Echerer aus Österreich, eine erhebliche Rolle gespielt hat, ist die Frage der Verwertungsgesellschaften.	The second issue which concerns us and which played a considerable role in the report at the time by a 'green' colleague, Mrs Mercedes Echerer from Austria, is the question of collecting societies.
Wir haben uns im Rechtsausschuss in der zurückliegenden Legislaturperiode verschiedentlich mit den Verwertungsgesellschaften befasst, sowohl im Rahmen von Richtlinien, in denen diese eine Rolle spielten, als auch in dem Echerer-Initiativbericht.	We in the Committee on Legal Affairs addressed collecting societies on various occasions in the previous legislative period, both within the framework of directives in which they played a role, and in the Echerer own initiative report.
Wir sind mehr oder weniger einhellig zu dem Ergebnis gekommen, dass es notwendig ist, bei Anerkennung der Rolle der Verwertungsgesellschaften jedenfalls sowohl bei den Entscheidungsprozessen dieser Gesellschaften als auch bei den Gebührenstrukturen, sowohl zugunsten des Nutzers als auch im Interesse der Inhaber dieser geistigen Schutzrechte zu einem größeren Maß an Transparenz zu gelangen.	We came more or less unanimously to the conclusion that it is necessary, when acknowledging the role of collecting societies, both in the decision-making processes of these companies and in fee structures, to achieve an adequate degree of transparency both for the benefit of users and in the interests of the holders of the intellectual property rights.
Wir wissen, dass es innerhalb der Kommission Überlegungen gibt und dazu wohl auch schon eine Folgeabschätzung durchgeführt wurde oder durchgeführt wird, wo es darum geht – dies es ist auch im Legislativprogramm der Kommission angekündigt –, dass man im Verlaufe dieses Jahres einen konkreten Rechtsetzungsvorschlag unterbreiten will.	We know that the Commission is considering this and has already carried out or is already carrying out a follow-up assessment with a view – and this was also announced in the Commission's legislative programme – to submitting a specific proposal for legislation during the course of this year.
Ich höre jetzt aber auch aus der Kommission, dass die Frage noch offen ist, ob es eine Empfehlung werden soll oder ob es gegebenenfalls eine Richtlinie sein wird.	However, I now hear from the Commission that the question of whether there should be a recommendation or whether a directive is needed is still open.
Ich hätte zu dieser Frage von der Kommission gerne Auskunft darüber, was passiert.	I would welcome information from the Commission as to what is happening.
Wir wissen zwar, dass der „Markt“, um den es hier geht, nicht in der gleichen Größenordnung wie bei anderen Fragen liegt, aber es ist für die Entwicklung des europäischen Binnenmarktes trotzdem auch von Bedeutung, dass wir diese Frage klären, für eine vernünftige Transparenz in diesem Sektor sorgen und vielleicht auch Initiativen ergreifen, um grenzüberschreitend die Nutzung von Urheberrechten zu erleichtern.	We know full well that the 'market' at issue here is not of the same order of size as in other cases, but it is nonetheless of importance to the development of the European single market that we clarify this question, ensure there is reasonable transparency in this sector and perhaps also take initiatives in order to facilitate the cross-border use of copyrights.
Dahin gehend gibt es schließlich auch Aktivitäten und Überlegungen.	There are at last thoughts and activities in this direction also.
Uns würde interessieren, was die Kommission in dieser Frage zu tun gedenkt.	We would be interested in hearing what the Commission intends to do about this.
