Herr Präsident, werte Frau Haug! Erst einmal meinen Dank.	Mr President, Mrs Haug, first I would like to offer my thanks.
Dann kann ich mir den Umweg über die Europäische Union tatsächlich sparen.	That being the case, I for one would be only too happy to spare us the detour via the European Union.
Gerechtigkeit in der Europäischen Union kann nur heißen, daß die ursprünglichen Ziele, nämlich ökonomische Entwicklung, Wohlstand, Ausgleich der Entwicklungsunterschiede, das Kriterium für Gerechtigkeit sind.	Fairness within the European Union can only mean one thing, namely that the original objectives of economic development, prosperity, and the balancing out of developmental differences constitute the criteria by which fairness is measured.
Letztlich stellt jeder Haushalt die finanzielle Umsetzung der politischen Strategien dar.	Ultimately, every budget represents the financial implementation of political strategies.
Die Europäische Union hat sich für die nächsten Jahre sehr viel vorgenommen.	The European Union has undertaken to do a great deal in the course of the next few years.
Wenn man parallel dazu versucht, immer nur die Ausgabenseite zu kürzen, dann wird man den politischen Notwendigkeiten einfach nicht gerecht.	If, in so doing, we are only ever going to try and reduce expenditure, then it will simply not be possible to do justice to our political needs.
Wenn man da noch Rabatte, Beitragskorrekturen und anderes einführt, könnte man nur sagen, jedes Unternehmen würde Bankrott gehen, wenn es sich so verhalten würde.	And if, in addition, rebates, corrections to contributions and so on are to be introduced, then it is only fair to say that any enterprise carrying on in this way would go bankrupt.
Das heißt, daß wir uns nun damit beschäftigen müssen, wie man die Einnahmenseite verbessern kann.	This means that we must now concentrate our minds on how we can improve our revenue.
Europa braucht ein Finanzinstrumentarium, das abgesehen von den Mitteln aus dem Bruttosozialprodukt unabhängig von den Partikularinteressen der Mitgliedstaaten ist.	Europe needs a financial instrument that, aside from the funds arising from gross domestic product, is independent of the particularist interests of the Member States.
Das heißt, wir brauchen eigene Steuereinnahmen.	In other words, we need to raise our own taxes.
In dem ersten Bericht vom März sind da eine ganze Reihe positiver Sachen angeführt worden, eine ökologische Steuer, eine CO2-Steuer, eine Steuer zur Abschöpfung kurzfristiger Spekulationsgewinne, Gewinne der EZB.	The first report in March cited a whole range of positive suggestions to this effect, i.e. an eco-tax, a CO2-tax, taxation on the creaming-off of short-term speculative gains, ECB profits.
Diesen Weg müssen wir gehen, damit das Europäische Parlament und die Europäische Union auch in Zukunft über ausreichende Eigenmittel verfügen.	This is the path we must go down if the European Parliament and European Union are to have sufficient own resources at their disposal in the future.
