. Herr Präsident, ich habe im Namen der Kommission auf fünf Themen zu antworten.	Mr President, I have to reply on five issues, on the Commission' s behalf.
Die Kommission begrüßt die Bedeutung, die das Parlament der Bekämpfung des Hooliganismus bei Fußballspielen beimißt, was in den verschiedenen Entschließungsanträgen zum Ausdruck kommt.	The Commission welcomes the importance Parliament attaches to combating football hooliganism, as reflected in the various motions for resolution.
Seit mehreren Jahren bemühen sich die Mitgliedstaaten und die Kommission um eine verstärkte Zusammenarbeit in diesem Bereich.	For several years now, the Member States and the Commission have been seeking to cooperate more closely in this field.
Das hat zu zahlreichen vereinbarten Maßnahmen geführt.	That has led to many measures being agreed between them.
Beispielsweise gibt es gemeinsame Normen für die Sicherheit in den Stadien, gemeinsame Normen für das Aufspüren von Fans, die Entsendung von Polizeibeamten ins Ausland zum Zwecke der Zusammenarbeit mit der Polizei des Gastlandes, und es gibt Informationsaustausch.	For instance, common safety standards have been agreed for football stadiums, common standards for tracking down fans, police officials are sent abroad to cooperate with the host country' s police and information is exchanged.
Ein wichtiges Instrument ist das vom Rat im Juni 1999 verabschiedete Handbuch über die Zusammenarbeit der Polizeibehörden und Maßnahmen zur Gewaltprävention bei Fußballänderspielen.	One important instrument is the handbook the Council adopted in June 1999 on cooperation between police authorities and measures to prevent violence at international football matches.
Das Handbuch enthält konkrete Verhaltensmaßregeln für die Polizei, die bei der Europameisterschaft 2000 in den Niederlanden und in Belgien zum ersten Mal angewendet wurden.	The handbook sets out practical rules of conduct for the police, which were applied for the first time at the Euro 2000 championship in the Netherlands and Belgium.
Die Auswertung der Europameisterschaft 2000 wird zu zahlreichen nützlichen Erkenntnissen über mögliche Verbesserungen bei der Bekämpfung des Hooliganismus führen.	The evaluation of the Euro 2000 championship will provide a great deal of useful information on improving the measures to combat hooliganism.
Eine im Rahmen des Programms der Zusammenarbeit der Polizei- und Zollbehörden von der Europäischen Union mitfinanziertes niederländisch-belgisches Projekt führt die wissenschaftliche Auswertung durch.	A Dutch-Belgian project co-financed by the European Union under the programme of cooperation between police and customs authorities is carrying out the expert evaluation.
Die Beurteilung der Polizeieinsätze während der Europameisterschaft 2000 kann künftig bei ähnlichen Veranstaltungen genutzt werden.	Its findings on the police action during the Euro 2000 championship will be useful for similar future events.
Das ist besonders wichtig für Deutschland, das heute den Zuschlag für die Ausrichtung der Fußballweltmeisterschaft 2006 bekommen hat.	That is particularly important for Germany, which today won the bid for the 2006 World Cup.
Die Kommission will die Ergebnisse dieses Projektes abwarten, bevor sie konkrete Vorschläge zur Verbesserung der gegenwärtigen Maßnahmen unterbreitet.	The Commission will await the findings of this project before putting forward practical proposals to improve the existing measures.
Allerdings kann man schon jetzt erkennen, daß wir uns auf EU-Ebene auf ein Reiseverbot für verurteilte Hooligans zu Fußballspielen mit hohem Risikopotential einigen müssen, und daß wir eine Möglichkeit finden müssen, Krawalle bei Sportveranstaltungen wirksam zu bekämpfen, damit - was ein Mitglied des Hauses gesagt hat - der Fußball wirklich ein Spiel bleibt.	However, it is becoming clear even now that we will have to agree at EU level to ban convicted hooligans from travelling to matches with a high risk potential and that we must find means of effectively combating riots at sporting events so that - as one Member of the House said - football really remains a game.
In diesem Zusammenhang will ich daran erinnern, daß die Niederlande und Belgien im Rahmen der Zusammenarbeit im Bereich Justiz und Inneres vorhaben, Vorschläge für weitere Maßnahmen zur Bekämpfung des Hooliganismus bei Fußballspielen zu unterbreiten.	In this connection, let me remind you that the Netherlands and Belgium intend to propose further measures to combat football hooliganism in the framework of cooperation in justice and home affairs.
Diese Arbeiten befinden sich allerdings noch in einer sehr frühen Phase.	However, these activities are still at a very early stage.
Nach der Auswertung der Europameisterschaft 2000 wird es zu konkreteren Kontakten zwischen der Kommission und diesen beiden Ländern kommen.	Once the Euro 2000 championship has been evaluated, the Commission and these two countries will establish more concrete contacts.
