Herr Präsident, ich habe Ihre Erklärung mit ziemlich großem Erstaunen gehört.	Mr President, I listened to your statement with a fair degree of astonishment.
Wir müssen hier also eine klare Politik verfolgen.	We must therefore follow an unequivocal political line here.
Ein zweiter Aspekt, Herr Präsident des Rates: Wir allein werden es nicht machen.	A second aspect, Mr President-in-Office, is that we shall not succeed on our own.
Die Europäische Union ist viel zu schwach, um derzeit wirklich zu handeln.	The European Union is far too weak to take real action at the present time.
Vergessen wir nicht, daß wir unseren Ruf in Bosnien und an anderen Orten ohnehin schon kaputt gemacht haben.	Let us not forget that we have already ruined our reputation as it is in Bosnia and elsewhere.
Wir sind nun einmal für viele ein Papiertiger.	The plain fact is that we are regarded by many as a paper tiger.
Wir sollten daher darauf bedacht sein, daß auch andere Kräfte an der Friedensschaffung in Algerien teilnehmen.	We should therefore be trying to ensure that other forces join us in the peacemaking venture in Algeria.
Das könnte die Arabische Liga sein, von der wir in unserer Entschließung gesprochen haben.	It could be the Arab League, which was mentioned in our resolution.
Das kann die Organisation der Afrikanischen Einheit sein.	It could be the Organization of African Unity.
Wir allein werden es nicht schaffen; wenn wir also etwas Ernstes machen wollen, müssen wir das zusammen mit anderen durchführen.	We shall not manage it alone, so if we are serious in our intent, we must make a concerted effort with other bodies.
Vergessen Sie etwas nicht: Es gibt so etwas wie einen Frieden der Tapferen.	There is something else we should not forget. There is such a thing as a brave pursuit of peace.
Man hat es bei General de Gaulle gesehen.	We saw it with General de Gaulle.
Es ist ihm gelungen.	He succeeded.
Er war bereit, mit seinen Gegnern zu sprechen, und das hat dann zu der Lösung geführt, die zweifellos auch Frankreich gewisse Vorteile gebracht hat, auch wenn es noch so schmerzlich für die Franzosen war.	He was prepared to speak to his adversaries, and that led to the solution which undoubtedly resulted in certain benefits for France too, painful though it may have been for the French people.
Ich war öfter in Algerien, ich weiß, was das für die Franzosen bedeutet hat, auch für die Franzosen, die in Algerien gelebt haben, aber wir sind verantwortlich für dieses Land.	I have visited Algeria many times, and I know what that meant to the French people, including those who lived in Algeria, but we have a responsibility towards that country.
Wir befinden uns in einer Gemeinschaft mit dem Mittelmeerraum, und Herr Präsident des Rates, der Weg, den Sie hier beschrieben haben, führt bestimmt nicht zum Frieden.	We are in a Community with the Mediterranean region, and the path you have described to us, Mr President, will certainly not lead to peace.
Wir müssen ganz andere Prinzipien zur Anwendung bringen, und dem dient unsere Entschließung!	We must apply quite different principles, and that is the purpose of our resolution.
