Herr Präsident, sehr geehrte Abgeordnete, sehr geehrter Herr Berichterstatter!	Mr President, ladies and gentlemen.
Das Beratungskomitee ist nun so zusammengesetzt, dass die Personen, die nicht direkt der Kommission zuzuordnen sind bzw. von OLAF kommen, ganz eindeutig die Mehrheit haben.	The Advisory Committee is constituted so that members not directly linked to the Commission and those from OLAF itself are in a clear majority.
In dem Beratungskomitee sind der Rechnungshof, der Europäische Gerichtshof, das Überwachungskomitee vertreten, und ich glaube, die Lösung, so wie wir sie jetzt gefunden haben, ist eine sehr gute Lösung.	The Court of Auditors, the European Court of Justice and the Supervisory Committee are represented on the Advisory Committee, and I believe that the solution we have now found is a very good one.
Ich erinnere noch einmal daran, diese Lösung dient der Transparenz der Ernennung von Führungspersonen, wobei die Ernennung letztendlich vom Direktor oder Generaldirektor von OLAF vorgenommen wird.	I would like to remind you once again that this solution is in the interest of transparency in the appointment of senior management, but that the Director or Director-General of OLAF has the final say on appointments.
Ich hoffe, dass es in diesem Sinne hinsichtlich der Frage der weiteren Besetzung der Stellen von OLAF auch sehr bald zu einer Lösung kommen wird, denn ich kann nur noch einmal sagen, es liegt gerade in meinem Interesse, aber auch im Interesse der Kommission insgesamt, OLAF alle Stellen, die eigentlich beschlossen waren, so schnell wie möglich auch verfügbar zu machen.	I hope that a solution will very soon be found as regards further recruitment at OLAF, as I can only repeat that it is certainly not only in my own interest but also in the interest of the Commission as a whole for OLAF to fill all the posts that have actually been agreed as quickly as possible.
Ich denke, dass es auch im Interesse der verschiedenen Betroffenen wichtig wäre, ein Gespräch miteinander zu führen, da das Überwachungskomitee jetzt noch weitere Bedingungen gestellt hat, damit endlich der Berichtigungshaushalt eingebracht und diese Frage gelöst werden kann.	I think it would also be in the interest of the various parties concerned if they could enter into a dialogue, as the Supervisory Committee has now set further conditions so that the rectifying budget can finally be brought in and this issue resolved.
Lassen Sie mich kurz auf einen Punkt eingehen, den Sie in dem Bericht genannt haben und der hier auch mehrmals angesprochen wurde, nämlich die Zugänglichkeit der Berichte von OLAF.	I would like to briefly cover one point that you touched on in the report and which has also been raised here several times, namely access to OLAF's reports.
In der Rechtsgrundlage für die Errichtung von OLAF ist klar geregelt, dass zum einen der Direktor oder der Generaldirektor von OLAF über die Berichterstattung entscheidet und nicht die Kommission.	The legal basis for the establishment of OLAF clearly provides that it is the Director or Director-General of OLAF who makes decisions about reports and not the Commission.
Zum Zweiten ist in der Rechtsgrundlage auch festgehalten, dass OLAF selbstverständlich Fragen des Datenschutzes, des Berufsgeheimnisses und auch der Ermittlungsverfahren berücksichtigen muss, und das ist natürlich ein Punkt von zentraler Bedeutung.	Furthermore, the legal basis also stipulates that OLAF must, of course, take account of data protection, professional secrecy and also the investigation procedures, and this is clearly a key point.
Insofern hat die Kommission Zweifel, dass das Verlangen, das im Bericht ausgedrückt wird, den Rechtsgrundlagen entspricht.	The Commission accordingly has some doubts as to whether the demands made in the report can be reconciled with the legal basis.
Es ist natürlich auch innerhalb des Europäischen Parlaments zu diskutieren, ob dann, wenn OLAF beispielsweise im Parlament eine Untersuchung durchführt, der Bericht beispielsweise an den Haushaltskontrollausschuss oder den Rechtsausschuss oder an den Präsidenten übermittelt werden soll.	Of course, it is also a matter for debate within the European Parliament whether, for example, if OLAF carries out an investigation within Parliament, this report should be transmitted to the Committee on Budgetary Control, to the Committee on Legal Affairs and the Internal Market, or to the President.
Insofern sehe ich hier Fragen berührt, die alle Institutionen angehen, und ich würde es für sehr sinnvoll erachten, dies dann auch einmal bei einem entsprechenden interinstitutionellen Treffen - nennen wir es Trilog - zu debattieren und zu besprechen.	As I see it, this touches on questions affecting all the institutions and I think that this should really be debated and discussed in an appropriate interinstitutional forum such as the trialogue.
Hinsichtlich der Frage der Arbeitsfähigkeit von OLAF oder auch der Tätigkeiten und Erfolge, die bisher nachzuweisen sind, sage ich, dass die Aufdeckung der Betrügereien, die wir jetzt als Butter Case bezeichnen, also die Butterpanschereien, mit ein Erfolg von OLAF ist.	As regards OLAF's fitness for purpose, or rather the work done and successes chalked up so far, I would say that uncovering the fraud that we now refer to as the butter case, that is the butter adulteration affair, is one of OLAF's success stories.
Die Aufdeckung war mit darauf zurückzuführen, dass OLAF seine Informationen den ermittelnden Mitgliedstaaten zur Verfügung stellen konnte und insofern - zumindest nach den Auskünften von OLAF - mit dazu beigetragen hat, dass diejenigen, die daran beteiligt waren, dann auch in relativ kurzer Zeit ermittelt werden konnten.	This discovery was partly possible because OLAF was able to make its information available to the Member States carrying out investigations, and accordingly, at least as OLAF understands it, this helped to ensure that those involved were investigated in a relatively short time.
Doch hängt auch hier die Frage, wann OLAF berichtet, davon ab, wann OLAF von den Mitgliedstaaten, die die primäre Verantwortung für die Ermittlung haben, das Plazet erhält, Bericht erstatten zu können.	But the issue of when OLAF can report depends on when OLAF receives authorisation from the Member States, who have the prime responsibility for investigation, to make a report.
Denn OLAF ist natürlich in seiner ganzen Arbeit darauf angewiesen, eng und gut mit den Mitgliedstaaten zu kooperieren.	I say this because all OLAF's work is dependent on close and successful cooperation with the Member States.
Das ist etwas, was für den ganzen Ausbau von OLAF, nämlich auch für den Ausbau von OLAF zu einer Plattform des Informationsaustausches von zentraler Bedeutung ist.	This is crucial for strengthening OLAF overall, and in particular as regards making it a platform for information exchange.
Hinsichtlich des Fléchard-Falls aus 1991 bzw. 1994 wird die Kommission ja auch im Haushaltskontrollausschuss Stellung nehmen und den Fragebogen, der erstellt wurde, selbstverständlich auch in angemessener Zeit beantworten.	As regards the Fléchard case dating back to 1991 or 1994, the Commission will also explain its position to the Committee on Budgetary Control and it will, of course, respond in reasonable time to the questionnaire that has been drawn up.
Hinsichtlich der Frage des Butter Case darf ich nochmals sagen, er befindet sich voll im juristischen Ermittlungsverfahren der diversen Mitgliedstaaten, die hiervon betroffen sind.	With reference to the butter case, I would like to say once again that it is the subject of legal investigations being carried out by the various Member States affected.
Bezüglich des Stockholm-Falles, den Sie ja auch in Ihrem Bericht aufgeführt haben, kann ich Ihnen sagen, auch hier ist das Gericht tätig.	On the Stockholm affair, which you also mention in your report, I can tell you that this is also before the courts.
Ich hoffe sehr - auch natürlich im eigenen Interesse der Kommission -, dass das schwedische Gericht hier auch sehr bald zu einem Resultat kommen wird.	I very much hope, and, of course, this is in the Commission's interest as well, that the Swedish courts will very soon come to a conclusion.
Was die Frage des "Kleinen Staatsanwaltes " angeht - ich nenne ihn jetzt mal so im Gegensatz zu dem umfassenden Konzept - so hat die Prüfung ergeben, und das ist auch eine juristische Einschätzung von OLAF, dass die Rechtsgrundlage hierfür fehlt, dass auch eine Vertragsänderung in diesem Sinne notwendig wäre.	Concerning the issue of a European Public Prosecutor with limited jurisdiction, as opposed to the full concept, our investigations indicate - and this is also OLAF's legal view - that there is no legal basis for this, and that a treaty amendment would be needed to achieve this also.
Sie haben nun auch das Thema angesprochen - ich nenne es einmal juristische Überwachung der Tätigkeit von OLAF selber.	You also mentioned the subject of what I might call legal supervision of the work of OLAF itself.
Sicherlich ist auch das eine offene Frage.	This question is certainly still open.
Auch hier hat der Generaldirektor von OLAF zugesagt, sehr bald ein Handbuch vorzulegen, um transparent zu machen, nach welchen Regeln OLAF vorgeht, wann OLAF entscheidet, eine Ermittlung bzw. eine Untersuchung aufzunehmen und eine Untersuchung abzuschließen.	The Director-General of OLAF has undertaken to make a manual available very shortly so as to make it transparent what rules OLAF follows when it makes a decision about carrying out or closing an investigation.
Ich möchte noch darauf hinweisen, dass die Kommission seit der letzten Debatte, die wir hier geführt haben, Klage gegen zwei Tabakkonzerne wegen der vermuteten Verwicklung in internationalen Schmuggel eingereicht hat. Es wurde dies hier angesprochen.	I would also like to point out that since the last debate here the Commission has brought an action against two tobacco companies regarding alleged involvement in international smuggling, an issue that has been mentioned here.
Ich freue mich natürlich darüber, Herr Bösch, dass dies in Ihrem Bericht unterstützt wird.	I am, of course, pleased that you support this in your report, Mr Bösch.
Die Kommission hat auch verstärkt ein Early Warning System innerhalb ihrer Buchführung eingeführt, um hier schnellstens Hinweise an die verschiedensten administrativen Stellen zu geben, wenn beispielsweise ein Vertrag mit jemandem geplant ist, der schon durch Irregularitäten aufgefallen ist.	The Commission has also introduced a more effective early warning system within its bookkeeping procedures, so as to alert the various administrative offices as quickly as possible if, for instance, there are plans to enter into a contract with a party already known for irregularities.
Was die Frage von Frau Theato zum Stand der Unterzeichnung der Konvention zum Schutz der finanziellen Interessen der Europäischen Gemeinschaft angeht, so fehlen noch immer weitere Unterschriften.	With regard to Mrs Theato's question about the signing of the Convention on the protection of the financial interests of the European Community, some Member States have still to sign it.
Ich kann drei Staaten benennen, die noch nicht ratifiziert haben: Belgien, Luxemburg und Irland beispielsweise.	I can name three Member States that have not yet ratified the Convention, namely Belgium, Luxembourg and Ireland, for example.
Es wurde aber auch von den anderen Staaten jeweils nicht alles ratifiziert.	However, not all the other Member States have ratified it either.
Aus diesem Grunde - wir hatten bereits auch hier in diesem Hohem Hause die Gelegenheit, darüber zu sprechen - wird die Kommission jetzt einen Richtlinienvorschlag vorlegen, um eben die Inhalte dieser Konvention in eine Richtlinie zu transferieren, das heißt also die Mitgliedstaaten stärker zu zwingen, eine einheitliche Definition des Betrugstatbestandes zu Lasten der europäischen Interessen in ihr nationales Recht aufzunehmen.	For that reason, and we have already had occasion to discuss this in this Chamber - the Commission will now be being bringing forward a proposal for a directive designed to transfer the provisions of this Convention into a directive, so as to put greater pressure on the Member States to incorporate in their national law a uniform definition of the offence of fraud against the interests of the European Communities.
Das wird, so hoffe ich, im April der Fall sein.	I hope that will happen in April.
Die Kommission arbeitet zusammen mit OLAF an einem Grünbuch für die Errichtung des Europäischen Staatsanwaltes, denn selbstverständlich geben wir das Thema nicht auf, sondern nutzen jetzt die Gelegenheit für eine öffentlichere, eine breitere Debatte.	The Commission is working with OLAF on a Green Paper concerning the establishment of a European Public Prosecutor's Office, because we do not intend to give that idea up and will now be seizing the opportunity for a more open and wide-ranging debate.
Unser Ziel ist ganz klar, nämlich bei der neuen Überarbeitung der Verträge im Jahre 2004 dann hoffentlich eine so breite Unterstützung zu haben, dass die Staats- und Regierungschefs diesen Vorschlag nicht mehr einfach ignorieren können.	Our objective is quite clear, and that is that when the Treaties are revised again in 2004, we hope to have such broad-based support that the Heads of State and Government will no longer be able simply to ignore this proposal.
