Herr Präsident, sehr geehrte Frau Berichterstatterin, sehr geehrte Damen und Herren!	Mr President, rapporteur, ladies and gentlemen.
Vergangene Woche hat das Präsidiums des Konvents vorgeschlagen, in den Titel 'Justiz und Inneres' einen Artikel 20 über die europäische Staatsanwaltschaft aufzunehmen, und bereits in der kommenden Woche wird das Plenum des Konvents dazu Stellung nehmen.	Last week the Convention Presidium proposed including an Article 20 about the European Public Prosecutor's office in the 'Justice and Internal Affairs' Title, and the Plenum of the Convention will give its opinion on that next week.
In dieser entscheidenden Phase ist es wirklich essentiell, dass Parlament und Kommission am selben Strang ziehen und eine klare Botschaft an den Konvent übermitteln.	In this crucial phase it really is essential that Parliament and the Commission should be pulling in the same direction and sending the Convention a clear message.
Es sorgt schon für eine gewisse Genugtuung, dass sich unser gemeinsames Anliegen immerhin so weit hat durchsetzen können, dass die europäische Staatsanwaltschaft in einem eigenen Artikel des Vertragsentwurfs einen Platz gefunden hat.	It is already a cause for some satisfaction that our common concern has nevertheless come far enough for the European Public Prosecutor's office to have been given an article of its own in the draft treaty.
Das ist ein wesentliches Verdienst der Debatte und ein wesentliches Verdienst auch von Ihnen.	The debate has done much to bring this about and it is very much to your credit.
Dennoch, der Vorschlag des Präsidiums geht nach Meinung der Kommission nicht weit genug.	However, the Commission takes the view that the Presidium's proposal does not go far enough.
Er macht vor dem eigentlichen Ziel Halt.	It stops short of the actual objective.
Hier wird eine Klausel vorgeschlagen, mit der der Rat ermächtigt wird, irgendwann einmal und einstimmig das Amt des europäischen Staatsanwalts zu schaffen.	What is proposed is a clause empowering the Council to create the office of European Public Prosecutor unanimously at some time in the future.
Mit einer solchen Ermächtigungsklausel dürfte sich der europäische Staatsanwalt in einer erweiterten Union mit 25 oder mehr Mitgliedstaaten eventuell als leeres Versprechen entpuppen.	With an empowerment clause of that nature, the European Prosecutor may well turn out to be an empty promise in an enlarged Union of 25 or more Member States.
Das ist das Risiko.	That is the risk.
Wir müssen deshalb das Amt des europäischen Staatsanwalts im Vertrag selbst verankern, sonst ist zu befürchten, dass das Projekt wirklich auf den Sankt Nimmerleinstag verschoben ist.	We must therefore anchor the office of the European Prosecutor in the Treaty itself, otherwise it is to be feared that the project really will be postponed indefinitely.
Ich freue mich, dass das Parlament und die Kommission in dieser eminent wichtigen und hochpolitischen Frage voll und ganz übereinstimmen.	I am glad that Parliament and the Commission are in full and complete agreement on this eminently important and highly political question.
Ich hoffe, dass für die Plenarsitzung des Konvents am 3. und 4. April viele Änderungsvorschläge eingereicht werden, die auf die Schaffung eines europäischen Staatsanwalts im Vertrag selbst abzielen.	I hope that a large number of amendments will be tabled for the Convention's plenary session on 3 and 4 April with the aim of creating a European Public Prosecutor in the Treaty itself.
Die Kommission begrüßt deshalb die Unterstützung des Europäischen Parlaments, die in dem Bericht von Frau Theato sehr, sehr klar zum Ausdruck kommt.	The Commission therefore welcomes the European Parliament's support, which is expressed very, very clearly in Mrs Theato's report.
Ich gratuliere Ihnen sehr zu diesem Bericht, eben auch in dem Bewusstsein, wie viel persönliches Engagement dahinter steckt.	I congratulate you warmly on this report, knowing how much personal commitment lies behind it.
In der nunmehr anstehenden Entscheidungsphase des Konvents ist es von größter Wichtigkeit, dass das Parlament ein deutliches Zeichen setzt.	In the Convention's decision-making phase that now lies before us, it is of the utmost importance that Parliament gives a clear sign.
Die Kommission stimmt dem Bericht von Frau Theato zum Grünbuch in seinen Grundzügen zu, und ich habe das zum Ausdruck gebracht.	The Commission agrees with the essentials of Mrs Theato's report on the Green Paper, as I have said.
Es herrscht nicht in allen Punkten volle Übereinstimmung.	But we do not agree entirely on every point.
Wir befinden uns z. B. in dem Diskussionsprozess darüber, ob die Notwendigkeit einer Vorverfahrenskammer besteht, ob die Kontrolle durch die nationalen Gerichte für die Entscheidungen des Staatsanwalts ausreichend ist oder nicht und ob sie übertragen werden kann.	We are, for example, still debating whether there is a need for a Preliminary Chamber, whether national court control of the Public Prosecutor's decisions is sufficient or not and whether it can be transferred.
Was Eurojust betrifft, so hält die Kommission eine Annäherung zwischen der europäischen Staatsanwaltschaft und dieser Einrichtung ebenfalls für wünschenswert.	So far as Eurojust is concerned, the Commission also considers it desirable that the European Public Prosecutor's office should be close to this institution.
Das haben wir im follow up-Bericht näher dargelegt.	We have said more about this in our follow-up report.
Zweifel bestehen noch, ob dies wirkungsvoll dadurch erreicht werden kann, dass die Aufgaben der Staatsanwaltschaft von einem gestärkten Eurojust übernommen werden.	There are still doubts about whether this can be achieved effectively by means of a strengthened Eurojust taking on the tasks of the Public Prosecutor's office.
Darüber wird diskutiert.	This is being discussed.
Es könnten beide Funktionen - die zentrale strafrechtliche Verfolgung von Straftaten gegen die finanziellen Interessen der Union und die Koordinierung der nationalen Strafverfolgungsbehörden in anderen Kriminalitätsbereichen - in einer gemeinsamen Struktur, sozusagen unter einem gemeinsamen Dach zusammengeführt werden.	Both functions - the central criminal prosecution of crimes against the Union's financial interests and the coordination of national criminal prosecution authorities in other areas of crime - could be brought together in a common structure, under the same roof so to speak.
Eine Überführung von Eurojust in den ersten Pfeiler ist in dieser Hinsicht eine notwendige, allerdings eben keine ausreichende Bedingung.	Transferring Eurojust to the first pillar is in this respect a necessary condition but not a sufficient one.
Das muss man auch sehr deutlich sagen.	That also has to be made very clear.
Die Kommission stimmt dem Bericht auch darin zu, dass einige Fragen im Zusammenhang mit der Schaffung einer europäischen Staatsanwaltschaft noch weiter zu diskutieren sind.	The Commission also agrees with the report that some questions connected with the creation of a European Public Prosecutor's office still need further discussion.
Das betrifft die Frage des Sekundärrechts.	This is true of the question of secondary law.
In unserem follow up-Bericht haben wir angekündigt, insbesondere folgende Fragen noch vertiefen zu wollen, nämlich die Frage der Beweisführung, damit in einem Mitgliedstaat rechtmäßig erhobene Beweise in einem anderen Mitgliedstaat zugelassen werden können, und die Verfahrensgarantien der Angeklagten, zu denen eine spezielle Konsultation auf der Grundlage eines anderen Grünbuchs, das mein Kollege Vitorino vorgestellt hat, stattfindet.	In our follow-up report we said we wanted to look in more detail at the following questions in particular, namely the question of evidence, so that evidence lawfully collected in one Member State can be admitted in another Member State, and the procedural guarantees for the accused, on which a special consultation is taking place on the basis of another Green Paper presented by my colleague Mr Vitorino.
Die Kommission wird der Aufforderung des Ausschusses für Haushaltskontrolle nachkommen und sich noch in diesem Jahr eingehend mit diesen Fragen befassen.	The Commission will comply with the request of the Committee on Budgetary Control and look at these questions in detail in the course of this year.
Sie wird sich dabei an den Vorschlägen des Konvents und insbesondere auch an den Arbeiten im Bereich Justiz und Inneres orientieren.	In so doing it will be guided by the proposals made by the Convention and in particular also by the work in the field of justice and internal affairs.
Worauf es jetzt aber ankommt, ist, in dem Verfassungsvertrag selbst eine europäische Strafverfolgungsbehörde mit einer Rechtsgrundlage für die Ausarbeitung des dann notwendigen Sekundärrechts zu verankern.	The important thing now, however, is that a European criminal prosecution authority should be anchored in the Constitutional Treaty itself with a basis in law for developing the secondary law that will then be necessary.
Nur so kann den derzeitigen Schwierigkeiten bei der Bekämpfung von Betrug und Korruption zu Lasten des Gemeinschaftshaushalts wirkungsvoll auf der strafrechtlichen Seite begegnet werden.	That is the only way of dealing effectively on the criminal law side with the current difficulties in fighting fraud and corruption that are such a drain on the Community budget.
Wenn wir dem europäischen Aufbauwerk bei den Bürgern und den Steuerzahlern zu mehr Popularität verhelfen wollen, müssen wir mit dem künftigen Vertrag ein wirkungsvolles Signal setzen.	If we want to help to make the building of Europe more popular with the citizens and taxpayers, we must send an effective signal with the future Treaty.
