, Berichterstatter.	, rapporteur.
Doch im Interesse der LKW-Fahrer, der Fuhrunternehmen, die ja im Wettbewerb miteinander liegen, halte ich eine Harmonisierung der Wettbewerbsbedingungen für absolut nötig und auch für fair.	However, I think it is absolutely essential and fair, in the interests of truck drivers and haulage companies in competition with each other, that we harmonise competitive conditions.
Das zweite, was uns trennt und wo wir Schwierigkeiten haben, ist die Nutzung der Reserven, der stocks.	The second divisive issue that is causing problems is the use of stocks.
Nun weiß ich auch, dass diese Reserven, diese Lager, die wir auf diese 90 Tage angelegt haben, verglichen mit dem Erdöl, das unter der Erde liegt, natürlich unvergleichbar geringer sind und dass die Freigabe dieser Reserven auch wenig Einfluss hat auf den Energiepreis.	Now I too know that these stocks, which we have estimated at 90 days, are, of course, minute compared with the size of the oil fields underground and that releasing these stocks will have little impact on the cost of energy.
Ich bin nicht so naiv, das zu übersehen.	I am not so naive as to have overlooked this.
Dennoch glaube ich, dass es psychologisch Sinn machen kann, sie im Falle einer Krise zu öffnen, aber ich gebe zu, darüber kann man streiten.	However, I believe that it makes sense, psychologically, to release them in a crisis, but I admit that we could argue the point.
Das dritte, worüber wir uns unterhalten sollten - und ich bin da sehr vorsichtig - ist das Einsetzen fiskalischer Instrumente im Falle einer Krise.	The third point we need to discuss - and I am being very cautious here - is the use of fiscal instruments in the event of a crisis.
Mag man mir entgegenhalten: "Das ist sehr abenteuerlich", aber ich erinnere daran, dass die französische Regierung damals Steuererleichterungen entgegen europäische Richtlinien gewährt hat und sie bis heute beibehält.	If you object that this is highly adventurous, then I would remind you that the French government granted tax relief back then, contrary to European directives, and has kept it in place to this day.
Das heißt, wir haben es hier mit einer realen Situation zu tun, vor der wir uns nicht drücken können.	In other words, we have to deal with a real situation here, which we cannot allow to put us under pressure.
Was mich nachdenklich macht, ist, dass die OPEC in der Klimapolitik auf Seiten der USA steht.	What gives me food for thought is that OPEC stands together with the USA on climate policy.
Das heißt, wir haben es hier mit einem Bündnispartner der USA zu tun, der gefährlich werden könnte in der Klimapolitik.	In other words, they are a partner in the US alliance, which could be dangerous when it comes to climate policy.
Ich wäre sehr dafür, wenn wir mit der OPEC auch über die Klimapolitik reden könnten.	I really would like to be able to discuss climate policy with OPEC.
Ich glaube durchaus, dass man hier einen Kompromiss finden kann.	I think that we could well broker a compromise here.
