amtierender Ratspräsident.	President-in-Office of the Council.
Der Ausschuss für Finanzdienstleistungen ist gebeten worden, insbesondere die Fortschritte zu überwachen, die die drei Ausschüsse der Stufe drei bei der Umsetzung der verschiedenen Instrumente erzielt haben.	The Financial Services Committee has been asked to monitor the progress achieved by the three level 3 committees in implementing the various tools, in particular.
Ferner ist der AFD beauftragt worden, die Konvergenz der Aufsichtsbefugnisse auf einer geeigneten Ebene zu überwachen.	The FSC has also been instructed to monitor the convergence of supervisory powers at an adequate level.
Ich weiß, dass die Kommission diesen Aspekten ebenfalls große Aufmerksamkeit widmet und bin zuversichtlich, dass auch das Europäische Parlament diesen Prozess im Rahmen seines Dialogs mit den Stufe-3-Ausschüssen fördern wird.	I know that the Commission is also devoting considerable attention to these aspects, and am confident that Parliament, too, will support this process within the framework of its dialogue with the level 3 committees.
Weitere Erkenntnisse sind von der Arbeit der interinstitutionellen Überwachungsgruppe zu erwarten.	Further insights are expected as a result of the work of the Interinstitutional Monitoring Group.
Lassen Sie mich nun zu den langfristigen Perspektiven und der Frage des Herangehens an aufsichtsrechtliche Fragen kommen.	I should now like to move on to the long-term prospects and the matter of tackling regulatory issues.
Neben den bereits genannten bestehenden Herausforderungen muss der AFD bei der Festlegung langfristiger, strategischer Prioritäten auch die sich aus den Marktentwicklungen ergebenden Fragen berücksichtigen.	Besides the existing challenges that have already been mentioned, the FSC must take into account issues arising from market developments when establishing long-term, strategic priorities.
Im Hinblick darauf hat der AFD unlängst eine neue Untergruppe gebildet, die bis Herbst 2007 einen Bericht über langfristige Aufsichtsthemen vorlegen wird.	In this regard, the FSC recently set up a new sub-group, which is due to present a report on long-term supervisory issues by autumn 2007.
Bei diesem neuen Arbeitsstrang wird von folgendem Bottom-up-Ansatz ausgegangen: Weitere grundlegende Änderungen der Aufsichtsaufgaben sollen nur aufgrund nachweislicher Probleme erfolgen.	This new strand of work will be based on the following bottom-up approach: further fundamental changes in supervisory tasks should be made only where there is proof of problems.
Ich möchte ferner betonen, dass die allgemeine Frage der Aufsichtskonvergenz im Zusammenhang mit der Konsolidierung der Märkte und Finanzinstitutionen gesehen werden muss.	I should also like to emphasise that the overall issue of supervisory convergence must be seen in the context of the consolidation of markets and financial institutions.
Daher freut mich besonders, dass es dem Europäischen Parlament und dem Rat bereits im März gelungen ist, sich in erster Linie auf einen Text zur Beteiligungsrichtlinie im Finanzsektor zu einigen.	For this reason, I am particularly pleased that Parliament and the Council managed to agree, in the first instance, on the text of the Directive on the supervisory assessment of acquisitions in the financial sector as early as March.
Dies ist ein deutliches Zeichen für unsere gemeinsame Entschlossenheit, den EU-Rahmen für die tägliche Arbeit unserer Aufsichtsbehörden zu verbessern.	This is a clear indication of our common determination to improve the EU framework for the day-to-day work of our supervisory authorities.
Zum Abschluss möchte ich Folgendes betonen: In den genannten Bereichen müssen wir sämtlichen Herausforderungen, mit denen die EU-Organe hier konfrontiert sind, Rechnung tragen.	Finally, I should like to emphasise that we must take account of all the challenges of this kind facing the EU bodies in the fields specified.
Hierzu gehören die Stärkung der Finanzstabilität durch Aufsichtsregelungen und -verfahren sowie die Förderung der europäischen Wettbewerbsfähigkeit. Beiden dient die Erleichterung der Konsolidierung unserer Finanzwirtschaft.	These include strengthening financial stability by means of supervisory arrangements and procedures, and also fostering European competitiveness - both of which benefit from facilitating the consolidation of our financial industry.
Sie muss im Rahmen eines Prozesses erfolgen, der auch dem Schutz der Verbraucherinteressen förderlich ist.	The process of doing so must also be conducive to the protection of consumer interests.
Bei all den genannten Aspekten arbeitet der Rat mit der Kommission zusammen, und wir begrüßen auch das starke Interesse des Europäischen Parlaments, das auch in dieser Aussprache deutlich wird.	The Council is working together with the Commission on all the aspects specified, and we also welcome the strong interest of the European Parliament, which is also demonstrated by this debate.
Ich danke ausdrücklich für Ihre Zusage, weitere Fortschritte zu fördern.	I should like to express my particular thanks for Parliament's commitment to promote further progress.
