Herr Präsident, liebe Kolleginnen und Kollegen!	Mr President, ladies and gentlemen, today sees the fulfilment of a small dream.
Die Förderung wurde lediglich durch ein auf ein Jahr befristetes Nachfolgeprogramm, GROTIUS-Zivilrecht, aufrechterhalten.	This promotion was maintained only by a successor programme, GROTIUS Programme Civil, which was limited to one year.
Ebenfalls in diesem Jahr lief auch das auf drei Jahre befristete Aktionsprogramm ROBERT SCHUMAN aus, welches der stärkeren Sensibilisierung der Juristen für das Gemeinschaftsrecht diente.	The same year saw the expiry of the Robert Schuman Project, which had been limited to three years and served to make lawyers more aware of Community law.
Der uns heute vorliegende Kommissionsvorschlag bildet nun die Rechtsgrundlage zu einer weiteren Finanzierung von Aktivitäten im Bereich der justiziellen Zusammenarbeit in Zivilsachen.	The Commission proposal before us today now represents the legal basis for further financial support for activities in the field of legal cooperation in civil matters.
Gefördert werden dabei die justizielle Zusammenarbeit und die Verbesserung der gegenseitigen Kenntnisse der Rechtsordnung ebenso wie Maßnahmen, die der Umsetzung und Anwendung der Gemeinschaftsvorschriften in diesem Bereich und der Verbesserung der öffentlichen Informationen dienen.	It promotes judicial cooperation and improved mutual understanding of legal systems, as well as measures to transpose and implement Community legislation in this area and better information for the public.
Neben der Finanzierung von bestimmten Projekten wird erstmals auch finanzielle Unterstützung zu den Betriebskosten von nichtstaatlichen europäischen Einrichtungen in Aussicht gestellt.	For the first time, alongside finance for specific projects, there is the prospect of financial help with the running costs of European NGOs.
Dies kann ich nur nachdrücklich unterstützen.	I can only emphatically support that.
Insbesondere zu begrüßen ist ferner die Tatsache, dass auch eine Beteiligung der Beitrittsländer ermöglicht wird.	The facilitation of involvement by the acceding countries is also especially to be welcomed.
Neben der grundsätzlichen Freude über die Zielrichtung dieses Vorschlags, die auch durch einen großzügigen Finanzrahmen in Höhe von 14,5 Millionen Euro bis 2006 noch gesteigert wird, bleiben einige kritische Punkte.	Apart from the essential rejoicing at the direction of this draft, which is made all the greater by the generous financial framework amounting to EUR 14.5 million up to 2006, there remain a few critical points.
Die Auflage, dass nichtstaatliche Einrichtungen nur dann um Förderung nachsuchen können, wenn sich zwei Drittel der Mitgliedstaaten an ihnen beteiligen, ist schon heute fast unerfüllbar.	The stipulation that NGOs can only apply for support if two-thirds of the Member States participate in them can hardly be complied with even today.
Angesichts der bevorstehenden Erweiterung erscheint es daher dringend angebracht, diese Hürde auf ein Drittel zu senken. Sonst wäre der gute Ansatz der Verordnung in diesem Punkt sogleich im Keim erstickt.	The prospect of enlargement therefore makes it a matter of urgency to reduce this hurdle to one-third, or else this directive's good beginnings will be nipped in the bud.
Ich frage mich auch, warum die Kommission es im Gegensatz zu ihrer sonstigen Gewohnheit unterlässt, die Antragsberechtigten - in diesem Fall also die Angehörigen der Rechtsberufe - genau zu definieren, etwa wie es im Rahmen der GROTIUS-Programme üblich war.	I also wonder why the Commission, contrary to its former practice - for example in the context of the GROTIUS programmes - has omitted to define precisely who is entitled to apply, members of the legal profession in this case.
Gerade die Debatte um die Geldwäsche-Richtlinie hat uns gezeigt, wie notwendig Begriffsdefinitionen in diesem Bereich sind.	The debate on the money-laundering directive showed us how vital it is in this area to define terms.
Die Förderung mit europäischen Mitteln darf nicht im Definitionsermessen der Mitgliedstaaten stehen.	Member States must not have discretion to define terms when support with European funds is at issue.
Ich habe darum vorgeschlagen, die alte Definition aus dem Programm GROTIUS-Zivilrecht zu übernehmen.	I have therefore proposed the adoption of the old definition from the GROTIUS civil law programme.
Anschließend noch eine Anmerkung zu diesem Bereich: Ich hätte mich gefreut, wenn die Union auch weiterhin Projekte mit bis zu 80 % der Kosten finanziert und dieser Anteil nicht auf 50 % reduziert wäre.	I would also like to say, on this point, that I would have been glad if the EU had continued to bear up to 80% of project costs, rather than reducing this share to 50%.
Leider war dies nicht der Wille des zuständigen Ausschusses.	This was, however, not what the relevant committee wanted.
Ich denke aber, die Europäische Union hat nach wie vor eine große Verantwortung für die Fortentwicklung der justiziellen Zusammenarbeit.	I think, though, that the EU continues to bear a great responsibility for the further development of judicial cooperation.
Diese Verantwortung wird in Zukunft eher größer als kleiner.	This responsibility is likely to increase rather than decrease in the future.
Wir müssen hier auch weiterhin Motor sein.	Here, too, we must continue to be a motive force.
Das waren Ausführungen zum ersten Teil, zum Zivilrechtsraum. Jetzt komme ich zu der Debatte über das Schengener Informationssystem.	So much for the first part concerning the area of civil law; I now come to the debate on the Schengen Information System.
Das Schengener Informationssystem wurde 1995 auf Grundlage des Schengener Durchführungsübereinkommens von 1990 errichtet.	The Schengen Information System was established in 1995 on the basis of the Convention of 1990 which implemented the Schengen Agreement.
Als ein staatenübergreifendes, computergestütztes polizeiliches Fahndungssystem ermöglicht es heute den Online-Zugriff auf mehr als 8 Millionen Fahndungsdaten und ist damit die umfangreichste Datenbank in Europa.	Today, as a police investigation system overlapping states and supported by computers, it facilitates online access to over 8 million items of data produced by investigations and is thus the most comprehensive database in Europe.
Neben 13 Mitgliedstaaten der Europäischen Union wird es auch von Island und Norwegen genutzt.	It is used by Iceland and Norway as well as thirteen EU Member States.
SIS ist damit ein erfolgreiches Bauteil einer neuen europäischen Politik der inneren Sicherheit, deren Notwendigkeit sich aus dem Abbau der Binnengrenzen und dem damit verbundenen Verlust an Kontrolle ergibt.	All this makes SIS a successful component of a new European internal security policy, made necessary by the dismantling of internal borders and the resulting loss of surveillance.
Zwei Probleme beschäftigen uns heute. Erstens: Die technische Weiterentwicklung.	Two problems concern us today, the first being advances in technology.
Das Schengener Informationssystem, wie wir es heute kennen, wurde ursprünglich für 18 Mitgliedstaaten konzipiert.	The Schengen Information System as we know it today was originally conceived for eighteen Member States.
Da alle jetzigen Beitrittsländer mit ihrem Beitritt auch an SIS partizipieren werden, ist es dringend notwendig, sich heute Gedanken über ein Nachfolgesystem zu machen.	The fact that all the present acceding countries will join in SIS on their accession makes it urgently necessary to give thought today to what will be its successor.
Auch die technologische Entwicklung hat inzwischen Fortschritte gemacht.	Technology has moved on in the meantime as well.
Daher ist die Initiative der Königreiche Belgien und Schweden zur Entwicklung von SIS II sehr zu begrüßen.	The initiative taken by the kingdoms of Sweden and Belgium to develop SIS II are therefore much to be welcomed.
Da die Vorarbeiten zu der Entwicklung von SIS II einen Zeitraum von mehr als drei Jahren in Anspruch nehmen werden, schaffen diese Initiativen die notwendigen haushaltstechnischen Rechtsgrundlagen.	As the development of SIS II will require over three years' preparatory work, these initiatives lay the necessary legal foundations for its budget.
Allerdings sind die Initiatoren auch ein wenig über das Ziel hinausgeschossen.	The originators have, however, overshot their mark a bit.
Um sich einen größtmöglichen Einfluss auf die technische Entwicklung zu sichern, soll die Beteiligung der Mitgliedstaaten im Komitologieverfahren durch eine Kombination von Verwaltungs- und Regelungsausschuss erfolgen.	In order to ensure the maximum influence on technical development, the Member States are to take part in the comitological process through a combination of administrative and regulatory committees.
Dementsprechend wird auch ein Höchstmaß an bürokratischem Aufwand angesetzt.	This will therefore involve a maximum of additional bureaucratic effort.
Es erscheint mir nicht einsichtig, warum in einem Stadium der Entwicklung, in dem lediglich technische Aspekte zu diskutieren sind, die Mitgliedstaaten über jedes Detail mitberaten und mitentscheiden sollen.	It is not clear to me why, at a development stage where only technical aspects are to be discussed, the Member States are to join in discussing and deciding on every detail.
Der Vorschlag, einen Regelungsausschuss für alle Fragen der Architektur des Systems und der datenschutztechnischen Aspekte einzusetzen, widerspricht auch dem Ratsbeschluss 468/99. Demnach soll auf das Regelungsverfahren nur bei Maßnahmen von allgemeiner Tragweite zurückgegriffen werden, mit denen wesentliche Bestimmungen von Basisrechtsakten angewandt werden sollen.	The suggestion that a regulatory committee should be in place to deal with all matters concerning the system's architecture and with data protection issues, also goes against Council decision 468/99. This stated that recourse should be had to the regulatory procedure only for measures of general scope intended to apply essential provisions of basic legal instruments.
Dies ist hier jedoch sichtlich nicht der Fall.	Such is quite evidently not the case here.
Ich möchte an dieser Stelle die Ratsvertreter auch darauf aufmerksam machen, dass beispielsweise bei der Errichtung von Eurodac bewusst auf ein offizielles Verfahren der Beteiligung verzichtet worden ist und die Mitgliedstaaten ihren Einfluss lediglich durch ein informales Netz von Technikern sicherstellen.	At this stage, I would like to point out to the representatives of the Council that, for example, when Eurodac was set up, there was deliberately no official participatory procedure, and the Member States exerted their influence only through an informal network of technical experts.
Dies hat uns allen viel Zeit und Geld gespart und dennoch zu einem effizienten Ergebnis geführt.	This saved us all a great deal of time and money and still produced an effective result.
Gleichzeitig vertraue ich auf das fachliche Know-how der Kommission in diesem Bereich, die federführend mit der Entwicklung betraut ist.	At the same time, I have confidence in the technical know-how in this field possessed by the Commission, which is entrusted with guiding this development.
Mein Vorschlag an die Mitgliedstaaten daher: Ersetzen Sie die unnötige bürokratische Kombination von Verwaltungs- und Regelungsverfahren durch eine Kombination aus Verwaltungs- und Beratungsverfahren.	I therefore suggest to Member States that they replace the superfluous bureaucratic combination of administrative and regulatory procedure by a combination of administrative and consultative procedure.
Weniger ist manchmal mehr!	Less is sometimes more.
Das zweite Problem ist die rechtliche Entwicklung.	The second problem is the development of law.
Zwar haben die Mitgliedstaaten schon bei der Regierungskonferenz in Amsterdam beschlossen, das Schengener Vertragswerk in den Rechtsraum der EU zu integrieren, mangels Einigung wurde aber das Schengener Informationssystem dem dritten Pfeiler zugeordnet.	The Member States did admittedly decide as early as the Amsterdam Inter-Governmental Conference to integrate the Schengen Agreement into the European legal area, but lack of agreement meant that the Schengen Information System was assigned to the third pillar.
Die Datensammlung über Personen, die zu einer Einreiseverweigerung ausgeschrieben wurden, fallen aber zweifelsfrei in den Bereich des ersten Pfeilers.	There is no doubt, however, that collection of data on persons who have been barred from entering a Member State is within the scope of the first pillar.
Dies ist auch der Grund, warum heute zwei Initiativen der belgischen Präsidentschaft und Schwedens vorliegen.	This is another reason why we have two initiatives today, one by the Belgian Presidency and another by Sweden.
Als Europäisches Parlament ist es unser Bestreben, Schengen und das Schengener Informationssystem möglichst als Ganzes in den ersten Pfeiler zu integrieren.	As Europe's Parliament, we strive to integrate Schengen and the Schengen Information System into the first pillar, and as a whole if at all possible.
Nur so ist eine angemessene parlamentarische Kontrolle zu gewährleisten.	It is only in that way that appropriate parliamentary control can be guaranteed.
Als Fortschritt auf diesem Weg begrüße ich daher ausdrücklich, dass die Entwicklung von Schengen II ab 2002 aus den Gemeinschaftsmitteln finanziert wird.	So I will go on the record as welcoming, as a step in this direction, the financing of Schengen II out of Community funds with effect from 2002.
Leider wird aber in der Initiative vergessen, die halbjährlichen Zwischenberichte der Kommission zum Stand der Entwicklung auch dem Parlament vorzulegen.	The initiative unfortunately forgets to submit to Parliament the Commission's half-yearly interim reports on the stage the development has reached.
Es ist wohl nicht nachvollziehbar, zur Finanzierung von Schengen II das Haushaltsverfahren der Europäischen Gemeinschaft anzuwenden, gleichzeitig aber den Haushaltsgesetzgeber, nämlich das Parlament, nicht über die Entwicklungen informieren zu wollen.	It is scarcely comprehensible that the budget procedure of the European Community should be applied to finance Schengen II without the body legislating for that budget - namely Parliament - being informed about these developments at the time.
Hier muss trotz aller Zustimmung zur inhaltlichen Richtung noch deutlich nachgebessert werden.	However much the direction taken by the report's contents may be worthy of approval, in this respect there must be clear improvement.
Ansonsten kann ich die gesamten Vorschläge nur voll und ganz unterstützen.	Apart from that, I can only give my full and wholehearted support to the proposals as a whole.
Ich bitte zu entschuldigen, wenn ich in ungefähr 15 Minuten gehen muss - das betrifft andere Kollegen auch -, aber dann tagt der Innenausschuss.	I crave your indulgence for having to leave in about a quarter of an hour - as indeed must other ladies and gentlemen - but we have a meeting of the Committee on Citizen' s Freedoms and Rights, Justice and Home Affairs.
Dort müssen wir auch an Abstimmungen teilnehmen.	We have some votes to take part in there as well.
Insofern ist das keine Respektlosigkeit vor dem Hause!	So there is no disrespect for this House.
