Frau Präsidentin, meine sehr geehrten Damen und Herren Abgeordneten, sehr geehrte Damen und Herren!	Madam President, ladies and gentlemen, I should like firstly to thank Mr Procacci for his report.
Im Punkt 18 schlägt das Parlament vor, ein Kompendium von Beispielen für gelungene Initiativen herauszubringen.	In point 18, Parliament suggests publishing a compendium of examples of successful initiatives.
Dazu kann ich nur sagen, dieses gibt es bereits.	In response I can only say that this already exists.
Es ist bereits von der Kommission erarbeitet worden, und ich kann das jedem interessierten Mitglied dieses Hauses zur Verfügung stellen.	It has already been compiled by the Commission and I can make a copy available to any Member of this House who is interested.
In Punkt 21 betont das Parlament, daß die Leitlinien zu LEADER+ nunmehr rasch zu verabschieden sind, damit die Programme anlaufen können.	In point 21, Parliament stresses that the guidelines in LEADER+ now need to be adopted quickly so that the programmes can start.
Dieses Anliegen kann ich nur voll teilen.	I can only fully share your concern.
Sobald die Stellungnahme hier im Parlament verabschiedet ist, werden die Leitlinien für LEADER+ erneut dem STAR-Ausschuß vorgelegt, damit die Mitgliedstaaten ihre am 14. November erteilte vorläufige Zustimmung bestätigen können.	As soon as the opinion is adopted here in Parliament, the guidelines for LEADER+ will again be presented to the STAR Committee so that the Member States can confirm the provisional agreement which they gave on 14 November.
Ich gehe davon aus, daß die Kommission dann im März/April die endgültige Fassung der Leitlinien annehmen kann.	I assume that the Commission will then be able to adopt the definitive version of the guidelines in March or April.
Und sobald diese im Amtsblatt veröffentlicht sind, bleiben dann nurmehr die Monate, und zwar sechs Monate, um LEADER+-Programme einzureichen.	And as soon as these are published in the Official Journal the remaining months - in fact six months - can be used to submit LEADER+ programmes.
Ich glaube, es ist wichtig, auf eines hinzuweisen: Ausgaben im Rahmen von LEADER+ sind ab dem Zeitpunkt förderfähig, ab dem das Programm der Kommission vorliegt.	I believe that it is important to point out one thing: expenditure effected under LEADER+ is eligible from the time that the Commission programme starts running.
Bei jenen Programmen, die vor dem 30. April dieses Jahres eingereicht werden, besteht auch die Möglichkeit, rückwirkend den 1. Januar als Beginn der Förderfähigkeit festzusetzen.	For all programmes submitted before 30 April of this year it will be possible to backdate the beginning of the period of eligibility to 1 January.
Unter Punkt 20 schließlich enthält der Entschließungsentwurf sieben konkrete Änderungsvorschläge der Leitlinien.	Finally, under point 20 the motion for a resolution contains seven specific proposals for amendments to the guidelines.
Nach eingehender Prüfung kann ich Ihnen sagen, daß die Vorschläge unter den Ziffern 2, 4, 5 und 7 für die Kommission akzeptabel sind und angenommen werden.	Having given them thorough consideration, I can tell you that the proposals made under paragraphs 2, 4, 5 and 7 are acceptable to the Commission and are adopted.
Der Vorschlag der Ziffer 6 wird ebenfalls teilweise übernommen, weil bekräftigt wird, daß die Frist für die Genehmigung der Programme im Rahmen von LEADER+ höchstens fünf Monate beträgt.	The proposal in paragraph 6 will also be partly accepted because it reaffirms that the time allowed for approving programmes under LEADER+ is a maximum of 5 months.
Der Änderungsantrag unter Ziffer 1 ist in der Zwischenzeit aus unserer Sicht hinfällig, weil im Anschluß an die Beratungen mit den Vertretern der Mitgliedstaaten im Star-Ausschuß dieser Punkt bereits im Sinne des Parlaments umformuliert wurde.	The amendment proposed under paragraph 1 has, in our view, been overtaken by events because, following consultations with the representatives of the Member States in the STAR Committee, this point has already been reworded along the lines proposed by Parliament.
Daher bleibt nur der Änderungsvorschlag unter Ziffer 3. Die Kommission kann sich diesem Änderungswunsch nur anschließen, denn er entspricht ja genau dem, was die Kommission selber ursprünglich vorgeschlagen hatte.	That therefore leaves only the amendment proposed under paragraph 3. The Commission can only endorse this request because of course it corresponds precisely to what the Commission itself had originally proposed.
Ich muß aber hinzufügen, daß den Mitgliedstaaten die Zusammenarbeit unserer Aktionsgruppen mit vergleichbaren Gruppen in Drittländern zu weit gegangen ist.	I must add, however, that cooperation between our action groups and similar groups in third countries went too far for the Member States.
Es ist daher zu einer Änderung im Ausschuß gekommen, aber die Kommission wird jetzt neuerdings in der überarbeiteten Fassung dem Anliegen des Parlaments Rechnung tragen und die Leitlinien so einbringen.	An amendment was therefore made in the committee, but the Commission will now again take account of Parliament' s concern in the revised version and table the guidelines in that form.
Sie wird auch weiter dafür kämpfen, daß das für die Mitgliedstaaten akzeptabel wird.	It will also continue to fight for Member States' acceptance of this.
Kurz zu den 13 Änderungsanträgen, die eingereicht wurden.	I will comment briefly on the 13 amendments tabled.
Hier kann die Kommission nur drei nicht akzeptieren, nämlich die Anträge 3, 12 und 13. Alle anderen kann sie entweder vollständig oder dem Sinne nach akzeptieren.	Here there are only three which the Commission cannot accept, Amendments Nos 3, 12 and 13. It can accept all of the others either in full or in essence.
