Herr Präsident! Heute ist ein großer, ein historischer Tag.	Mr President, today is indeed a great and historic day.
Aber in Zukunft wird Geldpolitik im Interesse aller Teilnehmer der Europäischen Wirtschafts- und Währungsunion gemacht, an der erfreulicherweise elf Mitgliedstaaten teilnehmen werden, denen die anderen hoffentlich bald folgen.	But in the future monetary policy will be made for the benefit of all those participating in European Economic and Monetary Union. We are pleased to see that this currently comprises eleven Member States and hope that they will soon be followed by the others.
Der Vertrag von Maastricht verpflichtet zu Recht die Europäische Zentralbank, auch die Wirtschaftspolitik in der Europäischen Union zu unterstützen.	The Maastricht Treaty rightly obliges the European Central Bank to support the economic policy of the European Union.
Insofern wird die Europäische Währungsunion zu realwirtschaftlicher Stabilität beitragen, die wir so dringend im Interesse von Investitionen, Wachstum und Beschäftigung brauchen, und somit ist die Währungsunion schon ein Stück politische Union.	In this way European monetary union will contribute to stability in real economic terms, something which is urgently needed to promote investment, growth and employment, and in this sense it already represents an element of political union.
Wir brauchen Fortschritte auch in der Beschäftigungs- und Sozialpolitik.	We also need to make progress in the areas of employment and social policy.
Mit dem europäischen Gemeinschaftsgeist und dem Binnenmarkt sind Dumping und unfairer Wettbewerb bei Sozial- und Umweltstandards, aber auch ein ruinöser Steuerwettbewerb nicht vereinbar.	Dumping and unfair competition when measured against normal social and environmental standards, not to mention the destructive competition that exists between taxation systems, are irreconcilable with the spirit of the European Community and the internal market.
Wir brauchen also Fortschritte bei der Beschäftigungsunion und auch in der Sozialpolitik.	We therefore need greater progress in the areas of common employment and social policy.
Die anderen Generationen werden uns fragen, warum wir den Euro nicht schon längst hatten.	Future generations will ask why we took so long to adopt the euro.
Die Währungsunion konstituiert ein neues europäisches Gemeinwesen.	Monetary union constitutes a new European commonwealth.
Insofern ist die Währungsunion zu Recht ein wichtiger Hebel für Europas Rolle im 21. Jahrhundert.	In this respect monetary union has quite justifiably become an important instrument for Europe's role in the 21st century.
Willy Brandt hat einmal gesagt: Es gehört uns allen, dieses Europa.	Willy Brandt once said: Europe belongs to all of us.
Es ist an uns, die richtige Antwort auf die Herausforderungen unserer Zeit zum richtigen Zeitpunkt zu finden.	It is our responsibility to find the right response to the challenges of our time and to do this at the most appropriate moment.
Der Euro kommt zum richtigen Zeitpunkt.	Well, the euro has arrived at the right moment.
Machen wir etwas aus dieser Chance.	Let us make the most of the opportunity.
Deshalb gehört er uns allen, dieser Euro!	That is why the euro belongs to all of us.
(Beifall)	(Applause)
