. Herr Präsident, Herr Ratspräsident, sehr geehrte Abgeordnete!	.
Frau Figueiredo hat nach dem Forest Focus-Programm gefragt.	Mrs Figueiredo asked about the Forest Focus programme.
Dafür haben wir den gleichen Betrag wie in diesem Jahr vorgesehen.	For this we have allocated the same amount as this year.
Für die Maßnahmen für Wiederaufforstung und auch für präventive Maßnahmen gegen Naturkatastrophen bieten sowohl der Fonds für die regionale Entwicklung als auch die Strukturfonds Möglichkeiten.	Both the Regional Development Fund and the Structural Funds can be used for reforestation measures and also for measures to prevent natural disasters.
Es wurde die Frage gestellt, ob man mit einem europäischen Budget in der Größenordnung von 0,99 Prozent der gemeinsamen Wirtschaftsleistung überhaupt Kohäsionspolitik erfolgreich betreiben kann.	The question has been raised as to whether cohesion policy can be pursued at all successfully using a European Budget amounting to some 0.99 per cent of the Community's economic product.
Die Antwortet lautet: Ja.	The answer to that is in the affirmative.
Der europäische Haushalt und die Wirkung zeigen, dass wir Kohäsionspolitik erfolgreich unterstützen.	The European Budget and its effects demonstrate that our support for cohesion policy is yielding fruit.
Ich habe in der letzten Woche den so genannten Allokationsbericht vorgestellt, der zeigt, wer was zahlt und wohin die Mittel fließen.	Last week, I presented what we are calling the 'allocation report', which shows who is paying what and where the money goes.
Die vier Kohäsionsländer sind die vier Nettoempfänger aus dem EU-Haushalt, und das ist ja auch richtig so.	The four cohesion countries are the four net recipients from the EU's Budget, which is only right and proper.
Die beiden ärmsten Länder erhalten die meisten Mittel in Prozent ihres Bruttosozialproduktes, und die Kohäsionsberichte zeigen ja, dass das Erfolg hat, dass die Europäische Union erfolgreich darin ist, den wirtschaftlichen Abstand zwischen den Ländern zu verringern.	The two poorest countries receive the most funds expressed as a percentage of their gross national product, and the cohesion reports do indeed show how successful that is, and that the European Union is successful in its efforts to reduce the economic gaps between one country and another.
Frau Buitenweg hat die Frage KEDO angesprochen.	Mrs Buitenweg addressed the issue of the Korean Peninsula Energy Development Organisation.
Wir werden in diesem Jahr - übrigens hatten Sie ja auch die Mittel gesperrt - diese Mittel auch für andere Zwecke umschichten, für das nächste Jahr haben wir im Haushaltsvorentwurf aufgrund dieses Bruchs der Vereinbarung keine Mittel mehr vorgesehen.	This year, these funds - which, by the way, your House had blocked - will be reallocated to other purposes, whilst this breach of the agreement means that we have allocated no funds in the preliminary draft Budget for next year.
Leider macht Nordkorea nicht das Angebot, aus dem Atomenergieprogramm auszusteigen und stattdessen in regenerative Energien zu investieren.	North Korea is not, unfortunately, offering to abandon its atomic programme and to invest instead in renewable forms of energy.
Das trifft auch insgesamt die Fragen, die Herr Dell'Alba hinsichtlich der Menschenrechtsklausel angesprochen hat.	This is also relevant to Mr Dell'Alba's question on the human rights clause.
Es ist immer eine sehr schwierige Situation gerade in den Staaten, wo die Menschenrechte missachtet werden, wie Nordkorea, und in denen gleichzeitig humanitäre Notsituationen herrschen.	Countries such as North Korea, in which humanitarian emergencies exist at the same time as human rights are being abused, always put us in a very difficult position.
Die Kommission hatte ja auch beschlossen, ihre humanitäre Hilfe für Nordkorea zu verstärken, übrigens gerade auch mit dem Schwerpunkt der Hilfe für Mütter, weil diese am stärksten von der schlimmen Situation dort betroffen sind.	Indeed, the Commission had also decided to step up humanitarian aid for North Korea, concentrating this aid on mothers, who are worst affected by the terrible conditions in that country.
Bei den Vorschlägen für Lateinamerika hat die Kommission ihre Vorschläge natürlich auch unter Berücksichtigung der administrativen Umsetzungskapazitäten gemacht, aber wir werden uns die verschiedenen Vorschläge von Seiten des Parlaments natürlich auch ansehen.	The Commission did of course bear in mind administrations' capacity for implementing them when making its proposals relating to Latin America, but we will of course look at Parliament's various proposals as well.
Es wurde von Herrn Garriga Polledo noch die Frage gestellt, ob die Zahlungsmittel, die der Rat gekürzt hat, noch ausreichend sind.	Next, Mr Garriga Polledo asked whether the means of payment cut by the Council are still adequate.
Die Kommission wird für den Bereich Agrarpolitik bald eine Revision vorschlagen, wie wir das üblicherweise im Oktober machen, nämlich mit den Neuschätzungen der Marktentwicklung und unter entsprechender Berücksichtigung des Wechselkurses.	As it usually does in October, the Commission will shortly be proposing a revision of the agricultural policy, with new assessments of market developments and taking due account of the exchange rate.
Wir werden für die Altprogramme in den Strukturfonds auch hier eine Schätzung vorlegen. Ich kann aber jetzt schon sagen, dass wir als Kommission die Kürzung der Zahlungsmittel für die Vorbeitrittshilfen nicht akzeptieren können.	We will also be submitting an estimate relating to the old Structural Funds programmes, but I can tell you even now that the Commission cannot accept that the means of payment for pre-accession aid should be cut back.
Die Beitrittsländer werden im nächsten Jahr Mitgliedstaaten sein, sie werden aber noch Hilfen für die Vorbeitrittsprogramme bekommen, weil diese noch abgewickelt werden.	Next year, although the candidate countries will be Member States, they will still be getting help with their pre-accession programmes, as these will still be in progress.
Zum Glück läuft die Implementierung in den Vorbeitrittsprogrammen jetzt endlich besser, und das heißt natürlich: Wir brauchen die entsprechenden Zahlungsmittel.	It is fortunate that the pre-accession programmes are now at last being better implemented, and this of course means that we need the means to pay for them.
Hier wären wir sehr froh, wenn das Parlament gemeinsam mit dem Rat wieder die alten Beträge einsetzen würde.	We would be very glad if Parliament and the Council together were to restore the former amounts.
