Vizepräsident der Kommission.	Vice-President of the Commission.
Ich möchte erreichen, dass alle europäischen Schüler und Studenten während ihrer Schulzeit und während ihres Studiums die Chance haben, mit der Unternehmenswirklichkeit in Berührung zu kommen.	I would like to see all European schoolchildren and students having the opportunity of coming into contact with business reality during their time at school and during their studies.
In vielen europäischen Ländern wird das bereits vorbildlich gemacht.	In many European countries that is already done in an exemplary manner.
In einer ganzen Reihe von Ländern gibt es aber noch erhebliche Defizite.	But in a number of countries there are still substantial deficits.
Im Augenblick beschäftigt sich die Kommission intensiv mit der Vermittlung unternehmerischer Denkweisen auf Hochschulebene.	At present, the Commission is very much involved in putting across entrepreneurial ways of thinking at university level.
Wir wissen aus Amerika, dass die Erfahrungen dort außerordentlich positiv sind.	We know that the experience in America has been extraordinarily positive.
Universitäten, die die Vermittlung unternehmerischen Handelns und Denkens anbieten, berichten über große Erfolge, nämlich dass die Absolventen dieser Universitäten nach ihrem Studium zu einem viel höheren Prozentsatz als bei uns bereit sind, ein Unternehmen zu gründen.	Universities that offer to teach entrepreneurial skills and thinking report great successes in that a much higher percentage of graduates from those universities are willing to start a business after completing their studies than is the case here.
Es gibt noch drei andere wichtige Punkte, bei denen wir dazu beitragen können, Unternehmensgründungen zu erleichtern.	There are three other important ways in which we can help to make it easier for people to start businesses.
Erstens gibt es das ganze Projekt "bessere Rechtsetzung" mit Rechtsvereinfachung und Bürokratieabbau.	Firstly, there is the whole 'better regulation' project with simplification of the law and cutting red tape.
Viele Menschen sind auch deshalb psychologisch daran gehindert, ein Unternehmen zu gründen, weil sie glauben, dass es zu viele und zu komplizierte Vorschriften gibt, die sie beachten müssen.	Many people are prevented psychologically from starting a business because they believe there are too many regulations and that they are too complicated.
Zweitens: Da viele Menschen gar nicht erst anfangen, ein Unternehmen zu gründen, weil sie denken, dass es viel zu kompliziert ist, haben wir im vergangenen Jahr dem Europäischen Rat vorgeschlagen, dass sich die Mitgliedsländer verpflichten sollen, die Zeit, die man braucht, um ein Unternehmen zu gründen, auf eine Woche zu begrenzen.	Secondly, because many people do not even start to set up a business because they think it is much too complicated, last year we proposed to the European Council that the Member States should commit themselves to limiting the time needed to start a company to one week.
Das soll bis Ende dieses Jahres in allen Mitgliedsländern erreicht sein.	That should be the case in all the Member States by the end of this year.
Schließlich möchte ich noch darauf hinweisen, dass wir uns intensiv mit der Frage der negativen Folgen von Konkursen befassen.	Finally, I would like to point out that we are looking very hard at the question of the negative consequences of bankruptcy.
Wie gehen wir mit dem Scheitern des ersten Versuchs um?	How do we deal with the failure of the first attempt?
In Amerika ist es - wie Sie wissen - gesellschaftlich überhaupt kein Problem, wenn der erste Geschäftsversuch scheitert.	As you know, in America it is no problem at all socially if the first attempt at business is a failure.
In vielen europäischen Ländern bedeutet das erste Scheitern bereits das endgültige Aus.	In many European countries, the first failure is also the last.
Der letzte Punkt, den ich erwähnen möchte, ist das Finanzierungsproblem, welches ein Kernproblem für Unternehmensneugründungen darstellt.	The last point I would like to mention is the problem of finance, which is a key problem for the creation of new businesses.
Die Kommission hat die entsprechenden Finanzierungsmöglichkeiten für den Zeitraum 2007 bis 2013 beträchtlich aufgestockt.	The Commission has increased the funding available for the period 2007 to 2013 considerably.
Der größte Teil des Programms für Wettbewerbsfähigkeit und Innovation geht in Finanzierungsinstrumente: Mehr als 1 Milliarde Euro stellen wir hier für Kredite und Rückbürgschaften, für nationale Bürgschaftsfazilitäten und andere moderne Finanzinstrumente zur Verfügung, einschließlich der Bereitstellung von Beteiligungskapital.	Most of the Competitiveness and Innovation Programme goes into financial instruments: we are making more than EUR 1 billion available here for credits and counter-guarantees, for national guarantee facilities and other modern financial instruments, including the provision of share capital.
Das ist ein Programm, das von kleinen und mittleren Unternehmen sehr gut angenommen wird.	The programme is being very well received by small and medium-sized enterprises.
Insgesamt haben wir also eine breite Fülle von Maßnahmen ergriffen, von denen ich mir erhoffe, dass sie mehr neue junge Unternehmen in Europa fördern.	Over all we have therefore taken a wide range of measures, which I hope will encourage more new young businesses in Europe.
