Kommission.	Commission.
Dies ist also ein sehr wichtiger, keineswegs technischer, sondern ein wichtiger politischer Schritt.	This is therefore a very important step, not a technical step, but an important political step.
Ich darf noch kurz darauf hinweisen, daß mit dem Vorschlag der Kommission auch der Vorschlag für ein Nachtrags- und Berichtigungsschreiben zum Haushalt 2000 einhergeht.	I should briefly like to point out that the Commission proposal includes a proposal for a letter of amendment on the Budget 2000.
Insbesondere sind darin auch eine ganze Menge technischer Anpassungen enthalten, vor allem aber auch die Konsequenz, die sich aus dem Jahresabschluß 1999 für den Haushalt der Europäischen Union ergibt.	More importantly, it also includes a whole series of technical adjustments and, in particular, the consequences of the annual accounts for 1999 for the European Union budget.
Der Haushalt des Jahres 1999 der Europäischen Union hat mit einem hohen Plus von 3,2 Milliarden Euro abgeschlossen.	The European Union budget for 1999 closed with a large surplus of EUR 3.2 billion.
3,2 Milliarden Euro werden also an die Mitgliedstaaten zurückgezahlt.	In other words, EUR 3.2 billion will be refunded to the Member States.
Sie werden mit den Beiträgen des jetzigen Jahres verrechnet.	These refunds will be offset against the contributions for this year.
Selbstverständlich sind davon keine Mitgliedstaaten ausgenommen, sondern es wird zurückerstattet entsprechend dem Verhältnis, in dem die Mitgliedstaaten den Haushalt der Europäischen Union finanzieren.	Of course, all Member States will be included and the money will be refunded in the ratio to which the Member States finance the European Union budget.
Es hat da in der Berichterstattung einige Verwirrung bezüglich Großbritannien gegeben.	There was some confusion in relation to Great Britain in the report.
Ich darf darauf hinweisen, daß es hier auch eine Verrechnung gegeben hat und eine unterschiedliche Zahl herausgekommen ist, auch infolge des Euro-Pfund-Kurses.	I should point out that the refund was offset but a different figure was obtained because of the rate of the euro to the pound.
Der Beitrag Großbritanniens in Euro stellt sich dann zwar höher dar, als das bei der Planung der Fall war, aber wenn man es in Pfund rechnet, stellt sich dies schon wieder anders dar.	Great Britain' s contribution in euros appears to be higher than in the plan, but if the calculation is carried out in pounds, it appears to be different.
Wir haben beim europäischen Haushalt also auch sehr intensiv mit den Fragen des Wechselkurses zu tun.	So we need to take a good look at the question of exchange rates in the European budget.
Ich habe den Saldo deshalb nochmals betont, um deutlich zu machen - und eigentlich ist das ja auch in Ihrer Debatte über den Haushalt des Europäischen Parlaments zum Ausdruck gekommen -, daß das Wort Haushaltsdisziplin in der Tat auch für den europäischen Haushalt kein Fremdwort ist, sondern befolgt wird.	I have highlighted this balance in order to illustrate - and this very point was raised in your debate on the European Parliament budget - that the term budgetary rigour is certainly not a concept which is foreign to the European budget and it is being applied.
Der nächste Schritt ist nun, daß der Rat den Vorentwurf der Kommission prüft und einen Entwurf des Haushaltsplans für das Jahr 2001 aufstellt.	The next step is for the Council to examine the Commission' s preliminary draft budget and to draw up a draft budget for the year 2001.
Selbstverständlich wird es dann weitere intensive Debatten geben.	Of course this will be followed by intensive debate.
Ich wünsche mir für das weitere Verfahren, daß es dann weniger um Prinzipienreiterei geht, sondern um das gemeinsame Bemühen, die Mittel aus dem europäischen Haushalt in effizienter Weise und zum Wohle sowie zur Unterstützung der Ziele der Europäischen Union einzusetzen.	I trust that the rest of the procedure will be marked by less harping on about principles and more joint endeavour to use the funds in the European budget efficiently and for the benefit and in support of the objectives of the European Union.
