Herr Präsident, Frau Kommissarin, sehr geehrte Kolleginnen und Kollegen!	Mr President, Madam Commissioner, ladies and gentlemen.
Die Empfehlung an die Europäische Kommission, einen Verhaltenskodex, der sich auf solche marktwirtschaftlichen Prinzipien stützt, für europäische und multinationale Unternehmen vorzuschlagen, möchten wir daher ausdrücklich unterstützen.	We therefore emphatically support the recommendation that the Commission should propose a code of conduct based on these free-market principles.
Nachdem der ursprüngliche Bericht am 6.11.1997 in den Ausschuß für Außenwirtschaftsbeziehungen zurückverwiesen wurde, konnten im Laufe weiterer konstruktiver Beratungen mit dem Berichterstatter wesentliche Änderungen in unserem Sinne eingefügt werden.	After the referral of the original report to the REX Committee on 6th November 1997, substantial amendments were introduced on our behalf in the course of subsequent constructive deliberations with the rapporteur.
Vielen Dank, Herr Sainjon, für Ihre Aufgeschlossenheit, mit der Sie unsere Änderungsanträge behandelt und auch in der großen Mehrheit übernommen haben.	I would like to express my thanks to Mr Sainjon for the receptive manner in which he has dealt with our proposals and for the fact that he has accepted most of them.
Aber, ich muß andererseits darauf hinweisen, daß zur Thematik des Ebro ein Änderungsantrag von Ihnen vorliegt, nämlich Ziffer 22a (neu) mit dem Inhalt, daß die europäischen politischen Behörden - wer auch immer das ist - sich im Rahmen des Eurorates Gedanken über die Auswirkungen einer Festlegung der Parität Ebro/Dollar auf die ausländischen Direktinvestitionen machen sollten.	However, I must also refer to the amendment which he has submitted on the subject of the euro, namely Item 22a (new), which suggests that the European political authorities - whoever they are - should, by way of the European Council, reflect on the impact of establishing Euro-Dollar parity on foreign direct investments.
Dies, meine ich, ist eine Empfehlung, die in die falsche Richtung geht und auch gestern von Kommissar de Silguy in der Debatte über den Bericht Ruffolo zurückgewiesen wurde.	I believe that this recommendation is misdirected and indeed it was rejected yesterday by Commissioner de Silguy during the debate on the Ruffolo report.
Der jetzige Artikel 111 - früher Artikel 109 Absatz 1 und 2 des EWG-Vertrags - kann nicht so interpretiert werden, daß eine wie auch immer geartete währungspolitische Lenkungsbefugnis des Eurorates im Bereich der Wechselkurse besteht.	The current Article 111, which was previously Article 109(1 and 2) of the EEC Treaty, cannot be interpreted in any way whatsoever to give the European Council currency-policy control in respect of the exchange rate.
Die dort angesprochene Problematik der formellen Vereinbarung über Wechselkurssysteme ist eine ganz andere und beträfe - wenn es dazu käme - ein neues Bretton Woods, aber nicht die Kurspflege des Wechselkurses Ebro/Dollar.	The formal agreement on exchange rate systems, which is the issue raised here, is quite a different matter and, if it came to it, would concern a new Bretton Woods institution - but not the price regulation of the Euro-Dollar exchange rate.
Hier ist allein die europäische Zentralbank absolut zuständig, und sie darf in ihrer Unabhängigkeit auch nicht beeinträchtigt werden.	In this area the European Central Bank alone has full and sole responsibility and its independence should not be prejudiced in any way.
Artikel 109 unterstreicht ausdrücklich, daß die Europäische Zentralbank weder von Beschlußorganen, Organen oder Einrichtungen der Gemeinschaft, Regierungen der Mitgliedstaaten oder anderen Stellen Weisungen oder Empfehlungen einholt.	Article 109 emphatically states that the European Central Bank is not to receive instructions or recommendations from decision-making bodies, from Community bodies or institutions, from national governments of Member States or from any other quarter.
Dies gilt dementsprechend auch für die Wechselkursentwicklungen zwischen Ebro und Dollar, deren Pflege - wenn Sie so wollen - allein der Europäischen Zentralbank obliegt.	This also applies to exchange-rate movements between the euro and the Dollar, whose regulation, if such is required, is incumbent only on the European Central Bank.
