Frau Präsidentin, liebe Kolleginnen und Kollegen!	Madam President, fellow Members.
Diejenigen, die sich seit Jahren für den Frieden in Südosteuropa engagieren und die Lage in der Region kennen, wissen, wie schwierig der Kampf gegen autoritäre Machthaber und Tyrannei in den meisten dieser Länder war und teilweise noch ist.	Those who have fought for peace in south-eastern Europe for years now and who are familiar with the situation in the region, know how difficult the fight against authoritarian rulers and tyrants in most of these countries was and, in places, still is.
Manchmal sind wir dann den neuen Verantwortlichen mit zu großen Erwartungen begegnet oder mit unseren Ansichten und unseren Betrachtungsweisen, die gar nicht in deren Tradition passen und mit ihren Weltanschauungen nicht vereinbar sind oder ihren Mentalitäten eigentlich schwer zuzumuten sind.	Sometimes we expect too much of the new people in power or we expect them to follow our views and our way of thinking, which do not fit in with their traditions and which are irreconcilable with their philosophy of life or alien to their mindset.
Ich möchte deswegen hier einmal deutlich sagen, dass wir in Serbien bald neue Gesprächspartner haben werden, die uns teils aus Unerfahrenheit, teils aus den erwähnten kulturellen oder strukturellen Unterschieden nicht sofort oder vielleicht nicht richtig verstehen dürften.	I should therefore like to state quite clearly that we shall soon have new contacts in Serbia, who may well not understand us immediately or who will perhaps misunderstand us, partly due to inexperience and partly due to the cultural or structural differences which I have mentioned.
Ich möchte schon jetzt davor warnen, solche möglichen Anfangsschwierigkeiten in der Kommunikation mit dem neugewählten Präsidenten als Zeichen dafür zu interpretieren, dass es zwischen uns und den Befürwortern der Demokratie in Serbien unüberwindliche Unterschiede gibt.	I should like straight away to warn against interpreting any such initial difficulties in communicating with the newly elected president as a sign of irreconcilable differences between us and the advocates of democracy in Serbia.
Es gibt sie nicht.	There are no such differences.
Wir können ihnen helfen auf dem Weg nach Europa.	We can help them on the path to Europe.
Wenn wir nach dem bevorstehenden Machtwechsel in Serbien der Umsetzung des Stabilitätspakts wirklich Schwung verleihen und die sogenannten quick start packages jetzt endlich auch sehr schnell durchführen wollen, dann müssen wir mehr tun als nur reden.	If we want to give the implementation of the stability pact a real boost after the imminent change of power in Serbia and push the so-called quick start packages through at long last, then we must do more than just talk.
Darum fordere ich auch die Kommission und den Rat auf, jetzt endlich ein Zeichen zu setzen und zumindest teilweise einige Sanktionen aufzuheben, denn diese Sanktionen haben 200 000 Menschen in Serbien reich und reicher gemacht und 10 Millionen Menschen arm und ärmer.	I therefore call on the Commission and the Council to give a sign at long last and at least lift some sanctions, because these sanctions have made 200 000 people in Serbia richer and richer and 10 million people poorer and poorer.
Bitte helfen Sie, dass wir den Menschen eine kleine Hoffnung geben, mit Kostunica, damit wir alle eine Hoffnung für Serbien haben.	Please help us to give the people a glimmer of hope, with Kostunica, so that we can all nurse some hope for Serbia.
(Beifall)	(Applause)
