. Herr Präsident, meine Damen und Herren, Kolleginnen und Kollegen!	Mr President, ladies and gentlemen, fellow members, this report deals with a very complex issue.
Zweitens: Wir plädieren mit breiter Mehrheit dafür, daß die Ausbildung der Fachärzte von mindestens zwei auf mindestens drei Jahre angehoben wird, um damit einem breiten Trend innerhalb der Europäischen Union gerecht zu werden.	Secondly: we are calling, by a large majority, for specialist training to be increased from at least two to at least three years in order to take account of a broad trend within the European Union.
Es ist an der Zeit, hier nachzubessern.	It is time for improvements here.
Drittens: Der Rechtsausschuß plädiert dafür, daß ein größerer Schwerpunkt auf die Fortbildung gelegt wird.	Thirdly: the Committee on Legal Affairs is calling for greater focus on continuing training.
Wir wissen und räumen ein, daß dieses Thema in der ersten Lesung noch nicht akut war. Es gibt Geschäftsordnungsspezifika, die dieses besonders problematisch gestalten.	We know and admit that this subject was not quite so urgent at first reading but there are now problems here for procedural reasons.
Eine der Ausnahmen ist, daß zwischen erster und zweiter Lesung eine Neuwahl des Parlaments stattgefunden hat.	An exception is made when Parliament is re-elected between the first and second readings.
Dies ist hier der Fall. Deshalb bringt der Rechtsausschuß den Gedanken der Fortbildung als eines der tragenden Elemente in diesem Haus, als eines der tragenden Elemente in der Europäischen Union ein.	That applies here, which is why the Committee on Legal Affairs has introduced the concept of continuing training as one of the mainstays of this House and as one of the mainstays of the European Union.
Wir glauben, daß wir nicht nur in Sonntagsreden von lebenslangem Lernen reden müssen, sondern daß es ein Standard ist, den der Patient erwarten kann, darf und muß, daß Ärzte sich auch fortbilden. Deshalb werden die Anträge 1 bis 11 vom Ausschuß wohl auch morgen vom Haus in aller Breite unterstützt.	We believe that lifelong learning is not just the stuff of soap-box speeches; it should be standard and patients should be able to expect their doctors to complete further training, which is why Amendments Nos 1 to 11 are broadly supported by the committee and will surely be broadly supported by the House tomorrow.
Ich möchte noch auf einen letzten Punkt eingehen.	I should like to address one more point.
Es liegen zwei weitere Anträge vor betreffend die irischen Architekten.	Two other amendments have been proposed concerning Irish architects.
Die EVP-Fraktion, meine Fraktion, wird ihren entsprechenden Antrag zurückziehen.	The PPE-DE group - my group - intends to withdraw its amendment here.
Ich empfehle, den ebenfalls in diese Richtung zielenden Antrag der UEN abzulehnen.	I would recommend that the House also reject the amendment along these lines proposed by the UEN.
Es handelt sich dabei um ein nationales Problem, das national gelöst werden muß, national gelöst werden wird, in jedem Fall aber nicht auf europäischer Ebene gelöst werden kann.	This is a national problem and must be solved at national level; it cannot, in any case, be solved at European level.
Wenn wir hier Regelungen einführen, dann wird es mit Sicherheit so sein, daß andere, die dazu noch weniger berechtigt sind, ein entsprechendes Anliegen formulieren.	If we introduce regulations here then others who are even less entitled to do so will surely table similar requests.
