. – Herr Kommissar, Herr Präsident, meine Damen und Herren!	.
Weil die Richtlinie zu erheblichen Änderungen für die Marktteilnehmer und die nationalen Behörden führt, weil die Umsetzung von der Ausarbeitung und der Durchführung der erforderlichen technischen Maßnahmen abhängt und weil diese leider erst jetzt ausgearbeitet werden und das Maßnahmenpaket zur Durchführung von 17 Bestimmungen erst 2006 angenommen werden soll.	The reason is that the directive results in considerable changes for the participants in the market and for the national authorities, since transposition is dependent on the necessary technical measures being worked out and put into effect, the former of which is, unfortunately, only now being done, and the package of measures to implement the 17 provisions is due to be adopted only in 2006.
Es verzögern sich also die Umsetzungsmaßnahmen auf Level 2, und eigentlich ist man erst fertig mit den Umsetzungsmaßnahmen, wenn MiFID schon hätte in Kraft getreten sein sollen.	The fact is that the implementing measures to be taken at Level 2 are being delayed, and they will actually only be completed at a time when MiFID ought already to have entered into force.
Wir sind für die Verlängerung der Umsetzungsfristen, weil es sich um das so genannte Lamfalussy-Verfahren handelt und der Prozess nach dem Komitologieverfahren abgewickelt werden muss.	What makes us favour the extension of the transposition deadlines is the fact that we are dealing here with what is termed the Lamfalussy procedure, and that the process has to be completed by means of comitology.
Was tun wir nun?	So what do we do now?
Wir verlängern aus diesem Grund die Umsetzungsfristen, wir verlängern die Geltungsdauer der alten ISD-Richtlinie, bis MiFID angewendet wird, d. h. bis zum 1. November 2007.	What we do now is to extend, and for this reason, the transposition deadline, also keeping the old ISD directive in force until MiFID becomes effective, in other words until 1 November 2007.
Wir ändern die Richtlinie über Märkte für Finanzinstrumente also nicht inhaltlich, sondern eher formal.	It follows that the changes we are making to the directive on markets in financial instruments are of form rather than of substance.
Wir verhindern mit diesen Umsetzungsfristen ein rechtliches Vakuum.	The effect of these transposition deadlines is to prevent a legal vacuum.
Neben diesen formalen Anpassungen an die Realität ändern wir aber auch das Komitologieverfahren innerhalb von MiFID.	Alongside these outward adaptations to reality, though, we are also altering the comitology procedure within MiFID.
Warum?	Why is this so?
Ich verstehe Ihren ersten Einwand, Herr Kommissar, nicht.	I have to tell the Commissioner that I find his first objection incomprehensible.
Wir tun das deshalb, weil wir die Komitologiebestimmungen, die wir mit dem Rat im Rahmen der Richtlinie über die Eigenkapitalausstattung, Basel II, beschlossen hatten – Stichwort: einfach in genau der Form übernehmen wollen.	We are doing this because we want to adopt, in precisely the same form, the provisions on comitology that we agreed with the Council for the ‘Basel II’ directive on capital adequacy, which can be summed up in the word ‘sunset clause’.
Das schafft Rechtssicherheit. Das schafft auch Klarheit darüber, was wir wollen.	What that gives us is legal certainty, along with clarity about what we want.
Die bisherigen Vorschläge entsprechen den Legislativbefugnissen des Europäischen Parlaments nicht, und es ist recht und billig, eine Einigung, die wir getroffen haben, auf andere Richtlinien, bei denen es um das Gleiche geht, auszudehnen.	The proposals we have received to date do not take account of this House’s legislative prerogatives, and it is right and proper that any agreement reached by us be extended to cover other directives dealing with the same subject matter.
Ich bitte daher alle Kolleginnen und Kollegen, bei der morgigen Plenarabstimmung bei dem Beschluss des Ausschusses zu bleiben, weil wir damit – neben einer sachlichen Lösung – wiederum eine Stärkung des Parlaments erreichen werden.	I therefore ask all the Members of this House, in the plenary vote tomorrow, to stick with the Committee’s resolution, for it will enable us not only to achieve a practical solution but also to strengthen this House’s hand.
