Liebe Kolleginnen und Kollegen, Exzellenzen, meine sehr verehrten Damen und Herren!	Ladies and gentlemen, your Excellencies, ladies and gentlemen.
Das Europäische Parlament hat dieser Frage viele Debatten gewidmet und allein in diesem Jahr drei Entschließungen zur Todesstrafe angenommen.	The European Parliament has held many debates on this issue and only this year adopted three resolutions on the death penalty.
Eine derart intensive Befassung mit einem Thema hat es im Europäischen Parlament noch zu keiner anderen Frage gegeben.	There has been such intensive consultation in the European Parliament on this subject as on no other issue.
Wir lehnen die Todesstrafe, in welcher Form und aus welchen Gründen auch immer, entschieden ab.	We resolutely reject the death penalty, in whatever form and on whatever grounds.
Die Mitgliedstaaten der Europäischen Union haben auf der Grundlage unserer gemeinsamen Werte erreicht, eine Gemeinschaft ohne Todesstrafe zu werden.	The Member States of the European Union have, on the basis of our common values, succeeded in becoming a community without any death penalty.
Das Bekenntnis hierzu ist auch in der Grundrechte-Charta festgeschrieben.	The commitment to this is also enshrined in the EU Charter of Fundamental Rights.
Sobald die Charta im Rahmen des Reformvertrages rechtsverbindlich sein wird, können wir sogar sagen, dass die Todesstrafe auf dem Gebiet der Europäischen Union auf allen Ebenen abgeschafft ist.	Once the Charter becomes legally binding under the Reform Treaty, we will even be able to say that the death penalty has been abolished in the European Union at all levels.
Ich bin froh und dankbar, dass kein Mitgliedstaat der Europäischen Union die Abschaffung der Todesstrafe in der Grundrechte-Charta in Frage gestellt oder jemals ihre Wiedereinführung ernsthaft in Erwägung gezogen hat.	I am happy and grateful that no Member State of the European Union has questioned the abolition of the death penalty in the EU Charter of Fundamental Rights or has ever seriously contemplated re-introducing it.
Die Europäische Union kann damit auch in ihrem Handeln als globaler Akteur auf diese außerordentliche Errungenschaft auf dem Gebiet der Menschenrechte verweisen und sie verteidigen.	The European Union, as a global player ,is also thereby able to point to this extraordinary achievement in the area of human rights and defend it.
In Erinnerung an die Opfer bitte ich Sie jetzt um ein stilles Gedenken.	In remembrance of the victims, I would ask you now to observe a minute's silence.
Heute, am Europäischen und Internationalen Tag gegen die Todesstrafe, fordern wir, das Europäische Parlament, all jene Staaten, die noch immer Todesurteile vollstrecken, auf, unserem Beispiel zu folgen: Schaffen Sie die Todesstrafe ab!	Today, on the European and International Day against the Death Penalty, we, the European Parliament, ask all those states that continue to carry out death sentences to follow our example and abolish the death penalty.
Die Europäische Union ist bereit und willens, Ihnen dabei ihre Hilfe anzubieten.	The European Union is ready and willing to offer you its help in doing so.
(Beifall)	(Applause)
