Frau Präsidentin, es ist ein schwieriger Text.	Madam President, this is a difficult text.
Ich bin froh, dass wir diese Kollegen mit Hilfe der anderen Kollegen in den anderen Fraktionen in Tag- und Nachtarbeit dazu bewogen haben, dann doch zuzustimmen.	I am pleased to say that by working night and day with the help of other members in other groups we were able to persuade them to agree after all.
Diese individuelle Verantwortung ist nach der Verpackungsverordnung und nach der Altautoverordnung der erste Schritt zu einer wirklich nachhaltigen Umweltpolitik, die ich in Verbindung mit Wirtschaftspolitik nur sehr unterstützen kann.	Following on from the packaging regulation and the end-of-life vehicles regulation, this individual liability is the first step towards a really sustainable environmental policy which, combined with economic policy, has my full support.
Möglicherweise ist es uns gelungen, Trittbrettfahrer, die es bei einem solchen System immer gibt, außen vor zu lassen.	We may have succeeded in shutting out the free riders that there always are with such a system.
Es gibt große Konzerne, die kurz vor Weihnachten 100 000 Kühlschränke im pazifischen Raum bestellen und sie nicht mit einem Logo ausstatten, so dass nachher der kleine Unternehmer oder der Bürger zahlen muss.	There are big firms that order 100 000 refrigerators from the Pacific region just before Christmas and fail to put a logo on them so that the small trader or the citizen has to pick up the bill later.
Wir haben eine Regelung gefunden, dass eine Zwangsetikettierung stattfinden muss, damit die Kosten auch zugewiesen werden, und dass dann auch Mittel für den Fall des Recyclings zur Verfügung stehen, wie auch immer die Mitgliedstaaten das machen - und wir wollen das sehr wohl in subsidiäre Hände geben.	We have made labelling compulsory so that the costs can also be assigned and resources will be available for recycling, however the Member States do it - and we are more than willing to leave that to subsidiarity.
Aber die Garantie, dass dies geschieht, das ist wichtig, und dieses Anliegen ist eingeflossen.	The important thing is the guarantee that it is done, and the text reflects that concern.
Dass die Altgeräte von den am Markt zurzeit existierenden Unternehmen gemanagt, aber auch gezahlt - in diesem Falle kollektiv gezahlt - werden müssen, ist keine Frage, weil es dafür kein anderes System gibt.	That old appliances must be managed and also paid for - in this case collectively - by the undertakings currently in existence on the market is not in question because there is no other system for doing it.
Aber wir haben den Mitgliedstaaten die Möglichkeit offen gelassen, die Finanzierung auszuweisen, so dass für den Altbestand ein so genanntes visible fee - wie auch immer man das nennen mag - möglich ist.	We have, however, left Member States the possibility of disclosing how it is financed so that there can be a 'visible fee', or whatever you want to call it, for old stock.
Ich glaube, auch hier haben wir einen guten Schritt getan.	I believe this was also a good step.
Ich wäre froh gewesen, wenn wir in der Debatte um Altautos und Elektronikschrott noch offensiver und noch mehr die Frage debattiert hätten, wie wir in Zukunft einen Sekundärrohmaterialienstrom mehr fördern können.	I would have been pleased if, when debating end-of-life vehicles and electronic waste, we could have had a more aggressive and longer debate about how we might do more to encourage a flow of secondary raw materials in future.
Wir haben leider immer noch die Eigenart, dass wir Primärmaterial gerne neu einsetzen und Sekundärmaterial immer mit gewissen langen Zähnen behandeln.	Unfortunately, we are still very fond of using new primary materials but always tend to turn up our noses at secondary materials.
Ich könnte da so weit gehen, zu sagen, man sollte solchen Sekundärrohmaterialien eine gewisse Mehrwertsteuerpräferenz geben.	I might go so far as to say we should give such secondary raw materials preferential VAT treatment.
Das ist nicht unbedingt eine klassische Haltung meiner Fraktion.	That is not necessarily my group's normal position.
Aber ich glaube, dass dies ein motivierendes Instrument wäre, hier wirklich Nachhaltigkeit herbeizuführen.	I do, however, believe it would be an incentive to bring about real sustainability in this area.
Darum geht es nämlich, meine Damen und Herren.	That is what it is really about, ladies and gentlemen.
Wir wollen Rohstoffe in Zukunft wiederverwenden.	We want to reuse raw materials in future.
Durch die Motivation der Unternehmen, die Geräte so zu bauen, dass sie wiederverwendet werden können, haben wir einen marktwirtschaftlichen Weg gefunden - und dass das für mich ein wichtiger Grund ist, brauche ich niemandem zu sagen -, hier die Beteiligten an einen Tisch zu bekommen.	By motivating undertakings to build appliances in such a way that they can be recycled, we have found a free-market way of getting the parties concerned round the same table, and I do not need to tell anyone that for me that is an important reason.
Ich habe mich übrigens sehr gefreut, dass die NGO in dieser Frage mit uns gekämpft haben, und dass die Unternehmen und die NGO eine gemeinsame Resolution zu unseren Bemühungen verabschiedet haben - im positiven Sinne.	I was also very pleased to have the NGOs fighting alongside us on this question and that the undertakings and NGOs adopted a joint resolution in support of our efforts.
So etwas hat es, solange ich in diesem Hause bin - und das sind schon 13 ½ Jahre - noch nicht gegeben!	Nothing like that has happened before in the time I have been in this House - and that is thirteen and a half years.
Ich möchte mich an dieser Stelle auch bei denjenigen Kollegen bedanken, die in schwierigen Momenten mit an Bord geblieben sind.	I would at this point also like to thank those colleagues who stayed on board in difficult moments.
Es gibt genügend, die, wenn es schwierig wird, schon mal in der Furche verschwinden.	There are always plenty who fall by the wayside when the going gets tough.
Es waren immer wieder Kollegen da, die immer dann, wenn es darum ging, Druck aus dem Rat aufzufangen, dabei geblieben sind, und das hat uns letztlich - Frau Kommissarin, Sie haben da auch exzellent mitgearbeitet - zu diesem Erfolg verholfen.	Again and again colleagues stuck with it whenever there was pressure from the Council, and in the end, that gave us this success - as did the excellent cooperation you gave us, Commissioner.
Diese Richtlinie besteht im Grunde aber aus zwei Teilen.	Basically, though, this directive does have two parts.
Der zweite Teil ist die Frage, wie wir in Zukunft mit gefährlichen Produkten, nämlich z. B. mit Cadmium, Blei und sechswertigem Chrom umgehen.	The second part is the question of how we are to deal with hazardous substances such as cadmium, lead and hexavalent chromium in future.
Darin, meine ich, sind wir auf unserem Weg einen kleinen Schritt vorangekommen.	I think we have made a small amount of progress here.
Letztlich geht es darum, z. B. vagabundierendes Blei in Lampen, in kleinen Radios, in kleinen Geräten, wie wir sie alle kennen, zu sammeln und zu konzentrieren.	Ultimately, this is about collecting and concentrating, for example, stray lead from light bulbs, small radios and small appliances with which we are all familiar.
Zehn Tonnen Blei auf einem Haufen sind vollkommen ungefährlich.	Ten tonnes of lead in one place are absolutely harmless.
Aber als vagabundierende Kleinteile sind sie ein Problem.	The same amount in small pieces all over the place, however, is a problem.
Hier haben z. B. uns die Japaner sehr hoffnungsvolle Ansätze gezeigt, und auch wir sind jetzt dabei, mit motivierenden Elementen den Unternehmen klar zu machen, dass wir auf Dauer in eine Gesellschaft eintreten wollen, wo diese hochgefährlichen Substanzen mehr und mehr der Vergangenheit angehören.	The Japanese, for example, have shown us very promising approaches here, and we are now making clear to manufacturers, with appropriate incentives, that in the long term we want to create a society where these highly dangerous substances are more and more a thing of the past.
Frau Präsidentin und Frau Kommissarin, lassen Sie mich ein persönliches Wort an meine persönlichen Mitarbeiter richten, die hier sehr aktiv Stunden und Nächte gearbeitet haben.	Madam President, Commissioner, I would like to say a personal word to my personal colleagues who have been very busy here, working long hours and sometimes through the night..
Lassen Sie mich noch einmal ein Wort des Dankes an meine Kollegen richten, an Sie, Frau Kommissarin, an Ihren Mitarbeiter, der immer dann, wenn bei uns einmal die großen Fragezeichen da waren, exzellent geholfen hat.	May I once again thank my colleagues, you, Commissioner, and your staff, who always rendered us excellent assistance whenever we were faced with major questions.
Ich war stolz auf dieses Europäische Haus und würde mich freuen, wenn das in Zukunft bei den nächsten Richtlinien weiter so vorangetrieben werden könnte.	I was proud of this European House and would be pleased if in future things could continue in the same way with the next directives.
