Herr Präsident, meine Damen und Herren! Ich möchte die Fragen gerne beantworten.	Mr President, ladies and gentlemen, I would be happy to answer the questions.
Weder der Rat noch das Parlament, noch die Kommission, noch die Kandidatenstaaten haben das jemals getan.	Neither the Council nor Parliament, nor the Commission, nor the applicant states ever fixed a date.
Die Agenda 2000 schafft auch die Voraussetzungen für die Erweiterung.	Agenda 2000 also establishes the preconditions for enlargement.
Wenn es uns nicht gelingt, die Agenda bis zum März abzuschließen, dann ist das ein Signal der Entmutigung für die Beitrittskandidaten.	If we do not manage to conclude the Agenda by March, that will send out a discouraging signal to the applicant countries.
Auch aus diesem Grunde ist es ganz wichtig, daß wir die Agenda rechtzeitig abschließen können.	That is another reason why it is so important for us to conclude the Agenda in good time.
Im Hinblick auf die Situation, in der das Parlament heute tagt, mit Bauern und Traktoren auf der Straße, darf ich darauf hinweisen, daß die Landwirtschaftspolitik ein Teilaspekt des Gesamtpaketes ist.	In view of the conditions under which Parliament is meeting today, with farmers and tractors outside on the street, let me point out that agricultural policy forms one component of the global package.
Es geht eben nicht nur um die Landwirtschaftspolitik.	It is not a question of agricultural policy alone.
Sie ist ein Teil vom finanziellen Volumen her, natürlich entsprechend der Struktur unserer Haushalte, der größte Teil.	That policy is a component of it in terms of financial volume, and given the structure of our budgets it is of course the biggest component.
Es ist die Überzeugung einer großen Mehrheit der Mitgliedstaaten, daß auch die Agrarpolitik zu einem Gesamtergebnis beitragen muß, das heißt, daß auch die Agrarpolitik reformiert werden muß, a) im Hinblick auf die Kompatibilität mit den Wettbewerbsregeln der WTO und b) im Hinblick auf die Finanzierbarkeit der Europäischen Union nach der Erweiterung.	A large majority of Member States are convinced that agricultural policy must also play its part in achieving the overall result, which is to say it must also be reformed, firstly in relation to compatibility with the WTO competition rules and, secondly, in relation to the financing of the European Union after enlargement.
Da dies konkret gefragt wurde, möchte ich auch sehr deutlich sagen, das Ziel einer europäischen Landwirtschaftspolitik kann und darf es nicht sein, bäuerliche Existenzen zu gefährden oder zu vernichten.	Since the specific question was asked, let me also say quite clearly that the objective of a European agricultural policy cannot and must not be to jeopardise or even destroy farming.
Es muß ganz im Gegenteil das Ziel europäischer Landwirtschaftspolitik sein, bäuerlich betriebene Landwirtschaft in allen europäischen Regionen auch in Zukunft möglich zu erhalten.	On the contrary, the objective of European agricultural policy must be to preserve farming in all the European regions for the future.
Die Vorschläge, die diskutiert werden - mehr als eine Diskussion ist es ja noch nicht -, gehen jedenfalls nach Überzeugung der Präsidentschaft nicht in eine Richtung, die es erlauben würde, davon zu sprechen, daß in Europa in Zukunft keine bäuerliche Landwirtschaft mehr möglich ist.	The presidency for its part is convinced that the proposals that are under discussion - after all we are still only at the discussion stage - do not tend in a direction that would allow us to say that farming no longer has a future in Europe.
Ich verstehe, daß Sie gerne jetzt über bereits konkret Abgeschlossenes diskutieren würden.	I can understand that you would like to be able to discuss concrete agreements now.
Das ist nicht möglich, weil der eingeschlagene Verhandlungsweg eben so ist, daß das Gesamtpaket tatsächlich erst im März geschnürt wird.	But that is not possible because, given the negotiating process that is under way, the global package will in fact not be tied up until March.
Wir haben in Zusammenarbeit zwischen Präsidentschaft und Parlament ein Verfahren gewählt, das sich jetzt sehr schnell entwickelt.	In cooperation between the presidency and Parliament we opted for a procedure that is now gathering momentum rapidly.
Das Tempo unserer Begegnungen erhöht sich, und auch die Materie wird jetzt von Mal zu Mal mehr.	We are meeting more and more often and are also discussing more and more subjects.
Uns ist absolut bewußt, daß wir die Zustimmung des Parlaments brauchen.	We are fully aware that we need Parliament's assent.
Die Präsidentschaft weist auch in den Beratungen in verschiedenen Gremien darauf hin, daß bei der Vertretung der verschiedenen nationalen Positionen Rücksicht genommen werden muß auf die Meinungsbildung im Europäischen Parlament.	During the discussions in various forums the presidency does indeed point out that when the various national positions are put forward, account must be taken of the European Parliament's opinion.
Ich muß Ihnen allerdings sagen, daß das von einigen Mitgliedstaaten ernster genommen wird als von anderen.	However, I must admit that some Member States take this more seriously than others.
Es gibt auch den einen oder anderen, der denkt, das überlassen wir mal der Präsidentschaft, wie sie später das Europäische Parlament dazu bringt, den Ergebnissen des Sondergipfels zuzustimmen.	And some people seem to think we can just leave it to the presidency to decide how it will then persuade the European Parliament to agree to the results of the special summit.
Unser Bestreben ist es jedenfalls, bereits in das Gipfelergebnis soviel wie möglich von den Beiträgen des Europäischen Parlaments einzubeziehen.	In any case we are endeavouring to incorporate as many as possible of Parliament's views in the results of the summit.
Deshalb bin ich dankbar für alles, was in Frageform als Anregung heute in dieser Debatte gesagt wurde.	That is why I am grateful for all the ideas put forward in this debate in the form of questions.
Ich sage Ihnen zu, daß alle diese Anregungen, Hinweise und Empfehlungen in die Beratungen Eingang finden werden.	Let me assure you that we will take account of all these ideas, comments and recommendations in our deliberations.
