. – Herr Präsident, meine Damen und Herren!	.
Es gibt einen zweiten Punkt, den wir nicht unterschätzen sollten: Das sind die Reformen, die die Türkei in den letzten Jahren durchgeführt hat, die von Herrn Erdoğan angestoßen worden sind und die - das darf ich einmal in aller Klarheit sagen - deutlich fortschrittlicher sind als all die Reförmchen, die konservative oder sozialdemokratische Vorgängerregierungen angepackt haben.	There is a second point that we should not underestimate, that being the reforms that Turkey has pushed through in recent years, which were set in motion by Erdoğan, and which are – let me say so plainly – markedly more progressive than all the trifling reforms tackled by previous governments, whether conservative or social democrat.
Ich war vor neun Jahren, am 15. Dezember 1995 hier im Parlament einer der drei Berichterstatter über die Zollunion mit der Türkei. Da war Frau Çiller Ministerpräsidentin in der Türkei.	Nine years ago – it was 15 December 1995 – I was one of the three rapporteurs on customs union with Turkey, at a time when Mrs Çiller was that country’s prime minister, about which I will say no more at this point.
Ich will mich jetzt nicht weiter dazu äußern. Sie hat uns damals gesagt: „Um Himmels Willen, gebt uns die Zollunion, sonst treibt ihr uns in die Arme der Islamisten.“ Dieselbe Frau hat dann neun Monate später - bekanntlich mit Herrn Erbakan eine Koalition geschlossen.	At that time, she said to us, ‘For heaven’s sake, let us have this customs union, or you will be driving us into the arms of the Islamists.’ Nine months later, she formed a coalition with – as we know – Mr Erbakan.
Das ist Vergangenheit. Die Glaubwürdigkeitslücke ist vergessen.	That is in the past; the credibility gap has been forgotten.
Erdoğan hat in der Tat mehr Reformen angestoßen als seine Vorgängerregierungen. Nur reicht das nicht.	Erdoğan has indeed set in motion more reforms than his predecessors in government.
Aber alle, mit denen wir in der Türkei sprechen, und Sie Herr Eurlings können das bestätigen, alle Menschenrechtler, alle Frauenrechtler, alle demokratischen Organisationen, alle Demokratievereine, die Arbeitgeberverbände wie die Gewerkschaften, alle gemeinsam sagen uns: Die Perspektive eines Beitritts zur Europäischen Union hat dieses Land verändert. Die Perspektive eines Beitritts zu dieser Union macht aus diesem Land eine normale parlamentarische Demokratie.	The only thing is that they are not enough, but all those people we have been talking to in Turkey, as Mr Eurlings can confirm – all those campaigners for human rights, for women’s rights, all the democratic organisations, all the pro-democracy associations, both the employers’ organisations and the trade unions – all have been telling us that the prospect of accession to the European Union has changed their country, that the prospect of accession to this Union will make their country a normal parliamentary democracy.
Das alles wird nicht schon morgen früh verwirklicht sein.	All this will not be accomplished as soon as tomorrow morning.
Der Beitritt wird, wenn er kommt, irgendwann am Ende des nächsten Jahrzehnts erfolgen. Aber die Chance, dass aus diesem großen Land eine normale westliche Demokratie wird, diese Perspektive, ist eine Friedensdividende, die wir nicht ausschlagen dürfen.	If it happens, accession will come at some point at the end of the next decade, but the opportunity, the prospect, of seeing this great country become a normal Western democracy is a peace dividend that we must not cast aside.
Denn was passierte denn, Herr Poettering, wenn Sie die Türken zurückwiesen?	Let me ask you, Mr Poettering, what will happen if you reject the Turks?
Was passiert, wenn dieser Reformprozess abbricht?	What will happen if the reform process is cut short?
Können Sie dieses Risiko eingehen?	Is this a risk you can take?
Diese Frage stelle ich Ihnen.	That is the question I put to you.
Sagen Sie uns, was im Rahmen der privilegierten Partnerschaft passiert, wenn der Reformprozess abgebrochen wird?	Tell us what would happen in a privileged partnership if the reform process were to be halted in its tracks?
Das müssen wir auch von Ihnen hören, dazu sagen Sie nichts!	That is what we need to hear from you, but you have nothing to say on the subject!
Wir sagen, und das ist unser drittes Argument: Wenn es gelingt, die demokratische Türkei zu stabilisieren, wenn es gelingt, die westliche Werteordnung in dieser Gesellschaft zu verankern, wenn wir den Türken die Chance geben, das zu werden, was sie werden wollen, nämlich Menschen, die in Europa die europäische Werteordnung für sich akzeptieren, dann schaffen wir eine Europäische Union, die ihren Friedensprozess, ihre Friedenspotentiale, ihre demokratiestabilisierenden Potentiale in einer Region verwirklicht, die mehr denn je eins braucht: Demokratie, Menschenrechte, soziale Sicherheit und Frieden.	This is what we have to say, and it is our third argument: if we succeed in making Turkey democratic and stable, if Western values succeed in putting down roots in its society, if we give the Turks the chance to become what they want to be, in other words, people in Europe, accepting European values for themselves, then we will be creating a European Union that will be making a reality of its peace process, its potential for peace and for the stabilisation of democracy in a region that more than ever needs democracy, human rights, social security and peace.
Das genau sind die Exportgüter der Europäischen Union, die wir in die Türkei exportieren sollten - wenn es gelingt! Es ist nicht gesagt, dass es gelingt.	It is these very things that we in the European Union should be exporting to Turkey – if all goes well!
Keiner kann zu Beginn dieses Prozesses sagen, ob es wirklich gelingt.	That it will is not a given.
Aber den Versuch nicht zu unternehmen, das wäre fahrlässig! Deswegen stimmen wir als Fraktion Ihrem Bericht, Herr Eurlings, zu.	Nobody can say at the outset of this process whether it will really be successful, but it would be negligent not to try, and so, Mr Eurlings, we, as a group, will be voting in favour of your report.
