Herr Präsident, auch ich darf Ihnen zunächst sehr herzlich zu Ihrer Wahl gratulieren.	Mr President, let me also congratulate you on your election.
Auch der Europäische Gerichtshof hat in richtungweisenden Erkenntnissen und gerade jetzt auch im Schlussantrag in der Helsinkisache eine sehr gute und verlässliche Auslegung des bestehenden Rechts geliefert.	The European Court of Justice, too, has handed down a very good and reliable interpretation of current law in indicative orders and particularly now in the final plea in the Helsinki case.
Für die Kommission scheint diese bestehende Rechtslage aus politischen Gründen nicht akzeptabel zu sein. Deshalb soll sie jetzt massiv geändert werden.	The Commission appears to find the current legal position unacceptable for political reasons, and it is therefore to undergo massive alteration.
Hier sind wahrscheinlich einige Kollegen sehr verwirrt, weil vieles von dem, was die Kommission dankenswerterweise in ihren beiden interpretativen Mitteilungen aufzeigt, aufgrund der neuen Rechtslage, wie sie die Kommission vorgelegt hat, nicht mehr möglich sein wird, wenn wir morgen keine Änderungen dazu beschließen.	A number of Members will probably be very confused at this point, as much of what the Commission thankfully sets out in its two interpretative statements will, by reason of the new legal position it has outlined, no longer be feasible if we do not vote any amendments to it tomorrow.
Auftraggeber, wie zum Beispiel Gemeinden, dürfen in Zukunft nur mehr egoistisch denken, nur mehr an den unmittelbar eigenen Vorteil.	Principals, such as municipalities for example, may now only think, in purely egotistical terms, of the immediate benefit to themselves.
Der wirtschaftliche Vorteil muss eindeutig beim Auftraggeber sein.	The economic advantage must unambiguously be the principal's.
In Österreich nennen wir das das "Florian-Prinzip ": Lass lieber das Haus meines Nachbarn brennen und nicht mein eigenes!	In Austria we call this the 'Florian principle' according to which it is better to let your neighbour's house burn down than your own.
Das heißt, Nachteile und Kosten, die für eine andere Gebietskörperschaft anfallen, dürfen bei einer Vergabeentscheidung nicht mehr berücksichtigt werden.	It means that factors occurring to the detriment and cost of another local or regional authority must no longer be taken into account when awarding a contract.
Verbieten will die Kommission auch, dass Kriterien, die auf die Herstellung eines Produkts bezogen sind, nicht mehr anwendbar sind.	The Commission also wants to prohibit the imposition of criteria relating to the manufacture of a product.
Damit wird zum Beispiel eine Ausschreibung, die Holzprodukte aus einer nachhaltigen Forstwirtschaft oder Lebensmittel aus einer biologischen Anbauweise oder aus einer artgerechten Tierhaltung verlangt, rechtswidrig und stellt eine Diskriminierung konventioneller Anbieter dar.	This makes illegal, for example, an invitation to tender that specifies wood products from sustainable forestry or foodstuffs that are grown organically or derived from species-friendly animal husbandry and represents discrimination against conventional providers.
Damit werden nicht nur die Zielsetzungen des Vertrags, zum Beispiel Integration des Umweltschutzes in alle Politikbereiche sowie eine Politik der nachhaltigen Entwicklung unterlaufen, es wird auch die Autonomie und die Demokratie der Städte und Gemeinden und der Regionen und der Bundesländer eingeschränkt.	This not only undermines the objectives of the Treaty, for example the integration of environmental protection into all spheres of policy, and also a policy of sustainable development, it also restricts the autonomy and democracy of cities, municipalities, regions and federal territories.
Mit EU-Recht verbieten wir dann einem demokratisch gewählten Organ, einer Stadt, einer Gemeinde zu entscheiden, eine umweltfreundliche Beschaffungspolitik weiter zu führen oder neu einzuführen.	We are then using EU law to prohibit a democratically elected institution such as a city or a municipality from deciding to introduce, or continue with, an environmentally friendly purchasing policy.
Ich glaube nicht, dass wir damit die Popularität der Europäischen Union bei den Bürgern erhöhen.	I do not believe that this will enhance the European Union's popularity among its citizens.
Gerade diese Perspektive der Städte und Gemeinden Europas ist es auch, die dazu führt, dass in unserer Fraktion mehrheitlich eine Erhöhung der Schwellenwerte befürwortet wird.	It is also, indeed, the perspective of Europe's cities and municipalities that leads to a majority of our Group' s advocating the raising of the threshold.
Selbst in einer kleinen Gemeinde wie meiner eigenen in einem Land, in dem aus klimatischen Gründen das Bauen sehr teuer ist, liegt man heute schon mit einem simplen Schulbau über den Schwellenwerten.	Even in a small community like my own, in a country in which the climate means that building is very expensive, even the mere building of a school goes above the threshold.
Die Ausschreibungskosten sind wesentlich höher.	The costs of putting the work out to tender are significantly greater.
Diese Summe kann man allerdings nicht wieder einsparen, weil die Summe immer noch zu niedrig ist, um tatsächlich Anbieter aus anderen Ländern anzulocken.	Yet this amount cannot be cut back because it is still too low to attract tenders from other countries.
Es wurde schon betont, dass auch unter den Schwellenwerten die Regeln des Binnenmarktes gelten.	It has already been emphasised that the rules of the Internal Market also apply below the threshold values.
Ich möchte abschließend vor allem an die EVP appellieren, dass sie die Haltung, die sie im Ausschuss eingenommen hat, bei den Vergabekriterien vielleicht doch in einigen Punkten ändert.	I would like, in my concluding remarks, to appeal to the Group of the European People' s Party and European Democrats to change the position they adopted in committee on tendering conditions, even if only on a few points.
Wir haben zu meinen Anträgen 134 und 110 verschiedene split votes eingebracht.	We have brought in differing split votes on my Amendments Nos 134 and 110.
Ich denke doch, dass es auf dieser Grundlage möglich sein müsste, den Kommissionstext in diesen Punkten noch zu verbessern.	I think, then, that it must be possible on this basis to further improve these points in the Commission's text.
