Herr Präsident, Herr Abgeordneter! Lassen Sie mich zu dieser Frage ein bißchen weiter ausholen.	Mr President, Mr Frischenschlager, let me go a little further into this question.
Weitere Punkte waren: 40-Tonnen-Quote durch die Schweiz, jährlich zunächst 120 000 Fahrten, dann ab 2003 300 000 Fahrten. Ab 2005 keine Beschränkung mehr.	Other points agreed were: the 40 tonne quota for transit through Switzerland, 120 000 journeys a year for the time being, then 300 000 from the year 2003, and no restrictions from the year 2005.
Das Nachtfahrverbot in der Schweiz bleibt weiterhin bestehen.	The ban on night driving ban was to remain in force in Switzerland.
Dies war ebenfalls ein Teil der Regelung.	That too was part of the settlement.
Der Schweiz sollte außerdem für den Fall, daß die Bahnauslastung sinken sollte, eine Schutzklausel zugestanden werden.	Moreover, in case train use declined, Switzerland was to be granted a protective clause.
Die Europäische Kommission meinte dann im März des Jahres, daß kaum mehr Spielraum in den Verhandlungen mit der Schweiz bestehe und die 200 ECU Mautgebühr nun eine feste Größe seien.	In March this year, the Commission believed there was little room for manoeuvre left in the talks with Switzerland and that the ECU 200 road toll was now a fixed rate.
Die Kalkulationen, die die Schweiz vorgelegt hat, seien im großen und ganzen plausibel.	It regarded the calculations submitted by Switzerland as by and large plausible.
Weiter verwies die Europäische Kommission auch auf den Vorteil, den ein Abkommen mit der Schweiz bringen würde, so vor allem, daß bei einem Scheitern der Verhandlungen die Schweiz autonom eine Straßenmaut erheben könnte, daß die Schweiz dann auch die externen Kosten berücksichtigen könnte, und daß der weitere Tunnelausbau in der Schweiz in Frage gestellt wäre.	The Commission also pointed to the advantages of concluding an agreement with Switzerland, especially because if the talks failed, Switzerland could autonomously levy a road toll, that it could then also take account of the external costs and that this would put any further tunnel building in Switzerland at risk.
Auf der anderen Seite wäre durch den Abschluß des Vertrages mit der Schweiz ab dem Jahr 2005 die volle Freiheit für 40-Tonnen-LKW durch die Schweiz gegeben und ein faires System der Maut-Erhebung gesichert.	On the other hand, the conclusion of an agreement with Switzerland would mean that as from the year 2005, 40-tonne HGVs could drive through Switzerland quite freely and the road-use charge system would be fair.
Die Europäische Kommission betrachtete also daher die Verhandlungen mit der Schweiz im Verkehrsbereich als abgeschlossen, Österreich und die meisten anderen Mitgliedstaaten sind allerdings nicht dieser Meinung.	So the Commission regarded the transport negotiations with Switzerland as concluded, although Austria and most of the other Member States do not agree.
In der Diskussion sprachen sich dann einige Mitgliedstaaten für eine weitere Verbesserung des Vertragsentwurfes und für den Fall, daß keine Verbesserungen möglich werden, auch für dessen Ablehnung aus, und zwar die Niederlande, Belgien, Frankreich, Spanien, Griechenland und Italien.	During the discussion, several Member States called for further improvements in the draft agreement and, in the event that this was not possible, for it to be rejected; these states were the Netherlands, Belgium, France, Spain, Greece and Italy.
Die anderen sprachen sich für eine Annahme aus.	The others were in favour of accepting it.
Wir glauben ebenfalls, daß es nur noch wenige Verbesserungsmöglichkeiten gibt.	We too believe that there is little margin for improvement.
Das heißt, für uns hängt daher eine Annahme oder eine Ablehnung davon ab, ob in der Frage der Euro-Vignette für uns eine befriedigende Lösung gefunden werden kann.	That means that our acceptance or rejection of it depends on whether a satisfactory solution can be found to the question of the Euro-Vignette.
Nun muß ich sagen, daß das, was Sie erneut erwähnen, nicht viel anderes ist, als das, was wir schon diskutiert hatten.	I must say that the matter you have just raised again is more or less what we have already discussed.
Es liegt nun an der Kommission zu sehen, ob die Chance besteht, zu einem einheitlichen Satz zu kommen, der von allen akzeptiert werden kann.	It is now up to the Commission to see whether there is a chance of achieving a uniform rate acceptable to all parties concerned.
Es gab dazu wie gesagt nur eine sehr kurze informelle Debatte, und als weitere Vorgehensweise ist eine erste Behandlung des Landverkehrs unter österreichischer Präsidentschaft am 1.10. beim Verkehrsministerrat vorgesehen, aber auch dort nur als Orientierungsdebatte. Denn voraussichtlich wird es vor den Wahlen in Deutschland zu keiner offiziellen Debatte über die Frage der Abgaben kommen.	As I said, there was only a short, informal debate on the subject and the next step envisaged is the initial consideration of overland transport under the Austrian Presidency in the Council of Transport Ministers on 1 October, although again merely as a policy debate, since presumably the question of charges will not be debated formally before the German elections.
