Herr Präsident, Herr Kommissionspräsident Prodi!	Mr President, Mr President of the Commission.
Wir müssen mit den Interessensgruppen in einen Dialog eintreten und diskutieren, wir müssen ihren Rat und ihre Überlegungen annehmen, ja!	We must engage in dialogue and debate with these interest groups, we must accept their advice and take account of their arguments, that we must.
Aber wir können nicht den Bock zum Gärtner machen.	But we can hardly expect the fox to guard the chickens.
Derjenige, den wir vielleicht kontrollieren wollen, der soll sich in Zukunft selbst einen Rahmen setzen?	Are those whom we perhaps want to control to be allowed to set their own rules in the future?
Da bin ich anderer Meinung.	I take a different view.
Das wäre genauso, als ob ich sagen würde, die Futtermittelindustrie und die Agrarlobby sollen die Regeln für die Agrarmarktordnung selbst festlegen.	That is like saying that the feedingstuffs industry and agricultural lobby should decide on the organisation of the agricultural markets.
Das kann es nicht sein! Das ist nicht unsere Position!	It is out of the question and that is not our position.
In diesem Zusammenhang noch eine kleine Bemerkung: Es gibt eine zunehmende Tendenz zur so genannten interpretativen Mitteilung durch die Kommission.	Another brief comment in this context: there is a growing trend towards so-called interpretive Commission communications.
Das heißt, was Rat und Parlament entscheiden, wird dann nachträglich von der Kommission interpretiert, möglichst so interpretiert, wie es vielleicht die verschiedenen Interessensgruppen wollen.	In other words, Council and Parliament decisions are subsequently interpreted by the Commission, where possible, in the way which the various interest groups perhaps want them interpreted.
Auch das ist ein gefährlicher Weg!	That too is a slippery slope.
Die Kommission macht Vorschläge.	The Commission submits proposals.
Sie hat das Initiativrecht.	It has the right of initiative.
Ich bekenne mich dazu.	I admit that.
Entscheiden müssen aber die parlamentarischen Gremien, und da darf es keine nachträglichen Korrekturen durch entsprechende Mitteilungen geben.	But it is the parliamentary committees which must take the decisions and there should be no ex-post corrections in later communications.
Wenn, dann ist der Europäische Gerichtshof dazu aufgerufen.	If there are, then the matter should be referred to the European Court of Justice.
Zum Abschluss, Herr Präsident Prodi: Wir erwarten von der Kommission eine Fülle von Vorschlägen.	Finally, President Prodi, we expect to be inundated with Commission proposals.
Wir erwarten aber auch den Respekt des Parlamentarismus, so wie wir die Kommission respektieren.	But we also expect the Commission to respect parliamentarianism, just as we respect the Commission.
Wir erwarten von Ihnen, dass Sie so an unserer Stärkung interessiert sind, wie wir an Ihrer Stärkung interessiert sind!	We expect you to be as keen to strengthen Parliament as we are to strengthen the Commission.
(Beifall)	(Applause)
