Herr Präsident, in der Europäischen Union gibt es 37 Millionen behinderte Menschen.	Mr President, there are 37 million disabled people in the European Union.
Die Behindertenpolitik beginnt nun auf Integration und Chancengleichheit, also mainstreaming zuzugehen.	The policy on disabled people is now starting to be geared towards integration and equality of opportunity, in other words mainstreaming.
Allerdings berechtigt ein noch so guter Ansatz in dieser Mitteilung keine direkten Aktionen.	However, even an approach as good as the one in this communication does not necessarily lead to direct action.
Nur mit Hilfe eines Programms lassen sich politische Maßnahmen, Informationen und Erfahrungen von Mitgliedstaat zu Mitgliedstaat weitervermitteln.	Only with the help of a programme can there be a transfer of policy, information and experiences between Member States.
Das HELIOS-Programm war das einzige Programm, das die Behindertenarbeit von Nichtregierungsorganisationen direkt finanzierte und als Bindeglied zu den behinderten Menschen in der gesamten Europäischen Union fungierte.	The HELIOS programme was the only one which directly financed the work of NGOs with the disabled and acted as a link for disabled people across the European Union.
Das Programm war für die behinderten Gruppen mit einer sehr geringen Anzahl von Betroffenen, wie z.B. den Taubblinden, hilfreich.	The programme was helpful for disability groups where the incidence of disability is very low, such as deafblindness.
Diese Gruppen sind auf einen echten europäischen Austausch angewiesen, um ihrem Bedarf gerecht zu werden.	These groups depend on genuine European exchange to enable them to meet their needs.
Es war das einzige Programm, das sämtliche Behindertengruppen erreicht.	It was the only programme which reached all groups of disabled people.
In der Zwischenbewertung dazu wird festgestellt, daß das Problem nicht unterschätzt werden darf, mit dem HELIOS konfrontiert war, das da heißt, Solidarität und gemeinsame Strategien in einem so vielfältigen Sektor der europäischen Bevölkerung zu verwirklichen.	On this point, the interim evaluation said that it was important not to understate the problem HELIOS II was confronting, namely building solidarity and common strategies across such a diverse sector of Europe's population.
Ich unterstütze zwar voll und ganz das von der Kommission aufgestellte Ziel einer umfangreichen Einbeziehung der behinderten Menschen in die Verwaltungs- und Durchführungsvorschriften des HORIZON-Programms, aber HORIZON allein kann nicht als breitangelegtes Behindertenprogramm auf der Grundlage der Chancengleichheit fungieren. Es erstreckt sich lediglich auf Beschäftigungs- und Ausbildungsfragen, und es muß kofinanziert werden.	While I entirely support the Commission's stated objective of involving disabled people substantially in the management and implementation of the HORIZON programme, HORIZON alone cannot fulfil the role of a broadbased disability programme based on equal opportunities, since it is confined to employment and training only, and must be cofinanced.
Was die Beschäftigung anbelangt, so stark das mein Kollege eben beschrieben hat und so schlimm die Nichtbeschäftigung der behinderten Menschen ist, so ist die Beschäftigung doch nur ein Teilbereich im Rahmen der täglichen Herausforderung, denen sich behinderte Menschen zu stellen haben, und einer der Betroffenen drückte es so aus: " Es ist schon eine gute Sache, wenn Arbeit überhaupt angeboten wird, aber viele behinderte Menschen können nicht in den Bus einsteigen, um zur Arbeit zu fahren, oder sie haben niemanden, der ihnen hilft, sich für die Arbeit zurechtzumachen."	As regards employment, strongly as my colleague has just described it and serious as the non-employment of disabled people is, employment is only one part of the daily challenges which disabled people have to cope with. As one disabled person put it: ' It is all very well having jobs available, but many disabled people cannot get on the bus to go to work, or do not have someone to help them get ready for work' .
Solange die behinderten Menschen noch nicht in sämtliche Politikbereiche einschließlich angemessener, persönlicher Hilfs- und Unterstützungsdienste und zugänglicher öffentlicher Verkehrsmittel voll integriert sind, werden Zusicherungen über vorhandene Beschäftigungsmöglichkeiten, die nicht mit anderen Maßnahmen abgestimmt sind, nicht automatisch die Integration gewährleisten.	Until such time as disabled people have full integration into all policy areas, including adequate personal assistance and support services and accessible public transport, assurances that job opportunities are available will not, without adjustments to other measures, automatically ensure integration.
Außerdem ist ein hoher Prozentsatz der behinderten Menschen im Pensionsalter.	Also, a high percentage of disabled people are of retirement age.
Gezielte Maßnahmen im Rahmen der Beschäftigung werden deshalb nur eine begrenzte Anzahl von behinderten Menschen erreichen.	Measures targeted on employment will therefore only reach a limited number of disabled people.
Ich bin aber auch der Ansicht, daß die Verantwortung für die Behindertenpolitik hauptsächlich bei den Mitgliedstaaten verbleiben soll.	However, I also believe that the responsibility for disability policy should continue to rest principally with the Member States.
Es ist Aufgabe der Europäischen Union, einen Mehrwert zu erbringen und die Mitgliedstaaten durch einen Informationsaustausch über beispielhafte Praktiken zu unterstützen.	The European Union's role is to add value, and to assist the Member States through exchanges of information on best practice.
Die Europäische Union sollte ferner dafür sorgen, daß die behinderten Menschen überall miteinbezogen werden, wo die Zuständigkeit zur Rechtsetzung, zur Festlegung einer Politik oder zur Aufstellung von Programmen bereits in den Händen der Europäischen Union liegt.	The European Union should also ensure that disabled people are included wherever the competence to legislate or make policy or programmes is already in its own hands.
Das ist der Weg des mainstreaming , um Chancengleichheit für behinderte Menschen zu erreichen.	This is the approach of mainstreaming, aimed at bringing about equality of opportunity for disabled people.
Und ich appelliere an die Kommission, diesen Weg zu beschreiten, d.h. so bald wie nur möglich ein Nachfolgeprogramm für HELIOS vorzulegen.	I would appeal to the Commission to go down this road, in other words to bring forward a successor programme to HELIOS as soon as possible.
Und der Appell an die Mitgliedstaaten heißt, im Vertrag eine Rechtsgrundlage für diese Programme zu integrieren und eine Antidiskriminierungsklausel in den Vertrag aufzunehmen.	And my appeal to the Member States is to incorporate a legal basis for this programme in the Treaty, together with a clause on non-discrimination.
