Frau Präsidentin! Herr Hoher Bevollmächtigter!	Madam President, High Representative, honourable Members.
Der Präsident der Kommission hat letzte Woche gesagt, dass es sich dabei um eine gewaltige Aufgabe handelt, die wir sofort und ohne Zeitverzögerung anpacken müssen, sobald sich der Wille des Volkes durchgesetzt hat.	The President of the Commission commented last week that this is an immense task which we must tackle immediately and without delay, as soon as the will of the people is respected.
Ich glaube, es ist ganz entscheidend, welches Signal heute von dieser Debatte aus nach Belgrad geht.	I think that the signal which this debate sends to Belgrade today will be decisive.
Die Botschaft, die von diesem Parlament ausgehen muss, kann nur sein, an Milosevic noch einmal, vielleicht ein letztes Mal dringend zu appellieren, die Zeichen an der Wand zu erkennen, abzutreten und dem demokratischen Wandel in Serbien den Weg zu bereiten.	The message which Parliament must send can only be to urge Milosevic one more time, perhaps for the last time, to see the writing on the wall, step down and pave the way for democratic change in Serbia.
(Beifall)	(Applause)
Ich möchte einige Bemerkungen machen zu der dramatischen, sich rasch verändernden Lage im Nahen Osten.	I should like to make a few comments on the dramatic and rapid developments in the Middle East.
Wir empfinden tiefe Trauer und Anteilnahme für die zahlreichen Opfer.	We feel deep sorrow and sympathy for the numerous victims.
Zumeist waren es Palästinenser, die in den letzten Tagen den neu aufgeflammten Konflikten zum Opfer gefallen sind.	It is mainly Palestinians who have fallen victim to the conflicts which have re-ignited over the last few days.
Wir verurteilen in aller Schärfe den unverhältnismäßigen und wahllosen Einsatz von Gewalt.	We cannot be harsh enough in condemning the disproportionate and indiscriminate use of force.
Wir verurteilen alle Handlungen, die als Provokation zu werten sind, insbesondere, was die heiligen Stätten in Jerusalem angeht.	We condemn any action which deserves to be seen as provocation, especially in connection with the holy sites in Jerusalem.
Wir begrüßen und unterstützen die Bemühungen von Präsident Chirac, Präsident Mubarak und Außenministerin Albright und äußern die Hoffnung, dass das allerwichtigste Ziel erreicht wird, die Gewalt zu beenden und Ruhe und Ordnung wiederherzustellen.	We welcome and support the efforts being made by President Chirac, President Mubarak and Secretary of State Albright and can only hope that the supreme objective of ending the violence and restoring peace and order will be achieved.
Zur Frage der Untersuchungskommission unterstützt die Kommission die Haltung der Präsidentschaft.	On the question of the committee of enquiry, the Commission supports the Presidency' s stance.
Es ist ganz klar, dass diese Krise gefährliche Auswirkungen auf den Friedensprozess haben kann.	Obviously, this crisis may have dangerous repercussions on the peace process.
Wir teilen diese Besorgnis.	We share this concern.
Trotzdem - das sehe ich wie Herr Solana - wäre es verfrüht zu glauben, dass eine Einigung zwischen Israelis und Palästinensern nicht mehr möglich ist.	Nonetheless - and I take the same view here as Mr Solana - it would be premature to consider that agreement between Israel and Palestine is now out of the question.
Das Zeitfenster bleibt bis Ende Oktober offen.	The window of opportunity will be open until the end of October.
Danach dürfte die Stabilität der Regierung von Premierminister Barak gefährdet sein, und der Druck auf Präsident Arafat, einen unabhängigen Staat auszurufen, enorm zunehmen.	After that, the stability of Prime Minister Barak' s government will be in jeopardy and there will be tremendous pressure on President Arafat to declare statehood.
Ich habe die Hoffnung, dass das Treffen zwischen Präsident Mubarak, Präsident Arafat und Premierminister Barak in Sharm el Sheik eine Rückkehr zu konstruktiven Verhandlungen über ein dauerhaftes Friedensabkommen ermöglicht.	I hope that the meeting between President Mubarak, President Arafat and Prime Minister Barak in Sharm el Sheik will mark a return to constructive negotiation on a lasting peace agreement.
Unsere Aufgabe ist es, Israel davon zu überzeugen, dass die Anerkennung und Achtung der Rechte der Palästinenser mit allen Kompromissen, die das bedeutet, die beste Möglichkeit ist, den langfristigen nationalen Interessen Israels zu entsprechen.	It is our job to convince Israel that recognising and respecting the rights of the Palestinians, with all the compromises which that implies, is the best way of safeguarding its long-term national interests.
Das langfristige Interesse Israels ist ein dauerhafter Frieden.	Israel' s long-term interests lie in lasting peace.
Die Palästinenser müssen wir davon überzeugen, dass die beste Möglichkeit, ihre Ziele zu erreichen und ihre Rechte wahrzunehmen, darin besteht, mit Israel zu verhandeln.	We must convince the Palestinians that the best way of achieving their objectives and safeguarding their rights is to negotiate with Israel.
Ich möchte bekräftigen, dass die Europäische Union den Friedensprozess unterstützt, weil er der einzige Mechanismus ist, mit dem die einzig mögliche Alternative für Israel und das palästinensische Volk verwirklicht werden kann.	I should like to reaffirm that the European Union supports the peace process because it is the only mechanism which can make the only possible alternative for Israel and the Palestinian people come true.
Ein gerechter und umfassender Friede auch und gerade, wenn er beiden Seiten schmerzhafte Kompromisse abverlangt.	Fair, comprehensive peace, even if it means painful compromises on both sides.
Wie schwierig die strittigen Fragen auch sein mögen, die Parteien müssen die historische Chance, die sich ihnen jetzt bietet, unbedingt ergreifen!	However complicated the issues may be, the parties must grab the historic chance which they now have.
Alles andere wäre eine furchtbare Tragödie.	Anything else would be an awful tragedy.
Die Verhandlungen sollten dabei von den im Juli in Camp David erzielten Fortschritten ausgehen.	Negotiations should build on the progress made in Camp David in July.
Diese Fortschritte waren zwar nicht direkt greifbar, weil der Gipfel nicht in vollem Umfang erfolgreich war.	This progress was not directly tangible, to be sure, because the summit as a whole was not successful.
Camp David war aber auch kein Fehlschlag, da die Kluft zwischen den Parteien deutlich verkleinert wurde und einige schwierige Tabuthemen überwunden werden konnten.	But nor was Camp David a failure, because the gulf between the parties was clearly narrowed and some serious taboos were overcome.
Der Standpunkt der Europäischen Union zur Substanz des Friedensprozesses hat sich nicht verändert.	The European Union' s stand on the substance of the peace process has not changed.
Wir unterstützen die Parteien bei der Aushandlung eines Abkommens, das mit den Grundsätzen und dem Bezugsrahmen des in Madrid in Gang gesetzten Friedensprozesses in Einklang steht.	We support the parties in negotiating an agreement in keeping with the principles and references of the peace process set in motion in Madrid.
Wir sind davon überzeugt, dass für alle Streitpunkte ein Kompromiss gefunden werden kann.	We are convinced that a compromise can be found on all the points at issue.
Wir sind auch bereit, unseren Beitrag zu leisten, um zu helfen.	We are also prepared to make a contribution and provide help.
Wenn es den Parteien, wie wir hoffen, gelingt, ein Abkommen zu schließen, wird die Europäische Union neben den Anstrengungen, die von anderer Seite unternommen werden, ihre politische und finanzielle Unterstützung auf der Grundlage einer fairen Lastenverteilung gewähren und Forderungen der Parteien im vernünftigen Rahmen nachkommen.	If, as we hope, the parties manage to conclude an agreement, the European Union will add its political and financial support to the efforts being made by others on the basis of a fair distribution of the burden and will meet the parties' demands to a reasonable extent.
Wir sind bereit, an der Sicherung der Stabilität in der Region und langfristig an einem nachhaltigen Wohlstand in der Region durch dauerhaftes Wirtschaftswachstum und verbesserte Lebensbedingungen zu arbeiten, damit die Friedensdividende den Menschen der Region zugute kommt.	We are prepared to work on securing stability in the region and, in the long term, on safeguarding the permanent welfare of the region through sustainable economic growth and an improved standard of living, so that the people in the region can reap the benefits of peace.
Diese Philosophie steht völlig im Einklang mit der Stärkung des Barcelona-Prozesses Europa-Mittelmeer, in dessen Rahmen wir unsere Bemühungen fortsetzen werden.	This philosophy is in complete accord with a stronger Barcelona Europe-Mediterranean process and we shall continue our efforts within the context of that process.
