Präsident der Kommission.	President of the Commission.
Dass uns eine Einigung gelungen ist, stellt bereits ein hervorragendes politisches Ergebnis dar, und wir sollten allen Regierungen für ihre Kompromissbereitschaft dankbar sein.	The fact that we managed an agreement is already an outstanding political result and we should be grateful for the willingness of all governments to compromise.
Jetzt sollten wir dem Ratifizierungsprozess entgegensehen als großartigen Moment der Solidarität und Einheit in Europa und als eine historische Gelegenheit, um die erweiterte Europäische Union zu konsolidieren.	Now we should look forward to the ratification process as a great moment of solidarity and unity in Europe and as a historic opportunity to consolidate the enlarged European Union.
Gleichzeitig werden die seit dem Vertrag von Nizza erreichten Fortschritte garantieren, dass eine Union mit einer größeren ergebnisorientierten Handlungsfähigkeit entsteht.	At the same time, the advances from the Nice Treaty will guarantee a Union with a greater capacity to act to deliver results.
Ehrlich gesagt, wird der Reformvertrag kein Musterbeispiel schönster Poesie sein, aber ich habe keinen Zweifel, dass er ein sehr gutes Beispiel ausgezeichneter Prosa sein wird, wenn er sich genau auf die Handlungsfähigkeit der europäischen Institutionen konzentriert.	Honestly, the reform Treaty will probably not be an example of the finest poetry, but I have no doubt that it will be a very good example of excellent prose if it is focused precisely on the capacity of the European institutions to act.
Ich sagte vor dem Europäischen Rat, dass wir die Handlungsfähigkeit der Europäischen Union wirklich stärken müssen.	I said before the European Council that we really needed to reinforce the European Union's capacity to act.
Ich bin davon überzeugt, dass der Reformvertrag der Union bedeutende Fortschritte bringen und ihre Handlungsfähigkeit verstärken wird.	I believe the reform Treaty will bring important advances to the Union and will reinforce its ability to act.
Zuallererst wird die Union umfassend konsolidiert werden, indem die Säulenstruktur überwunden wird und sie eine eigenständige Rechtspersönlichkeit erlangt.	First of all, the Union will be fully consolidated by overcoming the pillar structure and by acquiring a single personality.
In dieser Frage der Handlungsfähigkeit möchte ich insbesondere drei konkrete Punkte hervorheben.	In this area of capacity to act, I would like to stress in particular three specific points.
Erstens sind da die wesentlichsten Fortschritte im Bereich des Rechts und der Innenpolitik.	First, the most substantial advances are in the area of justice and home affairs.
Es finden sich im Reformvertrag über vierzig neue Fälle der Abstimmung mit qualifizierter Mehrheit.	There are more than 40 new cases of qualified majority voting in the reform Treaty.
Zu ihnen gehören die Kontrolle der Außengrenzen, das Asyl, die Migration, das Strafrecht und die polizeiliche Zusammenarbeit.	They include external border control, asylum, migration, criminal law and police cooperation.
Der Vertrag wird diese Bereiche auch voll in die Gemeinschaftsmethode der Entscheidungsfindung integrieren.	The Treaty will also fully integrate these areas into Community method of decision-making.
Das ist eigentlich die 'Vergemeinschaftung' der dritten Säule.	It is in fact the 'Communitarisation' of the third pillar.
Dies ist eine grundlegende Reform, mit der ein wahrer Raum der Freiheit, der Sicherheit und des Rechts in Europa geschaffen wird, und sie wird für das verbleibende Mandat dieser Kommission eine Priorität darstellen.	This is a fundamental reform which will create a true space of freedom, security and justice in Europe and it will be a priority for the rest of the mandate of this Commission.
Die Union braucht die Effizienz, die durch mehr Abstimmungen in qualifizierter Mehrheit erreicht wird.	The Union needs the efficiency which more qualified majority voting brings.
Es nützt nichts, die richtigen Maßnahmen zu haben, wenn man sich um Jahre zu spät auf sie einigt.	It is no use having the right policies if they are agreed years too late.
Zweitens wird der Reformvertrag neue Möglichkeiten bieten und die Rechtsgrundlagen im Zusammenhang mit den Herausforderungen der Energiepolitik und des Klimawandels stärken.	Second, the reform Treaty will offer new possibilities and reinforce legal bases to deal with the challenges of energy policy and climate change.
Sehr zufrieden ist die Kommission vor allem über die Solidaritätsklausel zur Energiesicherheit und über die Zustimmung dazu, dass die Bekämpfung des Klimawandels in den Vertrag eingebunden wird.	In particular, the Commission is very pleased with the solidarity clause on energy security and agreement to add combating climate change to the Treaty.
Energiesicherheit und Klimawandel sind nunmehr entscheidende Prioritäten für die Union.	Energy security and climate change are now core priorities for the Union.
Es ist richtig, dass sich das in den Verträgen widerspiegelt.	It is right that this is reflected in the Treaties.
Drittens wird der Reformvertrag den Zusammenhalt der Union in den Außenbeziehungen fördern.	Third, the reform Treaty will enhance the Union's cohesion as regards external affairs.
Nur mit den vereinten Kräften unserer Mitgliedstaaten und unserer Institutionen können wir in der Welt des 21. Jahrhunderts mit anderen führenden Mächten konkurrieren.	In the 21st-century world, it is only by combining the forces of our Member States and of our institutions that we can compete with other leading powers.
Unser Wohlstand, unsere Freiheit und unsere Sicherheit sind von unserer Fähigkeit abhängig, auf globaler Ebene zu konkurrieren, von unserer Fähigkeit, unsere Interessen und unsere Werte zu vertreten.	Our prosperity, our freedom and our security depend on the capacity to compete at a global level, the capacity to promote our interests and our values.
Europa wird in Fragen der Diplomatie, der Sicherheit und Verteidigung, im Handel, in der Finanzhilfe, in der Entwicklung zunehmend mit einer Stimme sprechen und insofern besser gerüstet sein, um für unsere Werte und Interessen in der Weltpolitik einzutreten.	Europe will increasingly speak with one voice in diplomatic, security and defence issues in trade, in monetary aid, in development, and as such will be better equipped to defend our values and interests in world politics.
Wir werden die Bedingungen und die Instrumente haben, um die Globalisierung zu gestalten, und wir dürfen solch eine historische Gelegenheit nicht verpassen.	We will have the conditions and the instruments to shape globalisation and we cannot miss such a historic opportunity.
Doch der Reformvertrag befasste sich auch mit anderen Fragen, nämlich der Verantwortung und der demokratischen Legitimation.	But the reform Treaty also addressed other issues, namely in terms of accountability and democratic legitimacy.
Mit dem Reformvertrag wird die Union ihre Verantwortung und ihre demokratische Legitimität stärken.	With the reform Treaty, the Union will reinforce its accountability and democratic legitimacy.
Lassen Sie mich auch hier drei Fälle einer deutlichen Verbesserung gegenüber dem Vertrag von Nizza hervorheben.	Again let me emphasise three cases of clear improvement compared to the Nice Treaty.
Erstens wird das Europäische Parlament durch eine Zunahme der Mitbestimmungsverfahren stärker in den Gesetzgebungsprozess der Union eingebunden.	First, the European Parliament will have greater participation in the legislative process of the Union by an increase in codecision procedures.
Nach dem neuen Vertrag wird die übergroße Mehrheit der europäischen Gesetze gemeinsam vom Europäischen Parlament und vom Rat bei voller Achtung des Initiativrechts der Kommission angenommen.	Under the new Treaty, the vast majority of European laws will be adopted jointly by the European Parliament and by the Council in full respect of the Commission's right of initiative.
Zweitens werden die nationalen Parlamente stärker in das Wirken der Union einbezogen.	Second, national parliaments will be more involved in the workings of the Union.
Hier geht es um Subsidiarität, und wir sind für Subsidiarität.	This is about subsidiarity and we are for subsidiarity.
Der neue Vertrag ergänzt das Protokoll über Subsidiarität und Verhältnismäßigkeit.	The new Treaty will amend the protocol on subsidiarity and proportionality.
Diese Kommission hat eine größere Rolle der nationalen Parlamente stets begrüßt.	This Commission has always welcomed a greater role for national parliaments.
Sie hat allerdings auch klargestellt, dass mit der Einbindung der nationalen Parlamente in die Prüfung der Subsidiarität die wesentlichen Grundlagen des Wirkens der Europäischen Union nicht untergraben werden dürfen.	However, the Commission also made clear that involving national parliaments in scrutinising subsidiarity should not undermine the essentials of how the European Union works.
Erstens würde jedes neue Verfahren auf dem Gebiet der Subsidiarität die Gemeinschaftsmethode und das Initiativrecht der Kommission respektieren müssen.	First, any new procedure on subsidiarity would have to respect the Community method and the Commission's right of initiative.
Zweitens sollten das Europäische Parlament und der Rat gleiche Rechte haben.	Second, the European Parliament and the Council should be on an equal footing.
Und schließlich sollte die Schwelle in Bezug auf die Mehrheiten entsprechend der Bedeutung des Verfahrens angehoben werden.	Finally, the thresholds regarding majorities should rise to reflect the importance of the procedure.
Es ist uns gelungen, alle unsere Forderungen abzusichern und insofern das institutionelle Gleichgewicht der Union zu wahren und gleichzeitig die Kontrolle über die Subsidiarität zu stärken.	We managed to secure all our demands and as such to preserve the institutional balance of the Union, while reinforcing the control of subsidiarity.
Drittens wird der Reformvertrag - und das ist meiner Ansicht nach einer der wichtigsten Punkte - der Charta der Grundrechte Rechtskraft verleihen.	Third, and in my view this is one of the most important points, the reform Treaty will give legal force to the Charter of Fundamental Rights.
Die Tatsache, dass die Charta rechtlich bindend ist, stellt ein machtvolles Symbol der engen Bindungen zwischen der Union und den europäischen Bürgerinnen und Bürgern dar.	The fact that the Charter is legally binding is a powerful symbol of the strong ties that exist between the Union and European citizens.
Sie ist auch ein sehr gutes Signal und Symbol dafür, dass wir uns den Grundrechten verpflichtet fühlen.	It is also a very good signal and symbol that we are committed to fundamental rights.
Wir können nicht die Grundrechte in aller Welt vertreten und gleichzeitig sagen, dass wir sie zu Hause als nicht verbindlich ansehen.	We cannot promote fundamental rights all over the world and not say that we consider them binding at home.
(Beifall)	(Applause)
Die Charta ist keine Charta - und das sollte sie niemals sein - der Rechte der europäischen Institutionen gegenüber den Mitgliedstaaten.	The Charter is not, and was never intended to be, a Charter of the rights of European institutions above the Member States.
Die Charta ist für die europäischen Bürgerinnen und Bürger da und für deren Rechte gegenüber jeder Macht, die diese Rechte beschneiden könnte.	The Charter is for European citizens and the rights of the citizens against any power that could limit those rights.
Die Charta ist eine Sicherheit sowohl für die Unionsbürger als auch für die nationalen Institutionen und wird eine zentrale Rolle im System der gegenseitigen Kontrolle und des Machtgleichgewichts in unserer rechtsstaatlichen Union sein, denn das unterscheidet uns von vielen anderen Projekten: Wir sind eine Union auf der Grundlage der Rechtsstaatlichkeit.	The Charter will be a safeguard, both for European citizens and for national institutions, and will be a central part of the system of checks and balances in our Union of law, because that is what makes us different from many other projects: we are a Union based on law.
Ich habe immer gesagt, dass ein Schritt zurück vom bestehenden Besitzstand inakzeptabel wäre.	I have always said that a step back from the existing acquis would be unacceptable.
Das ist im Hinblick auf den Binnenmarkt besonders wichtig.	This is particularly important in respect of the single market.
Die Ergebnisse des Europäischen Rates waren aus Sicht der Kommission ganz und gar positiv, speziell unter dem Aspekt der Zuständigkeiten der Kommission.	The results of the European Council were entirely positive from the Commission's point of view, specifically from the point of view of the Commission's competence.
Die Protokolle zu Dienstleistungen von allgemeinem Interesse und zum Binnenmarkt sowie zum Wettbewerb, beide auf Vorschlag der Kommission, gewährleisten ein faires und unverzerrtes Funktionieren des Binnenmarkts bei Beachtung der von einigen Mitgliedstaaten geäußerten legitimen Belange.	The protocols on services of general interest and on the internal market and competition, both proposed by the Commission, guarantee a fair and undistorted functioning of the single market, while respecting legitimate concerns expressed by some Member States.
Bevor ich schließe, möchte ich vor der Versuchung einer abwegigen Allianz zwischen denen, die sich einem politischen Europa widersetzen, und den Gegnern des Binnenmarkts warnen.	Before concluding, I should like to warn against the temptation of a perverse alliance between those who resist a political Europe and those who oppose the single market.
Wer für ein offenes, globales Europa eintritt, dem sage ich, dass er das nur dann haben wird, wenn er für die politische Integration ist.	To those who support an open and global Europe, I say that they will only get this if they support political integration.
Ohne politische Macht wird Europa niemals in der Lage sein, die Globalisierung zu gestalten und seine Interessen und Werte in der Welt zu vertreten.	Without political power, Europe will never be able to shape globalisation and to defend its interests and values in the world.
Europa wird niemals in der Lage sein, sein Engagement für eine offene Wirtschaft und für offene Gesellschaften zu vertreten.	Europe will never be able to defend its commitment to an open economy and to open societies.
(Beifall)	(Applause)
Denen, die ein starkes politisches Europa akzeptieren, aber von einer wirtschaftlichen Integration nicht so begeistert sind, sage ich, sie werden dieses starke politische Europa nur dann bekommen, wenn sie den Binnenmarkt und die wirtschaftliche Integration unterstützen.	To those who accept a strong political Europe, but are not as enthusiastic about economic integration, I say that they will only get that strong political Europe if they support the single market and economic integration.
(Beifall)	(Applause)
Wir können das europäische Projekt nicht verteidigen, indem wir den Binnenmarkt attackieren und zu zersplittern versuchen, was eine der größten Errungenschaften unserer Integration in Europa ist.	We cannot defend the European project by attacking the single market and trying to fragment what has been one of the greatest achievements of our integration in Europe.
Nach den Erfolgen des Europäischen Rates liegen jetzt zwei entscheidende Etappen vor uns.	After the success of the European Council, there are now two crucial stages ahead.
Zunächst müssen wir die Regierungskonferenz abschließen und den Reformvertrag unterzeichnen.	First we must finalise the IGC and sign the reform Treaty.
Die Regierungskonferenz beginnt im nächsten Monat, und die portugiesische Ratspräsidentschaft beabsichtigt, sie im Oktober abzuschließen.	The IGC will begin next month and the Portuguese Presidency aims to conclude it in October.
Das hat meine uneingeschränkte Unterstützung.	I fully support this.
Die Mitgliedstaaten müssen sodann den Vertrag ratifizieren, und in der Zwischenzeit müssen wir der europäischen Öffentlichkeit erläutern, warum dieser Vertrag einen notwendigen, positiven Schritt nach vorn bedeutet.	Member States must then ratify the Treaty, and meanwhile, we must explain to the European public why this Treaty will be a necessary and positive step forward.
Das zu tun, wird im Mittelpunkt der Stellungnahme der Kommission vor der Regierungskonferenz stehen.	Such a narrative will be a central part of the Commission's opinion ahead of the IGC.
Ich weiß auch, dass dieses Hohe Haus bereits angestrengt an seiner Stellungnahme arbeitet.	I also know that this House is already working hard on its opinion.
Ich habe die berechtigte Hoffnung, dass das Europäische Parlament und die Kommission in weiterhin enger Zusammenarbeit die Botschaft verbreiten werden, dass diese Reform unabdingbar ist, wenn wir uns den Herausforderungen des 21. Jahrhunderts stellen und den europäischen Bürgerinnen und Bürgern bessere Ergebnisse bringen wollen.	I certainly hope that the European Parliament and the Commission can continue to work closely together on spreading the message that this reform is indispensable for meeting the challenges of the 21st century and delivering better results to European citizens.
Ich bin davon überzeugt, dass die europäischen Bürgerinnen und Bürger die wahren Nutznießer des Reformvertrags sein werden.	I believe that European citizens are the real beneficiaries of the reform Treaty.
(Beifall)	(Applause)
