Herr Präsident, Hohes Haus, liebe Kolleginnen und Kollegen! Es geht um das Schicksal Europas.	Mr President, ladies and gentlemen, the destiny of Europe is at stake.
Wir haben nicht nur Ratifikationen zu bestehen, die ich mit Sorge beobachte.	I am worried about the ratification process, but that is not what we have to get through.
Wenn der litauische Parlamentspräsident hier war, wenn die ungarischen Kollegen gesprochen haben, fanden diese Ratifikationen ohne jede Informationskampagne der Regierungen und ohne jede öffentliche Debatte statt.	When the president of the Lithuanian parliament was here, when our Hungarian colleagues spoke, these ratifications took place without any information campaign on the part of the governments and without any public debate.
Wollen wir die Verfassung so gewinnen?	Is that how we want to win the Constitution?
Wir werden sie so nicht gewinnen!	We will not do it that way!
Wir haben mindestens neun Referenden vor uns, und eine Kritik mögen uns die Berichterstatter, denen ich in aller Form gratuliere und danke, erlauben: Es findet sich kein Wort der Kritik in diesem Bericht.	We have at least nine referendums ahead of us, and please can the rapporteurs, whom I want to congratulate and thank, allow us to say that this report is completely uncritical.
Dies tastet die Glaubwürdigkeit dieses Hauses an.	That puts a question mark against the credibility of this House.
Wir sind nicht die Hofpoeten der Regierungskonferenz.	We are not the Intergovernmental Conference’s court poets.
Wir haben hier nicht die Hymnen einer Verfassung zu singen, die auch ihre Mängel hat.	We are not here to sing the praises of a Constitution that is not without its defects.
Wir haben keine europäische Sozialordnung geschaffen.	We have not created a European social order.
Die europäische Demokratie ist unvollständig.	European democracy is incomplete.
Die Herausbildung einer europäischen Friedensordnung verlangt noch große Taten. Deshalb hätte ich mir gewünscht, dass wir nicht nur in größter Mehrheit dieser Verfassung zustimmen, sondern dass wir auch Perspektiven für die Fortsetzung des Verfassungsprozesses eröffnen.	The shaping of a European peace framework still calls for great deeds to be done, and so I would have liked to see us not only vote by a large majority to adopt this Constitution, but also open up prospects for the continuation of the constitution-making process.
Wir Grüne werden das Unsere dazu beitragen, indem wir das erste europäische Volksbegehren für ein zur Vervollständigung von Demokratie, Frieden und sozialer Ordnung in Europa initiieren.	We in the Group of the Greens/European Free Alliance will make our contribution by setting in motion the first citizens’ initiative, which will demand a first amendment to the Constitution, completing democracy, peace and the social order in Europe.
