amtierender Ratspräsident.	President-in-Office of the Council.
Sie kennen das Ergebnis der Gipfelberatungen, und ich hoffe, Sie stimmen mir in meiner Einschätzung zu: Mit ihren Beschlüssen haben die Staats- und Regierungschefs die Tür aufgestoßen zu einer ambitionierten und - wie ich finde - verantwortungsvollen Klima- und Energiepolitik in Europa, zu einer Politik, die das Ausmaß der Probleme, vor denen wir stehen, nicht mehr beschönigt, sondern wirksame Strategien sucht, um diesen Problemen zu begegnen.	You are familiar with the outcome of the discussions at the Summit, and I hope you agree with my conclusion that the decisions by the Heads of State or Government have pushed open the door to an ambitious and - in my opinion - responsible European climate and energy policy, a policy that no longer glosses over the scale of the problems we face, but rather seeks effective strategies to respond to these problems.
Wir sind einen großen Schritt in Richtung einer integrierten Klima- und Energiepolitik gegangen - integriert deshalb, weil das eine ohne das andere nicht möglich ist; weil das weitaus größte Klimarisiko heute die Erzeugung, der Verbrauch von Energie durch den Menschen ist.	We have taken a major step towards an integrated climate and energy policy - integrated because the one is not possible without the other; because the greatest risk by far to the climate today is the generation and consumption of energy by human beings.
Das gilt natürlich insbesondere für die Treibhausgasemissionen.	This is particularly applicable, of course, to emissions of greenhouse gases.
Mit den Beschlüssen von Brüssel bleibt die EU Vorreiter beim internationalen Klimaschutz.	Thanks to the decisions taken in Brussels, the EU remains the forerunner in international climate protection.
Sie ermöglichen uns einen glaubwürdigen Einstieg in die anstehenden Verhandlungen über das Nachfolgeabkommen zum Kyoto-Protokoll.	The decisions enable us to make a credible entry into the forthcoming negotiations on the successor agreement to the Kyoto Protocol.
Die EU verpflichtet sich einseitig und unabhängig, die Treibhausgasemissionen bis 2020 um 20 % gegenüber 1990 zu reduzieren.	The EU has committed itself unilaterally and independently to reducing its emissions of greenhouse gases by 20% compared to 1990 by 2020.
Das ist ein ehrgeiziges Ziel, und es wird großer Anstrengungen aller Mitgliedstaaten bedürfen, um dieses Ziel zu erreichen.	This is an ambitious target, and reaching it will require major efforts on the part of all Member States.
Die Staats- und Regierungschefs sind aber noch weiter gegangen: Wir haben sogar eine Reduktion um 30 % im selben Zeitraum versprochen, sofern andere Industrieländer und wirtschaftlich fortgeschrittene Entwicklungsländer mitziehen.	The Heads of State or Government have gone even further, however. We have promised to reduce these emissions by as much as 30% over the same period, provided that we are joined by other industrialised countries and economically advanced developing countries.
Erreichen können wir diese Ziele nur, wenn wir uns auch energiepolitisch auf den Weg in die Zukunft machen. Deshalb wurde in Brüssel, zusammen mit den Klimazielen, ein umfassender energiepolitischer Aktionsplan beschlossen.	These targets can only be reached if we are forward-looking in our energy policy, too, and so a comprehensive energy Action Plan was adopted in Brussels along with the climate targets.
Herzstück dieses Aktionsplan sind zwei Zielvorgaben: Der Energieverbrauch innerhalb der Europäischen Union soll, gemessen an der erwarteten Entwicklung bis 2020, durch mehr Energieeffizienz um 20 % gesenkt werden, und, entscheidend, der Anteil erneuerbarer Energien am Gesamtenergieverbrauch soll auf mindestens 20 % erhöht werden.	Two targets are at the heart of this Action Plan. Energy consumption within the EU is to be reduced by 20% compared to projections for 2020 through greater energy efficiency; and, crucially, the share of renewable energy in overall energy consumption is to be increased to at least 20%.
Sie erinnern sich, dass wir gerade um die Verbindlichkeit des letzten Ziels sehr gerungen haben.	As you will remember, we did battle over whether to make the latter target binding.
Einige Mitgliedstaaten hatten Vorbehalte, dass diese Vorgabe möglicherweise zu ehrgeizig sein könnte.	A number of Member States had had reservations that this target might be too ambitious.
Ich bin sehr froh, dass wir uns am Ende auf die Verbindlichkeit einigen konnten, denn gerade an diesen drei Zielen, die ich eben genannt habe, wird deutlich, wie sehr Klima- und Energiepolitik zusammenhängen.	I am delighted that we could agree to make it binding in the end, as the three aforementioned targets, in particular, make clear the close interconnection of climate and energy policy.
Ohne die Anstrengungen bei erneuerbaren Energien und bei Energieeffizienz könnte die EU das selbstgesteckte Klimaziel ganz eindeutig nicht erreichen.	Without the efforts in the fields of renewable energy and energy efficiency, the EU would quite clearly be unable to meet its own climate target.
So wie wir uns gemeinsam auf die Verbindlichkeit des Ziels bei erneuerbaren Energien verständigt haben, so gemeinschaftlich und fair werden wir auch nun vorgehen, wenn es darum geht, das europäische Ziel in nationale Vorgaben aufzuteilen.	We shall adopt the same joint, fair approach when it comes to dividing up the European target into national targets as we did when we agreed on making the target for renewable energy binding.
Wir werden dabei die unterschiedliche Ausgangslage, die Möglichkeiten der Mitgliedstaaten zu berücksichtigen haben, und die Kommission ist aufgefordert - und hat diese Aufgabe angenommen -, noch in diesem Jahr für diese Aufteilung einen Vorschlag vorzulegen.	In so doing we shall have to take into account the different starting positions and potentials of the Member States, and the Commission has been called on - and has agreed - to present a proposal for this division by the end of the year.
Das ist jetzt nicht der Ort, um den Energieaktionsplan in allen Teilen wiederzugeben.	This is not the place to describe all aspects of the energy Action Plan.
Wichtiger ist aus meiner Sicht eine Gesamtwürdigung hier in diesem Hohen Haus, und da bleiben eben neben den genannten Zielen, wie ich sie eben vorgestellt habe, vor allen Dingen auch die strategischen Weichenstellungen festzuhalten, die z. B. in den Bereichen der Ausgestaltung des Energiebinnenmarktes, der Versorgungssicherheit, der internationalen Energiepolitik, der Energieforschung und der neuen Energietechnologien getroffen wurden.	As I see it, it is more important to pay tribute to the Action Plan as a whole in this House, and also to emphasise - besides the targets I have just presented - above all the strategic decisions that have been taken in the following fields, for example: the structure of the internal energy market, security of supply, international energy policy, energy research, and new energy technologies.
Einen Aspekt aus diesen fünf Beispielen möchte ich herausgreifen: Versorgungssicherheit werden wir auf mittlere und lange Sicht nur gewährleisten können, wenn es uns gelingt, Energiequellen und Transportrouten zu diversifizieren.	I should like to select one of these five examples. It will be possible to ensure security of supply in the medium and long term only if we succeed in diversifying energy sources and transport routes.
Das heißt konkret: Intensivierung der Beziehungen zu den wichtigen Erzeugerländern, Gestaltung tragfähiger Energieaußenbeziehungen, auch mit den Ländern Zentralasiens und den Anrainerstaaten des Schwarzen und des Kaspischen Meeres, und natürlich auch Pflege unserer Energiebeziehungen zu den Golfstaaten und zu Nordafrika.	This means, in specific terms, strengthening relations with the important producer countries, developing lasting external relations with regard to energy - including with the countries of Central Asia and the countries bordering on the Black and Caspian Seas - and of course also fostering our energy relations with the Gulf States and North Africa.
Es heißt aber auch zuverlässige und transparente Energiebeziehungen, auch zu Russland.	It also means reliable, transparent energy relations, including with Russia.
Deshalb setzen wir uns als Präsidentschaft weiterhin für den baldigen Beginn der Verhandlungen über ein neues Partnerschafts- und Kooperationsabkommen auch mit Russland ein.	Consequently, our Presidency is continuing to work towards ensuring that negotiations on a new Partnership and Cooperation Agreement with Russia can begin shortly.
Gewiss, die Ergebnisse beim Klimaschutz und bei der Energiepolitik sind besonders wichtig. Der Europäische Rat hat sich aber - Sie sehen das in den Schlussfolgerungen - nicht nur darauf beschränkt.	The results concerning energy policy and the fight against climate change are indeed particularly important; but, as you can see from the conclusions, the European Council did not just confine itself to these.
Der Frühjahrsgipfel ist traditionell eine Bestandsaufnahme der Lissabon-Strategie für Wachstum und Beschäftigung, und wichtig ist zunächst: Die reformierte Lissabon-Strategie greift.	The Spring Summit traditionally takes stock of the Lisbon Strategy for growth and jobs, and the most important thing is that the renewed Lisbon Strategy is taking effect.
Es gibt sichtbare Erfolge, die sich europaweit in gestiegenen Wachstumszahlen und sinkenden Arbeitslosenzahlen niederschlagen, aber die Botschaft lautet eben auch, es ist jetzt nicht die Zeit, um die Hände in den Schoß zu legen. Ganz im Gegenteil!	There has been noticeable success, which has found expression throughout Europe in improved growth and falling unemployment rates. However, the message is also that now is not the time to sit back and relax; the contrary is the case.
Wir wollen das positive Momentum nutzen: Die Fortsetzung der Strukturreformen und die konsequente Konsolidierung der öffentlichen Haushalte sind aus meiner Sicht alternativlos.	We want to use the positive momentum; as I see it, there is no alternative to continuing structural reforms and consistently consolidating public finances.
Der europäische Binnenmarkt muss in wichtigen Bereichen - ich nenne an dieser Stelle noch einmal Strom und Gas, Postdienstleistungen, aber auch Finanzmärkte - ausgebaut und vollendet werden.	The European internal market must be developed and completed in important fields: once again, I give the examples of gas and electricity, postal services - and also financial markets.
Dazu gehört auch - zu den Schlussfolgerungen vom vergangenen Freitag - der Abbau des Defizits bei der Umsetzung von Gemeinschaftsrecht.	Last Friday's conclusions also include the elimination of the deficit in the transposition of Community law.
Hier sind wir zwar in den letzten Jahren ein gutes Stück vorangekommen. Ich erinnere daran, dass das Umsetzungsdefizit noch im Jahr 2000 3 % betrug, heute nur noch 1,2 %, und wir wissen, dass die Anstrengungen fortgesetzt werden müssen.	We have indeed made good progress on this in recent years: I would remind the House that the transposition deficit was 3% as recently as 2000, whereas it is now just 1.2% - and we know that these efforts must be continued.
Deshalb hat der Europäische Rat am vergangenen Freitag eine weitere Minderung dieses Defizits auf 1 % bis 2009 beschlossen.	For this reason, the European Council decided last Friday to further reduce this deficit to 1% by 2009.
Die Lissabon-Strategie wird in den Augen der Bürgerinnen und Bürger aber nur dann erfolgreich sein, wenn es gelingt, auch die soziale Dimension weiterzuentwickeln - das gilt gerade auch angesichts der positiven Entwicklung auf den Arbeitsmärkten.	The Lisbon Strategy will only be successful in the eyes of the public, however, if the social dimension can be successfully developed - this is particularly valid in view of positive developments on the labour markets.
In diesem Zusammenhang haben die Staats- und Regierungschefs betont, wie wichtig angemessene Arbeitsbedingungen, die Rechte und Mitwirkungsmöglichkeiten der Arbeitnehmerinnen und Arbeitnehmer, Sicherheit und Gesundheitsschutz am Arbeitsplatz sowie eine familienfreundliche Arbeitsorganisation sind.	In this connection, the Heads of State or Government have emphasised the importance of fair working conditions, worker rights and participation, health and safety at work, and a family-friendly organisation of work.
Ein weiteres Element der Beschlüsse will ich kurz hervorheben: bessere Rechtsetzung und Abbau von Bürokratielasten.	I should like to emphasise briefly one further element of the decisions: better lawmaking and cutting red tape.
Auch hier haben wir in der Vergangenheit mühsam einige Fortschritte erzielt, aber natürlich dürfen auch - und gerade - hier die Anstrengungen in Zukunft nicht nachlassen.	In this field, too, we have made some progress in the past - albeit with difficulty. Of course, however, here too - or here in particular - our efforts must not lapse in future.
Insbesondere wollen wir den durch EU-Vorschriften verursachten Verwaltungsaufwand, die so genannten Bürokratielasten, bis 2012 um 25 % verringern, und die Mitgliedstaaten sind aufgerufen, sich im Laufe des nächsten Jahres ähnlich ambitionierte nationale Ziele zu setzen.	In particular, we want to see a 25% reduction in the administrative burdens - red tape - arising from EU legislation by 2012, and the Member States have been invited to set similarly ambitious national targets over the next year.
Kommissionspräsident Barroso hat in der abschließenden Pressekonferenz am Freitag ein - wie ich finde - sehr freundliches, geradezu schmeichelndes Wort zur Einschätzung der gerade erst beendeten Ratstagung gefunden: In Bezug auf die Ergebnisse und formulierten Ziele sei das, so Barroso, der bedeutendste Gipfel gewesen, an dem er in seiner Amtszeit teilgenommen hat.	At the final press conference on Friday, Commission President Barroso had some - in my opinion - very kind, almost flattering words to say about the Council meeting that had just ended. He said that, in terms of the results and the objectives set, it was the most important summit he had attended in his term of office.
Ich sage auch vor diesem Hohen Hause. Dieser Erfolg, sehr geehrter Herr Kommissar, wäre nicht möglich gewesen ohne die ausgezeichneten Vorarbeiten der Kommission, aber auch nicht ohne die Unterstützung aus dem Europäischen Parlament, für das Sie, sehr geehrter Herr Pöttering, als neu gewählter Präsident erstmals an einer Tagung des Rates teilgenommen haben.	I would also say before this House, Commissioner, that this success would not have been possible without the Commission's excellent groundwork, nor without the support of the European Parliament - on whose behalf you, Mr Poettering, as the newly elected President, participated in your first Council meeting.
Die Europäische Union ist auf dem Weg zu einer modernen und zukunftsgerechten Klima- und Energiepolitik.	The EU is on its way to developing a modern, sustainable climate and energy policy.
Die Staats- und Regierungschefs haben gezeigt, dass Europa in wichtigen globalen Fragen eine Vorreiterrolle übernehmen kann.	The Heads of State or Government have shown that Europe can assume a leading role in important global issues.
Das Signal des Gipfels ist aus meiner Sicht: Wenn wir Europäer unsere Kräfte bündeln, wenn wir gemeinsam handeln, dann können wir Zukunft erfolgreich gestalten.	As I see it, the signal the Summit sends out is that, if we Europeans join forces, if we act together, we can shape the future successfully.
Ganz im Sinne des Mottos der deutschen Ratspräsidentschaft, das wir auch als Leitsatz den Schlussfolgerungen vorangestellt haben und das ich in der Debatte bereits einmal erwähnt habe: Europa gelingt gemeinsam!	This is entirely in keeping with the motto of the German Presidency, the guiding principle we used as a heading for our conclusions, which I also mentioned in the earlier debate: 'Europe - succeeding together'!
(Beifall)	(Applause)
