im Namen der PSE-Fraktion. - Herr Präsident, Herr Ministerpräsident Topolánek!	on behalf of the PSE Group. - Mr President.
Es ist tatsächlich keine Niederlage des Kapitalismus, den gibt es leider immer noch. Aber es ist eine Niederlage der Kapitalisten, die uns jahrelang erzählt haben, wir brauchen keine Regeln, der Markt regelt sich alleine, er regelt alles von selbst.	It is true that it has not defeated capitalism - unfortunately that still exists - but it has defeated the capitalists who told us for years that we had no need of rules, as the market would regulate itself, would regulate things itself.
Die haben eine Niederlage erlitten, und wenn Sie, der Sie bisher einer Politik gefrönt haben, die eher auf der Linie der Leute lag, die sagten, wir brauchen keine Regeln, heute morgen hier erklären, wir brauchen ein Europa der Regeln, dann kann ich Ihnen nur sagen, jawohl, wir brauchen bei der Regelung der Finanzmarktkrise, bei ihrer Bewältigung mehr Regeln, und, Herr Topolánek, herzlich willkommen im Club der Regulierer in Europa, dann haben auch Sie Ihre Lektion gelernt.	These capitalists have suffered a defeat, and when you - having up to now indulged in policies similar to those of the people who said we had no need of rules - tell the House this morning that we need a Europe of rules, I can only agree: we do indeed need more rules to manage, to overcome the financial crisis. Mr Topolánek, I should like to wish you a warm welcome to the club of regulators in Europe - it seems that you, too, have learned your lesson.
(Beifall)	(Applause)
Herr Ministerpräsident, wir sind in einer entscheidenden Phase der internationalen Politik.	Prime Minister, this is a decisive period in international politics.
Die Europäische Union darf sich, wenn sie die weltweite Rolle, die zum Beispiel der Herr Kommissionspräsident beschrieben hat, in der Frage der Energiesicherheit oder des Gazakonflikts, wahrnehmen will, nicht in ihre Einzelteile zerlegen lassen. Dann brauchen wir die Union der 27 als starken Wirtschafts- und politischen Block.	If the European Union wishes to assume the global role described by the Commission President, among others, in the matters of energy security or the Gaza conflict, it cannot allow itself to disintegrate; we need the Union of 27 as a strong economic and political bloc.
Denn nur, wenn wir uns nicht auseinanderdividieren lassen, sind wir stark.	Only if we do not allow ourselves to be divided will we be strong.
Die Stärke der anderen ist doch, dass sie immer darauf spekulieren können, dass die Europäer mit unterschiedlichen Zungen reden.	After all, the strength of others is that they can always hope for Europeans to speak with different voices.
Schwarzenberg sagt, Israel verteidigt sich, Louis Michel sagt, Israel verletzt das Völkerrecht.	Karel Schwarzenberg says Israel is acting in self-defence, whilst Louis Michel says the country is violating international law.
Mit solch einer Europäischen Union braucht man nicht zu verhandeln.	If that is what the European Union is like, there is no need to negotiate with it.
Wenn die Russen oder die Ukrainer wissen, die eine Hälfte der Europäer steht auf ihrer Seite, die andere Hälfte auf der anderen Seite, dann sind wir nicht stark.	If Russia or Ukraine believes that one half of Europe is on their side and the other half on the other, we are not strong.
Stark sind wir aber dann, wenn wir eine starke vertragliche Grundlage haben.	Yet we are strong if we have a strong treaty basis; which is provided by the Treaty of Lisbon.
Eine starke vertragliche Grundlage ist der Vertrag von Lissabon. Wenn unter Ihrer Präsidentschaft Ihre Regierung, die ja mit dem Staatspräsidenten, den Sie haben, gestraft genug ist, den Vertrag ratifiziert, dann ist das ein starkes Signal für ein starkes Europa.	If this Treaty is ratified under your Presidency by your government - which, of course, has been punished enough given your country's president - that would send out a strong signal that Europe is strong.
(Beifall)	(Applause)
Auf der Prager Burg sitzt Václav Klaus, wir werden ihn im Februar hören. Dann kommt er nach Brüssel.	Prague Castle is the seat of Václav Klaus, who will be speaking to us in February, when he comes to Brussels.
Auf der Prager Burg saß, Sie haben es zitiert, Herr Ministerpräsident Topolánek, auch Karl IV. Karl IV. hat die Goldene Straße von Prag nach Nürnberg gebaut. Für seine Zeit war das eine enorme Tat, die Völker und Nationen miteinander verbinden sollte.	Prague Castle was also the seat of Charles IV, as the Prime Minister mentioned. Charles IV built the Golden Road from Prague to Nuremberg, which, in his day, was a tremendous feat, and was intended to connect peoples and nations.
Karl IV. war, bevor er deutscher Kaiser mit Sitz in Prag wurde, ein Herzog von Luxemburg.	Before he became German emperor, with his seat in Prague, Charles IV was Duke of Luxembourg.
Deshalb waren diese Zeiten auf der Prager Burg wirklich europäisch.	Therefore, this period in Prague Castle was truly European.
Hoffen wir, dass bald wieder einer auf der Prager Burg sitzt, der genauso europäisch ist.	Let us hope that Prague Castle is soon occupied once more by someone as European as this.
(Beifall)	(Applause)
