Worum geht es?	What is it all about?
Rechtssicherheit muss das Hauptanliegen sein.	Legal certainty must be the main concern.
Aber natürlich brauchen wir auch Flexibilität, um auf Gefahren und neue Situationen reagieren zu können.	We do of course need flexibility as well to be able to respond to new dangers and new situations.
Ich glaube, das ist damit auch gegeben.	I believe we have that, too.
Der zweite Grundsatz der neuen Regelungen der Lebensmittelsicherheit liegt im Interesse aller Beteiligten.	The second principle behind the new food safety rules is in the interests of all concerned.
Mit der Einführung des Prinzips der Eigenkontrolle durch die Unternehmen und durch die Anwendung des HACCP-Prinzips und der Leitlinien sowie durch die stärkere Beachtung wissenschaftlicher Kenntnisse sind die wesentlichen neuen Ansätze genannt.	The introduction of the ‘from farm to table’ principle, self-inspection by businesses with the use of the Hazard Analysis and Critical Control Points (HACCP) principle and of guides, and the greater attention paid to scientific findings are the essence of the new approach.
So werden alle Beteiligten in das System einbezogen.	Everyone concerned is brought into the system.
Das neue System berücksichtigt aber auch die Art des Produktionsprozesses und die vom Lebensmittelunternehmer gebotenen Garantien.	However, the new system also takes account of the type of production process and the guarantees offered by the food business operator.
Deswegen ist der neue Ansatz auch von mehr Flexibilität geprägt.	That is why the new approach is also marked by greater flexibility.
Es widerspricht nicht dem Ziel der Verbesserung der Lebensmittelsicherheit, wenn die Möglichkeit von Ausnahmen und Abweichungen gegeben ist.	The fact that exemptions and variations are possible is not inconsistent with the aim of improving food safety.
Dies ist aber nur bei traditionellen Produktionsverfahren in schwierigen Randlagen der Fall, also dort, wo es Probleme aufgrund der Randlage und in Bergregionen gibt, und natürlich bei der Belieferung der lokalen Märkte.	They are, however, only permitted for traditional production methods in difficult remote areas, that is, in places where remoteness of location or the mountainous nature of the region brings its own problems, and of course where local markets are supplied.
Den sehr verschiedenen Produktionsmitteln in der EU kann entsprochen werden.	The great variety of means of production in the European Union can be taken into account.
Ich glaube, hier wurde ein weiser Ansatz gewählt, wenn bestimmt wurde, dass dies allerdings nur in Abhängigkeit vom Risiko erfolgen darf, das durch die amtliche Behörde eingeschätzt wird.	I believe that making this dependent on the competent authority’s risk assessment was a wise approach.
Dass der Grundsatz durch Rat und Kommission etwas abgeschwächt wurde, indem das HACCP-Prinzip in der Primärproduktion nicht unbedingt angewendet werden soll, möchte ich nur am Rande erwähnen.	I will mention only in passing that the Council and Commission have slightly watered down the ‘from farm to table’ principle in as much as the HACCP procedure will not be mandatory in primary production.
Ich glaube, auch hier ist es gelungen, eine weise Lösung zu finden, indem wir es den Mitgliedstaaten überlassen, wie sie dies gestalten.	I believe we have managed to find a wise solution here, too, in leaving the arrangements to the Member States.
Gemäß diesem Ansatz „geringe Anforderung bei geringem Risiko“, sollten wir aber den kleinen Unternehmen die Zusicherung geben, dass der Nachweis über die Ergebnisse des HACCP-Prinzips in für das Unternehmen akzeptabler Form erfolgen kann.	In accordance with this ‘low requirements for low risk’ approach, however, we should give small businesses the assurance that evidence of the results of the HACCP principle can be provided in a form acceptable to the firm.
Ich beziehe mich hierbei auf die Erwägung 15 des Gemeinsamen Standpunkts Nr. 1 zur Lebensmittelhygieneverordnung, nach der die Überwachung der kritischen Kontrollpunkte durch eine gute Hygienepraxis ersetzt werden kann.	I am referring here to recital 15 of Common Position No 1 on the food hygiene regulation, according to which good hygienic practices can replace monitoring of critical control points.
Ich halte diese Regelung insbesondere für kleine handwerkliche Unternehmen für anwendbar.	I consider this arrangement especially suitable for artisanal small businesses.
Im Zentrum des vorgeschlagenen Systems der amtlichen Überwachung der Fleischproduktion steht der amtliche Tierarzt.	The official veterinarian is central to the proposed system of official supervision of meat production.
Er führt Überprüfungen und Inspektionen durch, damit die Bestimmungen der einschlägigen Rechtsvorschriften durch alle Beteiligten eingehalten werden.	He performs audits and inspections so that the requirements of the relevant provisions can be observed by all concerned.
Dem amtlichen Tierarzt müssen Rechtsmittel zur Verfügung stehen, die eine Durchsetzung der Anforderungen ermöglichen.	The official veterinarian must have the statutory means to enforce the requirements.
Das heißt auch, dass die Rechtstexte klare Entscheidungsmöglichkeiten vorgeben.	This also means that the legal texts must lay down clear criteria for his decisions.
Deshalb ist es wichtig, dass das Parlament die grundsätzlichen Aufgaben der amtlichen Kontrolle in Artikel 3 aufgenommen hat.	That is why it is important that Parliament has included the basic tasks of official controls in Article 3.
Ferner müssen der Tierarzt und die amtlichen Fachassistenten einen hohen Kenntnisstand nachweisen.	The veterinarian and official specialised assistants must also show evidence of a high level of expertise.
Ich halte dies für richtig.	I believe this is right.
Dies erfordert aber in einigen Mitgliedstaaten – und das sehen wir jetzt schon – eine Veränderung der tierärztlichen Ausbildung.	In some Member States, however – and that is already evident – this will require a change to veterinary training.
Ebenfalls sollten die Verantwortlichen in den Mitgliedstaaten schnell Maßnahmen ergreifen, damit genügend Personal zur Verfügung steht, um die umfassenden Regelungen erfüllen zu können.	The authorities in the Member States should also act quickly to ensure that enough personnel are available to be able to comply with the wide-ranging regulations.
Nach meinem Kenntnisstand können die Aufgaben mit dem jetzigen Personal nur in wenigen Ländern erfüllt werden, etwa die Regelung, die wir über die bedingte Zulassung von Unternehmen getroffen haben.	So far as I am aware, only a few countries currently have the staff to perform such tasks as the rule we have adopted about the conditional approval of establishments.
Im Klartext: Die Behörden sind bei dem jetzigen Personalstand außer Stande, ein Unternehmen innerhalb eines halben Jahres dreimal auf Zulassungskriterien zu überprüfen.	Let me make this clear: with their current staffing levels the authorities will not be able to check three times in six months that an establishment meets the approval requirements.
Eine weitere Anforderung an die amtliche Behörde besteht in der Umsetzung einer integrativen Kontrolltätigkeit.	Another thing required of the competent authority is the integration of controls.
Es genügt also nicht mehr, sich auf die Durchsetzung gesetzlicher Bestimmungen zu konzentrieren.	It is no longer enough to concentrate on the enforcement of statutory provisions.
Mit der Einbeziehung der Unternehmen in Fragen der Lebensmittelsicherheit ist auch von der amtlichen Behörde mehr Flexibilität gefordert.	The involvement of businesses in food safety matters also requires greater flexibility on the competent authority’s part.
Der Unternehmer sollte sich selbst als Partner verstehen und auch so verstanden werden.	The business operator should see himself as a partner and be seen as one.
Das lässt sich nicht im Gesetzestext verordnen, die Grundlagen für mehr Lebensmittelsicherheit durch Kooperation sind aber gelegt.	That cannot be legislated for by statute, but the foundations for greater food safety through cooperation have been laid.
Lange war ein Punkt umstritten: die Beteiligung von Schlachtpersonal an der amtlichen Kontrolle.	One point was a matter of dispute for a long time: the involvement of slaughterhouse staff in official controls.
Nach meinem jetzigen Kenntnisstand – und ich rede hier als Berichterstatter des Parlaments – findet der gefundene Kompromiss unter Umständen nicht die Zustimmung dieses Hauses.	I am aware – and I am speaking here as a parliamentary rapporteur – that the compromise that has been reached may not meet with this House’s approval.
Dafür gibt es verschiedene Gründe.	There are a number of reasons for this.
So sagt man zum Beispiel, diese Regelung diene nicht einer Verbesserung der Lebensmittelsicherheit – das war immer unser Ansatz –, sondern es werde das Gegenteil erreicht.	Some say, for example, that this rule will not help us in what we have always been trying to do, that is, to improve food safety indeed, that it will have quite the opposite effect.
In der Verordnung über amtliche Futter- und Lebensmittelkontrollen wird bei Übertragung der amtlichen Kontrolle Unabhängigkeit verlangt.	The regulation on official controls of feed and foodstuffs requires those carrying out official controls to act independently.
Das Betriebspersonal ist nun einmal vom Betriebsleiter abhängig.	The establishment’s staff are dependent on the head of the establishment.
Die Ausbildung des Betriebspersonals bindet den Tierarzt und behindert damit seine Kontrolltätigkeit.	Staff training restricts the veterinarian and therefore hampers his ability to make controls.
Bleibt die Kostenfrage: Spart der Unternehmer wirklich Untersuchungskosten?	There remains the question of costs. Does the operator really save inspection costs?
Ich glaube, nein.	I do not believe so.
Alle Berechnungen beweisen das Gegenteil.	All the calculations show the opposite.
Ich denke, meine Herren vom Rat, wir sollten uns hier doch so verständigen, dass wir vielleicht in zwei bis drei Jahren noch einmal darauf zurückkommen und versuchen, eine Klärung zu bekommen.	I think, gentlemen of the Council, that we should agree here to come back to this and try to clarify it in perhaps two or three years’ time.
Nachdem diese Verordnung viel Neues in den Mitgliedstaaten und eine erhebliche Umstellung bei den Beteiligten erfordert, sollten wir sie erst einmal zwei bis drei Jahre anwenden und uns dann noch einmal auf diese Frage konzentrieren.	Since this regulation brings much that is new to the Member States and will require a lot of adjustment by all concerned, we should first apply it for two or three years and then concentrate on this question again.
Ich denke, wir sollten das vorliegende Ergebnis nutzen und diese Verordnungen noch in dieser Wahlperiode ohne weitere Diskussionen verabschieden.	I think we should use the existing outcome and adopt these regulations in this legislative period without further discussion.
Sie sind eine wichtige Grundlage für die Lebensmittelsicherheit.	They are an important foundation for food safety.
Ich möchte, da der Herr Kommissar jetzt erst gekommen ist, meine Eingangsworte noch einmal wiederholen: Recht herzlichen Dank Ihnen und Ihren Mitarbeitern für die außerordentlich gute Zusammenarbeit bei der Erarbeitung der Rechtstexte.	As the Commissioner has now arrived, I would like to repeat what I said at the beginning: my sincere thanks to you and your colleagues for your extraordinarily close cooperation in working on the texts of these regulations.
Ich denke, es ist ein gutes Werk, und wir werden unserem Ziel, die Lebensmittelsicherheit in Europa zu verbessern, einen großen Schritt näher kommen.	I think it is a good piece of work and we will come much closer to our objective of improving food safety in Europe.
