Jetzt weiß ich gar nicht, wen ich persönlich zu dem Sieg im Fußballspiel beglückwünschen darf!	I really do not know whom I should now be personally congratulating for winning at football!
Ich weise ferner darauf hin, dass die Kommission die Stellenplanvorschläge des Direktors von OLAF unverändert an die Budgetbehörde weitergereicht hat, um eben die Unabhängigkeit von OLAF zu unterstreichen.	I should also like to point out that the Commission passed the OLAF Director' s establishment plan proposals on to the budgetary authority unchanged precisely in order to underline OLAF' s independence.
Dagegen wird durch einige Beschlüsse des Europäischen Parlaments sehr detailliertes Mikromanagement praktiziert, was natürlich auch unter dem Gesichtspunkt der Unabhängigkeit zumindest einige Fragen aufwirft.	On the other hand, some of the European Parliament' s resolutions amount to very detailed micromanagement, which naturally at least raises a few questions as regards independence.
Insgesamt schafft die Tatsache, dass Stellen gesperrt und dass leider auch noch nicht alle Stellen freigegeben werden, für OLAF nicht gerade einfache Arbeitsbedingungen, und die Behörde hat ja nun wahrlich sehr große Aufgaben, und vor allen Dingen ein großes Spektrum an verschiedenen Aufgaben zu bewältigen.	Overall, the fact that posts are being blocked and also that unfortunately not all posts have yet been approved is not exactly making it easy for OLAF to operate, and the authority does now have some really big tasks, and above all a wide range of different tasks, to cope with.
Ich kann nur noch einmal an dieser Stelle beteuern, dass von Seiten der Kommission alles getan wird, um für OLAF gute Arbeitsbedingungen zu schaffen.	I can at this point only assure you once again that the Commission is doing all it can to create good working conditions for OLAF.
Zu dem zweiten Nachtrags- und Berichtigungshaushalt.	Regarding the second Supplementary and Amending Budget.
Der Haushalt 2000 hat mit einem Überschuss von 11,6 Mrd. Euro abgeschlossen - das wurde hier mehrmals erwähnt.	The year 2000 budget ended with a surplus of EUR 11.6 billion, as has been mentioned here several times.
Er rührt teilweise aus erhöhten Einnahmen her, die zum Beispiel aus einer besseren Entwicklung des Bruttosozialprodukts herrühren, als zunächst angenommen wurde, zum größeren Teil aber aus nichtimplementierten Mitteln auf der Ausgabenseite.	This is in part the result of increased revenue, the fruit, for example, of a more favourable trend in gross national product than was initially assumed, but for the greater part it is the result of resources not being implemented on the expenditure side.
Ich muss zu dem Bereich Strukturpolitik, und das ist ja der größte Brocken - da stammen 6 Milliarden von diesen 11 Milliarden her - nun doch noch einiges anmerken, nämlich dass bereits bei der Abfassung und Unterzeichnung der interinstitutionellen Vereinbarung mit berücksichtigt wurde, dass es wahrscheinlich schwierig würde, im ersten Jahr alle Mittel zu implementieren.	I must now say something about structural policy - it is after all the largest chunk, accounting for 6 of these 11 billion - namely that account was already taken of the fact that it would probably be difficult to implement all resources in the first year when the Interinstitutional Agreement was drawn up and signed.
Das wurde ja quasi mit aufgenommen, und dementsprechend wurde beschlossen, dass man dann commitments für spätere Jahre wieder einsetzen kann, und das ist ja auch erfolgt, so dass eben sichergestellt ist, dass keine Mittel im Bereich der Strukturfonds dadurch verloren gehen, dass es im ersten Jahr der Beschlüsse Implementierungsschwierigkeiten gegeben hat.	That was more or less taken for granted and it was therefore decided that commitments could be redeployed for subsequent years, and that is what has been done, which ensures that no resources are lost to the Structural Funds because of implementation difficulties in the first year.
Was man als Schlussfolgerung daraus ziehen muss, ist meines Erachtens, dass man für eine zukünftige Förderperiode sehr viel früher mit den Vorbereitungen und mit den Beschlussfassungen beginnen muss.	The conclusion to be drawn from this is in my opinion that we must start much earlier with preparations and decision making for a future support period.
Ich darf darauf hinweisen, dass für die Gemeinschaftsinitiativen beispielsweise die Position des Parlaments im April 2000 verabschiedet wurde.	I should like to point out, for example, that Parliament' s position on the Community initiatives was adopted in April 2000.
Hier sieht man, dass der ganze Prozess zu spät begonnen hat.	We can see here that the whole process began too late.
Mit anderen Worten: Für die nächste Förderperiode muss man einfach einen früheren Zeitplan festlegen.	In other words, we must simply set an earlier timetable for the next support period.
Das betrifft alle, das betrifft die Kommission, das betrifft das Parlament, und das betrifft natürlich auch den Rat.	That applies to everyone, it applies to the Commission, it applies to Parliament and it also applies, of course, to the Council.
Übrigens werden ja nicht die ganzen Mittel von 11,6 Mrd. Euro zurückgegeben.	Incidentally, the entire resources of EUR 11.6 bn are not being returned.
1,6 Milliarden waren bereits in den Haushaltsplan 2001 eingesetzt, unter anderem zur Finanzierung der BSE-Maßnahmen, die im Nachtragshaushalt Nr. 1 beschlossen wurden.	EUR 1.6 bn were already deployed in the 2001 budget, among other things to finance the BSE measures decided in Supplementary Budget No 1.
2,075 Milliarden werden verwendet zur Finanzierung der Haushaltskorrektur für das Vereinigte Königreich, und ich schaue an dieser Stelle jetzt einmal, abweichend von den Vorrednern, Herrn Wynn nicht an.	EUR 2 075 bn are used to finance the budget correction for the United Kingdom, and unlike the previous speakers I am not looking at Mr Wynn here.
Außerdem haben wir vorgeschlagen, 350 Mio Euro zur Aufstockung der Mittel für den Wiederaufbau im Balkan zu verwenden, und den anderen Teil, nämlich 7,5 Mrd. Euro, den Mitgliedstaaten zurückzugeben, das heißt, entsprechend ihre Beiträge zum Haushalt 2001 abzusenken.	We have also proposed using EUR 350 million to top up the resources for reconstruction in the Balkans and to return the other part, namely EUR 7.5 bn, to the Member States by reducing their contributions to the 2001 budget accordingly.
Die Berichterstatter schlagen nun vor, nicht nur 350 Mio Euro für die Aufstockung der Mittel für den Balkan zu verwenden, sondern 450 Mio Euro.	The rapporteurs are now proposing that not just EUR 350 million but 450 million be used to top up the resources for the Balkans.
Die Kommission wollte diesen Differenzbetrag eigentlich durch weitere Transfers aus anderen Bereichen finanzieren, aber wir stimmen Ihrem Vorschlag nun zu, insbesondere unter dem Zeitaspekt, der sehr wichtig ist.	The Commission actually wanted to fund the difference by making further transfers from other areas, but we now agree to your proposal, especially in the light of the time factor, which is very important.
Wir wollen nämlich wirklich nicht in die Gefahr kommen, einen Zahlungsstopp bei den Maßnahmen für den Kosovo oder Serbien zu haben.	We really do not want to run the risk of having to suspend payments for measures for Kosovo or Serbia.
Jedem ist klar, wie sensibel dieser Bereich ist, und ich hoffe sehr, dass der entsprechende Vorschlag des Parlaments die Zustimmung des Rates bekommt und mithin der gesamte Vorschlag noch vor der Sommerpause verabschiedet werden kann.	We all know how sensitive this area is and I very much hope that Parliament' s proposal in this connection will meet with the Council' s agreement so that the entire proposal can be adopted before the summer break.
Nun zu dem vorliegenden Entschließungsantrag zu den Eigenmitteln.	Now to the present motion for a resolution on own resources.
Das Thema wird ja zunehmend aktuell durch die Frage: Wie wird der europäische Haushalt optimal finanziert?	The subject is becoming increasingly topical because of the question of what is the best way to finance the European budget.
Wir haben natürlich auf der einen Seite folgende Situation vorliegen: Es wurde ein neuer Eigenmittelbeschluss gefasst mit einer neuen Struktur, und dieser Eigenmittelbeschluss gilt natürlich, solange nicht etwas Anderes beschlossen wird, mit allen Komponenten, die dazu gehören, auch mit der Komponente des britischen Rabatts.	On the one hand, of course, we have the following situation: a new decision has been taken on own resources with a new structure, and this own resources decision naturally applies until something else is decided, with everything that goes with it, including the British rebate.
Das ist geltendes Recht.	That is the law as it stands.
Was die Struktur der Finanzierung angeht, steht im Vertrag folgendes: Der öffentliche Haushalt finanziert sich aus Eigenmitteln.	So far as the structure of financing is concerned, the Treaty states that the public budget is financed out of own resources.
So steht es im Vertrag.	That is what it says in the Treaty.
So wurde es auch 1975 beispielsweise in der Vereinbarung mit dem Parlament noch einmal betont, nämlich dass es wirkliche Eigenmittel sein sollten.	The agreement with Parliament in 1975, for example, also stressed again that they should be genuine own resources.
Statt dessen ist die Entwicklung aber de facto in eine ganz andere Richtung gegangen, und Sie haben in Ihrem Bericht, Frau Haug, dies auch detailliert dargestellt, dass sie eine andere Richtung genommen hat.	But instead, the de facto trend has been in quite a different direction, and you showed in detail in your report, Mrs Haug, that it has taken a different direction.
Zu dieser Finanzierung, die wir jetzt haben, muss man einfach feststellen: Sie ist nicht transparent für die Bürger.	Regarding the financing that we currently have, I simply have to say that it is not transparent for the citizen.
Es gehört mit zu den ganz schwer wiegenden Punkten, dass kaum ein Bürger weiß, wie die Finanzierung läuft, und was man nicht weiß, ist umso undurchschaubarer und lässt Raum für alle Spekulationen.	It is one of the most serious points, that hardly any citizen knows how the EU is financed, and what they do not know is all the more unfathomable and leaves room for every kind of speculation.
Ich kann von meiner Seite nur noch einmal sagen, dass ich es sehr begrüße, dass die belgische Ratspräsidentschaft dieses Thema der Finanzierung des EU-Haushalts aufnehmen will, und, Herr Ferber, ich halte das für ein Thema, das unter den gesamten Komplex der Kompetenzabgrenzung zwischen Mitgliedstaaten und der europäischen Ebene fällt.	For my own part, I can only say once more that I very much welcome the fact that the Belgian presidency intends taking up this matter of how the EU budget is financed and, Mr Ferber, I consider it to be a subject forming part of the whole issue of the delimitation of competences between the Member States and the European level.
Das gehört originär dort hinein.	That is where it really belongs.
Ich denke, es ist natürlich auch ganz wichtig, dass alle diejenigen, die eine Umstrukturierung auf der Einnahmeseite begrüßen, nun möglichst bald auch eine gemeinsame Wortwahl finden.	I think it is of course also quite important that all who welcome a restructuring on the revenue side should now also find a common vocabulary as soon as possible.
Wenn man von der Einführung einer EU-tax spricht, dann hört sich das so an, als sollte irgendwie eine neue Steuer erfunden werden, für die dann das Erhebungsrecht bei der Europäischen Union liegt.	If we talk about introducing an EU tax, that sounds like inventing some new kind of tax that the European Union will be entitled to levy.
Darum geht es ja gar nicht.	That is not what it is about at all.
Es geht darum, eine Steuer zu benennen, die ganz oder teilweise in den europäischen Haushalt fließt, wo die Ertragshoheit auf europäischer Ebene liegt, und es geht natürlich auch um die Problematik des Budgetrechts des Europäischen Parlaments.	It is about specifying a tax, some or all of which will flow into the European budget, where responsibility for the amount raised will lie at European level, and it naturally also involves the problems of the European Parliament' s budgetary powers.
Ich kann von meiner Seite aus nur unterstreichen, was Frau Haug sagte, es geht wirklich darum: Bleibt es bei diesem reduzierten Budgetrecht des Europäischen Parlaments auf der Einnahmeseite wie auf der Ausgabenseite?	From my own point of view, I can only stress what Mrs Haug said, that the real issue is: will the European Parliament continue to have these reduced budgetary powers on the revenue side as it does on the expenditure side?
Ich denke, jetzt ist die Gelegenheit da, und wir sollten das Momentum meines Erachtens aufnehmen, dass eine Ratspräsidentschaft das von sich aus thematisiert, und wenn es nicht zu diesem Zeitpunkt als Thema für Laeken aufgenommen wird, dann befürchte ich, wäre das Thema erst einmal wieder für lange Zeit begraben und nicht debattierfähig.	I believe an opportunity has presented itself, and we should in my opinion go with the momentum when the Council presidency raises the issue on its own initiative, because if it is not adopted as a topic for Laeken at this point in time, I fear the matter will be buried again and we shall not be able to debate it for a long time.
Nun zum Bericht von Herrn Costa Neves.	Now to Mr Costa Neves' s report.
Hier geht es um die Konzertierung vor der ersten Lesung des Rates am 20. Juli, die im Trilog am 9. Juli vorbereitet wird.	This concerns the conciliation procedure before the Council' s first reading on 20 July, preparations for which take place in the trialogue on 9 July.
Ich möchte noch einmal betonen, dass natürlich auch der 9. Juli mit dem Trilog ein wichtiger Zeitpunkt ist, ein wichtiger Punkt im gesamten Haushaltsverfahren.	I should again like to stress that the 9 July trialogue is of course also an important date, an important point in the whole budgetary procedure.
Da Frau Theato hier ist, gestatten Sie mir eine kurze Bemerkung: Frau Theato, Sie haben mir einen etwas scharfen Brief geschrieben, ich solle doch gefälligst am 9. Juli, statt in den Trilog zu gehen, in den Ausschuss für Haushaltskontrolle kommen, um einen periodischen Bericht zu debattieren.	Since Mrs Theato is here, I should like to make a brief comment. Mrs Theato, you sent me a rather strongly worded letter asking me kindly to come to the Committee on Budgetary Control to debate a periodic report on 9 July instead of going to the trialogue.
Ich muss noch einmal darauf hinweisen, ich kann mich natürlich nicht zweiteilen, und es gehört selbstverständlich zur Pflicht der Haushaltskommissarin, am Trilog zur Vorbereitung des Konzertierungsverfahrens für den Haushalt 2002 teilzunehmen.	I must again point out that I cannot of course be in two places at once and it goes without saying that it is part of the budget Commissioner' s duties to take part in the trialogue in preparation for the conciliation procedure for the 2002 budget.
Nun aber zu den Punkten, die bei der Konzertierung im Mittelpunkt stehen werden.	But now to the points that will be at the centre of the conciliation.
Herr Costa Neves hat dies ausführlich behandelt.	Mr Costa Neves has described these in detail.
Lassen Sie mich dazu folgendes sagen: Zum einen halte ich den Vorschlag der Kommission, eine Reserve im Agrarhaushalt von 1 Mrd. Euro vorzusehen, für einen Vorschlag, der der Unsicherheit, die wir für die Ausgabenentwicklung im Agrarbereich für das nächste Jahr haben, am stärksten angemessen ist.	I should like to say the following. Firstly, I consider the Commission' s proposal to provide a EUR 1 bn reserve in the agriculture budget to be highly appropriate given the uncertainty surrounding the direction agricultural expenditure will take in the forthcoming year.
Wir haben jetzt die ersten Rechnungen für die Maul- und Klauenseuche auf dem Tisch liegen, und es werden noch mehr Rechnungen kommen in diesem Bereich, und sie bestätigen, dass wirklich eine große Reserve notwendig ist.	We now have the first bills for foot and mouth disease on the table and more will come in, and they confirm that a large reserve is really necessary.
Wir sollten auf die sichere Seite gehen, und natürlich werden wir dann mit dem Berichtigungsschreiben im Herbst des Jahres Genaueres sagen können, auch über die Frage: Wieviel haben wir aus dem Haushalt für die Maul- und Klauenseuche zu zahlen?	We ought to play safe, and we will of course be able to be more precise in the Letter of Amendment in the autumn, including on the question of how much we shall have to pay from the budget for foot and mouth disease.
Aber für den jetzigen Zeitpunkt ist, glaube ich, der Reservevorschlag der geeignetste, und ich bitte sehr darum, dass das Europäische Parlament dieses bei der Konzertierung mit dem Rat unterstützt.	But for the present I believe the level of reserve proposed is the best way forward and I very much hope that the European Parliament will support this in the conciliation procedure with the Council.
Der zweite Punkt betrifft das gescheiterte Fischereiabkommen mit Marokko, das hier von mehreren Rednern erwähnt wurde.	The second point concerns the abortive fisheries agreement with Morocco, which has been mentioned by several speakers here.
Es ist ein wichtiger Punkt. Deshalb will ich kurz darauf eingehen.	It is an important point; I therefore want to speak about it briefly.
Die Kommission plant, noch im Juli ein Programm zur Mitfinanzierung, zur Förderung der Umstrukturierung der betroffenen spanischen und portugiesischen Flotte vorzuschlagen.	The Commission plans to propose a cofinancing programme to assist with the restructuring of the Spanish and Portuguese fleets concerned by the end of July.
Es soll ein Programm sein, das in der Kategorie der Strukturfonds finanziert wird, nur werden Sie jetzt sagen: Die Kategorie der Strukturfonds ist leer bzw. ausgebucht.	It will be a programme financed in the category of the structural funds. But now you will say the structural funds category is empty or fully committed.
Aus diesem Grunde wird die Kommission den Vorschlag machen, zur Finanzierung dieses Umstrukturierungsprogramms die Flexibilitätsreserve bzw. einen Teil der Flexibilitätsreserve zu nutzen.	The Commission will for this reason be making a proposal that the flexibility reserve, or part of it, be used to finance this restructuring programme.
Das wäre dann ein Programm für ein Jahr, dessen Ausführung sich über mehrere Jahre erstrecken kann.	It would then be a one-year programme, implementation of which may extend over several years.
Wie mit den Mitteln umzugehen ist, die in der Kategorie IV durch das gescheiterte Fischereiabkommen frei werden, das muss unter Abwägung aller Aspekte, und ich sage ausdrücklich, dazu gehört auch der Aspekt Haushaltsdisziplin, geprüft werden.	How the resources released in category IV by the abortive fisheries agreement should be used will have to be considered weighing up every aspect, including, and I say this expressly, the aspect of budgetary discipline.
Zu dem Bereich gemeinsame Außen- und Sicherheitspolitik vertritt das Parlament die Auffassung, dass Mittel auch in diesem Jahr gekürzt werden könnten.	In the matter of common foreign and security policy, Parliament takes the view that resources could be cut this year, too.
Tatsächlich entspricht der Haushaltsvorentwurf dem Haushaltsplan von 2001, und die Kommission sieht hier keinen Anlass für weitere Kürzungen, aber die Kommission wird selbstverständlich den Berichterstatter zur Verbesserung der Haushaltskommentare wie gewünscht unterstützen.	In fact, the preliminary draft budget is the same as the 2001 budget, and the Commission sees no need for further cuts here, but the Commission will, of course, assist the rapporteur as requested in order to improve the budget commentaries.
Noch ein Wort zu den administrativen Ausgaben.	Now a word on administrative expenditure.
Ich teile die Besorgnis des Europäischen Parlaments hinsichtlich der zukünftigen Entwicklung der Kategorie V, und ich unterstütze daher voll die Bemühung um mehr Transparenz und Planbarkeit eventueller neuer Aktivitätsbereiche, wie zum Beispiel im Bereich Justiz und Inneres.	I share the European Parliament' s concern about the future trend of Category V and I therefore fully support the efforts for greater transparency and ease of planning for any new areas of activity, such as justice and home affairs.
Ich will aber auch deutlich sagen, dass es nicht die Ausgaben für die Reform der Kommission sind, die hier den Finanzrahmen unter Druck setzen.	But I also want to make clear that it is not the expenditure on Commission reform that is putting a strain on the financial framework here.
Wir haben alle die notwendigen Reformen ins Auge zu fassen, und ich halte es für unabdingbar, dass alle Institutionen versuchen, eine mittelfristige Planung vorzulegen, damit wir sehen können, in welchem Bereich Veränderungen notwendig sind, um mit der Kategorie V zu Rande zu kommen. Es ist wirklich zu überlegen, inwieweit eine high level group oder eine vergleichbare Gruppe eingesetzt werden sollte, um sich mit diesen Fragen zu beschäftigen.	We all have to consider necessary reforms, and I believe it is essential that all institutions try to put forward a medium-term plan so that we can see where changes are necessary in order to get to grips with Category V. We really need to give thought to whether a high level group or similar should be deployed to deal with these issues.
Sie haben, Herr Costa Neves, auf den Bericht hingewiesen, den das Europäische Parlament angefordert hatte und der u.a. Fragen der Ausführung des Haushalts betrifft.	You have drawn attention, Mr Costa Neves, to the report that the European Parliament had called for and which deals, among other things, with matters of budget implementation.
Ich bedanke mich dafür, dass Sie positiv erwähnt haben, dass er zeitig vorlag und ein gutes Arbeitsinstrument für die Diskussion der Fragen bildet, die in der Erklärung des Parlaments aufgenommen worden waren.	I should like to thank you for the positive comment that it was completed on time and that it is a useful tool for discussing the questions raised in Parliament' s declaration.
Eine enge Zusammenarbeit wird es auch im Bereich etwaiger vom Europäischen Parlament in den Haushalt einzusetzender Aktionen geben.	There will also be close cooperation in the field of any actions included in the budget by the European Parliament.
Wie ebenfalls vereinbart, wird die Kommission bereits frühzeitig von den verschiedenen Ausschüssen in die Diskussion mit eingebunden werden, um die Durchführbarkeit von Aktionen und Pilotprojekten sicherzustellen.	As also agreed, the Commission will be involved in the discussion by the various committees at an early stage in order to ensure that actions and pilot schemes can be implemented.
Auch das ist uns ein wichtiges Anliegen, und besonders hervorheben möchte ich dabei die Bereiche Asyl- und Einwanderungspolitik.	That, too, is important for us and I should like to highlight in particular the areas of asylum and immigration policy.
Ein kurzes Wort noch zu den Prioritäten im Bereich E-learning und Beschäftigungspolitik kleiner und mittlerer Unternehmen.	A brief word on priorities in e-learning and employment policy as they affect small and medium-sized enterprises.
Das sind Bereiche, in denen nicht nur auf den Haushaltslinien in der Rubrik 3, sondern auch in den Strukturfonds große Summen zur Verfügung stehen, und die Kommission ist der Meinung, dass die neuen Instrumente, die im letzten Haushalt eingeführt wurden, sich erst beweisen müssen, bevor sie substanziell verstärkt oder ausgeweitet werden.	These are areas where large sums of money are available not only in the budget lines of Heading 3 but also in the structural funds, and the Commission believes that the new instruments introduced in the last budget must first prove their worth before they are substantially increased or expanded.
Dies alles, und damit darf ich abschließen, zeigt, wie viele Diskussionen noch vor uns liegen.	To conclude, all this shows how much we still have to discuss.
Der Haushalt 2000 muss über die kommenden Monate gemeinsam erarbeitet werden, und ich wünsche mir, dass wir die nächsten Wochen und die nächsten Treffen gut nutzen können, gut nutzen werden, um gemeinsame Einschätzungen zu erarbeiten, damit wir einen guten Start für die Haushaltsverhandlungen haben.	Over the coming months we must work out the year 2000 budget together, and I hope that we shall be able to make good use of the next few weeks and the forthcoming meetings to arrive at common positions so that we shall have a good start to the budget negotiations.
