Frau Präsidentin!	.
Ich denke, dass es bei dem Vereinfachungsprojekt sogar dazu kommen wird, dass das Parlament Rechte wahrnehmen kann, die es ursprünglich bei der Gesetzgebung nicht wahrnehmen konnte, weil wir ja auch Rechtsakte wieder auf den Tisch bringen, die zu Zeiten verabschiedet worden sind, als die Mitentscheidung in diesen Bereichen überhaupt noch nicht bestand.	I think that one of the consequences of the simplification project will even be that Parliament will be able to avail itself of rights in ways that it could not have done originally, as we will be resubmitting acts that were adopted at a time when there was as yet no codecision in the areas to which they apply.
Ich denke, dass durch das, was wir hier tun, die parlamentarischen Mitwirkungsrechte gestärkt werden. Selbstverständlich ist die Kommission bereit, allen Ausschüssen über das zu berichten, was geschieht.	I believe that what we do will enhance Parliament’s rights of codecision, and the Commission is of course willing to report to all the committees on what happens.
Was die Folgenabschätzung angeht, ist das eine sehr schwierige Frage. Ich hatte dazu etwas gesagt.	The whole question of the impact assessment is a difficult one, and one that I did have something to say about.
Die Kommission hat für sich beschlossen, dass sie keinen Vorschlag mehr macht, ohne dass eine umfassende Abschätzung der Folgekosten vorliegt. Das ist aber ein interner Vorgang in der Kommission.	For its own part, the Commission has decided that it will no longer be making proposals before a comprehensive assessment of the costs resulting from them has been carried out.
Gleichwohl werden wir, wenn wir Ihnen in Zukunft Vorschläge übermitteln, das Ergebnis dieser Folgenabschätzung mit vorlegen.	Although that is an internal procedure within the Commission, we will present you with the results from it at the same time as we forward proposals to you.
Ich persönlich bin sehr dezidiert der Auffassung, dass dann, wenn die Gesetzgeber substanzielle Veränderungen an dem Vorschlag der Kommission vornehmen – wie es ja vorkommen soll –, selbstverständlich eine weitere Folgenabschätzung erforderlich ist. Aber das müssen Sie selbst entscheiden.	Speaking personally, I take the very definite view that a further impact assessment will of course be needed if the legislator does what it is there to do and makes substantial changes to the Commission proposal.
Sie sind der Gesetzgeber, nicht die Kommission! Wenn Sie sagen, Sie können einen Rechtsakt auch ohne Folgenabschätzung beschließen, ist das Ihre Entscheidung und Ihre Verantwortung.	That, though, is a decision for you yourselves to take, for it is you, and not the Commission, that are the legislative body; if you say that you can adopt an act even without an impact assessment, then that is your decision and your responsibility.
Mein Rat wäre aber, dass wir gemeinsam nach einem Weg suchen, wie wir eine allgemein anerkannte Methode der Folgenabschätzung finden.	I would, however, advise that we should, together, look for a way in which we can come up with a generally acceptable method of assessing the impact of legislation.
Ich denke, dass wir eigentlich ganz stolz darauf sein können, dass die von der Kommission entwickelte Folgenabschätzung international einen außerordentlich guten Ruf hat. Ich glaube nicht, dass Sie irgendwo im öffentlichen Bereich etwas Besseres finden werden.	I think we can actually be very proud of the fact that the impact assessment developed by the Commission has an extremely good reputation internationally, and, while I do not believe that you will find anything better anywhere in the public sphere, there is still room for improvement, and that is something we can work on together.
Daran können wir sicher gemeinsam arbeiten. Ich stimme Ihnen ausdrücklich zu, Frau Grossetête, dass es nicht notwendigerweise um weniger Rechtsetzung geht, sondern es geht um bessere Rechtsetzung in der Zukunft.	I do indeed agree with Mrs Grossetête that we do not necessarily need less lawmaking, but that lawmaking does need to be better in future.
Noch einmal: Es handelt sich um zwei verschiedene Dinge.	Let me reiterate that we are talking here about two different things.
Das eine ist das große Vereinfachungsprojekt. Das führt in der Tat dazu, dass das Volumen des – wohlgemerkt das Volumen, aber nicht die Qualität – sich deutlich verringert.	One is the great project of simplification, which will indeed result in a marked reduction in the volume – mark well, the quantity, rather than the quality – of the .
Das andere Projekt, die neue Methode, wie wir Gesetze entwickeln, führt in der Tat dazu, dass sich die Qualität deutlich erhöht und die Gesetzgeber – also Sie als Mitglieder des Europäischen Parlaments – in die Lage versetzt werden, bei jeder einzelnen Entscheidung eine sehr genaue Kosten-Nutzen-Rechnung anzustellen.	The actual result of the other project, the new method whereby we draft legislation, will be a significant increase in its quality, and you, the Members of the European Parliament, being the people who make the laws, will be enabled to arrive at a very precise account of the costs and benefits of every individual decision.
